"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287"
"Parabacteroides_goldsteinii",0.83679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31618,0,0,0,0,0,0,0,0,0,0,0,0,0.02996,0.00566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06067,0,0.0598,0,0.09577,0,0,0,0
"GGB4723_SGB6540",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_intestinalis",0.10341,0,0,0,1.13251,0.46626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58013,0,0,0
"GGB34797_SGB14322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07153,0,0,0.06867,0,0,0,0,0,0,0,0,0,0.04828,0.10532,0,0,0,0,0,0,0.01279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2054
"GGB33516_SGB54324",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9062_SGB13981",0.01393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03986,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4698_SGB6498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9634_SGB15093",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07577,0.03694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9101_SGB14033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_siraeum",0.11157,0,0.25361,0,0,0,0,16.89079,0,0.03372,0,9.7396,0,0,0.1415,0,0,0.40203,0,0,0,0,0.85831,0,0,0,0,0,0,0,1.1018,3.54288,0,0,0,0.07174,4.1921,5.65191,1.70081,0,0,0,0,4.83646,3.4179,0,0,0,0.9585,0,0,0,0,0,0,0,0,0.51735,0,0,0,0,0,0,0,0,0,0,0.11632,0.15884,0,0,0,2.63321,0.38889,0.87265
"Lachnospira_sp_NSJ_43",0,0,0.19616,0,0,0,0,0,4.44609,0,0,0.07179,0,0,0.89432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58764,0,0,0,0.15617,0,0.05745,0.60147,1.22832,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68533,0,0.03195,0,0,0,0.11525,0,0,0,0.00976,0,0,0,0.01366,0,0.1771,0,0,0,1.8509,0,0.05482
"GGB14025_SGB14906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03431,0,0,0,0,0.01382,0,0,0,0,0,0.07665,0,0.39545,0.06054,0,0,0,0,0.00816,0,0,0,0,0,0,0.02274,0,0,0,0,0.71003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262,0,0,0,0,0,0,0
"Ruminococcus_SGB4421",0,0,0.10302,0,0,0,0,0,0,0,0,0.28665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5218,0,0,0,0.99054,0,0,0,0,0,0.17517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.61497,0,0,0.04441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15976,0,0
"Dysosmobacter_welbionis",0.00675,0,0.06359,0,0,0.81024,0.03527,0,0.06023,0.08121,0.21417,0.20605,0,0,0,0,0.58167,0.10279,0,0.09371,0,0,0.46496,0,0.08078,0,0,0.31423,0.11067,0,0.17119,0.07141,0,0.81515,0.39525,0.0422,0.01467,0.21042,0.34661,0.10985,1.3198,1.38376,0.04047,0.02961,0.11451,0,0,0,0.17127,0,0.2276,0.23658,0,0.02817,0,0.84283,0,0.07709,0,0.28661,0.14841,0,0,0.01698,0.10995,0,0.17947,0.18212,1.72893,0,0,0.03486,0,0.00089,0.57276,0
"GGB3945_SGB8597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4567_SGB6308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14647,0,0,0,0,0,13.73764,0,0,0,1.90434,0,0,0,0,0,1.78369
"Lachnospira_pectinoschiza",0,0,0.11748,0,0,0,1.18241,0,0,0,0,0,0,0,2.0633,0,0.32432,0,0,0,0,0,0.00894,0,0,0,3.61047,0,0,0,0.00639,0.80131,0,0.05938,0,0.61803,0,0,0,0.00321,0.00518,0.77366,0,0.00479,24.99249,0,0,0,0.02938,0,0,0,0,0,0,0.39215,0,1.34612,2.89394,1.51557,0,0,0,0,0,0,0.04914,0,0,0.1009,0,0,0.39548,1.42719,0,0.18827
"GGB3321_SGB4394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9501_SGB14898",0,0,0.02264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4626_SGB6403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB6470_SGB9153",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrogenoanaerobacterium_saccharovorans",0,0,0.00078,0,0,0,0,0,0,0,0.11299,0,0,0,0.0095,0,0,0,0,0.04028,0,0,0,0,0,0,0,0,0.0223,0,0.0011,0,0,0.32054,0,0,0.03411,0.00202,0,0.00715,2.57496,0,0.04549,0,0.38577,0,0,0,0,0,0,0,0,0.01496,0,0.16277,0,0.27841,0,0.0147,0,0,0,0,0.02754,0,0,0.05507,0,0,0,0,0,0.04767,0.07758,0
"Acinetobacter_SGB65105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Protoclostridium_gallicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4715_SGB6529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.94451,0,0,0,0,0,0
"Ruminococcus_lactaris",0.23765,0,0,0,0,0,0.34334,0,0,0,0,0.42483,0,0,0,0,0.04586,0,0,0.1678,0,0,0.96039,0,0,0,0,0.5287,0,0,0,0.13211,0.06184,0,0,0,0.22369,0.10783,0.50889,0,0,0,0,0,0,2.47072,0.1989,0,0,0,0.60233,0,0,0,0,0,0,0,0.45019,0,0,0,0,0,0,0.18304,0.01162,0.38669,0,0,0,0.05673,0,0.19107,0.01971,0
"Holdemanella_porci",0.01487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39091,0,0,0,0,0,0,0,0,0,0,1.14293,0,0,0,0,0,0,0,0,0,0,0,0,0.0877,0,0,0,0,0,0.09541,0,0,0,0,0,0,0,0,0,0
"GGB4608_SGB6382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_ovatus",0.14899,0,0.25183,0,0,1.27096,0.24689,9.59863,6.44918,0.87392,3.60259,1.71758,6.0532,0,0.29519,0,10.31105,0.06654,0,0.11532,0,0,2.94533,0,0,23.89844,0,0.40285,4.77759,0,1.59786,1.54199,18.50008,0.01658,0,0.03332,0.43921,0.65414,0.10221,0,0.32136,5.29485,0.35926,1.94239,0,0,2.48689,0,0.49739,5.57347,0.44447,0,0,0,0,1.2815,0,0,1.78532,0.01461,1.71469,0,0,1.42659,5.345,0.19474,9.26456,0.06436,4.48342,0.24269,0,0.11203,0,0,0.08241,0.42485
"GGB9545_SGB14952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4578_SGB6328",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09283,0,0.2221
"GGB3002_SGB3993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03635,0,0,0,0,0,0,0,0,0,0,0,0,0.00307,0,0,0,0,0.4535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1223_SGB1593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Gallimonas_intestinalis",0,0,0.00426,0,0,0,0,0,0,0,0,0,0,0,0.06053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9551_SGB14958",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02259,0,0,0,0,0,0,0,0,0,0,0,0,1.51597,0,0,0,0,0,0,0,0,0,0,0,0,0.14675,0,0,0,0,0.31288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB33586_SGB53517",0,0,0,0,0,0.03288,0,0,0,0,0,0.01194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17027,0.07182,0,0,0,0,0,0.01231,0,0.00098,0,0.00576,0,0.02849,0,0,0,0,0.13426,0,0,0.00493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06806,0.10236,0,0,0.00274,0,0,0,0
"GGB79652_SGB15211",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58511,0,0,0,0,0,0,0,0,0,0.00076,0,0,0.16448,0,0,0,0,0.44697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02431,0
"GGB53985_SGB6367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02272,0,0,0,0,0,0,0,0,0,0
"GGB9299_SGB14259",0.012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1662_SGB2276",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08136
"GGB3033_SGB4029",0,0,0,0,0,0,0,0,0,0.00281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13893,0,0.19824,0,0,0,0,0,0,0,0,0,0,0,0,0.0499,0,0,0,0,0.49439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00434,0,0
"Bacteroides_SGB15210",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07307,0,0,0,0,0,0,0,0,0,0,0,0,0.24086,0,0,0,0,0.20685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Pseudoscilispira_faecavium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_SGB6473",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08727,0,0,0,0,0,0.07475,0,0,0,0.76732,0,0,0,0,0,0.8253
"GGB9117_SGB14050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01707,0,0,0,0,0,0,0,0,0,0,0,0,0.39983,0,0,0,0,0.06098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3490_SGB4664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44602,0,0,0,0,0,0,0,0.04219,0,0
"GGB3532_SGB4720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9770_SGB15390",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00834,0,0,0.01981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9210_SGB14150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9724_SGB15278",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_thermophilus",0.00974,0,0,0,0,0,0.00117,0,0,0,0,0,0.219,23.81549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52133,0,0,0,0,0,0,0,0,0,0,0.03986,0,0,0,0,0.05651,0,0.69674,0,0,0.03876,0,0.61042,0,0.00865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06603,0,0,0,0,0,0,0
"GGB9522_SGB14921",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4706_SGB6513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_SGB14036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02264,0,0,0,0
"Candidatus_Metalachnospira_gallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4699_SGB6502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36899,0,0,0,0,0,0
"Vescimonas_fastidiosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,2.0895,0,0,0,0.05852,0.49938,0,0.46585,0.26709,0.02677,0.14123,0.18962,0,0.0445,0.07191,0,0,0,0,0.09152,0,0.13507,0,0,0,0,0.45636,0,0,1.11402,0.18801,0,0.04281,0,0.02676,0,0.02788,0.05695,0,0,0.03413,0,0.11285,0,0.02602,0,0,1.28302,0,0.35057,0,0.11872,0,0,0.06428,0.66482,0.10776,0,0,0.01529,0,0,0.00911,0,0,0.0025,0,0,0,0,0,0.40909,0.0148,0.55646,0
"GGB9765_SGB15382",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04189,0,0,0,0,0,0,0,0,0,0,0,0,0.12884,0,0,0,0,0,0,0,0,0,0,0,0,0.00594,0,0,0,0,0.13963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_SGB14990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Woodwardibium_SGB14954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36396,0,0,0,0,0,0,0,0,0,0,0,0,0.02721,0,0,0,0,0.37025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0,0.00476,0,0,0,0,0,0,0,0,0.01065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02775,0,0,0,0,0.11841,0,0,0,0,0,0,0,0.00642,0,0.00099,0,0,0,0,0.00399,0,0,0,0,0,0,0.15838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium_SGB6370",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Heteroscilispira_lomanii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Pseudolachnospira_avium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4745_SGB6571",0.37021,0,0.00037,0,0,0,0,0,0,0,0,0,0,0,0.15029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74924,0,0,0,0,0,0,0,0,0,8.55874
"Eubacteriales_unclassified_SGB15145",0.02665,0,0,0,0,0,0,0,0.05756,0,0,0,0,0,0.00167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192,0.00804,0,0,0.04292,0,0,0,0,0,0.22312,0,0,0,0,0,0,0,0.02982,0,0,0,0,0,0.0208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Avispirillum_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Flemingibacterium_merdigallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Heteroclostridium_caecigallinarum",0.00054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3446_SGB4597",0,0,0,0,0,0,0,0,0,0.0139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06991,0,0,0,0,0,0,0,0,0,0.08251,0,0,0,0.01147,0,0,0,0.08316,0,0,0,0,0,0,0,0,0.09992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB77437_SGB9391",0,0,0,0,0,0,0,0,0,0.06034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743,0,0,0
