"","train_4034","train_4036","train_4038","train_4041","train_4042","train_4047","train_4053","train_4055","train_4058","train_4059","train_4060","train_4061","train_4062","train_4064","train_4067","train_4069","train_4080","train_4116","train_4121","train_4125","train_4128","train_4129","train_4131","train_4132","train_4135","train_4144","train_4145"
"Adlercreutzia_equolifaciens",4e-04,0.05845,0,0.1932,0.00179,0.0739,0,0.00112,0,0.00931,0.09604,0.10234,0.0692,0,0.15229,0.02521,0,0.49119,0,0.01951,0.25546,0.0193,0.03225,0.05206,0.01857,0.17887,0
"Alistipes_onderdonkii",0.00693,0.00158,0,5.7427,0,0.0282,0,0,0,0.09187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0.0015,0,0,0,0,0,0,0,0,0,0.01219,0.30165,0.02943,0,0.00548,0,0,0,0.01948,0.19642,0.00497,0,0,0.00638,0,0
"Hungatella_hathewayi",0.00442,0,0.74476,0.19267,0,0.01934,0.01563,0.08399,0.06245,0.0033,0.02034,0.01624,0.00804,0,0.00142,0.0091,0.17276,0.03888,0,0.00588,0.12777,0,0.01645,0.00602,0.01382,0.0415,0.03159
"Bilophila_wadsworthia",0.18703,0.35119,0.53895,0.52387,0.16143,0.20376,0.52076,0.34392,0.90699,0.16159,0.31356,0,0.32737,0,0.0053,0.09185,0.31134,0.08489,0.59518,0.10568,0.0883,0.05098,0.31515,0,0.08042,0.06949,0.55408
"Holdemania_filiformis",0,0.0115,0.33682,0,0.09326,0.01939,0,0.53739,0,0.02064,0.06722,0.00029,0.04905,0,0.0093,0.30816,0,0,0,0.23333,0.01213,0,0.08151,0.25173,0.29075,0.0312,0.10239
"Intestinimonas_butyriciproducens",0.01156,0,0.01219,0.11923,0,0,0,0.00824,0,0.02672,0.72228,0.00891,0,0,0.00921,0,0,0.01757,0,0.5668,0,0.01636,0.00974,0.25027,0.01455,0.02018,0
"Gordonibacter_pamelaeae",0.01023,0.00106,0.1391,0.23631,0.06953,0.02178,0,0.22186,0.0274,0,0.07168,0,0.01296,0,0.01517,0.03151,0.0312,0.20975,0.04122,0.13608,0.02342,0.00156,0.07904,0.01265,0,0.01101,0.06586
"Parvimonas_micra",0.00253,0.00425,1.03801,0,0.01951,0.13464,0,0,0,0,0,1.28012,4.15136,0,0,0,0.01684,0.27975,0,0.23588,0.10156,0,0.07654,1.3146,0.25909,0,0.10842
"Collinsella_stercoris",0.01072,0.01004,0.07617,0,0.00536,0.44265,0,0.05788,0.03723,0.02323,0.08151,0.00484,0.06454,0.0091,0.04841,0.01728,0.00778,0.01154,0.03626,0.04416,0.03196,0.01577,0.01406,0.04727,0.01247,0.01602,0.16431
"Eubacterium_sp_CAG_274",0,0,0.04144,0.70041,0,1.03382,0,0,0,0,0.08924,0,0,0,0,0.01768,0,0,0,0.03403,0.00239,0.17727,0.03204,0.02936,0,0.54242,0
"Anaeromassilibacillus_sp_An250",0.00543,0,0,0.00355,0,0,0.00726,0.0179,0,0,0.14102,0.07213,0.0643,0,0.07594,0.40322,0,0,0,0,0.07964,0,0.00513,0.00282,0.02196,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00057,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0.14067,0.01761,0.35415,0.04458,0.02155,0,0,0.02149,0.37691,0.00622,0.20434,0,0.09942,0,0.00233,0.0355,0,0.02551,0,0.27266,0,0,0.00836,0.00662,0.00161,0,0.27194
"Roseburia_sp_CAG_471",3e-04,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0,0,0.04349,0,0,0,0,0
"Gemella_morbillorum",0.00255,0.01486,0.1809,0,0.16908,0.08558,0,0.0264,0.00236,0.00257,0,0.07132,0.67332,0,0,0,0.04168,0.03735,0,0.01346,0.08645,0,0,0.02399,0.11803,0.00443,0.03955
"Collinsella_intestinalis",0.00066,0.00338,0.03336,0,0,0.2715,0.00483,0.01934,0.00539,0.00693,0.0813,0.03448,0.13414,0.00326,0.01124,0.00413,0.00384,0.00277,0.01396,0.01208,0.01305,0.00314,0.02548,0.01523,0.01232,0.00754,0.30877
"Streptococcus_milleri",0.00476,0,0.00454,0,0,0.0081,0,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0.00522,0.01295,0,0,0.00055,0,0,0,0,0.00075,0.03431,0.00485,0.06806,0,0.03351,0.03359,0,0.00427,0,0,0.02606,0,0,0.20173,0.01177,0,0
"Atopobium_rimae",0,0,0.01194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0.02788,0,0.43253,0.24603,0.01347,0,0.01703,0.08931,0.13244,0,0.11299,0.03956,0,0,0,0,1.31649,0,0.00406,0.09438,0.14644,0,0.03557,0.00817,0.00736,0.00059,2.14241
"Enterorhabdus_caecimuris",0,0.00277,0.00321,0.01343,0,0.00123,0,0.00251,0,0,0.00351,0.00282,0,0,0.00361,0.00138,0,0.0148,0,0.00067,0.01595,0,0.00043,0.00349,0,0.00333,0.00132
"Firmicutes_bacterium_CAG_170",0,0.21693,0,0,0,0,0,0,0,0.01306,0,0,0.01114,0.78359,0,0,0,0.94013,0,0,0,0,0,0,0,0.01031,0
"Bifidobacterium_adolescentis",0.00352,0.00114,0.138,0,0.05708,0,0.12963,7.80956,0,0.02874,0.00249,0.16191,4.13056,0.7197,6.49191,2.78817,0,0,0,5.74413,0,0,0,0,0,0.01472,5.01412
"Lactobacillus_salivarius",0.14918,0,0,0,0,0,0,0.04304,0.03473,0,0,0,0,0.01116,0,0,0,0,0.57488,0,0.02091,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,3.72272,0,0,0.02903,0,0,0,0,0,0,3.24366,0,0.27367,1.16343,0,0,0,0,7.96256,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0,0.05434,0,0,0,0,0,0,0,0.11791,0,0,0,0,0,0,0,0.01929,0,2.81524,0,1.4502,0,0,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0.00208,0.00682,0.00098,0,0,0.01963,0,0,0,0,0,0,0.02513,0.04254,0,0,0,0.016,0.00281,0,0,0.0026,0,0.02578,0.01567,0,0
"Bifidobacterium_longum",0,0,1.19127,0.09853,0.05681,0,0.09616,4.92182,0.03585,0.00198,0,0.05017,0.92791,0.08873,1.11677,1.26836,0.36769,0,13.27354,1.83199,3.7302,0.02567,0.00034,0.00175,0.01682,0.06063,3.55257
"Lactobacillus_paragasseri",0.31343,0,0,0,0,0,0,0.00105,0,0,0,0,0,0.00896,0,0,0,0.00709,0.06239,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00944,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6e-04,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0.00371,0,0,0,0,0,0,0,0.69386,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0.01231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0.07569,0,0,0.00437,0.01275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01401,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58669
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0,0.00022,0,0,0,0,0,0,0,0,0.40861,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00286,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0.06893,0.11881,0.0056,0,0,0,0,0,0,0.40832,0,0,0.12853,0,0.26779,0.01137,0,0.92282,0,0.22593,3.19523,0.01212,0,0.01835,0.58131,0.17567,0
"Barnesiella_intestinihominis",0,0.22409,0.00192,0,0,4.15678,0.07492,0,0,0.37456,1.16022,1.69722,1.52841,0,0,3.4425,0,1.37009,0,1.98511,0,0.11142,0,0,0.03033,0,0.10997
"Bacteroides_eggerthii",0.02583,1.44663,0,0,0,0,0.26705,0,0.00172,0.06373,0,0.0033,0,0.00946,0.10857,1.82729,0,0,0.00302,18.76405,2.08365,0.44455,4.02879,1.30683,0.08027,0,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92228,0,0,0,4.75211,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00792,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.64135,0,0.04738,0,0,0,0,0.02243,0,0,0,0,0,0,0,0,0.25004,0,0,0,0.35072,0,0.09935,0,0.16012,0,0
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,7e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0.14829,0,0,0,0,0,0,0,0.00163,0,0.00195,0.13102,0,0,0.01437,0,0,0,0.18987,0.00133,0.10319,0,0,0.35123,0.36565,0
"Alistipes_indistinctus",0.05417,0.00295,0.01672,0,0.04296,0.01021,0,1.08675,0,0,0.44438,0.1709,0.06427,0,0.25731,0.01414,0.15272,0.70312,0,0.0511,0.15473,0,0.03309,0.23503,0.15761,0.08079,0.18532
"Butyricimonas_synergistica",0,0.08709,0,0,0,0.00381,0.05555,0,0,0.00332,0,0.00054,0.05296,0,0,0,0.00014,0.00481,0,0,0.25943,0,0,0.02996,0.00337,0.01264,0
"Clostridium_sp_CAG_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0.13268,0.02747,0.04512,0,0,0,0,0,0.00204,0,0,0,0,0.01436,0.00568,0,0,0,0.05462,0.00755,0,0,0,0.01704,0,0.01394,0.069
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0,0.00337,0,0,0.00351,0,0.00822,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0.03831,0.1404,0.24288,0,0.00572,0.00429,0.00821,0.00298,0.04409,0.00153,0,0.00339,0.14961,0.00166,0.01227,0.00114,0.00692,0.00667,0.00171,0,0,0.00611,0,0.02581,0,0.00926,0.02635
"Clostridium_leptum",0.00839,0.00146,1.78822,0.00425,0,0.01884,0.00952,0.0626,0,0.91523,0.02663,0.09396,0.26537,0.00227,0.16946,0.24337,0,0.0037,0,0.05099,0.32156,0.01232,0.01483,0.10636,0.00878,0.00241,0.00655
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",0.50263,0,0.00064,0,0,0,0,0,0,0,0,0,0,0,0,0,1.50718,0,0,0,0.00899,0.00845,0.00496,0,0.04288,0,0
"Clostridium_citroniae",0.00389,0,0.03235,0.09324,0.02088,0.00206,0.14486,0.08465,0.17643,0.06201,0.00383,0.02478,0.00215,0,0.00171,0.02489,0.23972,0,0.04713,0.0859,0,0,0.02275,0,0.00534,0.01871,0.09192
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00483,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0,0.00621,0.00249,0,0,0,0.01048,0.00156,0,0.00182,0.0012,0,0.24852,0.16358,0.00104,0.16556,0,0,0,0.00059,2.53775,0.0379,0,0.00166,0.00628,0,0.00083
"Bacteroides_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Victivallis_vadensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_faecium",1.60321,0.00815,1.28389,1.37626,0,0.54698,0.57834,0.05056,0,0.26829,0.74912,0,1.97915,0,0.12163,0.09653,2.03902,0.70673,0,0.79323,0.35633,0.47791,0.01206,0.01793,0.01821,0.04312,3.76096
"Bacteroides_clarus",0,0,0,0,0,0,0,0,0,0.02108,0,0,0,0,0,0,0,0,0,0,0,0.00523,0,0,0.10041,0,0
"Actinomyces_odontolyticus",0.00367,0.00396,0.01827,0,0,0,0,0,0.00144,0,0.00029,0,0,0,0.00327,0,0,0,0,0,0.00429,0,0,0,0,0,0.00466
"Turicimonas_muris",0.07391,0,0,0,0,0,0,0,0,0,0.00372,0,0,0,0,0,0.04406,0,0,0,0.03633,0.00149,0,0,0.02779,0,0
"Bacteroides_nordii",0,0,0.06721,0,0.00481,0.00173,0.00093,0,0.11926,0.00018,0.00449,0.00074,0,0,0.00092,0.00046,0.05419,0.00752,0,0.00199,0,0,0,0,0.02009,0,0.00088
"Parabacteroides_goldsteinii",0.32815,0.05902,0,0,0,0.22709,0,0.01966,0,0,1.03997,0.01814,0.04377,0.03497,0.11447,2.44084,0,1.32666,0,0.02189,0.06099,0.02362,0.09558,0.43292,0,0.06354,0.01963
"Clostridium_bolteae",0.01189,0,0.63387,1.58755,0.03387,0.02273,0.04212,0.22354,0.20178,0.00323,0.02248,0.01592,0,0,0.02673,0.01746,0.0042,0.0312,0.38944,0.05327,0.07376,0,0.03801,0.04634,0.02211,0.00139,0.10517
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,1.0493,0.94027,0,0,0,0,0,0,0.26049,0.11929,0,0.3842,0,0.01039,0,0,0.1258,0,4.29306,1.02816,0.43922,3.37553,0.07206,0,0.28017,0
"Bacteroides_faecis_CAG_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0.22896,0.007,0,0.01172,0,0,0.01832,0,0,0.00838,0,0,0,0.05485,0,0,0.1055,0.00304,0.00351,0.0115,0,0.02685,0,0,0,0,0.01126
"Bacteroides_plebeius",0.00308,6.1106,1.52728,0,0,0,0.00092,0.00073,0,2.34455,0.70127,0,0.44696,0.22085,0.30005,0,0,0,0,2.96362,1.7615,0.00376,7.97246,0.15725,3.68682,0,0
"Oxalobacter_formigenes",0,0,0.00401,0,0,0,0,0.01359,0.10584,0,0.34731,0.08202,1.69438,0,0.05248,0.16711,0,0,0,0,0.15079,0.1217,0,0,0,0,0.02877
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0688,0.04017,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06693,0,0,0.00376,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0.00697,0.01453,0,0,0,0.05837,0,0,0,0.07575,0,0,0.01316,0.01603,0.0574,0,0,0,0,0,0,0,0.01335,0,0,0,0
"Paraprevotella_clara",0,0.11569,0,0,0,0,0,0,0,0,0,0,0,0,0.00544,0,0,0,0,0.12927,0,0.01815,0,0,0,0,0
"Sutterella_parvirubra",0,0,0,0,0,0.07087,0,0.03144,0.16196,0.03195,0,0.00199,0,0.09481,0,0,0,0.00401,0,0,0,0,0,0,0,0,0.09832
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0.01374,0.00478,0,0.00247,0,0,0,0,0.00021,1.08288,0.20479,0.38639,0,0.01232,0,0,0.52854,0,0.00642,0.10072,0,0.02088,0.16474,0.22472,0,0.17965
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,3.34375,15.5432,0,5.69517,0.00472,0,4.50323,0.66818,5.10662,0,0,0,0,0,2.27723,3.85179,0,0,0,2.16604,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",13.9524,0.15043,2.06525,0.06027,0.94196,0.1531,0,0,0.35038,0.03449,0,0,0,0.00211,0,0.31325,0,0,0,0.0044,0.00961,0.00593,0,0,0.0114,0,0.6058
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0.03303,0.03281,0.03481,0,0,0,0,0.00865,0.04249,0,0.00383,0,0,0.04055,0,0,0,0.00504,0.07778,0,0,0,0,0.01004,0,0,0.01218
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01962,0,0,0
"Bifidobacterium_pseudocatenulatum",0.00704,0.11488,0.22821,0.00501,0.07102,1.12541,0.1323,0,0.0521,0,0,0,1.02184,0.01608,0.17694,0.99221,0,0,0,0.4917,0,0.00156,0.0167,9.64743,0.00668,0,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,3.39015,0,0,0,0,0,0,0,0.37935,1.10525,0,0,0.05492,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_145",0,0,0,0,0,0,0,0,0.13904,0,1.45638,0.00025,0.28444,0,0,0.09344,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0.00035,0,0,0,0,0,0,0,0.00261,0.00252,0,0,0,0.25326,0.04863,0,0,0,0.00212,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0.00169,0,0,0,0,0.01265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,2.08639,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0.00354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0.03651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0.17997,0,0,0,0,0.05171,0,0,0,0,0,0,0,0,0,0,0,0,0.00215,0,0,0,0.00892,0,0,0,0
"Eisenbergiella_massiliensis",0.00157,0,0,0.17359,0.01588,0,0,0.06973,0,0,0,0.00074,0.00523,0,0,0.00137,0,0.12438,0,0,0.00226,0,0.0154,0.70678,0.05262,0,0.15778
"Clostridium_sp_CAG_242",0.00492,0,3.83597,0,0,0,0.03546,0.04201,0.0361,0.1771,0,0.89281,0.20966,0.02053,0,0.71128,0,0.60788,0,0,0.49687,0.11613,1.41318,1.1094,0.58824,0,0
"Prevotella_sp_AM42_24",0,0,0,0,0,0,0,0,0,1.80111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,0,0,0.0076,0,0,0,0,0
"Megasphaera_elsdenii",0,0,0.52898,0,0,0.22025,0.3733,2.0029,0,0.34486,0,0,0.0382,0.13535,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",0,0,0.00178,0,0,0,2.51898,0,0,0.26767,0,0,0,2.27527,1.18878,0.00067,0,0,0,0,1.80442,0,0,0.05033,0.06688,0,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0,0,0,0,0,0,1.46898,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0.02267,0,0,0,0,0.02516,0,0,0.00461,0,0,0,0,0.00314,0,0,0.01482,3.68914,0,0,0
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04445,0,0,0,0,0,0,0,0.09788,0,0.07132,0.01303,0
"Enorma_massiliensis",0,0.00121,0.00835,0,0,0.00405,0,0.01102,0.00359,0.00106,0.00964,0,0.0326,0,0.00629,0.00731,0.00111,0.00054,0.00511,0.00272,0.00912,0.00116,0,0.00912,0.04072,0.00344,0.00871
"Anaerotignum_lactatifermentans",0.14159,0,1.60986,0,0.1642,0,0,0,0,0,0.05422,0,0,0,0,0,0.32882,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0.00016,4.71764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0,0,0,0.02536,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11987,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0,0,0,0,0.00125,0,0,0,0,0.00511,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_299",0,0,2.24979,0.15436,0.02596,0.096,0.2857,0,0,0,0.08462,0,0,0,0,0.00418,0,0,0,0,0,0,0.35973,0,0,0,0
"Anaerofilum_sp_An201",0,0,0.00196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01032,0,0
"Cloacibacillus_evryensis",0,0.00517,0,0,0,0,0,0.03996,0,0,0.11723,0.04983,0.14366,0,0.00363,0.24621,0,0.00086,0,0.01393,0.03036,0,0,0.00256,0,0.00803,0.0533
"Enterococcus_hirae",0,0,0,0,0.20812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0,0,0,0.05195,0,0,0.03188,0,0,0,0.02779,0,0,0,0,0.00167,0,0,0,0,0,0,0.13142,1.12654,0,0
"Pseudomonas_aeruginosa_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00017,0,0,0,0,0,0,0,0,0.19304,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,0.00191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158,0.03877,0,0
"Dialister_succinatiphilus",0.00139,4.75868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0,0.03244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01715,0,0,0.02655,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0,0,0.00697,0,0,0,0,0.22615,0,0,0,0.03619,0.00017,0,0,0,0,0,0,0.00487,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31789,0,0
"Butyrivibrio_crossotus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00116,0,0,0,0,0,0,0,0,0
"Dielma_fastidiosa",0,0.00056,0.15196,0,0.0037,0,0.02147,0.01466,0.05913,0.01998,0,0,0,0,0,0,0,0,0,0.02357,0,0,0.0082,0,0.00615,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
