"","train_1385","train_1391","train_1430","train_1432","train_1444","train_1691","train_1693","train_1733","train_1738","train_1741","train_1766","train_1770","train_1772","train_1775","train_1795","train_1797","train_1798","train_1799","train_1801","train_1840","train_1863","train_1872","train_1882","train_1888","train_1898"
"Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0.00988,0.00282,0,0,0.0207,0,0,0,0,0,0,0,0.58466,0,0,0.02177,0
"Roseburia_sp_CAG_471",0,0,0,0.00099,0,0,0,0,0,0,0.00488,0.12277,0,0.09913,0,0,0,0,0,0,0,0,0.01274,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0,0,0,0.0016,0,0.00174,0,0,0,0,0,0,0,0.00419,0,0,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0.00166,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01066,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0.00576,0,0,0,0.14022,0,0,0,0,0,0,0,0,0,0,0.13158,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0.00151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0.05685,0.04518,0.05744,0.04593,0.82641,0,0,0,0.11659,0.19492,0.00694,0.84333,0,0,0,0.75354,0.0546,0,0,0,0,0.19562,0,0
"Bifidobacterium_adolescentis",0.02015,0.02605,0.25278,0,2.9139,1.89105,0.52819,1.15378,0,0,0,0,0.07783,2.16236,14.49082,0.37346,0.30907,0,0.5777,1.19227,0,0,0.28954,0,5.03887
"Lactobacillus_salivarius",0,0,0,0.12696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094,0,0,0,0,0
"Methanobrevibacter_smithii",0,0.20018,0.00641,0,0.1401,0.23518,0,0.0093,0,0.05446,0,0,0,0,0,0,0,0.04466,0,0.15087,0,0.07452,0.02445,0,0
"Coprobacter_fastidiosus",0,0.09134,0.15894,0,0,0,0.19993,0.12768,0,0.37583,0,0.50673,0,0.02459,0.01763,0,0,0,0,0,0,0,0,0.24667,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0.03468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0.24248,0.01794,0,0,0.67661,0.39729,0,0.27492,0,1.17551,0,0,0.19095,0.6814,1.07386,0.8827,0.24527,0,0.09627,0.52409,0.47234,0.25679,0.03294,0.15464,0.75372
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0.01649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02141
"Lactobacillus_delbrueckii",0,0,0,0,0.00972,0,0,0,0,0,0,0.00156,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0.07505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01305,0,0.02345,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0.13237,0,0.26848,0,0,0,0,0,0,0,0.02842,0,0,0,0,0,0,0.12132,0,0,0,0,0
"Barnesiella_intestinihominis",0,2.18019,5.2026,0,0.09074,1.7406,1.65213,1.06076,0,0,0.12297,0.02694,3.95325,1.1983,0.04873,1.47119,2.1528,0,0.26174,0.02972,1.7575,0.95535,0.05967,1.75694,0.17931
"Bacteroides_eggerthii",0,0.60826,0,0,0.00652,0,3.98898,0.27973,0,0,0,0.23248,0,0,0.00568,0,0,0,0.11808,0.45601,0,0,0,3.20902,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07798,0,0,0
"Roseburia_sp_CAG_309",0,0,0.05049,0,0,0.01677,0.27057,0,0,0,0.19112,0.05394,0.00314,0,0,0,0.00511,0.01935,0,0.49739,0,0,0,0,0
"Parasutterella_excrementihominis",0,0,0.10761,0,0.00216,0.25791,0.02342,0.07731,0,0.0205,0.21376,0,0.02509,0,0,0.65062,0.06884,0,0,0,0,1.43961,0.01047,0.07884,0.13854
"Roseburia_sp_CAG_182",0,0,0,0,0,0.05146,0,0,0,0,0,0,0,0,0,0,0,0.47144,0.00922,0,0,0,0.00597,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0.30245,0.01425,0.69881,0,0.05473,0.01188,0.12369,0.0413,0.29101,0,0,0.0202,0.01718,0.27155,0.10773,0,0.64069,0,0.02264,0,0,0
"Alistipes_indistinctus",0.00779,0.3782,0,0,0.01408,0.18601,0,0.00181,0.0177,0.09803,0,0,0.16431,0.01125,0.01737,0,0,0,0,0.00054,0,0.02725,0.06088,0.03397,0
"Butyricimonas_synergistica",0,0.02421,0.28171,0,0.0143,0.00462,0,0.09936,0,0,0,0,0,0,0.01298,0,0,0,0.08613,0.00274,0,0.02672,0.00191,0.09149,0
"Clostridium_sp_CAG_167",0,0.24088,0,0,0.0372,0.0499,0.02047,0,1.67142,0.06267,0,0,0.01561,0.03283,0,0,0,0.34409,0,0.06608,0,0.63484,5e-04,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_secundus",0.02381,0.03444,0.04045,0,0,0.00555,0,0,0,0,0.05732,0.02485,0.0122,0,0,0,0,0,0,0,0,0,0,0.05898,0
"Gemella_sanguinis",0,0,0,0,0.01025,0,0,0,0,0,0,0.00266,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0.07891,0.01157,0,0,0.00071,0.04954,0,0.00534,0.11935,0,0,0.01935,0.02457,0.00056,0.08181,0.02253,0,0,0.00637,0.00532,0,0,0,0
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0.00349,0,0,0,0,0,0.01509,0,0,0,0.00264,0,0,0,0.00759,0
"Proteobacteria_bacterium_CAG_139",0,0,0,0,0,0.02153,0,0,0,0,0.01046,0,0,0,0,0.0478,0.00115,0,0.01709,0,0,0.64318,0.02126,0.009,0
"Clostridium_citroniae",0.01388,0,0,0,0,0,0,0,0.00685,0.01494,0,0,0,0.01288,0,0.02249,0,0,0.0404,0,0.04455,0,0,0.06105,0
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0,0.01237,0,0,0,0,0.00663,0,0,0,0,0,0,0.008,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0.00767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0.00231,0,0,0,0.00631,0.00414,0,0,0,0.00187,0,0,0.00375,0,0.00283,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis",0,0,0,0,0.30579,0.09649,0,0,0,0,0,0,0,0,0.6115,0,0,0,0.01243,0,0.0146,0,0,2.12828,0
"Victivallis_vadensis",0,0.00246,0,0,0,0.03591,0,0,0,0.28836,0,0,0.29607,0,0.00911,0,0,0,0,0.15087,0,0.18509,0.01123,0,0
"Phascolarctobacterium_faecium",0,0,1.60474,0,0,0,0,0.00699,0,0.51403,0,0,0,0.9416,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_clarus",0,0.03149,0,0,0,0,0,0,0,0,0.12575,0.02855,0.14027,0,0,0,0,0,0,0.01543,0,0,0,0,0
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Turicimonas_muris",0,0.1817,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02021,0,0,0,0,0,0.14363,0,0.00633,0.00793
"Bacteroides_nordii",0,0,0,0,0,0,0,0,0,0.01549,0.00106,0,0,0.00159,0,0,0,0,0,0,0,0.04223,0,0,0
"Parabacteroides_goldsteinii",0,0.55072,0.0359,0,0,0.28642,0,0,0,0.0916,0.57927,0,0,0,0,0,0,0,0,0.06545,0.0957,0,0,0,0
"Clostridium_bolteae",0.05505,0.02038,0,0,0,0,0,0,0,0.01978,0,0,0.43534,0,0,0.00209,0,0,0,0,0.00877,0,0,0.14073,0
"Anaerotruncus_sp_CAG_528",0,0,0,0,0.13318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,0,0.0996,0,1.88693,0,0,0.16244,0,0,0,0,0.01985,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis_CAG_32",0,0,0,0,0,0.33419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,0,0.49464,0,0,0.02994,0,0.00326,0.00262,0,0,0,0.10402,0,0,0.02717,0,0.02533,0,0,0,0,0,0
"Bacteroides_plebeius",5.01789,1.33942,0.89716,0,1.20269,0.15971,0,0,0,0,0,0,0,27.60529,0.39425,0,0,0,0,3.3484,0,0,0,17.03118,0.99076
"Oxalobacter_formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26395,0,0,0,0,0,0.10512,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0.38511,0,0,0,0,0,0,0.07787,0,0,0,0,0,0,0,0,0.08275,0,0
"Bacteroides_coprophilus",0,0,0.10375,0,0,0,0,0,0,0,0,0.46065,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0.02395,0,0,0,0,0,0.10265,0,0,0,0.10553,0,0,0,0.04819,0.00392,0,0.03712,0.01291,0.02153,0.05573
"Paraprevotella_clara",0.06338,0,0,0,0,0,0,0,0,0,0,0,0.00551,0,0,0,0,0,0,0.02127,0,0,0,0,0
"Sutterella_parvirubra",0.15637,0,0.00303,0,0.07975,0,0.03179,0.05336,0,0,0.03416,0.12269,0.00874,0.14559,0.06339,0,0,0,0.10358,0.05928,0,0,0,0.14531,0.12935
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70823,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09803,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,7.61165,0,0,21.38848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,1.51532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0.02503,0,0,0,0,0,0,0.05366,0,0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0,0,0.02272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0.17588,0,0,0.04764,0,0,0,0,0,0.6294,0.06247,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0.48248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00567,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0.10871,0,0.46058,0.38143,0,0,0,0,0,0,0,0,0.56512,0.01904,0,0.23343,0,0,0,0,0.6244,0,0,0
"Prevotella_sp_CAG_1185",0,0.03627,0,0,0,0,0,0.14961,0,0,0,0,0,0,0.00427,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,1.05933,0,0,0,0,0,0,0,0,0,0,0,1.50825
"Firmicutes_bacterium_CAG_145",0,0,0.00229,0,0,0,0,0,0,0.07759,0,0,0,0,0.00758,0,0,0,0,0,3.64906,0,0,0.20744,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0,0,0,0.32033,0,0,0,0,0.00488,0,0,0.02898,0,0,0,0.00301,0,0.06996,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1092",0,0,0,1.18267,0,0,0,1.04945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0.03301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0.00163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0.00171,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0,0.00735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00393,0.05012,0.0205,0,0.0463,0
"Clostridium_sp_CAG_242",0,0,0,0,0,0,0,0,0,0.11654,0,0,0.00976,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0,0.00282,0.95117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73123,0,0
"Butyrivibrio_sp_CAG_318",0,1.6933,0,0,2.42185,0,0,0.15591,0,0,0,0,0,0,0,0,0,0,0,0.86087,0,0,0.15058,0,0
"Alistipes_sp_An66",0,0,0,0,0,0,0,0.01603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0,0.012,0,0,0.03296,0,0,0,0,0,0.02753,0,0,0,0,0.11784,0,0,0,0,0,0
"Megasphaera_elsdenii",0,0,0,0,5.75077,0,0,0.87694,0,0,0,0,0,0,6.45515,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",1.05853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30657,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0,0,0,0.16098,0,0,0,0.32884,0,0,0,0.90551,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0,0,0,0,0.1149,0,0,0.02043,0,0,0,0.01434,0.00745,0,0,0.27474,0
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0,0.01632,0,0,0,0,0,0,0,0,0,0,0,0.01337,0,0,0,0
"Enorma_massiliensis",0.00065,0,0,0,0.02085,0,0,0,0,0.00726,0,0,0,0,0,0,0,0,0,0,0,0.02924,0,0,0
"Anaerotignum_lactatifermentans",0.18219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04786,0,0,0.45117,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,0,0,0,0,4.28048,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0.0438,0,0,0.02204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0.0275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_299",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03341,0,0,0,0,0.05402,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0,0,0,0,0,0.00062,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0.13513,0,0,0,0.02425,0,0.01823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas_aeruginosa_group",0,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_succinatiphilus",0,0,0,0,0,0,0,0,0,0,0,0,0.66005,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0.28664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0.13429,0.19301,0,2.25696,0,0,0,0,0,0,0,0,0,0,0.86413,0,0,0,0.10543,0,0
"Bacteroides_sp_CAG_530",0,0,0,2.05615,0,0,0,0,0,0,0,0,0,0,2.49402,0,0,0,0.33587,3.54347,0,0,0,0,0
"Ruminococcus_callidus",0,0,0,0,0,0.07151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0,0.06257,0.3006,0,0,0,0,0,0,0.01511,0,0.3205,0,0,0,0,0,0,0,0.53902,0,0
"Phascolarctobacterium_sp_CAG_266",0,0.62055,0,0,0,2.06674,2.25184,0,0,0,0,0,0.05738,0,0,1.85338,0,0,0,0,1.72591,0,0,0,0
"Butyrivibrio_crossotus",0,0,0,0,1.64833,9.40916,0,0,0,0,0,0,24.00751,0,0,0,0,0,0,25.35851,0,0,6.6343,0,0
"Dielma_fastidiosa",0,0,0,0,0,0,0,0,0,0.00502,0,0,0.0134,0.00846,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_924",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,0,0,0,0.75027,0,0,7.07412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01557,0,0,0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0,0,0,0,0.02239,0,0,1.58876,0,0,0,0.0368,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter_koseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_563",0,0,0,0,0,0,0,0.00531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0,0,0,0,0.03102,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00241,0,0,0,0,0.00157
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fretibacterium_fastidiosum",0,0,0.00387,0,0,0,0,0,0,0.00127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_australis",0,0,0,0,0.00271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_ruminis",0,0,0,0,0.509,0.20276,0.20558,0,0,0,0,0,0.08238,0,0,0,0,0,0,0,0,0,0.15015,0,0
"Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0,0,0.2548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0.02959,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02648,0,0,0,0,0,0
"Eubacterium_sp_OM08_24",0,0,0,0,0,0,0,0,0,0,1.07647,0.02149,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2669,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0,0,0,0,0,0,0,0,0,0.10116,0,0,0.00471,0.01483,0.00245,0.0464,0.10289,0,0.14078,0,0,0,0,0.13341,0.04418
"Hafnia_paralvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia_alvei",0,0.0813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0.0052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12407,0.00108,0,0.04336,0
"Clostridium_lavalense",0,0,0,0,0,0,0,0,0.03088,0.011,0,0,0,0,0,0.00306,0.00048,0,0,0,0.00177,0,0,0.10316,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00212,0,0,0,0,0,0
"Christensenella_minuta",0,0.00212,0,0,0,0,0,0,0,0.01008,0,0,0,0,0,0.00041,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0.08288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0,0,0,0,0,0,0,0,0.00752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06162,0
"Sellimonas_intestinalis",0.00737,0,0,0,0,0,0,0,0,0.0146,0,0,0,0,0,0.01179,0,0,0,0,0,0,0,0,0
"Clostridium_bolteae_CAG_59",0.0148,0,0,0,0,0,0,0,0,0.04858,0,0,0.00661,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54407,0,0,0,0,0
"Clostridium_sp_CAG_413",0,4.01164,0,0,5.01641,1.27765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74671
"Mitsuokella_multacida",0,0,0,0,0.0734,0.03019,0,0,0,0,0,0,0.00108,0,0.12757,0,0,0,0.79282,0,0,0,0.09402,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",0,0,0,0,0.00989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0.02093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_A12",0,0,0,0,0.00632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,5.86793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0.02821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93566,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas_hypermegale",0,0,0.01186,0,0,0,0,0,0,0,0,0,0,0.06282,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_885",0,0,0,5.01217,0,0,0,0,0,0,15.98723,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
