"","SRR5936104","ERR209404","ERR210559","ERR209286","SRR5936117","SRR5946689","SRR5947012","ERR209339","ERR210422","SRR5947029","SRR5947832","SRR5983481","SRR5947060","SRR5935936","ERR210220","SRR5936124","SRR5936229","ERR210569","SRR5947846","SRR5946757","SRR5946883","ERR210495","SRR5936200","SRR5946973","ERR209667","SRR5936084","SRR5936013","SRR5946791","SRR5935889","SRR5946725","SRR5947007","SRR5983408","SRR5946668","SRR5935811","SRR5946891","SRR5983380","ERR209223","SRR5935916","SRR5946995","SRR5935898","SRR5983325","SRR5946927","ERR209693","SRR5946940","SRR5946961","SRR5936031","SRR5935989","SRR5983437","SRR5935752","SRR5946657","SRR5946863","SRR5946862","ERR209096","ERR209069","SRR5935975","SRR5936223","SRR5946946","SRR5936035","SRR5946651","SRR5983270","SRR5935851","SRR5935833","SRR5983391","SRR5947010","ERR209433","SRR5947000","SRR5946608","SRR5983333","SRR5983418","SRR5946892","SRR5946619","SRR5946707","ERR209082","SRR5946818","SRR5983276","SRR5946829","SRR5935920","SRR5936092","SRR5935970","SRR5983277","SRR5936115","ERR209684","ERR209696","SRR5936195","SRR5936191","SRR5946962","SRR5946630","SRR5936077","SRR5936071","SRR5946800","SRR5946880","SRR5935843","SRR5947843","ERR209725","SRR5947830","SRR5935968","SRR5946751","SRR5946723","SRR5946955","ERR209300","ERR209519","ERR209405","SRR5947097","SRR5946905","ERR210591","SRR5983291","ERR210526","SRR5935789","SRR5946737","ERR209694","ERR209440","SRR5983367","SRR5936198","SRR5935941","SRR5946660","SRR5935812","SRR5947057","SRR5983327","ERR209716","ERR209745","SRR5946992","SRR5936079","SRR5936201","ERR209163","ERR210098","SRR5946612","SRR5983301","SRR5935745","SRR5947077","SRR5935771","SRR5935848","SRR5983376","SRR5947040","SRR5947090","SRR5946787","SRR5946985","SRR5946889","SRR5946799","ERR209085","SRR5947050","SRR5983406","SRR5935849","SRR5935958","SRR5983354","SRR5946844","SRR5936114","SRR5936192","SRR5946924","SRR5983403","SRR5947831","SRR5936129","ERR210531","SRR5935965","ERR209403","SRR5935953","SRR5935788","SRR5935985","SRR5946702","SRR5947017","SRR5946959","SRR5946825","SRR5946704","ERR209746","SRR5935813","SRR5946648","ERR209685","SRR5936058","ERR209764","SRR5946797","ERR209071","SRR5935923","SRR5946740","SRR5936111","SRR5946624","SRR5946762","SRR5947815","SRR5946713","SRR5936044","SRR5946845","ERR210598","SRR5946623","SRR5983282","SRR5935981","SRR5935876","SRR5946930","SRR5936197","SRR5946664","ERR209710","SRR5935768","ERR210601","SRR5935781","SRR5983422","SRR5935841"
"GGB9707_SGB15229",0,0,0,0,0,0.3755,0.02078,0,0,0,0,0,0,0,0,0,0.00415,0,0,0,0,0,0,0,0.02071,0.01019,0.10354,0.0259,0.10894,0,0,0,0,0,0,0,0.02713,0.02413,0,0,0,0,0,0,0,0,0.02663,0,0,0,0,0,0,0,0.02916,0,0.12129,0,0,0.10184,0,0.10308,0,0,0,0.01449,0.10069,0,0.04575,0,0,0,0.08726,0.13676,0.0497,0,0,0,0.14004,0,0.16158,0,0,0.01933,0.01198,0,0,0,0,0.00468,0.00831,0,0,0,0,0.01212,0,0,0,0,0.00234,0.04305,0.01995,0.01667,0,0,0,0,0,0.00983,0,0,0.05362,0,0.05759,0,0,0,0,0,0.0445,0,0.01873,0,0,0,0,0,0,0,0.12608,0,0,0,0.00134,0.05992,0.02276,0,0.02254,0,0,0.05084,0,0.01971,0,0,0,0.02208,0.00247,0,0,0,0,0.0131,0,0,0,0,0.00548,0,0,0.08372,0,0.20011,0,0,0,0,0,0.0623,0,0,0,0,0,0,0,0,0,0,0.03541,0,0.06618,0.07232,0.04559,0.0383,0,0,0,0,0,0,0
"GGB9699_SGB15216",0.4208,0.01205,0,0,0,0.23409,0.75382,0,0,0,0,0,0,0,0,0,0.00281,0,0,0,0,0,0,0,0.03018,0.07558,0.0224,0.03785,0.69116,0,0,0,0,0,0.07457,0,0,0.04451,0,0,0,0,0,0,0,0.32381,0.02833,0.14262,0,0,0,0,0,0,0.12296,0,0,0,0.02242,0.01299,0,0.05227,0.05087,0,0.04149,0,0.18202,0,0.01274,0,0,0,0.02799,0,0.09003,0,0,0,0,0,0.04411,0,0,0,0,0.17238,0,0,0,0.00796,0,0.02747,0,0.22648,0,0.03259,0.01606,0,0,0,0,0.02481,0.00349,0.02981,0,0.00291,0,0,0,0.00667,0.00139,0,0.23033,0,0,0,0,0,0,0.05638,0.02775,0,0.01866,0,0,0.43391,0,0.16495,0,0.04558,0.43973,0.16784,0,0,0,0.04086,0.00465,0,0.00462,0,0,0.01814,0,0.05999,0,0,0,0.01535,0.36372,0,0,0,0.08425,0.00881,0,0,0,0,0.01378,0.12814,0,0.05737,0.03973,0.0949,0,0,0,0.07726,0,0.0397,0,0,0,0,0,0,0,0,0,0,0.18116,0,0,0.04659,0.0308,0.00996,0,0,0,0,0,0.03745,0
"Faecalibacterium_SGB15315",0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04601,0,2.22413,0.05516,0,0,0,0,0.00442,0,0.74706,1.02596,0,0.0037,0,0,0,0,3.11564,0.05477,0,0.008,0,0,0.00171,0,0,0,0,0.00045,0.08182,0.52401,0,0,0,0,0,0,0.03519,0,0.13971,0,0.04489,0.49856,0,0.08476,0,0,0,0.01292,0,0,0.40444,0,0,0.01393,0.05817,0.14878,0.19946,0,0,0,0.91147,0.04665,0.58177,0,0,0.04543,0.35721,0,0,0.00898,0,0.06545,0.13227,0.34611,0,0,0,0.01138,0.01484,0.18949,0.09813,0.02043,0.00113,0,0.03306,0.09253,0.08525,1.32788,0,0,0,2e-04,0,0,0,0,0.24087,0,0,0.03276,0,0,0.52779,0,0.00324,0,0,0,0.31673,0,0.00063,0.6129,0.06053,0.03236,0,0,0.02237,0.2534,0.35442,0,0.00488,0,0,0,0,0.00443,0.06553,0.06349,0,0.20101,0.01069,0.00039,0,0,0.00116,0,0,0,0,0.02371,0.07902,0.11469,0,0.0207,0,0,0,0,0.23792,0.06967,0,0.0548,0,0,0,0,0.04509,0,0,0,0,0,0.01007,0.1635,0.10547,0.02371,0.15173,1.65823,0,0,0.09435,0,0.0172,0,0
"GGB9766_SGB15383",0,0,0,0.00106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01631,0,0.01373,0,0,0,0,0.00944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0,0,0,0,0,0.04355,0,0,0,0,0,0,0,0,0,0,0,0.01066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02375,0,0,0,0,0,0,0,0,0,0,0,0,0.00026,0,0,0,0,0,0,0,0,0,0
"Clostridiales_bacterium",0.46808,0,0,0,0,0.01324,0.2911,0,0,0,0,0.71878,0,0,0,0,0.01539,0.72324,0.11968,0.0293,0,0,0,0,0.02401,0.40731,0.01309,0.03229,0.04429,0.27424,0,0.03181,0,0,0.11288,0,0,0.0138,2.14119,0,0.04782,0,0.15441,0,0.5122,0.5585,0.00039,0,0,0.19164,0,0,0,0,0.18419,0,0.05819,0.49546,0.02746,0.00719,0,0.02108,0.49659,0,0.00661,0.01637,0.22874,0.02823,0.00747,0.78598,0,0.29765,0.01497,0.12784,0.01677,0.02885,0,0,0.01825,0.03696,0.01481,0,0,0.00474,0,0,1.61678,0,0,0.0129,0,0.44994,0,0,0,0.06631,0.02544,1.16192,0,0,0,0,0,0.00875,0,0,0,0,0.04605,0.0491,0,0.01678,0.01426,0,0.02884,0.41187,0.0984,0.07878,0.48155,0.0626,0.034,0,0.03982,0,0,0.03806,0.39731,0.01093,0,0.11701,0.07027,0.01018,0,0,0,0.04032,0.00812,0,0,0,0.12839,0.10079,0.3944,0.07938,0,0.00173,0.28065,0.04657,0.00502,0.60313,0,0,0.2996,0,0,0.08718,0.03969,0.0338,0.02513,0.03669,1.32888,0.05986,0.05576,0.00123,0.01855,0,0,0,0,0.04086,0,0.27065,0,0,0,0.29538,0.21023,0,0,0,0.09264,0.00432,0.14864,0.01042,0.02381,0,0,0.19847,0.08421,0,0,0.20883,0
"Ellagibacter_isourolithinifaciens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01185,0,0,0,0,0,0,0,0,0.0606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9712_SGB15244",0,0.08027,0,0.15337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09096,0,0,0,0,0,0,0,0,0,0,0.00252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05378,0,0,0,0,0.0502,0,0,0,0,0,0,0,0,0,0,0.01021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02186,0.1077,0,0,0,0,0,0,0,0.01611,0,0,0.01618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04865,0,0,0,0,0,0,0,0,0,0,0,0,0.00112,0,0,0.03469,0,0,0,0,0,0,0,0,0,0,0,0,0.00738,0,0,0,0,0,0,0,0,0,0
"GGB9760_SGB15373",0,0,0,0,0,0,0.06031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00624,0.30479,0,0,0,0,0,0,0,0,0,0,0,0.00344,0,0,0,0,0,0,0,0,0,0,0,0.01565,0,0,0,0,0.0063,0,0.08616,0,0.05128,0,0,0,0.03947,0,0,0,0,0,0.01058,0.00515,0,0,0,0.00072,0.05535,0,0,0,0,0,0,0.01466,0,0,0,0,0,0,0.00124,0,0.00019,0,0,0.00058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00517,0,0,0,0,0,0,0,0,0.0126,0.07826,0,0,0,0,0,0.01121,0,0,0,0,0.00217,0,0.02425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00145,0.0485,0,0.062,0,0.00526,0,0,0,0.05651,0,0.02479,0,0,0,0,0.16105,0,0,0,0,0,0.00411,0,0,0,0,0,0,0,0,0,0,0,0
"GGB33469_SGB15236",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0,0,0.04147,0.16737,0.00982,0.37894,0,0,0,0,0,0,0.11321,0.05139,0,0.06555,0,0,0,0,0,0,0,0,0.44904,0,0,0.00138,0,0,0,0,0,0,0,0,0,0,0,0.37914,0,0,0.41198,0.00074,0,0,0.87419,0,0,0,0.17723,0.06015,0.44805,0,0,0,0.06514,0,0.79884,0,0,0.23454,0.0026,0,0,2e-04,0,0.19967,0.09567,0.11851,0,0,0,0,0.06731,0,0,0,0.00518,0,0.01139,0.05783,0,0,0,0,0,0,0.07325,0,0.71443,0,0,0,0,0,0,0,0,0,0.93667,0,0,0.07083,0,0.0926,0,0,0,0,0,0,0.06392,0.14538,0.02904,0,0.61871,0,0,0.01887,0,0,0,0,0,0.09746,1.50264,0,0,0,0,0,0,0,0,0,0.01256,0,0,0.2795,0,0,0,0,0,0.03122,0,0.03428,0,0,0,0,0,0,0,0,0,0,0,0,0.0182,0.04971,0.53925,0,0,0,0,0,0,1.97726,0
"GGB9342_SGB14306",0,0,0,0.11321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.13928,0,0,0,0,0,1.04456,0,0,0.8043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33071,0,0,0,0,0,0,1.2745,0,0,0,0.02782,0.7995,0.92178,0,0,0,0,0,1.18073,0,0,0.24302,0,0,0,0,0,0,0.03586,0,0,0.14934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09153,0,0,0,0,0,0,0,0,0,0,0.1813,0.12705,0,0,0.54029,0,0,0,0,0,0,0,0,0,0.89792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1055,0,0,0.01296,0,0,0,0,0,0,0,0,0,0,0,0,0.01588,0,0.95806,0,0,0,0,0,0,0,0
"Collinsella_aerofaciens",0.08225,0.06871,0,0.00748,0.02549,0,0.05465,0,0.86759,0.00824,0,0.30289,0,0,0,0.53484,0.00116,0,0.09773,0.02519,0,1.20214,0,0,0.14039,0,0.01721,0.01363,0.00861,0,0.00213,0,0,0.03561,0,0.07694,0,0,0,0,0.00137,0,0,0,0,0.02803,0,0.0819,0,0,0.01311,0,0,0,0,0,0,0.1554,0,0,0.09508,0.00326,0,0,0.09031,0,0.03256,0,0.01772,0,0,0.11521,0,0.02759,0.00076,0,0,0,0,0,0.00194,0,0,0,0.09973,0.29461,0,0.02097,0,0,0.00408,0.07307,0,0.69594,0,0,0,0,0.00541,0,0.01746,0.08988,0,0,0.83204,0.0549,0.02414,0,0,0.23358,0.0537,0.00458,0,0,0,0.15734,0,0,0,0.54379,0.00737,0,0,0,0,0.41119,0.01458,0.52808,0,0,0.24127,0,0.15509,0,0,0.0168,0,0,0.01985,0,0,0.0161,0.17131,0.00081,0,0,0,0.00179,0.22526,0,0.02848,0,0.06193,0.04489,0,0.43004,0.0223,0,0,0,0,0,0.4389,0.01317,0,0,0.00377,2.89164,0,0.02078,0,0.55664,0.05483,0,0,0.07107,0,0,0,0.24799,0,0.0568,0,0.00059,0.00034,0,0,0,0.08558,0,0,0.01076,0
"Dakarella_SGB14198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821,0,0.00818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01172,0,0,0,0,0,0,0,0,0,0,0,0.01276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9774_SGB15394",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nitrosopumilus_SGB14899",0,0,0,0.04234,0,0,0,0.01016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02792,0,0.01715,0.02589,0,0,0,0,0,0,0.00026,0.04411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02974,0,0,0,0.02547,0,0,0.11555,0,0,0.02143,0,0,0,0.02978,0,0,0,0,0.11733,0.04611,0,0,0,0.05538,0,0.00356,0,0,0.01083,0.1186,0,0,0,0,0,0,0.01114,0,0,0,0.00685,0,0,0,0,0.0263,0.02135,0,0,0,0,0,0,0.0088,0,0.09705,0,0,0,0,0,0.14073,0,0,0.07303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03232,0.00744,0.01243,0,0.07259,0,0,0.01759,0,0,0,0,0,0.00983,0.06882,0,0,0,0,0.01799,0,0,0,0,0.02513,0,0.02275,0,0.06761,0,0,0,0.01897,0.02664,0,0.01593,0,0,0,0,0,0,0.29444,0,0,0,0,0,0.02852,0,0,0.01902,0,0,0,0,0,0,0
"GGB9618_SGB15065",0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9627_SGB15081",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01166,0,0,0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0,0,0,0,0,0,0,0.0401,0,0,0,0,0,0,0,0,0.01335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10037,0,0.02486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,0.33965,0,0.12499,0,1.02267,0.93311,0,0.10497,0.35406,0,0.00211,0,0,0,0,0.01297,0,0.2887,0.01861,0,0,0,0,0.1524,0.04164,1.1705,0.9533,2.95534,0.3254,0.03041,0,0,0,0.33173,0.01676,0.0379,0.18743,0,0,0.33417,0,0,0,0,0,1.19394,1.16582,0,0.04088,0.01768,0,0,0,0.52456,0,0,0,0.58137,0.20377,0,0.46675,0,0,0,0.01766,0.255,1.68435,0.18168,0,0,0.36999,0.44683,0.57216,0.43241,0.04031,0,0,0.67156,1.63717,0.98756,0,0.05646,1.11539,0.03764,0.31451,0,0.05554,0,0.50306,0.61926,0.76673,0,0,0,0.80181,0.03946,1.28974,0.03305,0.15387,0.00565,0.472,0.05568,0.2848,0,0.54437,0,0,0.51986,0.01103,0.11372,0.03753,2.99816,0,0,0,0.17576,0.06902,0,0.14929,0.0817,0,0.419,0,0,2.71642,0.73588,2.72129,0,0.28642,0.34138,1.08737,0,0,0.88244,1.30181,0.26811,0,0.16034,0,0,0.65816,0,0.74894,0,0,0,0.1053,0.07909,0,0,0,0,0.18219,0,0,0,0,0.14088,0.44284,0.38124,0.72203,0.11318,1.24031,0,0,0.00933,0.04363,0,0.02771,0,0,0,0,0,0,0.07421,0,0,0,0.7683,1.54249,0.45449,0.1379,1.24228,0.82384,0,0,0,0,0.06598,0,0
"Oscillospiraceae_bacterium_Marseille_Q3528",0.00014,0.03908,0,0.01771,0,0,0,0.01109,0,0,0,0,0,0,0,0,0.00321,0,0,0.01752,0,0,0,0,0.02365,0.00799,0,0.00835,0,0,0,0,0,0,0,0.20502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0011,0,0,0.02373,0,0.00969,0,0,0.00107,0,0.02032,0,0.01038,0,0,0,0.03685,0.01401,0.01901,0,0,0,0.0467,0,4e-04,0,0,0,0.07899,0,0,0,0,0.00168,0,0.00782,0,0,0,0,0.00032,0,0.01639,0,0.01215,0.0398,0,0,0,0,0,0,0,0.0303,0.00106,0,0,0,0.00268,0,0.33317,0,0,0,0.00059,0,0.00301,0,0,0,0,0,0,0.03583,0.00506,0,0,0,0.00651,0.00812,0,0,0,0,0,0,0,0,0,0,0,0.00324,0.02132,0,0,0,0.01609,0.04094,0,0,0,0,0.00152,0,0,0.1767,0,0,0,0,0.02554,0,0,0.01515,0,0,0,0,0.01137,0,0,0,0,0,0.00093,0,0.00995,0,0,0,0,0,0.01613,0,0,0,0
"Bilophila_wadsworthia",0.33335,0.06616,0,0.01937,1.38347,0.05114,0.47413,0,0.3145,0.09091,0,0,0,0,0,0,0.00701,0.37449,0.06665,0,0,0,0,0,0,0.53638,0,0.00147,0.21496,1.29756,0.00396,0,0,0,0.45421,0.0378,0,0.06021,0,0,0.23272,0,0,0,0,0.21337,0,0,0,0,0,0,0,0,0.02751,0,0.08518,0,0.06754,0.49427,0,0.01045,0.26062,0.16645,0.21722,0.17105,0.31054,0.05812,0.02187,0,0.26438,0,0.21732,0.03556,0.00598,0.58577,0,0,0.01993,0.02042,0.00839,0.09703,0.25923,0,0.06201,0.05054,0,0,0,0.03496,0,0.31312,0,0,0,0.03796,0.143,0,0.05079,0,0,0.09202,0.0652,0.09187,0,0,0,0,0.05749,0,0,0.08832,0,0,0.04222,0,0.31939,0.04822,0.25887,0.34605,0.03452,0,0.06795,0,0,0,0,0,0,0.09742,0.13598,0.01043,0,0,0,0.00867,0.04727,0,0.00078,0,0,0.02562,0.62745,0.14054,0.01242,0,0,0.18038,0.05651,0,2.91993,0,0.71716,0.04038,0,0.57152,0,0,0.18276,0.06425,0.88137,0.45225,0.28656,0.04827,0.11214,0.02591,0.07176,0.02491,0,0.017,0,0,0,0.05255,0.06445,0.04767,1.72687,0,0.02259,0,0.2239,0.03704,0.07826,0.0707,0.03221,0.04021,0,0,0.09974,0,0,0,0
"GGB9760_SGB15372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9603_SGB15035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3212_SGB4241",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_AF17_16",0,0.1689,0,0,0,0.39351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05043,0.01915,0,1.81826,0,0,0,0,0,0,0.00248,0,0.10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20648,0,0,0,0,0,0,0,0,0,0,0.01803,0,0,0.35446,0,0,0,0,0.0483,0,0,0,0,0.0849,0,0,0,0,0.34961,0.00292,0,0,0,0,0,0.01197,0.01556,0,0.08016,0,0.27281,0.06823,0,0,0,0,0.22602,0.02208,0,0,0.01732,0,0,0,0,0,0,0,0,0,0,0,0,0.23863,0,0,0,0,0,0,0.64243,0,0.48024,0,0,0,0,0,0,0.162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13097,0,0,0,0,0,0,0,0,0,0.22312,0,0,0,0.02206,0,0.00946,0,0,0,0,0,0,0,0,0,0,0,0,0.05423,0.00026,0,0,0,0,0,0,0,0,0
"GGB3304_SGB4367",0,0,0,0.45351,0,0,0,0,0,0,0,0,0,0,0,0,0.04225,0,0,0,0,3.02402,0,0,1.44274,0,0.54308,0.57105,0,0,0.08284,0,0,0,0,0,0.40865,0,0,0,9e-04,0,0,0,0,0,0.04586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12395,0,0,0,0,0,0,0,0,0,0,0,1.58307,0.66422,0,0,0,0,0,0.3213,0,0,0.10209,0,0,0,0,0,0,0.1464,0,0,0,0,0,0,0,0,2.31088,0,0,0,0,0,0,1.85897,0,0,0.13673,0,0,0.06086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14657,0,0,0,0.18059,0.09373,0,0,0.28158,0,3.60287,0,0,0,0,0,0,0,0.10668,0,0,0,0,0,0,0,0,1.45756,0,0,0,0,0,0,0,0,0.22528,0.43902,0,0.01517,0,0,0,0,0,0,0,0,0,0,0,0,0.85989,0,0.43428,0,0,0,0,0,0,0,0
