"","SRR5946876","ERR210545","SRR5946645","ERR209072","ERR210091","SRR5935784","ERR209671","ERR210263","SRR5983317","SRR5946831","SRR5983279","SRR5947052","SRR5983355","SRR5935743","ERR209439","SRR5935905","SRR5936141","ERR209160","SRR5946864","SRR5983264","SRR5936196","SRR5946686","SRR5946947","SRR5936188","SRR5946620","SRR5946853","SRR5935777","ERR209748","ERR209432","ERR210255","SRR5946981","SRR5946625","SRR5946933","SRR5983294","SRR5946755","SRR5936099","SRR5935825","SRR5947027","SRR5935797","SRR5936098","SRR5983479","SRR5946873","SRR5983434","SRR5947028","SRR5935832","ERR209701","ERR209266","SRR5947079","SRR5946682","ERR210283","ERR209749","SRR5947070","SRR5946912","SRR5983315","SRR5946758","SRR5947879","SRR5947008","SRR5935899","ERR209164","SRR5946971","SRR5983297","SRR5936218","SRR5946935","SRR5983384","SRR5983475","ERR209162","SRR5947101","SRR5946851","SRR5947838","ERR209226","SRR5946677","SRR5935817","ERR209732","SRR5946923","SRR5983377","ERR209287","nodos","degrees","closeness","betweenness"
"Hungatella_hathewayi",0,0,0,0,0,0.000427100042710004,8.64999827000035e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64999973500003e-05,0.00852076882982122,0,0.00188489962302008,0,0,0.0011052,0.000179399982060002,0,0,0,0.0026037,0.000894899910510009,0,0,0,0,0,0.00290815315612823,0,0.031860942329172,0.0004505,0,0,0.00111689988831001,0.00159471352466573,0,0,0,0,0.000221708380576786,0,0.00158430015843002,0,0,0.00107790010779001,0,0.0149945059978024,0,0,0,0,0.0353203964679603,0,0,0,0,0,0,0,0,0,0.000336228444926441,0,0,0,"v_569",1,1,0
"Enterocloster_aldenensis",0,0,0,0,0,0.000199400019940002,2.71999945600011e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000665199933480007,0.00832740841802359,0,0.0024375995124801,0,0,0.0004546,0.000137199986280001,0,0,0,0,0.000134399986560001,6.69015788772615e-05,0,0,0,0,9.20649978885093e-06,0,0.01998265964648,0.0036529,0,0,0.00171329982867002,0.00202299963855114,0,0,0,0,0.000135105106973044,0,0.00404550040455004,0,0,0.000847900084790009,0,0.0179203071681229,0,0,4.11212185487712e-05,0.0004914,0.0315263968473603,0,0,0,0,0,0.000164300016430002,0,0,0,0.00204757322469481,0,0,0,"v_1186",1,1,0
"Oscillospiraceae_unclassified_SGB15252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0035579,0,0,0,0.000445300044530004,0,0,0,0,"v_707",1,1,0
"GGB4596_SGB6358",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000244099877950061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034179,0,0,0,0.000910400091040009,0,0,0,0.000903799909620009,"v_782",1,1,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141187296493323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000813000162600033,0,0,0,0,0,0,0,0.000266500026650003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00971080194216039,0,0,0,0,0,"v_1221",1,1,0
"Bifidobacterium_asteroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166961350618836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00142250028450006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117950023590005,0,0,0,0,0,"v_1958",1,1,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025244,0,0,0.0483901016192134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00117400023480005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0118299023659805,0,0.000159613503302379,0,0,0,"v_1427",1,1,0
"Enterococcus_gallinarum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0438028919860732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00191620038324008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00338630067726014,0,0,0,0,0,"v_1956",1,1,0
"GGB3569_SGB4776",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68999852400059e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1480",1,1,0
"GGB3499_SGB4674",0,0,0,0,0,0,0,0,0,0.000447900223950112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000316799873280051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1906",1,1,0
"Klebsiella_oxytoca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896563789319619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000439799956020004,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1826",1,1,0
"Clostridium_neonatale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00982875393426387,0,0.00180709963858007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.45136470469205e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00350879964912004,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1924",1,1,0
"Enterococcus_casseliflavus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003684,0,0,0.00879951847898881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000357200071440014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148130029626006,0,0,0,0,0,"v_1852",1,1,0
"Enterococcus_thailandicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00559521174994468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000831400166280033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00234530046906009,0,0,0,0,0,"v_1959",1,1,0
"Enterococcus_durans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000205100430710904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00204660040932008,0,0,0,0,0,"v_1853",1,1,0
"Enterococcus_pseudoavium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000232400488041025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37000187400038e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00129300025860005,0,0,0,0,0,"v_1960",1,1,0
"Erysipelatoclostridium_sp_An15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001868,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00239468716299932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07000202800081e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1915",1,1,0
"Prevotella_oralis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00339780995229496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3600037440015e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"v_1952",1,1,0
