"","SRR5935893","SRR5946674","SRR5936212","SRR5936204","SRR5936213","SRR5983300","SRR5947045","SRR5947063","ERR209175","SRR5936081","SRR5947812","ERR209653","SRR5946752","SRR5983436","SRR5947076","SRR5946907","SRR5946714","SRR5935888","SRR5935976","SRR5947102","ERR209187","SRR5983329","SRR5946826","ERR209434","SRR5935971","SRR5935871","SRR5946662","SRR5936139","ERR209697","SRR5936048","SRR5936118"
"GGB9634_SGB15095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4597_SGB6359",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4884_SGB6823",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9197_SGB14136",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_coli",0.01828,0,0.01515,0,0,0.16363,0,0,0.06609,0.01205,0.42252,0.08521,0.27601,0,1.02473,0,0.00723,3.44081,0,0,0,0,1.09229,0,0,0.01084,78.67457,3.54212,0.01665,1.15493,0.01675
"GGB9788_SGB15411",0,0,0,0,0,0,0,0,0,0,0,0.00494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_desulfuricans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas_massiliensis",1.02413,0.28174,0,0.01367,0.02464,0,0,0,0,0.69938,1.41275,0,0,0,0,0.04442,0.61222,0,0.02676,0.13189,0,0,0,0,0,0,0,0,0,0,0.0285
"GGB2982_SGB3964",0,0,0,0.00805,0,0,0,0,0,0,0,0.0438,0,0,0,0,0,0,0,0,0,0,0,0.03673,0,0,0,0,0,0,0
"GGB79630_SGB13983",0,0,0,0,0,0.34785,0,0,0.03634,0,0,0.00862,0,0,0,0,0,0,0,0,0,0,0,0,0.00705,0,0,0,0,0,0
"GGB9524_SGB14924",0,0,0,0.03562,0,0.02776,0,0,0,0,0,0.00864,0,0,0,0,0,0,0,0,0,0,0,0,0.01421,0,0,0,0,0,0.00544
"GGB40351_SGB14301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9534_SGB14937",0,0,0.00931,0,0,0.01377,0.01429,0,0,0,0,0,0,0,0,0,0,0,0.26985,0,0,0.0146,0,0,0.00032,0,0,0,0,0,0
"GGB35551_SGB53794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02177
"GGB9786_SGB15409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9262_SGB14210",0,0,0,0,0,0,0,0,0,0,0,0.10493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_bouchesdurhonensis",0,0,0,0,0,0,0,0,0,0,0.00678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridiaceae_unclassified_SGB15090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28983,0,0,0,0,0,0,0
"Clostridium_saccharogumia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB2653_SGB3574",0.0012,0.01107,0.07492,0.00236,0.0083,0,0.06644,0,0,0,0,0.01876,0,0,0.01944,0.00849,0,0,0.00891,0.02975,0,0.10674,0,0.01912,0,0,0,0,0,0,0.00225
"GGB3351_SGB4434",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Pararuminococcus_gallinarum",0,0,0.03232,0,0.00163,0,0.02413,0,0,0,0,0.00781,0,0,0.02297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3061_SGB4063",0,0,0,0,0,0,0,0,0,0,0,0.06087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania_filiformis",0.07161,0.00049,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079
"Eisenbergiella_tayi",0.01576,0.02706,0,0,0,0,0,0,0,0.01474,0,0.00424,0,0,0.52857,0.00991,0,0.08877,0,0.08812,0,0,0,0,0,0,0,0,0,0,0.0128
"Mogibacterium_kristiansenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB52283_SGB73075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.75533,0,0.0897,0.00792,0.25894,0,0.05908,0.71439,0,0.22919,0,0,0,0.44636,0,0,0.91683,0,0,0,0,0.00377,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9640_SGB15115",0,0,0,0,0,0,0,0,0,0,0,0.00305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB42378_SGB59548",0,0,0,0,0,0.01059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_SGB4425",0,0,0,0,0,0.14231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinibacter_bartlettii",0.00087,0,0,0,0,0,0,0,0,0.00164,0.13303,0,0.05097,0,0.10054,0,0.08738,0.1914,0,0,0,0.01252,0,0,0,0,0,0.09613,0,0.05013,0
"Romboutsia_timonensis",0,0,0,0,0,0,0,0,0,0,0,0.02417,0.07288,0,0,0,0,0.00389,0,0,0,0,0,0,0.07076,0,0,0.20332,0,0,0
"GGB9253_SGB14199",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB13357_SGB13987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB36267_SGB14177",0,0,0,0,0,0.00217,0,0,0,0,0,0.25933,0,0,0.38805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1627_SGB2227",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00776,0,0,0,0,0
"Haemophilus_parainfluenzae",0,0,0.02898,0.05486,0,0,0.00752,0,0,0,0.00172,0,0.19032,0,0,0,0,0.00073,0,0,0,0.01784,0,0,1.45268,0,0,0.58056,0,0,0
"GGB10692_SGB17347",0,0,0,0,0,0,0,0,0,0,0,0.01069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB42711_SGB59916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4700_SGB6506",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB13054_SGB20235",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercorirosoris",0,0,0,0,0,0,0,0,0,0,0,0.00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB42639_SGB59836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Allobutyricicoccus_pentlandensis",0,0,0,0,0,0.03045,0,0,0,0,0,0.02583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9291_SGB14248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693,0,0,0,0,0,0,0,0,0,0
"Blautia_sp_OF03_15BH",0,0,0,0.01413,0,0,0,0,0,0,0,0.00462,0,0,0.04644,0,0,0,0,0,0,0.04931,0,0,0,0,0,0,0,0,0
"GGB2977_SGB3959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB80055_SGB4053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9696_SGB15212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0
"GGB9175_SGB14113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_bacterium_NSJ_64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3538_SGB4728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02519,0,0,0,0,0,0,0
"GGB9668_SGB15165",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB13054_SGB20238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9779_SGB15399",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Limosilactobacillus_SGB61600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_oleiciplenus",0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4567_SGB6307",0,0,0,0,0,0,0,0,0,0,0,2.91022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB13054_SGB20239",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacteriales_unclassified_SGB71281",0,0,0,0,0,0,0,0,0,0,0,0.00174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neglectibacter_timonensis",0,0,0,0,0,0,0.1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05797
"GGB3593_SGB4817",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01559,0,0,0,0,0,0,0
"GGB1627_SGB2229",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Pseudoruminococcus_merdavium",0,0,0,0,0,0,0,0,0,0,0.03785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_SGB5113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB13056_SGB20243",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_gnavus",0,0.0146,0.00481,0,0,0,0,0,0.10609,0,0.35254,0,0.93078,0,0.08206,0.07089,0.28639,1.84264,0,0.00258,0,0.18697,0.03187,0,0,0,0,0.20791,1.98892,14.79167,0
"Prevotella_lascolaii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0,0,0,0,0.0028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06559,0,0,0,0,0,0,2.02666,0,0
"GGB4587_SGB6346",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3612_SGB4881",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1675,0,0,0,0,0,0,0,0,0,0
"GGB4605_SGB6376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04258,0,0,0,0,0,0,0,0,0,0
"Collinsella_SGB4121",0.0383,0,0,0.01303,0,0.00551,0,0,0.11997,0,0,0.11697,0,0,0.04642,0,0,0,0,0,0,0,0,0.04874,0,0,0,0,0.02054,0,0.04738
"GGB25158_SGB42321",0,0,0,0,0,0.00786,0,0,0,0,0,0,0,0,0,0,0,0,0.01793,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_SGB6177",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB2848_SGB3813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00884
"Escherichia_marmotae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262,0,0,0,0,0,0,0,0,0.07124,0,0,0,0
"Blautia_sp_MSK_20_85",0,0,0,0,0,0,0,0,0,0,0,0.17703,0,0,0,0,0,0,0,0,0.00778,0,0,0.03711,0,0,0,0,0,0,0
"Brachyspira_aalborgi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_gallinaceum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_cutis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB6546_SGB9245",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_An31A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_mediterraneensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas_faecihominis",0,0,0,0,0,0,0,0,0.23181,0,0,0.17143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4487_SGB6184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1590_SGB2184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_salanitronis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter_lwoffii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB6569_SGB9281",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4549_SGB6271",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3267_SGB4317",0,0,0,0,0,0,0,0,0.80683,0,0,0.43531,0,0,0,0,0,0,0,0,0,0,0,0,4.73324,0,0,0,0,0,0
"Hungatella_hathewayi",0.67434,0.01607,0,0,0.0111,0.00169,0,0,0,0.22517,0.59859,0.00042,0.20273,0,1.12089,0.06182,0,0.07701,0,0.09771,0,0,0,0,0,0,0,0,0.00819,0,0.00039
"GGB1221_SGB1590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_fairfieldensis",0,0,0.02642,0,0,0,0.05131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21568
"Bacteroides_fragilis",0.11645,0,0,0.50807,0.00598,0.69913,0,17.31908,2.97367,1.14254,0.14565,0.58458,26.92752,4.59076,0,0,2.99653,0,1.08499,0,0,0.76989,67.90718,3.47455,0,0,0,0,0,0,0
"GGB1096_SGB1408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3033_SGB4028",0,0,0,0,0,0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20078,0,0,0,0,1.83537,0,0,0,0,0,0,0
"Barnesiella_sp_An22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4554_SGB6285",0,0,0,0,0,0,0,0,0.45685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1691_SGB2323",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4676_SGB6465",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3363_SGB4447",0,0,0,0,0,0,0,0,0,0.02422,0,0,0,0,0,0,0,0,0.01765,0,0,0,0,0.36834,0,0,0,0,0,0,0
"GGB9261_SGB14209",0,0,0,0,0,0,0,0,0.4733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9819_SGB15460",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB80011_SGB15267",0,0,0.04467,0,0,0,0.07875,0,0,0,0,0.00693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_indistinctus",0,0,0,0,0,0,0,0,0.09236,0.02247,0,0.09044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11643
"Faecalicoccus_pleomorphus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mesosutterella_multiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98191,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9185_SGB14124",0,0,0,0,0,0,0,0,0,0,0,0.00436,0,0,0,0,0,0,0,0,0.12784,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_SGB15077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_stercoris",0.12251,0.0021,26.43103,0,1.43954,4.84809,27.6397,17.72129,0,0,0,0,0,31.48091,0,0,0,0,14.01724,0,0,0.23704,0.00048,0,0,0.02711,0,0,6.51069,0,0
"Clostridium_leptum",0.15768,0.18908,0.10188,0.02691,0.60193,0.01706,0.42667,0,0,0,0,0.01961,0,0,0,0.26523,0,0,0.12385,0.16565,0,0.50063,0,0,0,0,0,0,0,0,0.39158
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01143,0,0
"Streptococcus_salivarius",0,0,0,0,0,0,0.07642,0,0,0,0.00238,0.06513,0,0,0,0,0,0,0,0,0,0,0,0,0.02871,0,0,0,0.01164,0,0
"GGB1420_SGB1957",0,0,0,0,0,0,0,0,1.1019,0,0,0.08051,0,0,0,0,0,0,0.12238,0,0,0,0,0,0,0,0,0,0,0,0
"GGB79947_SGB6617",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB759_SGB997",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB12693_SGB19690",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marseilla_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0,0,0.84047,0,0,0,0.08374,0,0.01651,0.112,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB12692_SGB19689",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1408_SGB1933",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB1407_SGB1930",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4632_SGB6410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erysipelatoclostridium_ramosum",0,0,0,0,0,0,0,0,0,0,0.00382,0,0,0,0,0.00041,0.19385,0.25071,0,0,0,0,0,0,0,0,0,0.00481,0.21757,1.73793,0
"Bacteroides_sp_An322",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_massiliensis",0,0,0,0,0,9.73209,0,0,0,0,0,0,0.04562,0,0,0,0,0,0,0,0,0.07983,0.00049,0,0,0,0,0,8.1214,0,0
"Clostridium_sp_1001270J_160509_D11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03186,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05541,0,0,0,0,0,0,0,0,0,0
"GGB1621_SGB2219",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9512_SGB14909",0,0,0,0,0,0,0,0,0,0.27543,0.00096,0.18909,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00564,0,0,0,0,0
"Butyricimonas_paravirosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79181,0,0.37708
"GGB3167_SGB4181",0,0,0.01285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44314,0,0,0,0,0,0,0.02438
"GGB1663_SGB2279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_paraputrificum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00299,0,0,0,0,0,0,0,0,0,0.34201,0,0,0
"GGB9495_SGB14892",0.07938,0,0,0,0.57094,0.09254,0,0,0,0,0,0.01072,0,0,0,0,0,0,0,0,0,0,0,0.02923,0,0,0,0,0,0,0.20858
"GGB3109_SGB4119",0,0.0414,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04177,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0
"Phocaeicola_plebeius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02834,0,0,0,0,0,0,0,0,0
"Clostridium_sp_NSJ_6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9719_SGB15272",0.07912,0.20013,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10959,0,0.02193,0,0.31084,0,0,0,0,0,0,0,0,0,0,0.09343
"GGB1680_SGB2312",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.00721
"Lachnoclostridium_sp_An131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01245,0,0,0,0,0,0,0.00355
"Elusimicrobium_sp_An273",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9611_SGB15045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01376
"GGB9619_SGB15067",0,0,0,0.00137,0,0.05338,0,0,0,0,0,0,0,0,0,0,0,0.0199,0.00334,0,0,0.03777,0,0.02652,0,0,0,0,0,0,0
"Candidatus_Heritagella_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB27377_SGB13972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38421,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_BSD2780120874_150323_B10",0,0,0,0,0,0,0,0,2.26838,0,0,0,0,0,0,0,0,0,0,0,0.97045,0,0,3.70427,0,0,0,0,0,0,0
"GGB4682_SGB6472",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3278_SGB4328",0,0,0,2.21055,0,0.1621,0,0,2.62535,0,0,0,0,0,0,0,0,0,0,0,1.58077,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_unclassified_SGB4197",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillospiraceae_bacterium_NSJ_50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB4710_SGB6522",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB9093_SGB14023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_SGB5076",0,0,0,0,0,0,0,0,0,0,2.27,0,0,0,0,0,0,0,0.03262,0,0,0,0,0,0.02612,0,0,0,0,0,0
"Roseburia_sp_AM59_24XD",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02327,0,0,0,0,0,0
"GGB4555_SGB6286",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB3142_SGB4155",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_faecicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
