Sample	CMP-<i>N</i>-acetylneuraminate biosynthesis I (eukaryotes)	CMP-<i>N</i>-acetylneuraminate biosynthesis II (bacteria)	CMP-legionaminate biosynthesis I	CMP-legionaminate biosynthesis II
SRR5983354	1.5	0.0	35.2	2.6666666666666665
SRR5983355	1.5	0.0	25.77777777777778	0.0
SRR5983357	0.0	0.0	34.0	1.6666666666666667
SRR5983360	0.0	0.0	57.6	3.6666666666666665
SRR5983367	5.5	0.0	52.0	4.0
SRR5983372	2.0	0.0	39.8	4.666666666666667
SRR5983376	2.0	0.0	33.0	2.5
SRR5983377	0.0	0.0	18.2	3.5
SRR5983379	5.0	0.0	48.6	6.333333333333333
SRR5983380	4.0	0.0	38.6	4.0
SRR5983384	2.5	0.0	39.3	4.0
SRR5983386	3.0	0.0	36.6	2.0
SRR5983391	3.5	0.0	45.6	2.0
SRR5983393	1.5	0.0	41.2	3.6666666666666665
SRR5983400	3.5	0.0	40.1	3.6666666666666665
SRR5983401	2.5	0.0	36.3	2.6666666666666665
SRR5983403	0.0	0.0	34.7	2.6666666666666665
SRR5983405	2.0	0.0	42.1	2.0
SRR5983406	1.0	0.0	16.11111111111111	1.0
SRR5983408	1.0	0.0	29.22222222222222	1.6666666666666667
SRR5983411	3.0	0.0	48.2	3.0
SRR5983412	2.5	0.0	25.7	1.6666666666666667
SRR5983418	3.0	0.0	68.8	6.0
SRR5983422	2.5	0.0	41.4	3.6666666666666665
SRR5983428	2.5	0.0	35.4	2.0
SRR5983434	2.0	0.0	32.77777777777778	0.0
SRR5983436	1.0	0.0	29.9	2.6666666666666665
SRR5983437	6.0	0.0	52.3	2.333333333333333
SRR5983446	0.0	0.0	44.5	2.5
SRR5983450	3.5	0.0	45.5	2.333333333333333
SRR5983459	0.0	0.0	18.9	1.0
SRR5983462	2.5	0.0	34.3	2.0
SRR5983469	6.0	0.0	65.2	8.0
SRR5983470	1.5	0.0	19.6	1.3333333333333333
SRR5983472	4.0	0.0	43.7	3.0
SRR5983475	1.0	0.0	38.5	4.333333333333333
SRR5983476	2.0	0.0	35.44444444444444	0.0
SRR5983479	6.0	0.0	40.9	2.333333333333333
SRR5983480	6.5	0.0	47.9	2.333333333333333
SRR5983481	4.0	0.0	60.3	3.0
