EC_number 	 Annotation 	 GOterm
EC:1.18.1.2 	" ferredoxin-NADP+ reductase activity "	GO:4324
EC:1.18.1.3 	" ferredoxin-NAD+ reductase activity "	GO:8860
EC:1.18.1.6 	" NADPH-adrenodoxin reductase activity "	GO:15039
EC:1.18.6.- 	" oxidoreductase activity, acting on iron-sulfur proteins as donors, dinitrogen as acceptor "	GO:16732
EC:1.19.-.- 	" oxidoreductase activity, acting on reduced flavodoxin as donor "	GO:16737
EC:1.19.6.- 	" oxidoreductase activity, acting on reduced flavodoxin as donor, dinitrogen as acceptor "	GO:16738
EC:1.19.6.1 	" nitrogenase (flavodoxin) activity "	GO:50142
EC:1.2.1.10 	" acetaldehyde dehydrogenase (acetylating) activity "	GO:8774
EC:1.2.1.104 	" pyruvate dehydrogenase (NAD+) activity "	GO:34604
EC:1.2.1.105 	" oxoglutarate dehydrogenase (NAD+) activity "	GO:34602
EC:1.2.1.11 	" aspartate-semialdehyde dehydrogenase activity "	GO:4073
EC:1.2.1.12 	" glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity "	GO:4365
EC:1.2.1.13 	" glyceraldehyde-3-phosphate dehydrogenase (NADP+) (phosphorylating) activity "	GO:47100
EC:1.2.1.15 	" malonate-semialdehyde dehydrogenase activity "	GO:33722
EC:1.2.1.16 	" succinate-semialdehyde dehydrogenase [NAD(P)+] activity "	GO:9013
EC:1.2.1.17 	" glyoxylate dehydrogenase (acylating) activity "	GO:47968
EC:1.2.1.18 	" malonate-semialdehyde dehydrogenase (acetylating) activity "	GO:18478
EC:1.2.1.19 	" aminobutyraldehyde dehydrogenase activity "	GO:19145
EC:1.2.1.20 	" glutarate-semialdehyde dehydrogenase (NADP+) activity "	GO:102810
EC:1.2.1.21 	" glycolaldehyde dehydrogenase activity "	GO:50569
EC:1.2.1.22 	" lactaldehyde dehydrogenase activity "	GO:8911
EC:1.2.1.23 	" 2-oxoaldehyde dehydrogenase (NAD+) activity "	GO:47551
EC:1.2.1.24 	" succinate-semialdehyde dehydrogenase (NAD+) activity "	GO:4777
EC:1.2.1.25 	" branched-chain alpha-keto acid dehydrogenase activity "	GO:47101
EC:1.2.1.26 	" 2,5-dioxovalerate dehydrogenase (NADP+) activity "	GO:47533
EC:1.2.1.27 	" methylmalonate-semialdehyde dehydrogenase (acylating, NAD) activity "	GO:4491
EC:1.2.1.28 	" benzaldehyde dehydrogenase (NAD+) activity "	GO:18479
EC:1.2.1.29 	" aryl-aldehyde dehydrogenase (NAD+) activity "	GO:19108
EC:1.2.1.30 	" aryl-aldehyde dehydrogenase (NADP+) activity "	GO:47683
EC:1.2.1.31 	" L-aminoadipate-semialdehyde dehydrogenase activity "	GO:4043
EC:1.2.1.32 	" aminomuconate-semialdehyde dehydrogenase activity "	GO:47102
EC:1.2.1.33 	" (R)-dehydropantoate dehydrogenase activity "	GO:47509
EC:1.2.1.36 	" retinal dehydrogenase activity "	GO:1758
EC:1.2.1.38 	" N-acetyl-gamma-glutamyl-phosphate reductase activity "	GO:3942
EC:1.2.1.39 	" phenylacetaldehyde dehydrogenase activity "	GO:8957
EC:1.2.1.4 	" aldehyde dehydrogenase (NADP+) activity "	GO:33721
EC:1.2.1.41 	" glutamate-5-semialdehyde dehydrogenase activity "	GO:4350
EC:1.2.1.42 	" hexadecanal dehydrogenase (acylating) activity "	GO:47104
EC:1.2.1.44 	" cinnamoyl-CoA reductase activity "	GO:16621
EC:1.2.1.46 	" formaldehyde dehydrogenase activity "	GO:18467
EC:1.2.1.47 	" 4-trimethylammoniobutyraldehyde dehydrogenase activity "	GO:47105
EC:1.2.1.48 	" long-chain-aldehyde dehydrogenase activity "	GO:50061
EC:1.2.1.49 	" 2-oxoaldehyde dehydrogenase (NADP+) activity "	GO:47552
EC:1.2.1.5 	" aldehyde dehydrogenase [NAD(P)+] activity "	GO:4030
EC:1.2.1.50 	" long-chain-fatty-acyl-CoA reductase activity "	GO:50062
EC:1.2.1.51 	" pyruvate dehydrogenase (NADP+) activity "	GO:50243
EC:1.2.1.53 	" 4-hydroxyphenylacetaldehyde dehydrogenase activity "	GO:47106
EC:1.2.1.54 	" gamma-guanidinobutyraldehyde dehydrogenase activity "	GO:47107
EC:1.2.1.57 	" butanal dehydrogenase activity "	GO:47759
EC:1.2.1.58 	" phenylglyoxylate dehydrogenase (acylating) activity "	GO:47110
EC:1.2.1.59 	" glyceraldehyde-3-phosphate dehydrogenase (NAD(P)+) (phosphorylating) activity "	GO:43891
EC:1.2.1.60 	" 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase activity "	GO:18480
EC:1.2.1.61 	" 4-hydroxymuconic-semialdehyde dehydrogenase activity "	GO:18481
EC:1.2.1.62 	" 4-formylbenzenesulfonate dehydrogenase activity "	GO:18482
EC:1.2.1.63 	" 6-oxohexanoate dehydrogenase activity "	GO:18483
EC:1.2.1.64 	" 4-hydroxybenzaldehyde dehydrogenase activity "	GO:18484
EC:1.2.1.65 	" salicylaldehyde dehydrogenase activity "	GO:18485
EC:1.2.1.67 	" vanillin dehydrogenase activity "	GO:50608
EC:1.2.1.68 	" coniferyl-aldehyde dehydrogenase activity "	GO:50269
EC:1.2.1.69 	" fluoroacetaldehyde dehydrogenase activity "	GO:33723
EC:1.2.1.7 	" benzaldehyde dehydrogenase (NADP+) activity "	GO:18477
EC:1.2.1.70 	" glutamyl-tRNA reductase activity "	GO:8883
EC:1.2.1.71 	" succinylglutamate-semialdehyde dehydrogenase activity "	GO:43824
EC:1.2.1.72 	" erythrose-4-phosphate dehydrogenase activity "	GO:48001
EC:1.2.1.73 	" sulfoacetaldehyde dehydrogenase activity "	GO:102984
EC:1.2.1.74 	" abieta-7,13-dien-18-al dehydrogenase activity "	GO:36188
EC:1.2.1.79 	" succinate-semialdehyde dehydrogenase (NADP+) activity "	GO:36243
EC:1.2.1.8 	" betaine-aldehyde dehydrogenase activity "	GO:8802
EC:1.2.1.84 	" alcohol-forming long-chain fatty acyl-CoA reductase activity "	GO:102965
EC:1.2.1.88 	" 1-pyrroline-5-carboxylate dehydrogenase activity "	GO:3842
EC:1.2.1.89 	" glyceraldehyde dehydrogenase (NADP+) activity "	GO:43796
EC:1.2.1.9 	" glyceraldehyde-3-phosphate dehydrogenase (NADP+) (non-phosphorylating) activity "	GO:8886
EC:1.2.2.- 	" oxidoreductase activity, acting on the aldehyde or oxo group of donors, cytochrome as acceptor "	GO:16622
EC:1.2.2.1 	" formate dehydrogenase (cytochrome) activity "	GO:47898
EC:1.2.3.- 	" oxidoreductase activity, acting on the aldehyde or oxo group of donors, oxygen as acceptor "	GO:16623
EC:1.2.3.1 	" aldehyde oxidase activity "	GO:4031
EC:1.2.3.13 	" 4-hydroxyphenylpyruvate oxidase activity "	GO:18490
EC:1.2.3.14 	" abscisic aldehyde oxidase activity "	GO:10293
EC:1.2.3.3 	" pyruvate oxidase activity "	GO:47112
EC:1.2.3.4 	" oxalate oxidase activity "	GO:50162
EC:1.2.3.5 	" glyoxylate oxidase activity "	GO:47969
EC:1.2.3.6 	" pyruvate oxidase (CoA-acetylating) activity "	GO:50244
EC:1.2.3.7 	" indole-3-acetaldehyde oxidase activity "	GO:50302
EC:1.2.3.8 	" pyridoxal oxidase activity "	GO:4732
EC:1.2.4.- 	" oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor "	GO:16624
EC:1.2.4.1 	" pyruvate dehydrogenase (acetyl-transferring) activity "	GO:4739
EC:1.2.4.2 	" oxoglutarate dehydrogenase (succinyl-transferring) activity "	GO:4591
EC:1.2.4.4 	" 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity "	GO:3863
EC:1.2.5.- 	" oxidoreductase activity, acting on the aldehyde or oxo group of donors, with a quinone or similar compound as acceptor "	GO:52738
EC:1.2.5.1 	" pyruvate dehydrogenase (quinone) activity "	GO:52737
EC:1.2.5.2 	" aldehyde dehydrogenase (quinone) activity "	GO:47113
EC:1.2.5.3 	" carbon-monoxide oxygenase activity "	GO:8805
EC:1.2.7.- 	" oxidoreductase activity, acting on the aldehyde or oxo group of donors, iron-sulfur protein as acceptor "	GO:16625
EC:1.2.7.1 	" pyruvate synthase activity "	GO:19164
EC:1.2.7.12 	" formylmethanofuran dehydrogenase activity "	GO:18493
EC:1.2.7.3 	" 2-oxoglutarate synthase activity "	GO:47553
EC:1.2.7.5 	" aldehyde ferredoxin oxidoreductase activity "	GO:33726
EC:1.2.7.6 	" glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) activity "	GO:43797
EC:1.2.7.7 	" 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) activity "	GO:43807
EC:1.2.7.8 	" indolepyruvate ferredoxin oxidoreductase activity "	GO:43805
EC:1.2.98.1 	" formaldehyde dismutase activity "	GO:47895
EC:1.2.99.- 	" formate dehydrogenase (coenzyme F420) activity "	GO:43794
EC:1.2.99.6 	" carboxylate reductase activity "	GO:47770
EC:1.2.99.7 	" aldehyde dehydrogenase (FAD-independent) activity "	GO:33727
EC:1.2.99.8 	" glyceraldehyde oxidoreductase activity "	GO:43795
EC:1.20.-.- 	" oxidoreductase activity, acting on phosphorus or arsenic in donors "	GO:30613
EC:1.20.1.- 	" oxidoreductase activity, acting on phosphorus or arsenic in donors, with NAD(P)+ as acceptor "	GO:50499
EC:1.20.1.1 	" phosphonate dehydrogenase activity "	GO:50609
EC:1.20.4.- 	" oxidoreductase activity, acting on phosphorus or arsenic in donors, disulfide as acceptor "	GO:30614
EC:1.20.4.1 	" arsenate reductase (glutaredoxin) activity "	GO:8794
EC:1.20.4.2 	" methylarsonate reductase activity "	GO:50610
EC:1.20.9.- 	" oxidoreductase activity, acting on phosphorus or arsenic in donors, with a copper protein as acceptor "	GO:52882
EC:1.20.9.1 	" arsenate reductase (azurin) activity "	GO:50611
EC:1.20.98.- 	" oxidoreductase activity, acting on phosphorus or arsenic in donors, with other known acceptors "	GO:50522
EC:1.20.99.1 	" arsenate reductase (donor) activity "	GO:50612
EC:1.21.-.- 	" oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond "	GO:46992
EC:1.21.1.1 	" iodotyrosine deiodinase activity "	GO:140616
EC:1.21.1.2 	" 2,4-dichlorobenzoyl-CoA reductase activity "	GO:18516
EC:1.21.3.- 	" oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with oxygen as acceptor "	GO:46993
EC:1.21.3.1 	" isopenicillin-N synthase activity "	GO:16216
EC:1.21.3.10 	" hercynylcysteine sulfoxide synthase activity "	GO:61686
EC:1.21.3.2 	" columbamine oxidase activity "	GO:50455
EC:1.21.3.3 	" reticuline oxidase activity "	GO:50468
EC:1.21.3.4 	" sulochrin oxidase [(+)-bisdechlorogeodin-forming] activity "	GO:47064
EC:1.21.3.5 	" sulochrin oxidase [(-)-bisdechlorogeodin-forming] activity "	GO:47065
EC:1.21.3.7 	" delta9-tetrahydrocannabinolate synthase activity "	GO:102778
EC:1.21.3.8 	" cannabidiolate synthase activity "	GO:102779
EC:1.21.4.- 	" oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor "	GO:50485
EC:1.21.4.1 	" D-proline reductase activity "	GO:50002
EC:1.21.4.2 	" glycine reductase activity "	GO:30699
EC:1.21.4.3 	" sarcosine reductase activity "	GO:33794
EC:1.21.4.4 	" betaine reductase activity "	GO:33795
EC:1.21.99.1 	" beta-cyclopiazonate dehydrogenase activity "	GO:50448
EC:1.21.99.3 	" thyroxine 5-deiodinase activity "	GO:33798
EC:1.21.99.4 	" thyroxine 5'-deiodinase activity "	GO:4800
EC:1.21.99.5 	" tetrachloroethene reductive dehalogenase activity "	GO:50629
EC:1.23.5.1 	" violaxanthin de-epoxidase activity "	GO:46422
EC:1.3.-.- 	" oxidoreductase activity, acting on the CH-CH group of donors "	GO:16627
EC:1.3.1.- 	" oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor "	GO:16628
EC:1.3.1.1 	" dihydropyrimidine dehydrogenase (NAD+) activity "	GO:4159
EC:1.3.1.10 	" enoyl-[acyl-carrier-protein] reductase (NADPH) activity "	GO:141148
EC:1.3.1.103 	" 2-chloroacrylate reductase activity "	GO:102523
EC:1.3.1.104 	" enoyl-[acyl-carrier-protein] reductase (NADPH) activity "	GO:141148
EC:1.3.1.105 	" furaneol oxidoreductase activity "	GO:102978
EC:1.3.1.11 	" 2-coumarate reductase activity "	GO:47788
EC:1.3.1.12 	" prephenate dehydrogenase (NAD+) activity "	GO:8977
EC:1.3.1.13 	" prephenate dehydrogenase (NADP+) activity "	GO:4665
EC:1.3.1.14 	" dihydroorotate dehydrogenase (NAD+) activity "	GO:4589
EC:1.3.1.15 	" dihydroorotate dehydrogenase (NADP+) activity "	GO:50158
EC:1.3.1.16 	" beta-nitroacrylate reductase activity "	GO:47703
EC:1.3.1.17 	" 3-methyleneoxindole reductase activity "	GO:47567
EC:1.3.1.18 	" kynurenate-7,8-dihydrodiol dehydrogenase activity "	GO:47114
EC:1.3.1.19 	" cis-1,2-dihydrobenzene-1,2-diol dehydrogenase activity "	GO:18504
EC:1.3.1.2 	" dihydropyrimidine dehydrogenase (NADP+) activity "	GO:17113
EC:1.3.1.20 	" trans-1,2-dihydrobenzene-1,2-diol dehydrogenase activity "	GO:47115
EC:1.3.1.21 	" 7-dehydrocholesterol reductase activity "	GO:47598
EC:1.3.1.22 	" 3-oxo-5alpha-steroid 4-dehydrogenase (NADP+) activity "	GO:47751
EC:1.3.1.25 	" 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase activity "	GO:47116
EC:1.3.1.27 	" 2-hexadecenal reductase activity "	GO:47543
EC:1.3.1.28 	" 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity "	GO:8667
EC:1.3.1.29 	" cis-1,2-dihydro-1,2-dihydroxynaphthalene dehydrogenase activity "	GO:18505
EC:1.3.1.3 	" Delta4-3-oxosteroid 5beta-reductase activity "	GO:47787
EC:1.3.1.30 	" 3-oxo-5alpha-steroid 4-dehydrogenase (NADP+) activity "	GO:47751
EC:1.3.1.31 	" 2-enoate reductase activity "	GO:47540
EC:1.3.1.32 	" maleylacetate reductase activity "	GO:18506
EC:1.3.1.33 	" protochlorophyllide reductase activity "	GO:16630
EC:1.3.1.34 	" 2,4-dienoyl-CoA reductase (NADPH) activity "	GO:8670
EC:1.3.1.36 	" geissoschizine dehydrogenase activity "	GO:47920
EC:1.3.1.37 	" cis-2-enoyl-CoA reductase (NADPH) activity "	GO:47774
EC:1.3.1.38 	" trans-2-enoyl-CoA reductase (NADPH) activity "	GO:19166
EC:1.3.1.39 	" enoyl-[acyl-carrier-protein] reductase (NADPH) activity "	GO:141148
EC:1.3.1.40 	" 2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate reductase activity "	GO:47118
EC:1.3.1.41 	" xanthommatin reductase activity "	GO:50399
EC:1.3.1.42 	" 12-oxophytodienoate reductase activity "	GO:16629
EC:1.3.1.43 	" cyclohexadienyl dehydrogenase activity "	GO:47794
EC:1.3.1.44 	" trans-2-enoyl-CoA reductase (NADH) activity "	GO:50343
EC:1.3.1.45 	" 2'-hydroxyisoflavone reductase activity "	GO:47526
EC:1.3.1.46 	" biochanin-A reductase activity "	GO:47706
EC:1.3.1.47 	" alpha-santonin 1,2-reductase activity "	GO:47659
EC:1.3.1.49 	" cis-3,4-dihydrophenanthrene-3,4-diol dehydrogenase activity "	GO:18507
EC:1.3.1.5 	" cucurbitacin delta23-reductase activity "	GO:47791
EC:1.3.1.51 	" 2'-hydroxydaidzein reductase activity "	GO:47525
EC:1.3.1.53 	" (3S,4R)-3,4-dihydroxycyclohexa-1,5-diene-1,4-dicarboxylate dehydrogenase activity "	GO:47120
EC:1.3.1.54 	" precorrin-6A reductase activity "	GO:16994
EC:1.3.1.56 	" cis-2,3-dihydrobiphenyl-2,3-diol dehydrogenase activity "	GO:18509
EC:1.3.1.57 	" phloroglucinol reductase activity "	GO:18510
EC:1.3.1.58 	" 2,3-dihydroxy-2,3-dihydro-p-cumate dehydrogenase activity "	GO:18511
EC:1.3.1.6 	" fumarate reductase (NADH) activity "	GO:16156
EC:1.3.1.60 	" dibenzothiophene dihydrodiol dehydrogenase activity "	GO:18513
EC:1.3.1.62 	" pimeloyl-CoA dehydrogenase activity "	GO:18515
EC:1.3.1.64 	" phthalate 4,5-cis-dihydrodiol dehydrogenase activity "	GO:18517
EC:1.3.1.65 	" 5,6-dihydroxy-3-methyl-2-oxo-1,2,5,6-tetrahydroquinoline dehydrogenase activity "	GO:18518
EC:1.3.1.66 	" cis-dihydroethylcatechol dehydrogenase activity "	GO:18519
EC:1.3.1.67 	" cis-1,2-dihydroxy-4-methylcyclohexa-3,5-diene-1-carboxylate dehydrogenase activity "	GO:18520
EC:1.3.1.68 	" 1,2-dihydroxy-6-methylcyclohexa-3,5-dienecarboxylate dehydrogenase activity "	GO:18521
EC:1.3.1.69 	" zeatin reductase activity "	GO:50472
EC:1.3.1.7 	" meso-tartrate dehydrogenase activity "	GO:50092
EC:1.3.1.70 	" delta14-sterol reductase activity "	GO:50613
EC:1.3.1.71 	" delta24(24-1) sterol reductase activity "	GO:246
EC:1.3.1.72 	" delta24-sterol reductase activity "	GO:50614
EC:1.3.1.73 	" 1,2-dihydrovomilenine reductase activity "	GO:50615
EC:1.3.1.74 	" 2-alkenal reductase [NAD(P)+] activity "	GO:32440
EC:1.3.1.75 	" divinyl chlorophyllide a 8-vinyl-reductase activity "	GO:33728
EC:1.3.1.76 	" precorrin-2 dehydrogenase activity "	GO:43115
EC:1.3.1.77 	" anthocyanidin reductase activity "	GO:33729
EC:1.3.1.78 	" arogenate dehydrogenase (NADP+) activity "	GO:33730
EC:1.3.1.79 	" arogenate dehydrogenase [NAD(P)+] activity "	GO:33731
EC:1.3.1.8 	" acyl-CoA dehydrogenase (NADP+) activity "	GO:47616
EC:1.3.1.82 	" (-)-isopiperitenone reductase activity "	GO:52581
EC:1.3.1.83 	" geranylgeranyl diphosphate reductase activity "	GO:102067
EC:1.3.1.84 	" acryloyl-CoA reductase (NADPH) activity "	GO:43957
EC:1.3.1.89 	" tRNA-dihydrouridine47 synthase activity "	GO:102265
EC:1.3.1.9 	" enoyl-[acyl-carrier-protein] reductase (NADH) activity "	GO:4318
EC:1.3.1.91 	" tRNA-dihydrouridine20 synthase activity "	GO:102264
EC:1.3.1.93 	" very-long-chain enoyl-CoA reductase activity "	GO:102758
EC:1.3.1.94 	" polyprenol reductase activity "	GO:102389
EC:1.3.1.95 	" acryloyl-CoA reductase (NADH) activity "	GO:43958
EC:1.3.1.98 	" UDP-N-acetylmuramate dehydrogenase activity "	GO:8762
EC:1.3.1.n3 	" NADPH-dependent curcumin reductase activity "	GO:52849
EC:1.3.2.- 	" oxidoreductase activity, acting on the CH-CH group of donors, cytochrome as acceptor "	GO:16632
EC:1.3.2.3 	" galactonolactone dehydrogenase activity "	GO:16633
EC:1.3.3.- 	" oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor "	GO:16634
EC:1.3.3.10 	" tryptophan alpha,beta-oxidase activity "	GO:50621
EC:1.3.3.11 	" pyrroloquinoline-quinone synthase activity "	GO:33732
EC:1.3.3.12 	" L-galactonolactone oxidase activity "	GO:50024
EC:1.3.3.3 	" coproporphyrinogen oxidase activity "	GO:4109
EC:1.3.3.4 	" oxygen-dependent protoporphyrinogen oxidase activity "	GO:4729
EC:1.3.3.5 	" bilirubin oxidase activity "	GO:47705
EC:1.3.3.6 	" acyl-CoA oxidase activity "	GO:3997
EC:1.3.3.7 	" dihydrouracil oxidase activity "	GO:47857
EC:1.3.3.8 	" tetrahydroberberine oxidase activity "	GO:50328
EC:1.3.5.- 	" oxidoreductase activity, acting on the CH-CH group of donors, quinone or related compound as acceptor "	GO:16635
EC:1.3.5.1 	" succinate dehydrogenase (quinone) activity "	GO:8177
EC:1.3.5.2 	" dihydroorotate dehydrogenase (quinone) activity "	GO:106430
EC:1.3.7.- 	" oxidoreductase activity, acting on the CH-CH group of donors, iron-sulfur protein as acceptor "	GO:16636
EC:1.3.7.1 	" 6-hydroxynicotinate reductase activity "	GO:47595
EC:1.3.7.2 	" 15,16-dihydrobiliverdin:ferredoxin oxidoreductase activity "	GO:50617
EC:1.3.7.3 	" phycoerythrobilin:ferredoxin oxidoreductase activity "	GO:50618
EC:1.3.7.4 	" phytochromobilin:ferredoxin oxidoreductase activity "	GO:50619
EC:1.3.7.5 	" phycocyanobilin:ferredoxin oxidoreductase activity "	GO:50620
EC:1.3.7.8 	" benzoyl-CoA reductase activity "	GO:18522
EC:1.3.8.- 	" oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor "	GO:52890
EC:1.3.8.1 	" short-chain fatty acyl-CoA dehydrogenase activity "	GO:16937
EC:1.3.8.3 	" (R)-benzylsuccinyl-CoA dehydrogenase activity "	GO:33734
EC:1.3.8.4 	" isovaleryl-CoA dehydrogenase activity "	GO:8470
EC:1.3.8.6 	" glutaryl-CoA dehydrogenase activity "	GO:4361
EC:1.3.8.7 	" medium-chain fatty acyl-CoA dehydrogenase activity "	GO:70991
EC:1.3.8.8 	" long-chain fatty acyl-CoA dehydrogenase activity "	GO:4466
EC:1.3.8.9 	" very-long-chain fatty acyl-CoA dehydrogenase activity "	GO:17099
EC:1.3.98.1 	" dihydroorotate dehydrogenase (fumarate) activity "	GO:1990663
EC:1.3.98.3 	" coproporphyrinogen dehydrogenase activity "	GO:51989
EC:1.3.99.14 	" cyclohexanone dehydrogenase activity "	GO:47797
EC:1.3.99.16 	" isoquinoline 1-oxidoreductase activity "	GO:47121
EC:1.3.99.17 	" quinoline 2-oxidoreductase activity "	GO:18523
EC:1.3.99.18 	" quinaldate 4-oxidoreductase activity "	GO:47122
EC:1.3.99.19 	" quinoline-4-carboxylate 2-oxidoreductase activity "	GO:47123
EC:1.3.99.23 	" all-trans-retinol 13,14-reductase activity "	GO:51786
EC:1.3.99.25 	" carvone reductase activity "	GO:18494
EC:1.3.99.4 	" 3-oxosteroid 1-dehydrogenase activity "	GO:47571
EC:1.3.99.5 	" 3-oxo-5-alpha-steroid 4-dehydrogenase activity "	GO:3865
EC:1.3.99.6 	" 3-oxo-5-beta-steroid 4-dehydrogenase activity "	GO:47568
EC:1.3.99.8 	" 2-furoyl-CoA dehydrogenase activity "	GO:47542
EC:1.4.-.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors "	GO:16638
EC:1.4.1.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor "	GO:16639
EC:1.4.1.1 	" alanine dehydrogenase activity "	GO:286
EC:1.4.1.10 	" glycine dehydrogenase activity "	GO:47960
EC:1.4.1.11 	" L-erythro-3,5-diaminohexanoate dehydrogenase activity "	GO:47124
EC:1.4.1.12 	" 2,4-diaminopentanoate dehydrogenase activity "	GO:47530
EC:1.4.1.13 	" glutamate synthase (NADPH) activity "	GO:4355
EC:1.4.1.14 	" glutamate synthase (NADH) activity "	GO:16040
EC:1.4.1.15 	" lysine dehydrogenase activity "	GO:50069
EC:1.4.1.16 	" diaminopimelate dehydrogenase activity "	GO:47850
EC:1.4.1.17 	" N-methylalanine dehydrogenase activity "	GO:50132
EC:1.4.1.18 	" lysine 6-dehydrogenase activity "	GO:50303
EC:1.4.1.19 	" tryptophan dehydrogenase activity "	GO:50363
EC:1.4.1.2 	" glutamate dehydrogenase (NAD+) activity "	GO:4352
EC:1.4.1.20 	" phenylalanine dehydrogenase activity "	GO:50175
EC:1.4.1.21 	" aspartate dehydrogenase activity "	GO:33735
EC:1.4.1.23 	" valine dehydrogenase (NAD+) activity "	GO:43837
EC:1.4.1.24 	" dehydroquinate synthase activity "	GO:102042
EC:1.4.1.3 	" glutamate dehydrogenase [NAD(P)+] activity "	GO:4353
EC:1.4.1.4 	" glutamate dehydrogenase (NADP+) activity "	GO:4354
EC:1.4.1.5 	" L-amino-acid dehydrogenase activity "	GO:50018
EC:1.4.1.7 	" serine 2-dehydrogenase activity "	GO:50282
EC:1.4.1.8 	" valine dehydrogenase (NADP+) activity "	GO:50391
EC:1.4.1.9 	" L-leucine dehydrogenase activity "	GO:50049
EC:1.4.2.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, cytochrome as acceptor "	GO:16640
EC:1.4.2.1 	" glycine dehydrogenase (cytochrome) activity "	GO:47959
EC:1.4.3.1 	" D-aspartate oxidase activity "	GO:8445
EC:1.4.3.10 	" putrescine oxidase activity "	GO:50232
EC:1.4.3.11 	" L-glutamate oxidase activity "	GO:50025
EC:1.4.3.12 	" cyclohexylamine oxidase activity "	GO:18527
EC:1.4.3.13 	" protein-lysine 6-oxidase activity "	GO:4720
EC:1.4.3.14 	" L-lysine oxidase activity "	GO:50029
EC:1.4.3.15 	" D-glutamate(D-aspartate) oxidase activity "	GO:47819
EC:1.4.3.19 	" glycine oxidase activity "	GO:43799
EC:1.4.3.2 	" L-amino-acid oxidase activity "	GO:1716
EC:1.4.3.20 	" L-lysine 6-oxidase activity "	GO:33736
EC:1.4.3.3 	" D-amino-acid oxidase activity "	GO:3884
EC:1.4.3.4 	" monoamine oxidase activity "	GO:97621
EC:1.4.3.5 	" pyridoxamine phosphate oxidase activity "	GO:4733
EC:1.4.3.7 	" D-glutamate oxidase activity "	GO:47821
EC:1.4.3.8 	" ethanolamine oxidase activity "	GO:47883
EC:1.4.4.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor "	GO:16642
EC:1.4.4.2 	" glycine dehydrogenase (decarboxylating) activity "	GO:4375
EC:1.4.5.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, with a quinone or similar compound as acceptor "	GO:52585
EC:1.4.7.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, iron-sulfur protein as acceptor "	GO:16643
EC:1.4.7.1 	" glutamate synthase (ferredoxin) activity "	GO:16041
EC:1.4.9.- 	" oxidoreductase activity, acting on the CH-NH2 group of donors, with a copper protein as acceptor "	GO:52877
EC:1.4.9.1 	" methylamine dehydrogenase (amicyanin) activity "	GO:52876
EC:1.4.9.2 	" aralkylamine dehydrogenase (azurin) activity "	GO:30059
EC:1.4.99.2 	" taurine dehydrogenase activity "	GO:50323
EC:1.4.99.5 	" glycine dehydrogenase (cyanide-forming) activity "	GO:50622
EC:1.5.-.- 	" oxidoreductase activity, acting on the CH-NH group of donors "	GO:16645
EC:1.5.1.- 	" oxidoreductase activity, acting on the CH-NH group of donors, NAD or NADP as acceptor "	GO:16646
EC:1.5.1.1 	" pyrroline-2-carboxylate reductase activity "	GO:50241
EC:1.5.1.10 	" saccharopine dehydrogenase (NADP+, L-glutamate-forming) activity "	GO:4755
EC:1.5.1.11 	" D-octopine dehydrogenase activity "	GO:47830
EC:1.5.1.15 	" methylenetetrahydrofolate dehydrogenase (NAD+) activity "	GO:4487
EC:1.5.1.16 	" D-lysopine dehydrogenase activity "	GO:47827
EC:1.5.1.17 	" alanopine dehydrogenase activity "	GO:47636
EC:1.5.1.18 	" ephedrine dehydrogenase activity "	GO:47877
EC:1.5.1.19 	" D-nopaline dehydrogenase activity "	GO:47829
EC:1.5.1.2 	" pyrroline-5-carboxylate reductase activity "	GO:4735
EC:1.5.1.20 	" methylenetetrahydrofolate reductase (NAD(P)H) activity "	GO:4489
EC:1.5.1.21 	" delta1-piperideine-2-carboxylate reductase activity "	GO:47125
EC:1.5.1.22 	" strombine dehydrogenase activity "	GO:50305
EC:1.5.1.23 	" tauropine dehydrogenase activity "	GO:50325
EC:1.5.1.24 	" N5-(carboxyethyl)ornithine synthase activity "	GO:47126
EC:1.5.1.25 	" thiomorpholine-carboxylate dehydrogenase activity "	GO:47127
