"x"
"1" "UNINTEGRATED|g__Absiella.s__Absiella_dolichum"
"6228" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53"
"6229" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_coli"
"6230" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_fergusonii"
"6231" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Escherichia.s__Escherichia_marmotae"
"6232" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_eligens"
"6233" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_hallii"
"6234" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_ramulus"
"6235" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_36_13"
"6236" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_AF17_7"
"6237" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_An11"
"6238" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_CAG_161"
"6239" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_CAG_192"
"6240" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_CAG_252"
"6241" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_CAG_38"
"6242" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_sp_CAG_841"
"6243" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Eubacterium.s__Eubacterium_ventriosum"
"6244" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii"
"6245" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Faecalicatena.s__Faecalicatena_contorta"
"6246" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Faecalitalea.s__Faecalitalea_cylindroides"
"6247" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_AF16_15"
"6248" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_102"
"6249" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_145"
"6250" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_170"
"6251" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_238"
"6252" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_240"
"6253" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_555"
"6254" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_65_45_313"
"6255" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Flavonifractor.s__Flavonifractor_plautii"
"6256" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans"
"6257" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Fusobacterium.s__Fusobacterium_mortiferum"
"6258" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Gemmiger.s__Gemmiger_sp_An87"
"6259" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haemophilus.s__Haemophilus_influenzae"
"6260" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haemophilus.s__Haemophilus_parainfluenzae"
"6261" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Haemophilus.s__Haemophilus_pittmaniae"
"6262" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Hafnia.s__Hafnia_paralvei"
"6263" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Holdemanella.s__Holdemanella_biformis"
"6264" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Hungatella.s__Hungatella_effluvii"
"6265" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Hungatella.s__Hungatella_hathewayi"
"6266" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Intestinibacter.s__Intestinibacter_bartlettii"
"6267" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Intestinimonas.s__Intestinimonas_butyriciproducens"
"6268" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_aerogenes"
"6269" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_grimontii"
"6270" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_michiganensis"
"6271" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_oxytoca"
"6272" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_pneumoniae"
"6273" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_quasipneumoniae"
"6274" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Klebsiella.s__Klebsiella_variicola"
"6275" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Kluyvera.s__Kluyvera_ascorbata"
"6276" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Kluyvera.s__Kluyvera_cryocrescens"
"6277" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Kosakonia.s__Kosakonia_sacchari"
"6278" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_aldenense"
"6279" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_asparagiforme"
"6280" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_citroniae"
"6281" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_clostridioforme"
"6282" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_lavalense"
"6283" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_saccharolyticum"
"6284" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_scindens"
"6285" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Clostridium_symbiosum"
"6286" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Lachnoclostridium_sp_An131"
"6287" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnoclostridium.s__Lachnoclostridium_sp_An138"
"6288" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnospira.s__Lachnospira_pectinoschiza"
"6289" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale"
"6290" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lactobacillus.s__Lactobacillus_fermentum"
"6291" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lactobacillus.s__Lactobacillus_ruminis"
"6292" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lactobacillus.s__Lactobacillus_salivarius"
"6293" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lactococcus.s__Lactococcus_lactis"
"6294" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus"
"6295" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Leclercia.s__Leclercia_adecarboxylata"
"6296" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Megamonas.s__Megamonas_funiformis"
"6297" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Megamonas.s__Megamonas_hypermegale"
"6298" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Megamonas.s__Megamonas_rupellensis"
"6299" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Megasphaera.s__Megasphaera_sp_DISK_18"
"6300" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Megasphaera.s__Megasphaera_sp_MJR8396C"
"6301" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Mesosutterella.s__Mesosutterella_multiformis"
"6302" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Methanomassiliicoccus.s__Candidatus_Methanomassiliicoccus_intestinalis"
"6303" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Mitsuokella.s__Mitsuokella_multacida"
"6304" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Morganella.s__Morganella_morganii"
"6305" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Odoribacter.s__Odoribacter_laneus"
"6306" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Odoribacter.s__Odoribacter_splanchnicus"
"6307" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Olsenella.s__Olsenella_sp_An188"
"6308" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Oscillibacter.s__Oscillibacter_sp_CAG_241"
"6309" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Oxalobacter.s__Oxalobacter_formigenes"
"6310" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parabacteroides.s__Parabacteroides_distasonis"
"6311" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parabacteroides.s__Parabacteroides_goldsteinii"
"6312" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parabacteroides.s__Parabacteroides_johnsonii"
"6313" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parabacteroides.s__Parabacteroides_merdae"
"6314" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parascardovia.s__Parascardovia_denticolens"
"6315" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Parasutterella.s__Parasutterella_excrementihominis"
"6316" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Peptoniphilus.s__Peptoniphilus_coxii"
"6317" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Peptostreptococcus.s__Peptostreptococcus_anaerobius"
"6318" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Phascolarctobacterium.s__Phascolarctobacterium_faecium"
"6319" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Phascolarctobacterium.s__Phascolarctobacterium_sp_CAG_266"
"6320" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Phascolarctobacterium.s__Phascolarctobacterium_succinatutens"
"6321" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Porphyromonas.s__Porphyromonas_asaccharolytica"
"6322" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Porphyromonas.s__Porphyromonas_uenonis"
"6323" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Prevotella.s__Prevotella_sp_CAG_1031"
"6324" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Proteus.s__Proteus_mirabilis"
"6325" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Proteus.s__Proteus_penneri"
"6326" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Pseudomonas.s__Pseudomonas_aeruginosa"
"6327" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Pseudomonas.s__Pseudomonas_aeruginosa_group"
"6328" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Raoultella.s__Raoultella_planticola"
"6329" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_faecis"
"6330" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_hominis"
"6331" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_intestinalis"
"6332" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_sp_CAG_182"
"6333" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_sp_CAG_303"
"6334" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Roseburia.s__Roseburia_sp_CAG_380"
"6335" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Ruminococcaceae_unclassified.s__Clostridium_leptum"
"6336" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Ruminococcus.s__Ruminococcus_lactaris"
"6337" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Ruminococcus.s__Ruminococcus_sp_CAG_382"
"6338" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Ruthenibacterium.s__Ruthenibacterium_lactatiformans"
"6339" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Sanguibacteroides.s__Sanguibacteroides_justesenii"
"6340" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Scardovia.s__Scardovia_wiggsiae"
"6341" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Slackia.s__Slackia_isoflavoniconvertens"
"6342" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Staphylococcus.s__Staphylococcus_epidermidis"
"6343" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_agalactiae"
"6344" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_equinus"
"6345" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_gallolyticus"
"6346" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_infantarius"
"6347" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_lutetiensis"
"6348" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_macedonicus"
"6349" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_mitis"
"6350" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_oralis"
"6351" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_pasteurianus"
"6352" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_pneumoniae"
"6353" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_salivarius"
"6354" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_thermophilus"
"6355" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Streptococcus.s__Streptococcus_vestibularis"
"6356" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Subdoligranulum.s__Subdoligranulum_sp_APC924_74"
"6357" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Succinatimonas.s__Succinatimonas_sp_CAG_777"
"6358" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Sutterella.s__Sutterella_sp_CAG_397"
"6359" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Sutterella.s__Sutterella_wadsworthensis"
"6360" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Terrisporobacter.s__Terrisporobacter_othiniensis"
"6361" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Turicibacter.s__Turicibacter_sanguinis"
"6362" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Turicimonas.s__Turicimonas_muris"
"6363" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_atypica"
"6364" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_dispar"
"6365" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_infantium"
"6366" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_parvula"
"6367" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_rogosae"
"6368" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|g__Veillonella.s__Veillonella_seminalis"
"6369" "NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I|unclassified"
"6370" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Acidaminococcus.s__Acidaminococcus_intestini"
"6371" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Anaerotruncus.s__Anaerotruncus_colihominis"
"6372" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_adolescentis"
"6373" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_animalis"
"6374" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_bifidum"
"6375" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_breve"
"6376" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_catenulatum"
"6377" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_dentium"
"6378" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_gallinarum"
"6379" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_longum"
"6380" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Bifidobacterium.s__Bifidobacterium_pseudocatenulatum"
"6381" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Candidatus_Stoquefichus.s__Candidatus_Stoquefichus_sp_KLE1796"
"6382" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Catenibacterium.s__Catenibacterium_mitsuokai"
"6383" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Citrobacter.s__Citrobacter_freundii"
"6384" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridiales_unclassified.s__Clostridiales_bacterium_CHKCI006"
"6385" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridioides.s__Clostridioides_difficile"
"6386" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_butyricum"
"6387" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_celatum"
"6388" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_disporicum"
"6389" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_neonatale"
"6390" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_paraputrificum"
"6391" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_perfringens"
"6392" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Clostridium.s__Clostridium_sp_CAG_221"
"6393" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Desulfovibrio.s__Desulfovibrio_fairfieldensis"
"6394" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Desulfovibrio.s__Desulfovibrio_piger"
"6395" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Dialister.s__Dialister_sp_CAG_486"
"6396" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Eggerthella.s__Eggerthella_lenta"
"6397" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Eggerthella.s__Eggerthella_sp_CAG_209"
"6398" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterobacter.s__Enterobacter_cloacae"
"6399" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_avium"
"6400" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_casseliflavus"
"6401" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_faecalis"
"6402" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_faecium"
"6403" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_gallinarum"
"6404" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_hirae"
"6405" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enterococcus.s__Enterococcus_thailandicus"
"6406" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Enteroscipio.s__Enteroscipio_rubneri"
"6407" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Erysipelatoclostridium.s__Clostridium_innocuum"
"6408" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Erysipelatoclostridium.s__Clostridium_spiroforme"
"6409" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum"
"6410" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Escherichia.s__Escherichia_coli"
"6411" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Escherichia.s__Escherichia_fergusonii"
"6412" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Faecalitalea.s__Faecalitalea_cylindroides"
"6413" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Fusobacterium.s__Fusobacterium_nucleatum"
"6414" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Haemophilus.s__Haemophilus_parainfluenzae"
"6415" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_aerogenes"
"6416" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_michiganensis"
"6417" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_oxytoca"
"6418" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_pneumoniae"
"6419" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_quasipneumoniae"
"6420" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Klebsiella.s__Klebsiella_variicola"
"6421" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_animalis"
"6422" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_gasseri"
"6423" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_paragasseri"
"6424" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_ruminis"
"6425" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactobacillus.s__Lactobacillus_salivarius"
"6426" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Lactococcus.s__Lactococcus_lactis"
"6427" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Massiliomicrobiota.s__Massiliomicrobiota_timonensis"
"6428" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Megamonas.s__Megamonas_funiformis"
"6429" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Megasphaera.s__Megasphaera_elsdenii"
"6430" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Megasphaera.s__Megasphaera_sp_DISK_18"
"6431" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Megasphaera.s__Megasphaera_sp_MJR8396C"
"6432" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Mesosutterella.s__Mesosutterella_multiformis"
"6433" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Mitsuokella.s__Mitsuokella_multacida"
"6434" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Oscillibacter.s__Oscillibacter_sp_CAG_241"
"6435" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Parasutterella.s__Parasutterella_excrementihominis"
"6436" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Roseburia.s__Roseburia_hominis"
"6437" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Ruminococcus.s__Ruminococcus_champanellensis"
"6438" "OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)|g__Ruminococcus.s__Ruminococcus_sp_CAG_177"
