"","ERR209376","ERR209378","ERR209953","ERR209336","ERR209085","ERR209164","ERR209088","ERR209298","ERR209375","ERR209310","ERR209096","ERR210202","ERR209487","ERR209118","ERR209160","ERR209266","ERR209379","ERR209415","ERR209371","ERR210263","ERR209448","ERR209354","ERR209380","ERR209296","ERR209300","ERR209373","ERR209299","ERR209286","ERR209287","ERR209223","ERR209312"
"2.3.1.245",0,1,0,0,2,0,3,0,0,2,0,0,1,9,1,0,0,2,2,0,1,0,0,3,0,0,0,4,2,1,0
"2.3.1.247",0,1,0,0,2,0,5,0,1,4,0,0,0,3,1,0,0,1,1,0,0,1,0,3,0,0,0,5,1,0,0
"2.3.1.266",1,2,0,0,2,1,7,1,1,11,2,0,1,6,4,1,1,5,4,0,1,1,1,5,2,0,1,2,2,4,0
"2.3.1.274",3,0,0,1,7,4,10,3,1,10,4,0,1,7,5,0,2,5,6,1,5,3,3,9,2,0,2,3,2,7,0
"2.3.1.275",0,1,0,1,1,1,2,0,0,3,2,0,0,7,3,0,2,1,5,0,1,1,0,1,0,0,1,1,2,3,0
"2.3.2.5",0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,1,0,0,0
"2.3.2.6",1,0,1,0,0,0,0,0,2,1,4,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,2,0,0
"2.3.2.12",3,1,0,0,4,2,15,1,2,20,5,0,1,7,4,0,1,4,14,0,0,2,0,11,4,0,0,3,1,6,0
"2.3.2.27",0,1,0,0,0,1,1,0,0,2,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
"2.3.3.1",3,0,0,0,1,1,3,1,1,4,3,0,0,8,1,0,1,2,2,0,2,0,0,4,1,0,0,1,0,2,0
"2.3.3.13",8,5,6,3,16,17,35,5,11,26,17,2,4,31,12,7,5,16,24,0,13,2,3,24,15,3,7,18,5,16,4
"2.4.1.1",17,14,2,5,52,32,80,16,18,78,29,1,13,56,16,6,9,21,68,2,24,6,8,54,34,7,13,37,11,47,4
"2.4.1.8",2,0,0,0,8,1,7,0,3,3,2,0,0,3,0,1,0,1,5,0,2,1,0,6,3,0,0,2,0,0,0
"2.4.1.12",0,0,0,0,0,0,3,0,0,0,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
"2.4.1.15",1,0,1,0,1,3,4,2,2,5,2,0,2,3,3,6,0,6,3,1,1,2,0,7,2,0,2,4,2,0,0
"2.4.1.18",8,4,4,3,37,19,70,15,13,67,26,1,12,53,22,3,10,40,62,2,14,17,10,51,19,3,8,33,11,34,3
"2.4.1.19",0,0,0,0,0,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"2.4.1.20",5,2,0,5,17,17,24,9,7,25,13,0,2,20,3,1,1,8,16,0,11,5,2,26,10,1,5,4,1,24,2
"2.4.1.21",3,2,0,1,5,5,6,1,5,9,4,0,0,8,2,0,3,10,9,0,2,2,0,6,5,1,0,3,0,10,0
"2.4.1.25",8,5,0,3,19,15,42,2,11,37,21,0,2,29,12,0,3,15,25,0,11,3,4,36,16,1,8,19,7,23,1
"2.4.1.31",3,0,0,2,1,8,6,3,0,14,5,0,2,8,2,1,0,0,5,0,2,2,0,5,8,2,2,0,0,7,0
"2.4.1.129",1,1,0,0,6,7,10,3,3,14,2,1,1,13,3,1,3,7,8,0,9,3,2,6,1,0,2,5,4,8,0
"2.4.1.187",0,1,0,0,0,0,2,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,1,3,1,0,1,0,1,2,0
"2.4.1.211",1,1,0,1,6,4,12,4,6,7,4,0,0,7,5,1,1,4,12,1,5,1,0,11,3,0,3,4,1,9,2
"2.4.1.280",0,0,0,1,3,1,7,0,0,8,4,0,0,0,1,0,0,0,4,0,2,0,0,3,3,0,0,1,0,3,1
"2.4.1.281",1,0,2,4,8,5,7,3,3,10,3,1,1,15,5,1,1,6,12,0,4,4,0,11,5,1,2,12,2,9,1
"2.4.1.319",9,1,2,2,13,9,18,2,7,9,4,2,3,18,4,2,2,9,20,0,9,7,2,9,5,2,3,16,3,8,1
"2.4.2.1",9,10,2,4,18,10,44,7,6,28,11,1,2,27,16,7,7,14,28,1,12,6,7,20,11,1,2,20,8,16,2
"2.4.2.2",0,1,0,0,11,2,5,1,0,6,2,0,0,4,3,0,2,3,2,0,4,0,4,3,0,0,1,8,3,2,0
"2.4.2.3",1,0,0,0,2,2,9,1,1,8,1,0,0,9,1,2,1,2,9,0,1,4,1,6,0,0,0,6,3,2,0
"2.4.2.7",3,0,0,3,7,4,11,5,2,15,7,0,1,11,2,1,0,8,13,0,7,5,0,10,5,1,6,4,1,7,0
"2.4.2.8",2,5,0,2,14,6,24,6,6,29,5,0,6,17,4,0,6,7,24,0,5,6,4,11,7,0,4,14,6,13,4
"2.4.2.9",3,8,1,1,23,5,36,1,4,35,6,1,5,23,7,1,8,7,23,1,5,5,8,16,9,0,5,12,4,12,3
"2.4.2.10",4,4,3,3,10,6,16,2,9,14,8,0,7,18,9,2,4,7,22,0,6,3,3,18,7,0,3,11,4,10,1
"2.4.2.14",3,3,2,2,12,4,18,2,11,21,4,0,5,16,8,4,3,7,20,0,6,5,2,18,7,0,1,6,3,11,3
"2.4.2.15",56,87,20,24,142,110,306,68,79,232,101,6,45,251,114,39,86,119,239,4,96,53,94,202,116,28,69,172,63,113,44
"2.4.2.17",3,1,2,1,4,6,13,2,4,11,9,1,0,15,9,2,1,8,13,0,3,3,1,11,7,2,3,6,0,8,1
"2.4.2.18",0,0,1,0,3,2,2,1,1,4,1,1,2,9,1,0,0,1,5,0,0,1,0,4,1,0,1,0,0,4,0
"2.4.2.19",4,0,2,1,7,6,8,3,9,18,8,0,2,24,9,5,0,9,17,1,2,9,0,14,6,1,1,7,1,6,1
"2.4.2.21",0,0,0,0,0,1,5,0,0,1,1,0,0,4,1,2,0,1,0,0,0,1,0,2,1,0,0,2,2,1,0
"2.4.2.22",7,4,2,1,5,4,17,4,4,23,8,0,5,17,6,3,6,10,16,0,9,3,4,15,5,0,1,12,2,8,1
"2.4.2.28",0,0,0,0,2,0,2,0,0,0,0,0,1,2,2,0,0,0,2,0,1,1,0,0,0,0,0,1,1,1,0
"2.4.2.29",6,11,1,1,27,3,48,5,14,35,13,0,6,31,15,4,15,17,28,0,12,9,14,33,12,0,8,20,5,13,3
"2.4.2.30",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
"2.5.1.3",1,0,0,1,1,4,3,0,3,3,2,0,1,3,2,0,0,2,4,0,1,0,1,5,2,0,0,1,0,5,1
"2.5.1.6",13,14,4,4,36,23,72,8,13,56,14,0,8,64,17,9,16,33,63,0,22,13,20,55,22,4,14,46,11,27,6
"2.5.1.7",14,12,1,0,40,6,54,8,14,42,14,1,9,42,17,1,16,16,34,0,19,5,14,52,11,2,12,30,4,20,10
"2.5.1.9",1,0,0,1,1,1,3,0,0,0,0,0,0,2,1,2,0,0,3,0,1,1,0,3,1,0,0,0,0,1,0
"2.5.1.10",0,1,0,0,4,3,6,2,0,2,2,0,0,6,2,1,1,5,3,0,1,0,2,1,0,0,0,2,2,1,0
"2.5.1.15",3,2,2,2,6,4,11,2,1,11,11,0,1,11,8,6,0,10,16,0,4,3,1,12,4,1,2,7,3,11,1
"2.5.1.16",2,0,0,0,2,3,5,0,2,5,1,0,1,4,2,0,0,6,8,0,2,1,1,2,3,0,2,3,2,2,0
"2.5.1.17",4,0,3,1,4,4,7,0,5,9,1,0,0,9,2,2,1,8,8,0,3,3,1,8,2,0,1,9,1,1,0
"2.5.1.18",0,0,0,1,0,0,0,0,0,1,2,0,0,6,0,6,0,2,0,0,0,0,0,0,0,0,1,3,3,0,0
"2.5.1.19",2,0,1,0,4,5,3,0,2,5,2,0,1,8,4,1,0,2,8,0,2,1,0,10,2,0,2,1,2,4,0
"2.5.1.30",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
"2.5.1.31",0,3,0,0,10,6,9,2,1,12,2,0,1,14,8,1,5,2,13,0,6,5,3,8,2,1,3,5,1,3,1
"2.5.1.47",7,3,6,1,14,9,23,3,8,20,6,1,0,30,9,5,6,12,21,1,5,4,6,19,5,4,8,15,4,13,2
"2.5.1.49",3,1,4,3,4,7,8,1,4,14,2,0,0,10,4,1,0,3,12,0,0,1,0,6,3,1,1,10,0,2,0
"2.5.1.54",0,3,0,0,2,0,5,0,0,2,1,0,0,7,3,3,1,2,3,0,0,0,0,0,0,0,1,1,4,2,0
"2.5.1.55",1,1,3,1,4,2,7,1,4,7,6,0,1,16,6,4,2,11,10,0,2,4,3,5,1,0,4,5,4,3,0
"2.5.1.61",2,0,0,0,2,1,5,1,3,5,4,0,2,7,1,1,0,5,3,0,1,1,0,5,2,0,1,2,2,3,0
"2.5.1.72",5,0,2,2,2,5,9,1,9,13,4,0,2,16,6,4,1,8,17,0,4,5,0,13,5,0,1,11,2,6,1
"2.5.1.75",8,5,2,1,14,7,31,2,9,30,9,0,3,18,4,2,2,10,23,0,6,5,5,25,8,0,3,12,6,13,4
"2.5.1.78",7,0,0,2,2,3,9,4,5,10,7,0,1,15,6,3,2,6,14,0,4,5,1,12,4,0,3,3,0,8,1
"2.5.1.90",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"2.5.1.92",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"2.5.1.108",1,1,0,0,4,2,6,1,2,6,2,0,0,2,2,0,1,3,4,0,1,2,1,5,2,0,1,4,0,0,0
"2.5.1.129",0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0
"2.6.1.1",7,8,5,3,23,3,35,4,12,39,14,0,4,35,10,7,6,18,37,0,11,10,8,30,7,0,7,22,5,20,4
"2.6.1.2",2,0,0,0,2,0,3,1,3,3,4,0,1,5,3,2,0,2,12,0,1,2,0,6,1,0,2,0,2,2,1
"2.6.1.7",1,4,0,0,0,2,8,0,0,5,0,0,2,8,1,0,2,2,1,0,0,0,4,6,0,0,2,2,0,2,1
"2.6.1.11",2,0,1,0,5,3,5,2,3,9,6,0,0,5,4,1,2,6,9,0,4,1,0,8,3,1,0,3,1,6,0
"2.6.1.16",12,15,7,5,34,16,66,9,17,62,22,1,14,56,21,10,15,18,47,0,19,18,13,57,19,3,10,33,14,25,11
"2.6.1.19",1,1,0,0,4,1,1,0,1,4,0,0,0,3,1,0,0,1,1,1,2,0,0,4,1,0,0,4,0,2,0
"2.6.1.37",2,0,3,1,2,2,7,2,0,7,4,0,0,17,3,4,0,11,8,0,1,1,0,7,6,0,1,6,1,0,0
"2.6.1.42",7,6,2,3,17,12,29,4,10,37,15,0,4,26,17,5,5,20,31,1,12,10,6,28,15,1,4,18,6,18,3
"2.6.1.52",7,7,5,6,27,16,45,5,17,40,17,0,8,45,14,6,9,15,41,0,10,5,10,29,16,1,10,25,6,23,2
"2.6.1.59",1,1,0,0,5,7,9,1,3,10,2,0,4,7,0,0,0,0,12,0,1,2,0,5,0,0,1,3,2,3,2
"2.6.1.62",1,0,3,0,1,1,5,0,6,3,5,1,1,14,2,1,0,13,14,0,4,5,0,7,1,0,1,4,4,2,0
"2.6.1.81",0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1
"2.6.1.83",2,2,0,3,6,5,16,1,4,18,8,2,6,17,5,1,4,11,18,1,7,4,3,23,4,0,0,13,1,19,1
"2.6.1.98",2,1,0,0,0,0,3,1,4,0,0,0,0,6,3,0,2,3,2,0,0,0,3,5,2,1,1,1,0,0,0
"2.6.1.102",0,0,0,1,1,0,1,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"2.6.1.106",0,0,0,0,3,2,4,0,0,2,1,0,0,1,1,0,0,0,1,0,1,2,1,1,1,0,0,1,0,1,0
"2.6.1.109",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2.6.99.2",4,1,5,2,3,4,6,0,4,10,3,0,1,12,5,2,2,7,13,0,4,8,1,9,4,0,0,8,3,1,0
"2.7.1.2",0,0,1,1,2,1,3,0,0,0,0,0,0,4,1,1,1,0,3,0,1,1,0,0,0,0,1,3,1,0,0
"2.7.1.4",1,0,0,0,2,2,5,3,2,4,2,0,0,3,0,2,0,3,6,0,2,0,0,6,2,1,2,1,0,3,1
"2.7.1.5",1,0,2,1,4,5,9,0,2,6,4,0,1,5,4,1,2,4,9,0,3,6,0,8,3,0,0,5,2,4,0
"2.7.1.6",5,1,1,1,9,6,8,3,4,11,8,0,1,9,5,1,1,2,13,0,6,3,1,3,4,0,3,4,1,8,1
"2.7.1.11",16,4,8,5,24,22,50,14,12,50,16,3,9,42,14,14,13,21,41,1,17,16,5,42,20,2,13,26,13,23,3
"2.7.1.15",0,1,2,0,5,4,5,0,2,6,5,0,2,6,0,2,1,4,9,0,2,4,0,2,2,0,1,9,4,2,0
"2.7.1.16",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"2.7.1.17",2,2,0,0,5,4,9,2,2,7,5,0,0,4,1,2,1,2,6,1,3,1,3,10,1,0,0,6,2,2,0
"2.7.1.21",1,1,3,0,4,2,6,1,0,4,5,0,0,6,4,1,0,7,5,0,5,1,2,7,1,1,1,5,1,2,0
"2.7.1.25",2,0,1,2,0,4,2,1,2,4,3,0,1,6,3,1,0,2,3,0,1,2,0,5,0,1,0,2,0,1,0
"2.7.1.30",4,13,3,4,23,7,31,6,9,51,15,0,7,48,18,4,8,11,25,0,10,8,13,23,10,0,4,11,5,17,2
"2.7.1.31",1,1,0,0,5,0,9,0,1,2,4,0,0,7,0,0,0,1,4,0,1,0,1,5,1,0,0,4,2,1,0
"2.7.1.32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2.7.1.33",1,0,0,1,0,1,0,1,1,5,1,0,0,2,1,0,0,1,1,0,0,1,0,3,2,0,1,0,0,2,0
"2.7.1.35",5,2,1,0,3,7,9,3,3,12,4,1,0,20,4,3,3,6,15,2,4,7,4,7,4,0,1,3,2,0,1
"2.7.1.39",0,0,0,0,0,0,1,0,0,0,2,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
"2.7.1.40",12,9,4,2,26,9,48,12,14,34,12,0,7,35,17,7,10,17,39,1,17,5,7,39,15,3,11,16,4,17,5
"2.7.1.45",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2.7.1.48",3,2,2,2,6,6,15,1,6,12,4,0,2,16,6,2,2,6,12,0,7,5,2,12,4,1,1,9,4,2,0
"2.7.1.50",1,0,0,0,1,0,2,0,0,1,2,0,0,4,2,0,0,0,3,0,0,1,0,2,0,0,0,1,0,3,1
"2.7.1.51",2,2,2,0,6,1,3,0,1,3,2,0,0,5,1,1,3,1,4,0,1,2,1,1,1,0,1,3,1,0,0
"2.7.1.56",3,1,0,1,5,4,5,2,4,15,6,0,5,8,2,0,0,6,18,0,2,4,0,11,2,0,1,4,0,9,2
"2.7.1.69",6,1,0,0,6,4,14,2,3,25,16,0,6,29,8,18,2,9,25,0,3,5,0,14,5,0,4,5,15,2,1
"2.7.1.71",1,2,2,1,4,4,6,1,1,5,5,0,3,7,2,3,0,6,8,0,0,2,0,4,2,0,1,3,2,1,0
"2.7.1.90",6,3,7,5,10,8,17,5,13,15,8,1,6,25,10,3,1,16,19,0,10,8,4,22,4,2,3,17,2,8,0
"2.7.1.95",0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2.7.1.130",2,0,1,0,0,1,2,0,3,2,0,0,0,2,0,0,0,4,3,0,1,1,0,2,0,0,0,3,0,0,0
"2.7.1.162",3,2,0,2,6,4,14,1,3,8,5,0,1,9,7,2,2,8,10,0,4,4,1,7,4,4,1,8,0,7,2
"2.7.1.167",1,0,0,0,1,1,1,0,2,2,0,1,0,0,1,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0
"2.7.1.180",0,1,0,0,3,1,3,0,0,0,2,0,1,1,0,2,1,2,3,0,0,0,0,3,0,0,0,1,2,2,0
"2.7.2.1",5,8,2,2,15,6,25,3,6,29,6,2,7,24,9,4,9,15,23,1,9,3,8,25,13,3,5,14,3,12,3
"2.7.2.2",1,2,0,1,7,4,9,1,2,11,6,0,1,14,2,3,0,0,7,0,3,2,1,8,4,0,2,7,1,5,1
"2.7.2.3",13,11,5,5,34,12,53,9,14,45,19,0,11,38,12,5,11,10,34,1,15,5,13,33,19,1,10,31,9,24,8
"2.7.2.4",20,4,7,3,25,14,54,12,13,48,19,0,11,47,22,5,6,28,48,3,33,14,4,43,18,2,9,28,9,21,3
"2.7.2.7",2,1,1,1,11,5,15,0,4,8,4,0,2,13,7,1,2,7,13,0,5,6,0,10,5,0,1,12,1,5,2
"2.7.2.8",4,1,0,0,10,5,19,3,6,20,10,0,2,17,6,1,2,8,10,0,8,7,3,17,8,0,2,5,0,13,1
"2.7.2.11",2,1,0,0,4,4,11,1,2,5,2,0,1,10,3,0,1,7,4,0,3,1,1,9,4,0,2,5,2,7,0
"2.7.3.9",4,1,1,1,6,9,19,3,7,30,12,0,2,25,8,7,1,9,23,1,12,5,3,21,8,0,5,4,7,17,1
"2.7.4.1",11,1,5,5,11,12,24,5,9,25,23,1,8,36,14,7,1,26,37,0,7,7,2,19,8,3,7,12,7,8,1
"2.7.4.3",2,7,1,2,17,5,26,2,3,23,3,0,4,24,10,3,5,4,21,0,7,7,4,17,9,2,8,14,2,11,0
"2.7.4.6",1,1,2,1,3,3,4,0,0,4,3,0,2,11,6,3,0,3,7,0,1,4,2,5,3,0,1,4,4,1,0
"2.7.4.7",7,1,1,3,5,10,11,3,12,21,9,0,2,28,10,1,0,13,21,0,8,4,2,19,7,0,3,9,2,10,3
"2.7.4.8",2,6,0,1,14,5,25,1,5,19,4,0,5,17,8,2,3,11,19,0,6,6,3,18,4,0,3,12,1,8,2
"2.7.4.9",0,0,0,0,3,0,3,0,1,4,1,0,0,6,3,0,0,3,2,0,0,2,0,4,1,0,0,1,0,2,0
"2.7.4.14",0,1,2,1,3,3,7,0,0,3,3,0,1,3,6,0,1,6,8,0,1,1,1,3,1,0,1,4,0,3,0
"2.7.4.16",0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2.7.4.22",5,6,2,2,20,7,22,5,7,16,6,0,5,22,13,2,9,14,19,0,5,7,5,17,8,0,2,12,3,7,3
"2.7.6.1",2,7,4,3,13,7,32,1,9,16,6,0,4,28,11,2,6,14,8,1,4,7,8,9,6,2,0,18,4,8,1
"2.7.6.2",3,1,4,0,3,3,6,1,3,5,2,0,1,4,2,1,1,4,11,0,2,4,1,6,2,1,0,5,0,0,0
"2.7.6.5",15,11,5,5,37,23,65,11,19,75,22,0,10,56,25,5,12,31,47,0,22,19,8,60,23,1,10,34,15,36,9
"2.7.7.n1",8,2,0,0,6,4,12,1,4,10,6,1,2,11,7,0,2,8,12,0,3,1,3,11,2,0,1,12,3,9,3
"2.7.7.3",5,6,0,1,12,7,20,2,3,25,8,0,1,19,6,1,6,14,20,0,3,10,3,22,5,0,2,15,2,12,1
"2.7.7.4",6,2,4,2,5,5,9,2,7,7,8,3,0,21,2,6,0,5,11,0,3,7,1,16,8,1,4,5,2,8,1
"2.7.7.6",52,76,23,22,187,116,328,64,65,265,101,7,57,276,130,61,73,123,210,2,95,57,59,212,122,23,56,153,75,127,33
"2.7.7.7",51,55,13,22,163,71,298,50,66,244,110,2,36,256,89,29,67,107,236,3,83,56,61,213,78,10,50,135,64,110,34
"2.7.7.8",19,20,8,6,45,21,92,17,17,62,28,2,15,63,27,10,20,28,59,1,29,17,22,66,27,3,20,40,14,35,5
"2.7.7.9",1,4,0,0,4,1,6,2,0,6,1,0,0,8,3,3,4,5,3,0,1,1,3,3,1,0,2,2,4,2,1
"2.7.7.18",0,1,0,0,0,1,1,1,1,2,1,0,2,3,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
"2.7.7.19",0,0,1,1,0,2,4,0,2,1,1,0,0,4,0,0,1,1,3,0,4,1,1,1,0,0,0,2,1,2,0
"2.7.7.23",2,2,0,2,4,3,9,3,5,10,0,0,1,6,2,1,2,3,10,0,2,2,1,9,3,1,2,4,1,4,3
"2.7.7.24",8,5,5,3,19,21,34,6,8,36,9,3,11,31,14,5,6,16,32,1,16,8,5,21,12,1,3,28,7,19,4
"2.7.7.27",4,3,0,0,9,3,23,2,6,24,8,0,4,17,4,2,4,7,12,1,4,7,3,12,7,0,4,12,3,7,3
"2.7.7.33",4,2,0,0,5,3,6,2,3,3,5,0,2,8,1,0,3,3,10,0,2,3,2,6,6,1,1,7,0,2,2
"2.7.7.38",4,0,2,0,4,3,6,1,3,7,4,0,2,12,8,2,2,13,10,0,4,5,1,10,1,0,0,10,1,3,0
"2.7.7.39",1,1,0,1,3,1,5,0,1,10,0,0,4,2,2,0,1,7,9,0,1,2,1,10,1,0,0,2,1,3,0
"2.7.7.42",0,0,0,0,1,1,2,0,0,0,4,0,0,5,2,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0
"2.7.7.48",7,15,4,2,19,14,36,6,9,35,14,1,5,42,15,6,11,9,27,0,9,11,11,29,15,1,7,13,7,13,6
"2.7.7.49",12,8,12,7,13,19,39,9,15,36,19,3,11,30,18,4,14,26,29,2,8,21,14,30,16,4,6,19,9,4,11
"2.7.7.56",0,1,0,0,1,1,6,0,0,1,1,0,0,7,1,1,2,0,0,0,0,0,1,2,1,0,0,1,2,0,0
"2.7.7.60",0,0,0,1,0,2,3,0,1,3,2,0,0,3,2,0,1,3,1,0,0,0,0,0,2,0,0,2,0,1,0
"2.7.7.65",0,0,0,0,3,1,2,0,0,1,0,0,0,4,0,4,0,0,1,0,1,2,0,3,0,0,0,5,5,0,0
"2.7.7.72",2,5,0,0,7,5,16,1,1,12,5,0,1,13,7,0,2,3,20,0,4,1,1,13,5,0,6,6,0,10,3
"2.7.7.73",2,0,1,0,1,1,3,1,1,2,0,0,0,4,1,0,0,2,1,0,1,0,1,3,0,1,1,1,0,2,0
"2.7.7.85",5,8,2,1,12,3,24,2,4,22,7,1,2,9,7,1,7,9,19,0,3,4,4,18,7,1,3,13,3,10,4
"2.7.7.87",3,3,0,2,11,4,13,1,5,9,4,0,2,9,3,1,3,8,17,0,4,4,2,16,2,0,3,5,1,9,2
"2.7.7.99",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,1,0,0
"2.7.8.7",1,2,2,0,4,0,3,1,1,3,0,0,1,2,0,1,1,2,2,0,0,0,3,7,2,1,0,3,1,1,0
"2.7.8.12",0,0,0,0,0,0,1,0,0,6,0,0,1,1,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
"2.7.8.13",4,3,0,0,10,4,26,4,8,20,8,0,3,18,13,1,10,7,19,0,1,3,6,15,8,1,3,10,1,9,4
"2.7.8.36",3,2,0,1,9,3,18,4,12,28,13,0,1,9,5,3,2,8,25,1,5,6,3,20,3,1,2,11,1,8,4
"2.7.9.1",29,29,11,9,64,32,109,15,33,103,40,3,18,99,41,9,38,40,75,2,39,22,39,85,36,4,14,82,19,38,19
"2.7.9.2",0,1,0,0,2,1,7,0,0,2,5,0,1,10,2,0,1,2,1,0,0,4,0,3,1,0,0,3,3,2,0
"2.7.9.3",0,0,0,0,4,0,4,0,0,2,3,0,1,5,4,0,0,3,0,0,0,0,0,1,0,0,1,1,1,2,0
"2.7.11.1",13,19,0,3,45,28,91,17,16,83,25,1,8,44,22,5,23,23,71,1,18,9,20,64,20,6,11,61,10,35,20
"2.7.11.11",3,0,1,0,2,0,6,1,2,5,2,0,0,2,1,0,0,3,2,0,2,0,1,5,3,0,0,1,1,2,0
"2.7.13.3",40,10,29,11,65,90,111,31,43,174,107,4,30,200,44,58,10,123,180,3,69,58,8,195,61,9,23,133,70,86,10
"2.7.14.1",1,1,0,0,2,0,4,1,2,4,0,0,0,2,2,0,1,1,4,0,2,1,1,6,1,0,0,2,0,2,0
"2.8.1.4",1,1,0,0,4,1,4,1,2,8,3,0,0,3,1,0,1,2,4,0,2,0,1,8,2,0,1,3,0,1,1
"2.8.1.7",13,12,5,5,49,30,80,17,20,74,24,1,9,64,26,10,12,26,62,3,27,12,12,76,20,2,14,33,21,41,9
"2.8.1.8",1,0,2,1,3,5,7,0,2,7,2,1,2,9,5,2,1,5,8,0,3,1,0,4,2,0,1,4,2,0,0
"2.8.1.10",4,0,0,1,2,6,5,0,4,5,3,0,0,5,4,0,0,9,9,0,2,6,0,6,1,1,0,1,0,6,0
"2.8.1.13",1,0,0,1,1,0,2,0,0,1,2,0,0,0,0,0,1,0,2,0,1,1,1,1,0,0,1,2,0,2,0
"2.8.2.22",0,0,0,0,0,3,2,0,0,1,0,0,0,1,1,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0
"2.8.3.8",0,0,0,0,3,0,4,0,1,3,1,0,0,4,1,3,0,2,1,0,1,0,0,0,0,0,0,4,4,0,0
"2.8.3.18",3,1,1,2,2,3,5,0,3,3,2,0,1,19,6,4,1,6,4,0,7,4,1,9,2,0,1,3,4,4,0
"2.8.4.4",6,3,3,1,12,5,16,4,7,18,2,0,2,22,9,2,2,9,21,0,10,5,4,16,5,0,2,7,2,13,3
"3.1.1.1",1,0,0,0,1,1,2,1,2,1,3,0,0,7,3,2,0,2,5,0,1,1,0,2,1,0,1,5,0,1,0
"3.1.1.29",3,1,0,1,10,7,23,1,6,15,6,0,2,14,8,3,3,10,24,0,3,5,2,21,9,2,2,11,5,6,2
"3.1.1.72",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3.1.1.85",0,1,0,0,1,1,0,1,0,1,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0
"3.1.2.6",0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,1,1,0,1,0,2,0,0
"3.1.3.1",11,13,3,3,21,17,35,5,8,39,18,2,7,37,19,8,11,20,30,2,14,5,15,27,10,5,4,26,7,18,6
"3.1.3.2",1,0,1,1,0,0,2,0,1,2,2,0,1,1,1,2,0,0,1,0,0,1,0,1,1,1,0,0,2,0,0
"3.1.3.3",2,0,0,2,7,5,12,3,4,13,10,0,4,13,0,2,0,3,15,0,5,2,0,12,4,1,1,3,0,5,0
"3.1.3.11",0,0,0,0,0,1,1,0,0,0,3,0,0,7,0,3,0,1,2,0,2,0,0,1,0,0,0,3,5,1,0
"3.1.3.15",2,1,3,1,2,2,1,1,1,4,1,0,2,7,1,0,1,1,1,0,2,0,0,1,1,0,1,0,2,1,0
"3.1.3.16",1,0,0,0,2,1,1,0,0,1,0,0,0,1,1,0,0,0,5,0,0,0,2,2,1,0,0,1,0,1,0
"3.1.3.18",0,0,0,0,1,0,2,2,1,4,0,0,1,3,0,1,0,0,3,0,1,1,0,2,0,1,1,1,1,1,0
