"","ERR209782","SRR5983300","SRR5936030","SRR5946907","SRR5946749","SRR5946674","SRR5946714","SRR5946754","SRR5946733","SRR5983268","SRR5946862","SRR5946927","SRR5946968","SRR5947102","SRR5946702","SRR5983270","SRR5946630","SRR5936219","SRR5946963","SRR5983437","SRR5983299","SRR5983400","SRR5935865","SRR5935996","SRR5946962","SRR5946881","SRR5936167","SRR5983391","ERR210422","SRR5935777","SRR5936111","SRR5947080","SRR5935789","SRR5983326","SRR5935898","SRR5983406","SRR5946894","SRR5946716","SRR5983393","SRR5935923","SRR5946685","SRR5947834","SRR5946943","SRR5935904","SRR5935875","SRR5935931","SRR5946627","SRR5983327","SRR5947869","SRR5983446","SRR5936190","SRR5946657","SRR5983284","SRR5935767","SRR5983355","SRR5983291","SRR5936199","ERR209799","SRR5935792","SRR5946892","SRR5983403","SRR5946675","SRR5946799","SRR5947056","SRR5947846","SRR5946873","ERR209764","SRR5947025","SRR5983275","SRR5946961","SRR5983294","SRR5936092","SRR5983297","SRR5947843","SRR5983282","SRR5983264"
"3.2.1.3",24,13,5,4,9,5,0,11,0,25,0,0,0,4,1,17,3,0,3,19,27,14,21,3,14,10,2,9,0,2,17,0,7,11,0,1,11,2,15,0,2,11,9,16,14,12,3,17,18,6,7,6,19,13,2,2,3,10,4,6,10,22,0,0,8,16,12,8,5,1,1,4,16,8,30,7
"3.2.1.4",8,9,0,2,4,15,4,2,5,15,5,2,4,13,3,5,8,0,0,25,23,5,9,2,2,3,7,3,0,3,2,2,4,7,4,2,5,9,0,4,5,4,8,3,5,8,6,6,8,1,4,1,7,5,3,2,18,6,19,3,14,10,0,0,4,4,13,5,1,3,5,15,4,3,11,0
"3.2.1.8",6,0,2,2,3,4,1,7,2,6,5,2,3,1,3,2,5,3,2,8,13,6,5,5,5,1,4,0,1,2,2,4,10,4,1,7,3,1,1,0,1,3,2,6,3,2,3,5,3,2,2,0,4,1,0,2,6,4,4,5,4,12,0,0,3,3,10,4,1,2,1,5,10,1,5,2
"3.2.1.10",0,0,1,1,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,0,3,1,0,0,0,2,0,0,1,0
"3.2.1.15",7,4,3,3,7,2,2,2,0,3,0,1,2,0,2,11,0,0,2,9,10,10,14,0,3,4,2,5,0,0,6,0,4,9,0,2,4,2,1,1,3,3,4,5,3,3,1,7,7,3,1,2,11,4,4,2,6,6,1,3,8,4,0,0,4,6,2,4,1,0,1,4,3,6,8,5
"3.2.1.17",4,2,2,2,0,1,3,2,10,6,3,5,3,0,0,4,4,2,2,3,5,2,2,2,1,2,3,1,0,1,1,3,1,8,5,0,1,3,1,7,1,2,1,0,3,15,1,17,4,1,0,1,4,0,5,1,10,1,4,4,6,6,0,0,8,3,4,3,0,2,4,8,2,4,2,0
"3.2.1.18",11,5,3,0,2,3,1,4,1,7,0,1,0,2,1,14,6,0,1,8,8,10,5,3,11,4,0,4,1,1,5,0,5,7,0,1,9,3,7,1,3,7,3,3,6,4,1,7,5,3,2,5,8,3,2,7,2,1,2,3,6,6,5,0,8,5,11,6,0,3,0,0,5,2,9,6
"3.2.1.20",7,9,8,5,10,4,4,5,2,3,1,2,3,4,0,4,2,0,1,10,12,4,10,2,9,10,5,10,0,3,2,0,11,10,2,0,8,1,9,3,7,11,6,10,7,11,4,19,11,3,0,6,10,5,3,1,2,6,12,12,6,13,0,0,12,8,8,12,2,4,2,4,5,9,7,10
"3.2.1.21",58,31,29,31,19,26,9,26,31,75,24,25,29,30,12,24,40,3,6,70,65,51,42,39,31,52,29,29,0,6,25,13,27,32,21,21,28,26,9,27,23,25,45,36,47,28,20,55,60,26,5,20,48,17,4,23,60,31,52,41,67,49,2,0,30,26,99,38,6,35,20,63,38,16,62,15
"3.2.1.22",33,40,33,27,21,28,7,36,13,50,18,22,32,27,15,29,32,4,5,63,53,40,39,27,31,37,27,23,1,4,21,5,27,47,21,18,29,34,25,20,26,19,39,40,33,30,21,51,58,34,6,31,34,22,10,15,35,27,44,35,49,55,7,0,31,39,68,40,9,33,8,30,46,22,67,23
"3.2.1.23",79,52,40,28,39,35,17,44,36,106,25,34,39,30,19,61,55,12,22,104,91,75,65,40,89,72,43,51,0,16,55,22,34,79,38,20,48,41,31,32,60,58,52,51,76,62,20,88,111,30,13,49,69,45,27,43,83,78,53,49,126,95,12,0,59,42,116,61,17,39,15,74,53,34,109,32
"3.2.1.24",0,0,2,1,2,0,0,3,1,1,1,2,0,3,2,1,0,0,0,6,0,1,0,3,0,4,5,0,0,1,0,0,2,0,0,3,0,1,0,2,2,2,3,2,0,0,2,5,0,1,0,1,0,0,0,0,2,0,5,2,0,2,0,0,3,2,6,1,0,1,0,3,3,0,3,0
"3.2.1.25",9,12,7,2,2,7,1,6,1,2,1,1,2,5,0,13,7,0,1,9,11,19,4,2,9,9,4,6,0,0,6,1,5,6,3,0,5,5,3,4,4,6,4,11,9,7,6,5,11,5,1,6,5,6,1,5,2,6,7,5,10,11,4,0,6,6,5,7,3,4,1,4,7,2,12,4
"3.2.1.26",1,1,2,2,0,1,0,0,0,4,1,2,2,2,1,1,2,0,0,4,0,0,1,2,2,1,2,0,0,2,0,3,0,0,3,1,0,0,0,1,0,0,2,1,0,0,1,3,1,3,0,0,0,0,0,0,4,2,2,2,0,0,0,0,1,0,8,5,0,5,0,1,1,2,2,0
"3.2.1.31",1,8,1,8,2,5,3,3,8,19,1,7,16,6,5,2,5,1,2,18,7,8,3,7,2,4,13,2,0,3,4,6,3,6,9,8,4,6,2,7,6,8,12,12,7,8,1,11,11,4,0,4,3,1,7,4,16,8,7,6,19,9,0,0,10,10,12,6,6,3,4,17,9,4,16,1
"3.2.1.35",5,1,4,1,1,0,4,2,1,5,1,1,1,0,1,2,8,0,1,8,2,4,3,2,2,2,0,2,0,7,2,0,2,3,1,0,7,3,3,5,3,4,3,2,6,3,2,5,7,0,0,2,3,3,3,3,8,4,4,4,1,9,2,0,3,0,3,5,1,4,0,8,1,4,6,0
"3.2.1.37",15,13,8,21,13,15,1,16,19,27,6,7,9,12,6,7,12,1,5,19,20,16,21,14,12,20,14,8,0,4,17,8,13,12,12,12,11,9,5,14,12,4,15,22,7,16,11,26,11,18,5,8,8,5,2,7,24,15,11,16,25,12,3,0,12,10,23,12,8,12,1,23,15,5,20,6
"3.2.1.39",1,1,0,0,1,0,2,1,0,1,0,0,0,0,1,2,2,0,4,0,2,2,1,0,2,0,0,0,0,0,2,0,2,3,2,0,2,0,3,1,0,1,0,0,1,1,2,1,1,0,1,0,6,0,0,1,0,0,0,4,1,0,0,0,2,1,3,1,0,0,0,3,2,1,1,3
"3.2.1.40",2,1,9,7,4,4,2,3,2,3,9,1,2,2,3,6,3,0,0,14,2,5,8,6,7,9,8,6,0,1,0,1,4,3,3,4,8,9,5,5,2,5,9,8,5,3,2,10,2,6,1,5,9,2,2,1,9,2,7,4,8,6,1,0,5,4,14,4,0,2,1,6,5,2,6,5
"3.2.1.41",15,17,3,6,7,3,6,6,2,12,2,3,4,3,7,17,4,2,3,21,23,9,10,7,10,5,2,11,0,0,6,2,3,14,4,5,4,3,6,2,4,15,10,7,18,6,3,18,14,5,1,7,7,5,3,6,9,8,4,8,28,17,2,0,13,7,21,9,4,4,2,6,15,4,14,9
"3.2.1.49",8,7,1,4,1,3,1,1,3,1,2,4,3,3,1,1,5,3,1,7,1,7,1,8,1,4,6,2,0,0,0,2,1,2,6,1,1,4,3,5,4,2,10,6,3,4,0,6,3,4,0,2,4,1,3,4,8,5,3,6,3,4,0,0,3,4,11,10,0,11,1,9,3,2,6,1
"3.2.1.50",3,3,3,1,3,5,2,2,0,6,0,0,0,4,0,5,2,0,0,9,3,6,4,1,6,4,1,2,0,1,3,0,2,5,0,0,9,5,2,1,3,4,2,2,9,5,2,7,5,1,1,2,5,2,4,4,0,2,2,2,3,6,1,0,0,4,7,2,0,3,0,3,1,0,8,3
"3.2.1.51",14,4,8,5,5,9,1,6,6,6,4,4,9,10,4,7,8,1,2,7,8,8,2,6,10,14,13,1,0,0,4,3,2,6,6,0,8,13,4,3,7,2,12,9,10,7,4,8,9,8,0,9,4,3,0,4,15,7,13,6,12,8,2,0,7,4,12,5,1,7,1,16,8,2,16,1
"3.2.1.52",43,38,14,9,22,17,3,17,4,30,2,2,2,16,1,45,10,1,5,45,50,50,49,9,46,30,3,33,1,5,25,1,11,45,0,3,32,16,24,6,20,37,19,21,36,18,7,52,47,15,5,16,51,23,19,25,8,19,19,25,53,45,11,0,26,28,26,27,7,5,4,4,32,12,59,14
"3.2.1.54",4,4,1,1,3,1,0,3,1,2,1,0,0,0,0,5,2,0,1,5,4,4,2,1,5,4,0,2,0,2,4,0,2,3,0,0,2,0,3,1,1,3,1,3,4,2,0,6,3,1,2,1,5,1,0,4,0,0,2,1,5,6,0,0,3,3,3,2,1,1,0,0,3,1,8,2
"3.2.1.55",18,6,8,13,4,5,2,6,9,16,11,17,15,8,8,10,15,2,5,22,23,17,14,21,8,16,22,12,0,7,8,9,12,13,10,9,7,9,7,17,10,20,15,20,9,7,12,21,15,10,2,4,10,4,5,10,28,18,18,21,20,22,0,0,18,12,35,18,3,19,11,40,17,3,27,6
"3.2.1.63",5,0,0,0,1,2,0,0,4,1,1,5,1,0,0,1,2,0,1,9,5,6,3,4,1,2,1,5,0,0,3,1,3,1,2,0,4,2,1,0,2,2,1,0,2,3,1,3,7,0,0,2,4,2,4,2,6,1,3,2,5,4,0,0,4,1,5,2,2,2,0,3,2,3,1,4
"3.2.1.67",0,2,0,2,0,1,1,2,5,0,0,5,1,0,0,1,2,1,0,1,1,1,0,0,1,3,3,2,0,0,1,0,0,1,0,0,0,1,0,3,1,2,2,3,0,0,0,1,0,3,0,0,0,0,0,0,5,0,4,0,4,0,0,0,0,3,1,1,0,1,0,3,0,0,0,0
"3.2.1.68",4,1,6,1,0,0,2,1,2,13,9,3,1,1,2,3,2,0,2,4,3,4,0,4,1,4,5,4,0,1,1,0,1,6,1,4,1,0,1,4,0,0,4,2,1,2,4,3,8,4,1,2,1,2,1,3,4,2,3,4,4,3,0,0,3,1,9,11,0,5,3,6,1,0,4,0
"3.2.1.73",12,9,6,3,5,14,1,9,1,7,0,1,0,4,0,7,5,0,2,11,15,7,3,1,8,8,3,5,0,1,5,0,2,8,0,5,7,9,5,1,6,12,8,9,8,6,6,10,10,3,0,4,9,8,1,1,5,4,5,4,8,13,1,0,6,10,12,6,4,0,0,6,8,2,16,3
"3.2.1.78",4,6,0,1,0,1,1,2,0,4,0,0,2,1,1,3,6,0,1,4,5,3,5,3,3,1,3,3,0,0,3,1,2,3,4,0,2,4,1,1,1,0,2,1,2,2,5,1,1,0,0,2,3,1,0,0,4,3,3,2,12,3,1,0,3,2,4,1,1,2,2,5,4,1,4,0
"3.2.1.80",4,4,4,6,4,1,0,1,1,5,0,1,1,1,1,3,1,1,0,7,3,3,4,2,1,6,1,1,0,0,1,0,3,2,1,2,5,0,2,0,2,2,7,5,5,3,3,4,5,7,2,5,7,2,3,1,5,3,6,5,3,7,1,0,1,9,3,5,0,4,2,3,3,2,3,6
"3.2.1.85",2,1,0,0,0,0,3,0,2,2,4,2,2,0,0,0,4,0,0,2,2,0,0,2,2,0,2,0,0,0,1,1,0,0,2,0,0,0,0,2,0,0,1,1,3,0,0,6,2,0,0,0,2,0,0,0,6,3,0,3,1,1,0,0,1,0,2,4,1,2,0,3,0,1,0,0
"3.2.1.86",13,19,7,4,0,0,12,1,9,41,8,11,8,2,4,3,17,3,5,29,27,4,10,11,12,2,7,6,0,0,13,8,0,8,1,9,4,2,7,2,0,8,3,4,16,17,6,52,25,7,1,5,5,6,6,11,33,23,5,9,21,11,1,0,16,2,30,16,7,8,3,24,9,16,8,4
"3.2.1.89",4,6,1,6,2,2,0,7,0,16,0,0,3,6,2,5,0,1,5,9,10,8,11,4,3,2,6,3,0,0,4,2,7,9,4,4,2,3,2,0,5,1,7,3,3,3,6,7,15,1,2,1,6,5,2,9,5,2,4,2,10,6,0,0,6,10,10,1,5,0,6,12,11,4,19,1
"3.2.1.93",1,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,1,0,0,3,1,0,0,0
"3.2.1.96",2,5,2,3,2,1,1,2,0,1,0,2,0,1,0,5,0,0,0,12,5,4,5,4,0,4,2,1,0,0,0,0,1,4,0,1,3,2,4,1,2,4,2,2,3,3,1,13,3,2,1,3,3,0,0,0,1,2,3,2,1,6,0,0,2,5,4,2,0,2,0,2,5,2,7,7
"3.2.1.111",13,13,12,6,7,4,3,8,2,15,3,6,3,4,2,10,6,0,3,20,18,15,11,5,11,10,4,12,0,0,5,0,4,10,2,3,11,10,10,1,8,7,8,8,10,6,2,11,7,5,1,4,10,6,3,5,7,4,7,10,9,15,4,0,9,9,12,7,2,2,1,7,7,4,18,7
"3.2.1.122",7,1,1,1,0,1,7,0,9,9,5,4,7,0,2,6,6,1,2,3,11,5,2,2,2,10,2,6,0,1,11,3,0,2,2,2,0,0,1,2,2,3,3,5,5,8,0,16,5,2,1,1,3,3,2,2,5,1,2,7,5,2,0,0,2,1,6,4,3,15,2,2,2,1,1,2
"3.2.1.131",5,2,1,0,1,1,0,0,0,4,1,0,0,2,3,1,1,0,1,6,6,7,9,0,6,0,1,2,0,0,2,0,2,1,1,0,1,0,0,0,0,5,0,2,3,2,0,6,2,0,1,1,4,6,2,3,4,7,0,1,8,2,1,0,1,1,3,0,3,2,0,3,3,2,3,1
"3.2.1.135",2,2,0,1,1,2,2,2,0,2,1,0,4,2,1,3,4,1,0,1,5,1,2,2,1,3,2,0,0,0,1,0,0,2,1,1,1,1,1,3,2,0,2,2,1,1,2,5,2,2,0,1,1,0,1,1,2,2,2,2,4,2,0,0,1,3,3,3,0,2,1,4,1,2,0,0
"3.2.1.140",0,1,1,2,0,0,2,1,0,3,0,1,2,0,0,0,0,0,0,2,0,2,0,1,1,0,1,2,0,0,0,1,2,1,1,0,0,1,0,2,0,0,0,1,0,2,0,0,2,0,0,0,0,0,2,0,4,4,0,0,1,3,0,0,4,1,2,2,0,0,0,1,1,0,2,0
"3.2.1.145",0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"3.2.1.156",2,1,0,2,0,3,1,1,1,5,0,0,1,1,3,2,2,0,2,2,3,5,2,2,2,1,6,0,0,1,2,2,1,3,1,2,0,3,0,1,0,1,1,2,0,1,3,0,1,2,1,0,0,1,0,2,6,2,3,2,5,2,0,0,4,3,7,2,1,2,1,10,6,0,3,1
"3.2.1.172",7,6,8,6,9,10,1,9,1,10,0,2,0,6,2,9,2,1,1,11,11,8,9,0,14,6,4,13,0,0,6,0,5,12,0,2,11,10,6,1,5,9,8,14,10,15,6,13,14,8,2,6,8,4,4,3,5,8,8,6,9,21,0,0,3,15,11,3,2,0,1,6,9,4,23,9
"3.2.1.177",8,9,6,4,8,6,1,7,5,18,4,2,7,8,1,12,4,1,0,13,19,11,24,7,15,6,8,5,0,2,5,2,11,13,9,7,11,4,2,7,6,8,7,17,13,12,1,23,7,3,4,4,16,5,4,2,8,10,11,12,19,16,0,0,11,9,10,13,0,7,0,14,12,8,10,5
"3.2.1.184",2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,1,3,2,0,0,1,0,1,1,0,0,0,0,1,3,0,0,2,2,0,1,1,2,1,0,0,0,1,1,5,0,0,0,1,1,0,0,0,0,1,0,2,2,0,0,2,1,0,0,0,0,1,1,1,2,2,1
"3.2.1.185",6,9,6,7,6,5,0,5,4,10,5,4,6,6,2,7,2,1,2,11,4,7,8,4,7,11,7,10,1,0,4,2,3,9,6,3,6,7,5,5,3,6,9,12,4,11,1,5,8,7,2,7,5,5,1,2,9,2,10,7,8,8,0,0,9,10,15,7,4,6,5,11,7,1,7,4
"3.2.1.187",7,9,3,1,3,2,0,7,0,6,0,0,0,3,1,4,1,0,4,12,6,4,8,0,7,9,1,5,0,1,5,0,7,8,0,1,7,5,5,2,4,8,9,8,5,8,4,10,16,5,2,7,5,6,2,2,2,2,9,4,3,10,1,0,5,9,3,4,6,1,0,2,6,6,9,7
"3.2.2.n1",4,2,1,1,1,2,0,1,1,2,0,1,1,0,1,4,1,0,0,7,3,2,5,1,1,0,0,1,0,1,0,0,0,3,1,0,0,0,1,1,1,0,0,1,2,1,1,3,5,1,0,1,5,1,3,1,0,2,2,0,1,2,1,0,4,2,2,0,0,0,0,1,7,1,6,0
"3.2.2.9",2,2,3,3,1,3,0,0,1,5,4,3,3,1,1,1,5,0,0,3,2,3,0,1,0,0,5,2,0,2,0,0,0,0,4,0,2,1,0,2,0,0,2,0,1,2,2,1,5,2,0,1,0,0,2,0,9,6,2,4,2,5,0,0,1,2,12,4,0,5,0,4,0,1,4,1
"3.2.2.20",11,5,4,3,2,4,1,5,3,9,4,1,1,3,0,7,5,4,0,8,5,4,3,3,4,2,1,5,0,1,1,0,0,7,1,0,2,2,7,4,3,4,5,3,7,4,3,9,6,5,0,6,5,1,4,1,1,3,5,4,7,4,1,0,6,4,3,3,1,2,3,1,4,2,5,3
"3.2.2.23",2,0,0,1,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,3,1,1,1,0,1,0,2,0,0,2,1,0,0,1,0,0,0,0,1,2,0,1,0,0,2,2,0,2,1,0,0,0,1,1,1,0,0,0,1,0,3,1,0,0,1,0,2,1,0,0,1,2,1,0,1,0
"3.2.2.24",0,1,1,0,0,0,1,0,7,1,3,2,5,3,1,1,4,0,0,5,4,2,4,0,2,2,3,3,0,1,0,0,2,1,4,2,0,2,2,4,2,3,2,0,2,3,0,1,0,1,0,0,3,0,1,1,8,2,1,0,5,2,0,0,1,2,8,3,1,2,2,3,3,0,4,1
"3.2.2.27",10,4,2,0,0,1,4,2,0,11,3,2,0,0,3,2,12,1,1,3,7,2,4,1,6,4,2,1,0,0,2,0,0,5,1,2,0,0,1,1,2,1,5,1,8,3,1,4,8,4,1,3,5,2,0,2,2,7,6,5,7,5,0,0,10,3,7,3,2,6,2,2,3,0,4,2
"3.2.2.31",9,6,7,6,4,3,10,4,9,19,7,6,6,4,3,7,14,0,1,18,9,14,8,5,5,8,8,6,0,6,6,1,3,14,4,3,4,4,7,8,4,6,8,5,7,8,3,12,15,13,1,3,10,5,6,4,12,4,11,10,20,5,0,0,9,5,12,13,4,14,5,11,6,5,8,4
"3.3.1.1",15,10,5,4,6,3,5,3,1,6,3,1,2,4,2,13,8,1,3,12,10,8,8,0,8,8,3,12,0,3,1,1,2,13,1,3,8,7,10,4,2,8,4,10,11,4,5,10,9,6,1,6,5,6,7,5,3,7,11,5,13,5,2,0,8,5,5,5,1,6,0,6,10,2,13,4
"3.4.11.2",0,0,0,0,0,0,2,0,2,5,0,0,0,0,0,1,0,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,2,6,0,11,1,0,2,0,2,0,5,0,2,1,0,1,6,3,0,0,1,0,2,2,0,0,1,1,1,0,4,0
"3.4.11.4",1,1,1,0,1,0,3,0,1,4,2,2,1,2,0,0,4,1,0,2,3,0,1,1,1,1,0,1,0,3,1,0,0,0,1,0,1,3,0,1,1,1,0,1,0,1,0,2,1,0,0,1,0,0,1,1,0,1,4,0,3,0,0,1,1,2,2,1,0,1,1,1,0,0,2,0
"3.4.11.5",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3.4.11.9",6,5,4,5,2,3,5,3,7,16,5,4,7,5,3,10,13,0,0,11,15,11,5,6,4,6,1,9,0,5,3,0,2,10,2,1,3,1,1,3,4,5,7,7,9,12,2,19,12,5,1,3,10,3,6,5,17,8,5,3,20,11,1,0,7,2,15,10,1,6,3,7,8,5,12,4
"3.4.11.14",2,1,0,0,0,0,0,0,3,2,2,1,4,0,1,0,1,1,0,6,5,1,2,0,1,2,1,2,0,1,1,1,0,1,0,2,1,3,1,0,0,1,1,2,1,2,0,2,1,1,0,0,2,0,1,2,0,2,2,3,4,1,0,0,3,0,2,3,0,2,0,2,2,2,0,1
"3.4.11.18",35,21,4,13,6,9,15,6,8,50,12,7,12,9,4,20,24,2,6,30,44,20,17,13,20,18,18,14,0,12,11,5,6,16,10,9,13,9,18,6,10,19,12,10,21,14,8,28,36,14,2,15,17,11,11,11,19,22,13,19,44,32,1,0,17,12,32,19,3,24,7,20,18,4,27,11
"3.4.13.3",4,1,0,1,1,1,2,0,4,11,1,1,1,0,0,8,4,1,0,4,7,3,4,3,6,1,4,5,0,0,3,1,0,10,0,1,9,0,1,0,2,3,2,2,7,2,0,11,5,0,1,0,3,3,1,2,4,4,0,1,9,4,0,0,6,2,7,2,3,3,0,1,2,3,8,3
"3.4.13.9",16,4,3,1,1,0,2,3,2,10,4,4,1,4,1,1,6,0,0,2,3,1,1,0,0,3,2,6,0,3,1,0,0,3,3,1,0,0,2,4,1,3,2,2,1,7,1,13,1,2,1,1,0,0,1,1,7,4,7,3,9,3,0,0,6,2,7,5,0,5,1,5,1,2,1,1
"3.4.13.19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"3.4.13.20",4,0,2,1,1,0,0,2,2,3,1,2,2,0,0,3,2,0,1,1,0,0,0,0,0,2,1,1,0,0,0,1,1,2,2,1,0,1,3,0,0,0,2,3,0,0,1,1,1,1,0,2,0,0,1,1,0,0,4,2,2,1,0,0,0,0,1,0,0,2,1,1,2,0,1,0
"3.4.13.21",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,2,0,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,3,0,5,0,0,0,0,0,0,2,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0
"3.4.14.4",22,10,1,2,3,6,0,2,0,11,0,0,0,1,1,17,3,0,1,10,18,12,11,3,20,3,0,8,0,1,8,0,2,17,0,1,8,3,8,0,4,6,2,2,11,5,0,13,14,1,4,1,11,5,3,8,3,11,2,7,15,13,2,0,3,8,10,6,2,1,1,3,12,3,21,5
"3.4.14.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
"3.4.14.12",3,1,1,0,2,1,0,0,0,6,0,0,0,2,0,5,0,0,0,1,4,4,4,0,9,0,0,5,0,0,3,0,1,4,0,0,5,1,2,1,0,3,2,1,3,3,0,3,6,0,2,1,4,3,2,4,0,3,0,1,11,1,1,0,3,0,5,1,0,2,0,0,5,0,7,4
"3.4.15.5",15,7,0,3,3,4,1,1,0,8,0,0,0,2,1,10,2,0,0,4,11,10,7,1,8,1,0,4,0,0,4,0,4,12,0,0,6,2,8,0,2,6,4,1,8,8,1,10,8,2,1,3,9,1,5,6,3,3,1,2,15,5,1,0,6,4,5,2,1,0,0,0,6,7,13,7
"3.4.16.4",26,11,11,6,5,6,12,2,21,36,22,13,17,6,6,7,39,2,4,29,29,12,14,13,5,14,19,15,0,10,6,3,2,19,14,3,3,9,8,21,2,12,16,7,8,28,2,37,15,19,1,7,14,5,15,5,29,13,17,16,37,9,0,0,18,10,34,19,4,32,10,15,6,8,8,2
"3.4.17.13",1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,3,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,1,1,2,1,1,0,0,1,2,0,0,0,2,0,1,0,0,1,1,1,1,0,1,0
"3.4.19.3",4,1,1,2,0,0,4,0,2,3,0,0,2,1,0,1,6,2,1,9,4,1,1,1,3,3,3,4,0,2,1,3,1,2,2,2,0,0,0,1,2,1,1,1,2,2,1,4,4,1,0,0,1,2,1,0,6,1,1,2,6,5,0,0,2,0,3,2,2,1,0,3,1,1,1,0
"3.4.21.26",2,3,0,0,0,1,0,1,0,3,0,0,0,0,1,1,0,0,0,4,3,4,2,0,4,0,0,1,0,0,0,0,3,4,0,0,2,0,3,0,0,5,0,2,2,1,0,4,3,0,0,1,3,2,1,3,0,2,0,0,1,2,1,0,0,3,0,0,0,1,0,0,3,2,6,2
"3.4.21.53",45,23,14,11,7,9,19,8,16,75,27,14,20,10,8,26,32,5,4,50,39,22,26,16,18,21,13,22,0,16,10,7,6,34,14,4,7,12,14,19,10,24,17,16,27,19,10,22,33,21,3,11,24,5,13,20,31,26,33,26,66,25,0,0,28,17,45,23,7,34,14,25,20,12,34,7
"3.4.21.62",2,0,2,0,0,1,2,0,2,3,3,1,2,1,0,2,2,0,0,2,0,4,2,1,0,2,3,0,0,1,1,0,0,1,1,0,0,1,1,1,2,0,1,0,0,0,1,0,0,1,0,0,0,1,3,0,3,3,3,0,3,2,0,0,1,0,3,1,0,4,0,5,0,0,1,1
"3.4.21.88",12,5,1,0,2,3,4,2,3,14,4,7,3,2,2,1,11,4,1,13,4,4,3,5,4,8,7,4,0,9,3,0,1,3,4,0,1,5,4,5,5,1,4,4,1,3,3,2,7,5,1,3,4,0,2,2,11,3,5,10,11,5,0,0,8,2,15,4,1,9,6,8,2,3,2,0
"3.4.21.92",98,63,16,29,17,30,39,24,43,130,49,35,55,24,26,53,91,10,16,81,98,49,59,35,51,51,35,47,0,24,34,14,14,57,32,33,27,25,41,45,30,51,39,39,54,36,18,71,78,42,5,29,57,29,31,39,75,57,48,66,128,64,2,1,60,30,106,59,15,61,32,65,51,26,73,27
"3.4.21.102",3,4,0,1,0,1,1,2,4,6,0,2,0,0,1,0,2,0,1,8,4,6,2,1,2,2,2,3,0,2,3,0,0,4,0,1,2,2,2,7,3,1,2,0,3,10,1,9,3,0,0,0,2,2,5,1,5,6,3,3,5,3,0,0,2,2,2,2,0,3,2,1,5,2,6,0
"3.4.21.107",15,11,6,4,3,5,11,4,6,25,9,7,6,3,2,9,13,0,3,15,17,9,8,2,8,5,4,14,0,6,7,3,1,15,6,3,2,4,9,6,10,9,9,7,14,11,3,15,12,12,2,6,12,4,7,3,9,12,13,14,28,9,0,0,13,9,16,6,0,12,7,11,6,2,12,6
"3.4.22.2",10,0,2,4,0,2,2,2,3,5,2,1,2,2,3,3,7,0,1,6,3,3,0,3,1,5,1,0,0,2,2,0,0,4,3,2,1,0,0,5,1,2,6,2,0,3,1,6,3,4,0,1,1,1,3,1,12,2,3,5,3,5,0,0,1,2,9,3,0,3,1,7,4,1,2,0
