Object-ID	Pathway	Common-Name	Ontology-pathway_type	Parental-Ontology-pathway_type	General_Pathway_Type
PWY-6210	2-aminophenol_degradation	2-aminophenol_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6215	4-chlorobenzoate_degradation	4-chlorobenzoate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6339	syringate_degradation	syringate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6690	cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-6957	mandelate_degradation_to_acetyl-CoA	mandelate_degradation_to_acetyl-CoA	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-7046	4-coumarate_degradation_(anaerobic)	4-coumarate_degradation_(anaerobic)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-722	nicotinate_degradation_I	nicotinate_degradation_I	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY0-1277	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation	3-phenylpropanoate_and_3-(3-hydroxyphenyl)propanoate_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY0-321	phenylacetate_degradation_I_(aerobic)	phenylacetate_degradation_I_(aerobic)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY5F9-12	biphenyl_degradation	biphenyl_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
TOLUENE-DEG-3-OH-PWY	toluene_degradation_II_(aerobic)_(<I>via_4-methylcatechol</i>)	toluene_degradation_II_(aerobic)_(via_4-methylcatechol)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
PWY-4202	arsenic_detoxification_(mammals)	arsenic_detoxification_(mammals)	Arsenic_Compound_Detoxification	Detoxification	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
CODH-PWY	reductive_acetyl_coenzyme_A_pathway_I_(homoacetogenic_bacteria)	reductive_acetyl_coenzyme_A_pathway_I_(homoacetogenic_bacteria)	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
P185-PWY	formaldehyde_assimilation_III_(dihydroxyacetone_cycle)	formaldehyde_assimilation_III_(dihydroxyacetone_cycle)	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
P23-PWY	reductive_TCA_cycle_I	reductive_TCA_cycle_I	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
P42-PWY	incomplete_reductive_TCA_cycle	incomplete_reductive_TCA_cycle	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
PWY-1622	formaldehyde_assimilation_I_(serine_pathway)	formaldehyde_assimilation_I_(serine_pathway)	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
PWY-1861	formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	formaldehyde_assimilation_II_(assimilatory_RuMP_Cycle)	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
PWY-5392	reductive_TCA_cycle_II	reductive_TCA_cycle_II	C1_Compound_Utilization_and_Assimilation	Degradation_Utilization_Assimilation	Central_metabolism_and_energy
CALVIN-PWY	Calvin-Benson-Bassham_cycle	Calvin-Benson-Bassham_cycle	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
COLANSYN-PWY	colanic_acid_building_blocks_biosynthesis	colanic_acid_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
DTDPRHAMSYN-PWY	dTDP-L-rhamnose_biosynthesis	dTDP-L-rhamnose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
ECASYN-PWY	enterobacterial_common_antigen_biosynthesis	enterobacterial_common_antigen_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
GLUCONEO-PWY	gluconeogenesis_I	gluconeogenesis_I	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
GLYCOGENSYNTH-PWY	glycogen_biosynthesis_I_(from_ADP-D-Glucose)	glycogen_biosynthesis_I_(from_ADP-D-Glucose)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS	protein_<i>N</i>-glycosylation_initial_phase_(eukaryotic)	protein_N-glycosylation_initial_phase_(eukaryotic)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate_biosynthesis	CMP-3-deoxy-D-manno-octulosonate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-5067	glycogen_biosynthesis_II_(from_UDP-D-Glucose)	glycogen_biosynthesis_II_(from_UDP-D-Glucose)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-5514	UDP-<i>N</i>-acetyl-D-galactosamine_biosynthesis_II	UDP-N-acetyl-D-galactosamine_biosynthesis_II	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-5659	GDP-mannose_biosynthesis	GDP-mannose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-5823	superpathway_of_CDP-glucose-derived_O-antigen_building_blocks_biosynthesis	superpathway_of_CDP-glucose-derived_O-antigen_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6138	CMP-<i>N</i>-acetylneuraminate_biosynthesis_I_(eukaryotes)	CMP-N-acetylneuraminate_biosynthesis_I_(eukaryotes)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6143	CMP-pseudaminate_biosynthesis	CMP-pseudaminate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6145	superpathway_of_CMP-sialic_acids_biosynthesis	superpathway_of_CMP-sialic_acids_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-622	starch_biosynthesis	starch_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6478	GDP-D-<i>glycero</i>-&alpha;-D-<i>manno</i>-heptose_biosynthesis	GDP-D-glycero-alpha-D-manno-heptose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6524	lychnose_and_isolychnose_biosynthesis	lychnose_and_isolychnose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6557	glycosaminoglycan-protein_linkage_region_biosynthesis	glycosaminoglycan-protein_linkage_region_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6558	heparan_sulfate_biosynthesis	heparan_sulfate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6564	superpathway_of_heparan_sulfate_biosynthesis	superpathway_of_heparan_sulfate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6569	superpathway_of_chondroitin_sulfate_biosynthesis	superpathway_of_chondroitin_sulfate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6749	CMP-legionaminate_biosynthesis_I	CMP-legionaminate_biosynthesis_I	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6942	dTDP-D-desosamine_biosynthesis	dTDP-D-desosamine_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6953	dTDP-3-acetamido-&alpha;-D-fucose_biosynthesis	dTDP-3-acetamido-alpha-D-fucose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-6981	chitin_biosynthesis	chitin_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7031	protein_<i>N</i>-glycosylation_(bacterial)	protein_N-glycosylation_(bacterial)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7090	UDP-2,3-diacetamido-2,3-dideoxy-&alpha;-D-mannuronate_biosynthesis	UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7238	sucrose_biosynthesis_II	sucrose_biosynthesis_II	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7290	<i>Escherichia_coli</i>_serotype_O:86_<i>O</i>_antigen_biosynthesis	Escherichia_coli_serotype_O:86_O_antigen_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7312	dTDP-&beta;-D-fucofuranose_biosynthesis	dTDP-beta-D-fucofuranose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7315	dTDP-<i>N</i>-acetylthomosamine_biosynthesis	dTDP-N-acetylthomosamine_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7316	dTDP-<i>N</i>-acetylviosamine_biosynthesis	dTDP-N-acetylviosamine_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7317	superpathway_of_dTDP-glucose-derived_O-antigen_building_blocks_biosynthesis	superpathway_of_dTDP-glucose-derived_O-antigen_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7323	superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	superpathway_of_GDP-mannose-derived_O-antigen_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7328	superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis	superpathway_of_UDP-glucose-derived_O-antigen_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7332	superpathway_of_UDP-<I>N</i>-acetylglucosamine-derived_O-antigen_building_blocks_biosynthesis	superpathway_of_UDP-N-acetylglucosamine-derived_O-antigen_building_blocks_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7347	sucrose_biosynthesis_III	sucrose_biosynthesis_III	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7413	dTDP-6-deoxy-&alpha;-D-allose_biosynthesis	dTDP-6-deoxy-alpha-D-allose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7426	complex_<i>N</i>-linked_glycan_biosynthesis_(vertebrates)	complex_N-linked_glycan_biosynthesis_(vertebrates)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7433	mucin_core_1_and_core_2_<i>O</i>-glycosylation	mucin_core_1_and_core_2_O-glycosylation	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY-7434	terminal_<i>O</i>-glycans_residues_modification_(via_type_2_precursor_disaccharide)	terminal_O-glycans_residues_modification_(via_type_2_precursor_disaccharide)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose_biosynthesis	ADP-L-glycero-beta-D-manno-heptose_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
PWY66-399	gluconeogenesis_III	gluconeogenesis_III	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
SUCSYN-PWY	sucrose_biosynthesis_I_(from_photosynthesis)	sucrose_biosynthesis_I_(from_photosynthesis)	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
UDPNACETYLGALSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine_biosynthesis_II	UDP-N-acetyl-D-glucosamine_biosynthesis_II	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
UDPNAGSYN-PWY	UDP-<i>N</i>-acetyl-D-glucosamine_biosynthesis_I	UDP-N-acetyl-D-glucosamine_biosynthesis_I	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
DHGLUCONATE-PYR-CAT-PWY	glucose_degradation_(oxidative)	glucose_degradation_(oxidative)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
FUCCAT-PWY	L-fucose_degradation_I	L-fucose_degradation_I	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
GLUCOSE1PMETAB-PWY	glucose_and_glucose-1-phosphate_degradation	glucose_and_glucose-1-phosphate_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
LACTOSECAT-PWY	lactose_degradation_I	lactose_degradation_I	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-2723	trehalose_degradation_V	trehalose_degradation_V	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-3801	sucrose_degradation_II_(sucrose_synthase)	sucrose_degradation_II_(sucrose_synthase)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-5384	sucrose_degradation_IV_(sucrose_phosphorylase)	sucrose_degradation_IV_(sucrose_phosphorylase)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-621	sucrose_degradation_III_(sucrose_invertase)	sucrose_degradation_III_(sucrose_invertase)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6317	D-galactose_degradation_I_(Leloir_pathway)	D-galactose_degradation_I_(Leloir_pathway)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6507	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate_degradation	4-deoxy-L-threo-hex-4-enopyranuronate_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6527	stachyose_degradation	stachyose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6693	D-galactose_degradation_IV	D-galactose_degradation_IV	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6760	D-xylose_degradation_III	D-xylose_degradation_III	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6901	superpathway_of_glucose_and_xylose_degradation	superpathway_of_glucose_and_xylose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6906	chitin_derivatives_degradation	chitin_derivatives_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-6992	1,5-anhydrofructose_degradation	1,5-anhydrofructose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-7294	D-xylose_degradation_IV	D-xylose_degradation_IV	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-7295	L-arabinose_degradation_IV	L-arabinose_degradation_IV	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-7345	superpathway_of_anaerobic_sucrose_degradation	superpathway_of_anaerobic_sucrose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-7446	sulfoquinovose_degradation_I	sulfoquinovose_degradation_I	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
PWY-7562	3,6-anhydro-&alpha;-L-galactopyranose_degradation	3,6-anhydro-alpha-L-galactopyranose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
RHAMCAT-PWY	L-rhamnose_degradation_I	L-rhamnose_degradation_I	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
ARO-PWY	chorismate_biosynthesis_I	chorismate_biosynthesis_I	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
PWY-6163	chorismate_biosynthesis_from_3-dehydroquinate	chorismate_biosynthesis_from_3-dehydroquinate	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
PWY-6165	chorismate_biosynthesis_II_(archaea)	chorismate_biosynthesis_II_(archaea)	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
PWY-6415	L-ascorbate_biosynthesis_V_(euglena,_D-galacturonate_pathway)	L-ascorbate_biosynthesis_V_(euglena,_D-galacturonate_pathway)	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
PWY-7165	L-ascorbate_biosynthesis_VIII_(engineered_pathway)	L-ascorbate_biosynthesis_VIII_(engineered_pathway)	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
PWY3DJ-35471	L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)	L-ascorbate_biosynthesis_IV_(animals,_D-glucuronate_pathway)	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
GALACTARDEG-PWY	D-galactarate_degradation_I	D-galactarate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
GALACTUROCAT-PWY	D-galacturonate_degradation_I	D-galacturonate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
GLUCARDEG-PWY	<i>D</i>-glucarate_degradation_I	D-glucarate_degradation_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
GLUCUROCAT-PWY	superpathway_of_&beta;-D-glucuronides_degradation_(to_pyruvate)	superpathway_of_beta-D-glucuronides_degradation_(to_pyruvate)	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
KETOGLUCONMET-PWY	ketogluconate_metabolism	ketogluconate_metabolism	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
P441-PWY	superpathway_of_<i>N</i>-acetylneuraminate_degradation	superpathway_of_N-acetylneuraminate_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-5177	glutaryl-CoA_degradation	glutaryl-CoA_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-5654	2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate	2-amino-3-carboxymuconate_semialdehyde_degradation_to_2-hydroxypentadienoate	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-5747	2-methylcitrate_cycle_II	2-methylcitrate_cycle_II	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-6060	malonate_degradation_II_(biotin-dependent)	malonate_degradation_II_(biotin-dependent)	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-6486	D-galacturonate_degradation_II	D-galacturonate_degradation_II	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-7242	D-fructuronate_degradation	D-fructuronate_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY-7754	bile_acid_7&alpha;-dehydroxylation	bile_acid_7alpha-dehydroxylation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PWY0-42	2-methylcitrate_cycle_I	2-methylcitrate_cycle_I	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
PEPTIDOGLYCANSYN-PWY	peptidoglycan_biosynthesis_I_(<I>meso</I>-diaminopimelate_containing)	peptidoglycan_biosynthesis_I_(meso-diaminopimelate_containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-5265	peptidoglycan_biosynthesis_II_(staphylococci)	peptidoglycan_biosynthesis_II_(staphylococci)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6385	peptidoglycan_biosynthesis_III_(mycobacteria)	peptidoglycan_biosynthesis_III_(mycobacteria)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6386	UDP-<i>N</i>-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6387	UDP-<i>N</i>-acetylmuramoyl-pentapeptide_biosynthesis_I_(<i>meso</i>-diaminopimelate_containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6467	Kdo_transfer_to_lipid_IV<sub>A</sub>_(four_Kdo_residues)	Kdo_transfer_to_lipid_IVA_(four_Kdo_residues)	Cell_Structure_Biosynthesis	Glycan_Pathways	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6470	peptidoglycan_biosynthesis_V_(&beta;-lactam_resistance)	peptidoglycan_biosynthesis_V_(beta-lactam_resistance)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY-6471	peptidoglycan_biosynthesis_IV_(<i>Enterococcus_faecium</i>)	peptidoglycan_biosynthesis_IV_(Enterococcus_faecium)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
PWY0-1338	polymyxin_resistance	polymyxin_resistance	Cell_Structure_Biosynthesis	Glycan_Pathways	Cellular_Structure_and_Modification_of_Macromolecules
PWY0-1586	peptidoglycan_maturation_(<i>meso</i>-diaminopimelate_containing)	peptidoglycan_maturation_(meso-diaminopimelate_containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
TEICHOICACID-PWY	poly(glycerol_phosphate)_wall_teichoic_acid_biosynthesis	poly(glycerol_phosphate)_wall_teichoic_acid_biosynthesis	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
1CMET2-PWY	folate_transformations_III_(<i>E._coli</i>)	folate_transformations_III_(E._coli)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
BIOTIN-BIOSYNTHESIS-PWY	biotin_biosynthesis_I	biotin_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
COA-PWY	coenzyme_A_biosynthesis_I_(bacteria)	coenzyme_A_biosynthesis_I_(bacteria)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
COA-PWY-1	superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	superpathway_of_coenzyme_A_biosynthesis_III_(mammals)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
COBALSYN-PWY	superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	superpathway_of_adenosylcobalamin_salvage_from_cobinamide_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
DHNA-Biosynthesis	1,4-Dihydroxy-2-Naphthoate_Biosynthesis	1,4-Dihydroxy-2-Naphthoate_Biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
FOLSYN-PWY	superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	superpathway_of_tetrahydrofolate_biosynthesis_and_salvage	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
HEME-BIOSYNTHESIS-II	heme_<i>b</i>_biosynthesis_I_(aerobic)	heme_b_biosynthesis_I_(aerobic)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
HEMESYN2-PWY	heme_<i>b</i>_biosynthesis_II_(oxygen-independent)	heme_b_biosynthesis_II_(oxygen-independent)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
MET-SAM-PWY	superpathway_of_<i>S</i>-adenosyl-L-methionine_biosynthesis_from_L-aspartate	superpathway_of_S-adenosyl-L-methionine_biosynthesis_from_L-aspartate	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
NAD-BIOSYNTHESIS-II	NAD_salvage_pathway_III_(to_nicotinamide_riboside)	NAD_salvage_pathway_III_(to_nicotinamide_riboside)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
NADSYN-PWY	NAD_<i>de_novo</i>_biosynthesis_II_(from_tryptophan)	NAD_de_novo_biosynthesis_II_(from_tryptophan)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
P241-PWY	coenzyme_B_biosynthesis	coenzyme_B_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
P261-PWY	coenzyme_M_biosynthesis_I	coenzyme_M_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
P381-PWY	adenosylcobalamin_biosynthesis_II_(aerobic)	adenosylcobalamin_biosynthesis_II_(aerobic)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
PANTO-PWY	phosphopantothenate_biosynthesis_I	phosphopantothenate_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
