"","train_18","train_19","train_20","train_21","train_22","train_23","train_24","train_25","train_26","train_27","train_28","train_29","train_30","train_31","train_32","train_33","train_34","train_35","train_36","train_37","train_38","train_39","train_40"
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01846,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0.51054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,5.89003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0,0,0,0,0,3.67461,0,0,0,0,0,0,0,0,0.05175,0,0,0,0,0,0.12097,5.95403,1.12888
"Barnesiella_intestinihominis",0,0.12995,9.18499,1.21412,4.54912,3.55022,1.72549,1.94914,0,0.77443,0,0.40345,0,0.24643,0.61108,0,4.7309,1.25105,0,0.41073,1.58346,0.94926,0.54395
"Bacteroides_eggerthii",0,0.43544,0,0,0,3.07434,1.87784,0,0,0,0,0,0,0,0,1.46174,0,0,0.0335,0,0,0,2.74255
"Clostridium_sp_CAG_590",0,0,0,0,0,1.13237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0.85711,0,0,1.54375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0.07018,0.05869,0.16927,0,0.09922,0,0,0,0.04656,0,0,0,0,0,0,0,0.04024,0,0.03379,0
"Parasutterella_excrementihominis",1.03287,0,0,0,0.02172,0.14855,0,0,0,0,0,0.43411,0.39709,0,0.00912,0,0,0,0,1.36132,0.57951,0,0
"Roseburia_sp_CAG_182",0,0.25334,0,1.34664,0.02248,0.14031,0,0,0,0.0927,0,0,0,0,0.05495,0,0,0.0932,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,2.63542,0.0857,0.12884,0,0,0,0,0,0,0,0,0,0,0.79309,0,0,0,0,0,0
"Alistipes_indistinctus",0,0,0.03514,0,0.16958,0.10305,0.06553,0.05398,0,0.82871,0,0,0,0.01112,0,0,0,0,0.80022,0.20218,0,0.31061,0
"Butyricimonas_synergistica",0,0,0,0.28029,0,0.07714,0,0,0,0,0,0,0,0,0,0,0.12601,0,0,0,0.01525,0.17306,0
"Clostridium_sp_CAG_167",0.03734,0.17112,0,0.56219,0.73366,0.06978,0,0,0,0,0,0,0,0,0.07683,0,0,0.06347,0.13541,0.1004,0,0,0.41544
"Streptococcus_vestibularis",0,0,0,0,0,0.03183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05046,0,0
"Coprobacter_secundus",0,0,0,0.19083,0,0.01488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08936,0
"Gemella_sanguinis",0,0,0,0,0,0.01425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0,0,0.00555,0,0.01025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831,0,0
"Oscillibacter_sp_PC13",0,0,0,0,0,0.01008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",0.02548,0,0,0,0,0.00639,0,0,0,0,0,0.00497,0,0,0,0,0.29551,0,0,0.07414,0,0,0
"Clostridium_citroniae",0,0,0,0,0,0.00637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0.00609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0.00307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0.04449,0,0,0,0.0017,0.00257,0,0,0,0,0,0,0,0,0,0.06214,0,0,0,0,0,0,0
"Bacteroides_faecis",0,0,0,0,2.43007,0,2.8003,0,0.76073,0,0,0,0,0,0,0,0,0.57488,0,0,0,0,0
"Victivallis_vadensis",0,0,0,0,0,0,0,0,0.35324,0,0,0,0.77607,0,0,0,0,0.19419,0,0,0,0,0
"Phascolarctobacterium_faecium",0,0,0.00627,0,1.40111,0,0,0,0,2.85944,0,0,0.00844,0,2.80857,0,0.04097,0.12899,0,0,0,0.06407,0
"Bacteroides_clarus",0,0.13819,0,0,0.75331,0,0,0,0,0,0,0,0,0,0.2166,0,0,0.08835,0,0,0.02763,0,0
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05696,0,0,0.01122,0,0,0,0,0
"Turicimonas_muris",0.13582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02073,0,0,0
"Bacteroides_nordii",0,0,0,0.00477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_goldsteinii",0,0,0,0,0.20465,0,0,0.20171,0,0,0,0,0,0,0.15238,0,0,0,0,0,0,0.01142,0
"Clostridium_bolteae",0,0,0,0,0,0,0,0.00556,0,0,0,0,0,0.16513,0,0,0,0,0,0,0.00251,0,0
"Anaerotruncus_sp_CAG_528",0,0,0,0,7.54674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,0,0,0,0.8023,0,0,0,0.78964,0,0,0,0,0,0,0,0,0,0,0,2.52152,0,0
"Bacteroides_faecis_CAG_32",0,0,0,0,0.7993,0,2.41652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0,0,0.0232,0.36759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01215,0
"Bacteroides_plebeius",0,0,0,0,0.29822,0,0,0,0,0,0,0,0,0.09378,0.25555,0,0,0,0,0,0,0,0
"Oxalobacter_formigenes",0,0,0,0,0.19343,0,0,0,0,0,0,0,0.08648,0,0.24005,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",1.31756,0,0,0,0.17009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0.07148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",0,0,0,0,0.05423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0.03806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0.01501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,0,0.01471,0,0.12722,0,0.05501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_parvirubra",0,0,0,0,0.00709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02851,0
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56737,0,0,0,0
"Cloacibacillus_porcorum",0,0.00529,0,0,0,0,0,0,0,0,0,0,0,0.10176,0,0,0,0,0.41511,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0.9262,0,0,0,0,0,0,0,0,0,0,0.15001,0,0,0,0.08757,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02168,0,0,0,0
"Dialister_sp_CAG_357",10.52095,0,0,0,0,0,0,0,0,0,0,0,4.16183,2.55397,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,1.7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55083,0,0
"Klebsiella_variicola",0,0,0,0,0,0,0,0,0.31984,0,0,0,0,0,0,0,0,0,0,0,0.3973,0,0
"Bifidobacterium_catenulatum",0.03665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26867,0,0
"Streptococcus_gordonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10699,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11957,0,0,0,0,0,0.00406,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0,3.77616,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0.49062,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45447,0,0,0
"Firmicutes_bacterium_CAG_145",0.76502,0,0.12028,0,0,0,0,0.04793,0,0,0,0,0,0,0.24323,0,0,0,0,0.79288,0,0.51943,0.06849
"Pseudoflavonifractor_sp_An184",0,0,0.27944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23564,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0.66535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08815,0,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4128,0,0,0,0.0816,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68081,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83294,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30495,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20555,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04113,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00844,0,0,0,0,0,0
"Clostridium_sp_CAG_242",0,0,0,0.54852,0,0,0,0,0,0,0,0,0,0,0,0,0.00775,0,0,0,0,0,0
"Prevotella_sp_AM42_24",0,0,0,13.08196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyrivibrio_sp_CAG_318",0,0,0,10.85934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_sp_An66",0,0,0,0.18357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_sp_HMSC71H05",0,0,0,0.00735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera_elsdenii",0,0.55309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_intestini",0,0.29895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Faecalitalea_cylindroides",0,0,0,0,0,0,0,0.26282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blautia_hydrogenotrophica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enorma_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.02807,0,0,0,0,0,0,0,0,0
"Anaerotignum_lactatifermentans",0,0,0,0,0,0,0,1.09732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrio_fairfieldensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0.13707,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1320",0,0,0,0,0,0,0,19.89539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_617",0,0,0,0,0,0,0,5.29899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An10",0,0,0,0,0,0,0,0.8188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_timonensis",0,0,0,0,0,0,0,0.20658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_299",0,0,0,0,0,0,0,0.05204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerofilum_sp_An201",0,0,0,0,0,0,0,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_evryensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_hirae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_piscolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas_aeruginosa_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_johnsonii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Massiliomicrobiota_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pyramidobacter_sp_C12_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_succinatiphilus",0,0,0,0,0,0,0.68497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterobacter_cloacae_complex",0,0,0,0,0,0,0.04505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_488",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49688,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_callidus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella_jalaludinii",0,0,0,0,0,0,0,0,0,0,0,0.25069,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium_sp_CAG_266",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34702,0
"Butyrivibrio_crossotus",0,2.12707,0,0,0,0,0,0,0,0,0,0,0,0,0,6.43601,0,0,0,0,0,0.12037,0
"Dielma_fastidiosa",0.4792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_924",0.41698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_amylovorus",0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_964",0,5.92238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_kefiranofaciens",0,0.47896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_acidophilus",0,0.25501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Varibaculum_cambriense",0,0.09222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desulfovibrionaceae_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Citrobacter_koseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rhamnosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_corporis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mogibacterium_diversum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fretibacterium_fastidiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_australis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_ruminis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_sp_CAG_439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rothia_mucilaginosa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sp_OM08_24",0,0,0,0,0,0,0,0,0,0,0,0,0.08714,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_927",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_rogosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hafnia_paralvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91525,0,0,0,0,0,0,0,0
"Hafnia_alvei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53834,0,0,0,0,0,0,0,0
"Bacteroides_sp_43_108",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23271,0,0,0,0,0,0,0,0
"Clostridium_asparagiforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03548,0,0,0,0,0,0,0,0
"Clostridium_lavalense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00458,0,0,0,0,0,0,0,0
"Lactobacillus_sakei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Christensenella_minuta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_485",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_durans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_galacturonicus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sellimonas_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_bolteae_CAG_59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_1031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_413",0,0,0,0,0,0,0,0,0,0,0,2.86584,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_598",0,0,0,0,0,0,0,0,0,0,0,0.60951,0,0,0,0,0,0,0,0,0,0,0
"Mitsuokella_multacida",0,0,0,0,0,0,0,0,0,0,0,0.06566,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera_sp_DISK_18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_quasipneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloscardovia_omnicolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_A12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_hylemonae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_534",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88258,0,0,0,0,0,0,0
"Ruminococcus_champanellensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_graevenitzii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas_hypermegale",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_885",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70594,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_462",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Escherichia_marmotae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brachyspira_sp_CAG_700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_disiens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_turicensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_fluxus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_mortiferum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_melaninogenica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_flavescens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megasphaera_micronuciformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_histicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_pallens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oribacterium_sinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Neisseria_perflava",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC034E03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_jejuni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_salivae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_buccae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corynebacterium_glucuronolyticum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Weissella_confusa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_HMSC035G02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_nucleatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_sulci",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_paraputrificum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter_cinaedi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_infantarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_buccalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Finegoldia_magna",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Megamonas_funiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cutibacterium_granulosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella_tannerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campylobacter_jejuni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Vibrio_cholerae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter_fennelliae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gallolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Haemophilus_influenzae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_haemolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kocuria_palustris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus_arlettae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Morganella_morganii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_butyricum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonella_clevelandensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_kashiwanohense",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fusobacterium_naviforme",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_timonensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coagulans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Negativicoccus_succinicivorans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus_vaginalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Peptoniphilus_harei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerococcus_prevotii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porphyromonas_sp_HMSC065F10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Facklamia_hominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
