"","train_369","train_370","train_371","train_372","train_373","train_374","train_375","train_376","train_377","train_381","train_382","train_386","train_387","train_388","train_391","train_392","train_396","train_397","train_398","train_405","train_406","train_418","train_419","train_420","train_421","train_422","train_423","train_424","train_425","train_426","train_469","train_488","train_489","train_490","train_491","train_506","train_533","train_534","train_535","train_538","train_539","train_540","train_541","train_543","train_544","train_586","train_587","train_588","train_595","train_596","train_597","train_598","train_605","train_614","train_615","train_616","train_626","train_627","train_628","train_629","train_630","train_632","train_633","train_634","train_635","train_636","train_637","train_638","train_645","train_646","train_647","train_648"
"Barnesiella_intestinihominis",0,0,0,0,0,0,0,0,0,0,0,2.75108,2.70325,2.85383,0.00733,0,9.3318,10.61033,5.24224,0,0,5.60965,5.47851,5.01879,1.10497,0.77394,3.19946,3.50553,3.47901,2.92151,0,0.19942,0.06631,0.29352,0.18502,0.96227,0,0,0,0,0,5.99331,3.07855,0,0,2.70459,2.41691,2.83893,0.16892,0.52205,0,0.26828,4.97863,5.60073,3.31185,5.83835,0,0,0,0,0,0.819,1.06247,1.57508,1.07302,3.65276,1.29659,3.40375,1.74128,1.59031,0,0
"Bacteroides_eggerthii",0.41193,0.70349,0.65451,0.11086,0.0559299999999999,0.28642,0.28449,0.23796,0.13628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57004,0,0,0,0,2.38425,0,0,0,0,0,0,0,0,0,1.75851,1.87814,4.86998,0.75263,1.15981,0.24891,2.7212,2.81644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95455,15.77148,0,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0.27411,0.27456,0.18992,0,0,0,0,0,0,0,0,0,0,0.01028,0,0,0,0,0.02074,0,0.05837,0,0.02921,0,0,0,0,0,0,0,0.02389,0.03845,0,0,0,0,0.01324,0,0,0,0,0,0.40103,0.16391,0.10286,0,0,0,0,0,0,0,0,0,0,0,0,0.01523,0.00517,0,0
"Parasutterella_excrementihominis",1.10334,1.36772,1.35511,0.95002,0.89961,0.78664,0.81933,0.72559,2.28035,0,0,0,0,0,0.0171599999999999,0,0,0,0,1.39747,0.98094,0.70702,0.68072,0.59404,1.35791,1.06645,1.6977,1.8217,2.03663,0.7429,3.5441,0,0,0,0,0.01445,0,0,0,0,0,0,0,0.52431,2.27814,0.0425899999999999,0.0636299999999999,0.07441,0,0,0,0,0.07846,0,0,0,1.59302,1.56484,0.27795,1.83682,2.04604,0.02369,0.01658,0.0110599999999999,0.0015199999999999,0.01603,0.00882,0.0551899999999999,0.04771,0,0,0
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87606,0.71737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02308,0.05024,0.04048,0.32445,0.11903,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01235,0,0.18761,0,0.16634,0,0,0,0,0,0.01083,0,0,0,0,0.0198199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914799999999999,0.23751,0.77565,0.50281,0.3331,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_indistinctus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05216,0,0,0,0,0.78284,0.40346,0.74936,0.69954,0.62923,0.22636,0,0,0,0,0.50859,0,0,0,0,0,0.01065,0.77401,0.52419,0,0,0,0,0,0.85601,1.05312,0,0,0,0,0,0,0,0,0,0,0,0.94533,0.7222,1.11007,0.39927,0.22537,0.10369,0.27263,0.06373,0.0244,0.39343,0.04111,0.72196,0.0348,0.62718,1.03835,1.25761
"Butyricimonas_synergistica",0,0,0,0,0,0,0,0,0,0,0,0.01141,0.01078,0.00451,0.13993,0,0,0,0,0.00692,0.01466,0.11482,0.12693,0.0712899999999999,0.0564799999999999,0,0.0292699999999999,0.05354,0,0.03899,0,0,0,0,0,0.0624299999999999,0.02525,0.02851,0.0159699999999999,0,0,0.0526299999999999,0.0072299999999999,0,0,0,0.0139999999999999,0.02546,0,0.0270399999999999,0,0,0,0.0067599999999999,0.00308,0.01311,0,0,0,0,0,0.0918799999999999,0.13743,0.07677,0.07577,0.50348,0.1168,0.44101,0.15268,0.13243,0.0087,0.00914
"Clostridium_sp_CAG_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19344,0,0.09783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06895,0,0,0,0,0,0,0,0,0,0.05336,0.78735,0.18201,0,0,0,0.28813,0.22467,0,0,0,0.80662,1.78037,0.64006,0.51894,0.22887,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0,0.00098,0,0,0,0,0,0,0,0,0,0,0.00607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_secundus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06462,0,0,0,0,0,0,0.00144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04415,0.0258699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00252,0.00251,0.00066,0.01114,0.00044,0.00364,0.00286,0.04106,0,0
"Gemella_sanguinis",0,0,0,0,0,0.0004799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0,0.02717,0,0.00232,0,0.02218,0.02502,0.00285,0.13999,0,0.0182699999999999,0.04643,0.05148,0.05071,0.00372,0,0.03669,0,0.27111,0.14704,0.40897,0.03906,0.05185,0,0.05521,0,0,0,0,0.10033,0.02364,0.18839,0.07664,1.45057,1.07795,0.0133599999999999,0.02182,0.04595,0.0061,0,0,0.37478,0.00044,0.04618,0.02433,0,0,0.01973,0,0,0,0,0,0,1.77167,0.73214,0.03251,0.0152699999999999,0.00364,0.00603,0.02209,0,0,0.02052,0.02113,0.05856,0.01061,0.0116,0.24372,0.00455,0.04538,0.2267
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00094,0,0,0,0,0,0,0,0,0,0,0,0,0.00027,0.00036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00763,0.0096
"Proteobacteria_bacterium_CAG_139",0.0452199999999999,0.0958,0.07707,0.06853,0.03431,0.0673,0.0547,0.0262699999999999,0.15203,0,0,0,0,0,0,0,0,0,0,5.34324,2.0694,0.03448,0.0275699999999999,0,0.0554399999999999,0,0.0551399999999999,0.04564,0,0.0251699999999999,0.1934,0,0,0,0,0.06834,0,0,0,0,0,0,0,0.0334,0.14609,0.05914,0.04941,0.01146,0,0,0,0,0.07921,0,0,0,0.08763,0.0867,0.01007,0.10766,0.09584,0,0,0,0,0,0,0.0009699999999999,0.00482,0,0,0
"Clostridium_citroniae",0,0,0,0.00063,0,0.00153,0.00198,0,0,0,0,0,0,0,0.00181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00066,0,0,0,0,0,0,0.00147,0,0.0005099999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02632,0.00121,0.02196,0.01778,0.00787,0.0022,0.00629,0,0,0.0113599999999999,0,0,0.00033,0,0.00823,0,0,0.0021899999999999,0.00475
"Pseudoflavonifractor_capillosus",0,0.00655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0,0,0,0,0,0,0,0,0,0.00119,0.0076599999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis",1.18768,1.96964,1.53499,0.24479,0.14062,1.43616,1.4228,1.2831,0.59927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11398,0,0,0,0,1.78643,0,0,0,0,0,0,0,0,0,6.83453,2.5269,2.90799,3.1162,5.29332,0.21752,2.57895,0.85014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73846,0.71169,0,0
"Victivallis_vadensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01891,0,0,0,0,0,0,0.0234,0.02024,0,0,0,0,0,0,0.01708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32383,0,0.05317,0,0.21322,0.00261,0.15872,0,0,0,0
"Phascolarctobacterium_faecium",3.07228,5.53396,4.91644,1.66555,1.41303,1.79589,1.8059,2.0834,2.50803,0,0,0.41856,0.37085,0.39503,0.01389,0,2.63047,2.49471,4.17868,0.79628,0.37082,0.01353,0.01577,0.0127099999999999,0.06225,0,0,0,0,0.02143,6.69369,0.24208,0.08322,0.11201,0.0556399999999999,0.21466,0.12664,0.12697,0.08984,0,0,0.29654,0.71146,0.27205,0.52941,0.22818,0.23302,0.21131,0.18597,0.20361,0.3182,0.03481,0.29649,1.01044,0.70282,0.39182,1.54334,1.39999,2.69713,1.87519,1.71116,0,0.01006,0.0052,0.00227,0.00513,0.0093099999999999,0.00486,0,0,0.25731,0.29623
"Bacteroides_clarus",0,0,0,0,0,0,0,0,0,0,0,2.01291,1.92909,2.06334,0.02771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01957,0,0.25501,0.10631,0,0,0,0,0,0,1.01235,1.30833,0,0,0,0,0,0,0,0,0,0,1.94185,1.15616,0.26333,0,0,0,0,0,0.05142,0.83081,0.29314,0.15591,0.76739,0.13683,0.56228,3.80519,1.72258,0,0
"Actinomyces_odontolyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00211,0,0,0.00381,0,0,0,0,0,0,0,0,0.01344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00175,0,0,0,0,0,0,3e-04,0,0
"Turicimonas_muris",0,0.0044,0,0.00465,0,0.0090099999999999,0.00462,0,0,0,0,0,0,0,0,0,0,0,0,0.15591,0.08916,0.01739,0.00634,0,0.01721,0,0,0,0,0,0.02648,0,0,0,0,0,0,0,0,0,0,0,0,0.00537,0.02684,0.00535,0,0,0,0,0,0,0,0,0,0,0.03597,0.01299,0,0.01569,0.02449,0,0,0,0.00143,0.00326,0,0.00266,0,0,0,0
"Bacteroides_nordii",0,0.08601,0.04099,0.00634,0,0.02626,0.02133,0.01814,0,0,0,0,0,0,0,0,0,0,0,0.08669,0.78042,0.00881,0.00264,0,0.00627,0,0,0,0,0,0.06577,0,0,0,0,0,0.75155,0.75894,0.47632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10592,0.13283,0.02725,0.11009,0.11956,0,0,0,0,0,0,0,0,0.0007599999999999,0.25586,0.29035
"Parabacteroides_goldsteinii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12771,0.03399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_bolteae",0,0,0,0.00942,0,0.00419,0.00216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139199999999999,0.01544,0,0.0284,0,0,0,0,0,0.008,0,0,0.00673,0,0,0.00391,0.00426,0.00256,0.00018,0,0,0,0.0147599999999999,0.10475,0,0,0,0,0,0,0,0,0.0049,0.00482,0.00134,0,0.02633,0.01384,0.02362,0.0088,0.0021,0.01285,0,0.00022,0.0036899999999999,0.00137,0.00301,0,0,0,0
"Anaerotruncus_sp_CAG_528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprocola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04892,0.05512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20131,0,0,0,0,0,0,0,0,0,0.13629,0.36686,0.419,0.98415,0.6832,0,3.82291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis_CAG_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7762,0,0,0,0,1.73833,0,0,0,0,0,0,0,0,0,7.96487,3.68389,2.56988,0.31941,0.55499,0,0.28146,1.30505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_parvula",0,0.00796,0,0.1232,0.07749,0.08853,0.08648,0.04687,0,0,0.01222,0.04318,0.03875,0.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044,0,0,0,0,0,0,0,0,0,0,0.04267,0,0,0,0,0,0,0,0,0,0,0.01157,0.07288,0.05134,0,0,0,0,0,0,0,0.00206,0,0.00246,0,0,0,0,0,0
"Bacteroides_plebeius",0.65629,0.62011,0.52157,1.06756,0.86735,1.91997,1.85989,1.69501,0.10374,0,0,0,0,0,14.16264,14.24347,2.64627,1.9902,3.45027,0.69233,3.52342,0,0,0,0,0,0,0,0,0,0.83589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.35122,0.06279,0,0
"Oxalobacter_formigenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069,0,0,0,0,0,0,0,0.03148,0.10114,0,0.02054,0,0,0,0,0,0.0555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_angulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49916,0.50862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blastocystis_sp_subtype_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_coprophilus",1.5536,1.1558,0.98316,0.69026,0.70043,1.39416,1.47144,1.30799,1.12313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_bivia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allisonella_histaminiformans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paraprevotella_clara",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02257,0.02273,0.00713,0.04876,0,0.08864,0.0452399999999999,0.07604,0.04423,0,0,0,0,0,2.17496,0,0,0,0,0,0,0,0,0,0.5278,0.56708,0.89499,0.41462,0.95036,0,0.80833,0.10781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sutterella_parvirubra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12967,0.03452,0.11387,0.06684,0.0519899999999999,0.02289,0.04078,0,0,0,0
"Firmicutes_bacterium_CAG_555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cloacibacillus_porcorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0033399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2672,0.246,0.34481,0.06952,0.03981,0.01316,0.12959,0,0,0.0156099999999999,0.00349,0.00639,0,0,0,0
"Bacteroides_pectinophilus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_448",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dialister_sp_CAG_357",0,0,0,0,0,0,0,0,0,0,0,0.49538,0.49507,0.54361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295399999999999,0.23582,0.1429,3.83575,3.26603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02607,0.12311,0.26847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_sp_CAG_633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_sobrinus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus_fermentans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Klebsiella_variicola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_gordonii",0,0,0,0,0,0.00047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0.0017699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00966,0,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecalis",0,0,0,0,0,0,0,0,0,0,0,0.08261,0.0617,0.04604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00375,0,0.21192,0.16057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,0,0,0,0,0,0.60935,0.61702,0.85418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.0385,51.89488,28.38142,32.71394,0,0,0,0,0,0,0.00972,0.10503,0,0,0,0,0,0,0,0,0,0,0.26948,0.26403,0.73695,0.07701,0.04057,0.11509,0.03231,0.00818,0,0.03928,0,0,0.05611,0.01194,0.00989,0.02324,0.20143,0,0
"Prevotella_sp_CAG_1185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_5226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.79091,3.17537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parabacteroides_sp_CAG_409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_145",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00717,0.0052,0,0.00646,0,0,0,0,0.03252,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09963,0.06994,0,0,0,0,0,0,0,0,0,0,0,0.08614,0.68505,0.30903,0.08033,0.05114,0,0,0,0,0,0,0,0,0,0,0
"Pseudoflavonifractor_sp_An184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00482,0.00345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00648,0,0.0753799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.175,1.00511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86513,0.01875,0,0
"Prevotella_sp_CAG_1092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_lutetiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricicoccus_pullicaecorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Absiella_dolichum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00358,0.00914,0.00224,0.00306,0.00466,0.01721,0,0,0,0,0,0,0,0.00539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_dolichum_CAG_375",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00317,0.01049,0.00018,0.00279,0.02351,0.0183699999999999,0,0,0,0,0,0,0,0.00296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tyzzerella_nexilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0.02175,0.03271,0.00966,0,0,0,0,0,0,0,0,0,0,0.0200699999999999,0,0,0,0,0,0,0.02376,0,0.07574,0,0,0.00701,0.01113,0.00446,0,0,0.05535,0.04425,0.23526,0.00433,0,0,0,0,0,0,0,0,0.0777,0.0418199999999999,0.0948,0,0,0.01418,0,0.00446,0.1806,0.27932,0.08961,0.01475,0.14861,0.03165,0.11865,0,0,0.01968,0.00317
"Clostridium_sp_CAG_242",0,0,0,0,0,0,0,0,0,0,0,0.0308699999999999,0.02607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28047,0.09973,0,0,0,0,0,0,0,0,0,0,0.03067,0.04724,0.0365399999999999,0.21414,0.13498,0.15018,0,0.01116,0,0,0,0,0,0,0,0,0,0,0
