"","train_2786","train_2787","train_2788","train_2789","train_2790","train_2791","train_2792","train_2793","train_2794","train_2797","train_2798","train_2799","train_2800","train_2801","train_2803","train_2804","train_2805","train_2806","train_2807","train_2808","train_2809","train_2810","train_2811","train_2812","train_2813","train_2815","train_2816","train_2817","train_2818","train_2819","train_2824","train_2827","train_2828","train_2829","train_2830","train_2831","train_2832","train_2834","train_2835","train_2836","train_2837","train_2838","train_2839","train_2841","train_2842","train_2845","train_2846","train_2847","train_2848","train_2849","train_2850","train_2851","train_2852","train_2853","train_2854","train_2856","train_2857","train_2858","train_2859","train_2860","train_2861","train_2862","train_2864","train_2865","train_2866","train_2867","train_2868","train_2869","train_2870","train_2871","train_2872","train_2873","train_2874","train_2875","train_2876","train_2877","train_2878","train_2888","train_2890","train_2892","train_2895","train_2917","train_2921","train_2926","train_2927","train_2936","train_2940","train_2943","train_2948","train_2954","train_2957","train_2960","train_2961","train_2963","train_2964","train_2965","train_2967","train_2969","train_2970","train_2971","train_2972"
"Bacteroides_xylanisolvens",0,0,0.00446,0,0,0.03064,0,0,0,0,0,0,0,0.00165,0,0.01623,0,0.00075,0,0,0,0,0,0,0.00491,0,0,0,0,0,0.03436,0,0,0,0,0,0,0.50574,0,0,0,0.011,0,0.11056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00518,0,0,0,0,0,0,0,0,0,0,0.0497,0,0,0,0,0,0,0,0,0,0,1.83498,0,0,0,0,0,0.21262,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_bicirculans",0.18937,0.00291,0.05093,0.06132,0.00145,0.00401,0.01431,0,0.05508,0,0.00172,0.03187,0,0.0176,0.02347,0,0,0.04673,0.05007,0.4273,0.02781,0,0,0.38981,0,0.04135,0,0,0.06891,0.00927,0,2.53463,0,0,0,0,0,0,0,0.03505,0,0,0,0,0.06771,0,0.06703,0,0,0.02452,0,0,0.22296,0.15131,0,0,0,0,0,0.16574,0.10721,0,0,0.05824,0.00248,0.03001,0,0,0,0.62171,0,0.05228,0,0,0,0.6479,0,0.09222,0,0.34908,0,0.26548,0,0,0,0,0.0274,0,0.29999,0.03911,0.08668,0.05378,0,0.00421,0,0,0,0.67798,0,0,0
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0.04506,0,0,0,0,0,0,0,0,0.02039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,0,0.00276,0,0,0.18121,0,0,0,0,0,0.00386,0,0,0,0,0,0,0.0802,0,0,0.02807,0,0,0.19855,0,0,0,0.05123,0,0.26144,0,0,0,0,0,0.08503,0.01804,0,0.07765,0,0,0.56237,0.23428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10159,0,0,0,0,0,0,0,0,0,0,0.03006,0,0,0,0,0,0,0,0.02061,0,0.2246,0.30814,0,0,0,0.00837,0,0.05896,0,0.03768,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_bifidum",0,0.00928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00691,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0,0,0,0,0,0,0,0,0,0.00063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eisenbergiella_tayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia_equolifaciens",0,0.00022,0,6e-05,0,0,0,0,0,0,0,0.00096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_onderdonkii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_hathewayi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bilophila_wadsworthia",0,0,0.00586,0.00011,0,0,0,0,0,0,0,0.00164,0,0,0,0,0.00106,0.01174,0,0,0,0.03039,0,0.12139,0.25963,0.05387,0,0,0.05002,0,0,0,0,0,0,0,0,0,0,0,0.00702,0,0,0.00906,0,0.01654,0,0,0,0,0,0,0.0548,0,0,0,0,0,0,0.00189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0042,0,0.00696,0.04844,0,0,0,0.01069,0,0.21471,0,0,0,0,0,0,0,0,0,0,0,0
"Holdemania_filiformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intestinimonas_butyriciproducens",0,0,0,0,0,0.00901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52748,0,0,0,0,0,0.00948,0,0,0,0,0,0,0,0,0,0,0,0
"Gordonibacter_pamelaeae",0.00197,0.00203,0.00347,0.0036,0.00107,0.00267,0.00034,0.00141,0.00294,0.00535,0.00148,0.00889,0.001,0.00076,0.00142,0.00011,0,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0
"Parvimonas_micra",0.01456,0.00619,0.0215,0.01713,0.00888,0,4e-04,0.01192,0.00247,0.00459,0,0.01076,0.00402,0,0,0,0.00123,0.00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.03621,0.06694,0.23502,0.17313,0.04156,0.01584,0.02226,0.0503,0.0479,0.14783,0.13808,0.18864,0.03096,0.0356,0.06348,0.03765,0.02749,0.07187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02233,0,0,0.0118,0,0,0,0,0,0,0.00055,0,0,0,0,0,0,0,0,0.00281,0,0,0,0.01708,0,0,0,0,0,0.11784,0.01738,0,0,0,0.01343,0.01305,0.02932,0,0,0.0103,0,0,0,0,0,0,0.00211,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00457,0,0,0,0,0,0,0
"Eubacterium_sp_CAG_274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0.84739,0,0,0,0,0,0,0.01298,0.00303,0,0,0,0,0.00264,0,0,0,0,0,0,0.00678,0,0,0.02212,0.02289,0.05236,0,0,0,0.01315,0,0,0,7.24626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02704,0.00152,0,0.02588,0.01667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01897,0,0.03219,0,0,0,0,0,0.08984,0.02948,0,0,0,0,0.00361,0,0.00215,0,0,0,0,0.01325,0,0,0,0.04265,0,0,0.09275,0.00734
"Collinsella_massiliensis",0.01138,0.03168,0.08963,0.04738,0.01949,0.00707,0.00486,0.01482,0.02024,0.05102,0.05208,0.063,0.00763,0.00973,0.03304,0.01225,0.01225,0.03206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01987,0,0,0,0,0,0.01232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_471",0.57859,0.13304,1.15955,0.00349,0.03628,0.2309,0.21176,0.05813,0.10165,1.89882,0.00233,0.07427,0.14477,0.5755,0.40457,0.06117,0.28098,0.03022,0.0218,0,0.01651,0,0,0,0,0,0,0,0.04516,0,0,0,0.03043,0,0.01993,0,0,0,0,0,0.01462,0,0,0.00693,0,0,0.09756,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0,0,0,0.01192,0,0.07709,0.00814,0,0.03675,0,0,0,0,0,0.00529,0,0.00634,0,0.01869,0,0,0.03732,0,0,0.06826,0,0,0.17389,0.04159,0,0,0.08343,0,0,0,0,0,0.03697,0,0
"Gemella_morbillorum",0.00699,0,0.01001,0,0.00531,0.00075,0.00154,0.00628,0,0.02309,0,0.03205,0.00084,0,0,0.00907,0.00324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0.01615,0.01146,0.02975,0.03275,0.0123,0.00388,0.00442,0.00966,0.00684,0.02463,0.01356,0.0382,0.0043,0.00922,0.01688,0.00458,0.0064,0.03429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0253,0.00474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0.00895,0.00919,0,0,0,0.00488,0,0,0.00884,0,0,0,0,0,0.00546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0.00079,0.00354,0.00868,0.00473,0.00822,0,0,0.00265,4e-04,0.00587,0,0.01084,0.00136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0.00073,0.00125,0.00166,0.00247,8e-04,0.00035,0,0.00095,0.00205,0.0042,0.00046,0.00684,6e-04,0.00038,0.00015,0,0,0.00142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0.10728,0,0.00676,0.00857,0.00118,0.35662,0,0.00443,4e-04,0.00375,0.00468,0.00495,0.11285,0.00623,0.0339,0.04033,0,0.42401,0,0.80927,2.12552,1.49149,0.40996,1.71629,0,1.69408,0.07172,0.37535,0.01487,0,0.06023,0,0,0,0,0,0,0.16496,1.09601,0.61302,0.07198,0.04489,0.0217,0.66271,0,0,0.33356,0.19007,0.06736,0,0,0.07047,0.26078,0,0,0.01506,8.28692,28.24448,1.57316,0,0,0,0,0.34583,0.09843,0.05689,0.60418,0.40639,0.04313,0.07342,0,0.25846,0.24514,1.98092,0.01049,0.32057,3.50349,0.05327,0.59395,0.06907,0.51642,0.49644,0,0.00792,1.01967,0.27441,0.22618,0.15452,12.77122,0.59749,0.15328,0.03057,0.70807,0,0,1.06309,0.29925,0.34949,0.29905,2.00152,2.08192
"Bifidobacterium_adolescentis",0.00293,0.00798,10.40358,0.61215,4.4754,4.59288,0.35801,0,2.49789,3.59813,11.79927,22.83507,11.26399,1.02672,0,0,1.07742,0,0,0,0,0,0,0,0,0.8113,0.2401,0,0,0,0,0,0,0,0,0,0,0,0.06831,0,0,0.00835,0,0.49493,0,0,0,0,0,0,0,0.14898,0,0,0,0,0,0,0,0,0.02197,0,5.57999,0.32751,0,0,0,0,0,0,0,0,0.03214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44326,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_salivarius",0,0.00171,0,0.04724,0.01196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",3.1874,0.25109,0.05424,0.02164,0.1476,3.91028,0.02868,38.8312,1.00898,6.01149,0.03345,4.3778,0.00107,9.22824,0.50549,0,0.19381,3.88449,0.0775,0,0.52684,2.80052,0.54617,0.01502,0,0.23033,0,0,0,0.0209,0,0,0,0,0,0,0,0,0.1524,0.35638,0,0,0,0.29231,0,0,0.24371,0,0,0,0,0,0,0,0,0,0,0.27039,0,0,0,0,0,0,0.05462,0,0,0.03308,0.1362,0,0,0,0,1.51178,0,0,0.02435,0,0.45754,0,0,0,0,0,0.07001,0.01824,0,0,0.21101,0.01197,0,0.10131,0,0,0,0,0,0.00974,0,0,0
"Coprobacter_fastidiosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0.00901,0.0907,0.00687,0.11442,0.02043,0,0.01397,0.00061,0.00504,0.01253,0.00076,0.03354,0.01297,0,0,0.04554,0.00913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0.00085,7.73935,0,0,0.11288,0,0,0.10291,0,11.2723,0.02656,0.00032,0.06356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_paragasseri",0,0,0,0.00561,0.00512,0,0.00499,0,0.0032,0,0,0.02486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0.00263,0,0,0.00518,0,0,0.02737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0.00023,0,0,0,0,0,0,0.01761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0.00361,0.01317,0.06165,0.02503,0.029,0.01075,0,0.0155,0.00378,0.02579,0.00323,0.04867,0.01057,0.00982,0.00148,0.00948,0,0.04062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0.0073,0.02143,0,0,0,0,0.00142,0,0,0.01613,0,0,0,0.00749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0.1743,0.00027,0,0.0011,0,0.02103,0,0,0.11904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0.03868,0.00963,0,0.11575,0,0.14046,5.38313,0,0.12017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15208,0,0.57796,0,0,0,0,0,0.79958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0,0,0,0,0,0.30404,0,0,0,0,0.00219,0,0.11399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0.00045,0,0,0.00306,0,0,0.00336,0,0.03258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0.02252,0,0,0,0,0,0.00023,0,0.27372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03553,0,0.01517,0,0,0,0,0,0,0,0.06323,0,0,0,0,0,0,0.14512,0,0.24674,0.07729,0,0,0,0.65194,0,0,0,0.03584,0,0.08082,0,1.06805,0,0,0.0322,0,0.06624,0.00559,0,0,0.0143,0,0,0,0.10859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
