"","train_1198","train_1204","train_1230","train_1308","train_1381","train_1386","train_1388","train_1389","train_1392","train_1393","train_1394","train_1396","train_1397","train_1398","train_1400","train_1401","train_1402","train_1403","train_1405","train_1406","train_1408","train_1409","train_1410","train_1411","train_1412","train_1413","train_1415","train_1416","train_1417","train_1420","train_1421","train_1424","train_1425","train_1426","train_1428","train_1431","train_1433","train_1434","train_1435","train_1436","train_1437","train_1439","train_1441","train_1443","train_1446","train_1448","train_1449","train_1694","train_1696","train_1698","train_1703","train_1707","train_1708","train_1711","train_1712","train_1715","train_1717","train_1719","train_1720","train_1725","train_1728","train_1736","train_1742","train_1744","train_1746","train_1747","train_1748","train_1755","train_1759","train_1761","train_1765","train_1767","train_1768","train_1769","train_1773","train_1774","train_1776","train_1782","train_1783","train_1784","train_1786","train_1790","train_1796","train_1800","train_1803","train_1804","train_1805","train_1813","train_1816","train_1821","train_1828","train_1837","train_1844","train_1854","train_1855","train_1860","train_1861","train_1862","train_1873","train_1874","train_1877","train_1884","train_1890","train_1892","train_1893","train_1894","train_1901","train_1904","train_1905","train_1909","train_1910"
"Holdemanella_biformis",0,0,0,0,0.04885,0,0.12198,0,0.01538,0,0.0115,0,0,0,0.01149,0,0,0,0,0,0,0.3077,0,0.04548,0.84638,0.05797,0.0645,0.03013,0,0.06992,0,0,0,0.08971,0,0,0,0.0015,0,0.04474,0.21029,0,0.77428,0,0,0,0.06618,0.12008,0.10554,0,0.10829,0,0,0.0457,0,0.009,0.05867,0,0.09897,0,0,0,0,0.03518,0.0932,0,0,0,0,0.01304,0.12391,0,0,0,0.20085,0.98847,0,0.06109,0.06641,0.13572,0,0,0.67283,0.0152,0,0.02718,0,0.12525,0,0.0266,0.00313,0.24626,0.11064,0,1.00634,0,0,1.82537,0,0.14298,0,0.0137,0.05363,0,0,0,0.02455,0,0.15536,0,0
"Lawsonibacter_asaccharolyticus",0,0.00514,0.0318,0.4522,0.20291,0.02339,0.18908,0.04801,0.01717,0.30501,0,0.01923,0.22619,0.02211,0.1554,0.29449,0.15926,0.29144,0.18075,0.13795,0.00736,0.01442,0.10564,0.00057,0.04353,0.24702,0.11582,0.31976,0.1751,0.22347,0.03638,0.05669,0.15238,0,0.03892,0.00319,0,0.04209,0.06817,0,0.0233,0.10631,0.09616,0.25278,0.11968,0.07605,0,0.04748,0.29673,0.03768,0,0.07895,0.031,0.03189,0.37297,0.09758,0.24032,0.06795,0,0.31536,0.1477,1.47796,0.31835,0.09609,0.02361,0.07773,0.12476,0.88222,0.04088,0.60637,0.10364,0.06841,0.04942,0.01253,0.10933,0.16369,0,0.29395,0.02413,0.08579,0.03625,0.14759,0,1.05363,0.0478,0.12157,0.23989,0.09283,0.05185,0.07509,0.04981,0.08074,0,0,0.317,0.16718,0,0.00111,0.40952,0,0.01953,0.14118,0.06407,0.03995,0.07667,0.07017,0.07952,0.11612,0.09311,0.12923,0.15153
"Akkermansia_muciniphila",0,0,0,0,0,4.54696,6.77309,0,0,0,0.34784,0,5.20449,0,0,3.75101,0.2208,0.34716,22.19247,0.27097,0.00044,0,0,0.25021,26.46498,1.28668,0,0,5.189,0.07629,0,0,1.73716,0.03972,0,0,0,0,0.054,0,19.17022,3.98041,0,0,0.05292,0,0,2.15459,1.85826,0,1.54172,0,0.45223,0,0.05521,0,0,1.58871,0.11043,5.12263,0.77762,0,0.74998,10.5445,17.50778,0.01635,0,0.90997,0,0,0,0,0,0.0537,6.3253,0.19221,0.57396,14.74853,0.69667,0.03317,0,3.11265,0,0.06691,0.14641,0,2.82054,0.27083,1.09948,0.28637,0,0,0,23.12828,0,0.11415,5.90876,0.02825,2.04761,0,0,0.03141,7.93356,3.93943,4.41163,0.28693,0.437,3.94467,0.50711,3.71727,0.0197
"Eubacterium_sp_CAG_180",2.07417,1.93283,0,0,0,0,7.16765,0,0.0235,0,0,10.96678,0,6.25057,1.6674,0,0,0,2.40612,0.13471,0.37544,4.09478,5.54884,0,0,0,6.52047,0,0.82939,5.25713,0,0,5.40919,0,2.99053,0,0,0,0,0.17642,0,0,0.38874,0,5.9523,1.25518,0.90687,0,0.11619,0,5.75854,0,0,0,0,0,0,0,0.85748,0,0,3.80542,0,0.10628,2.86033,2.3333,0.58173,0,0.883,0,3.05142,6.51991,0.04507,1.4597,0.02334,0,11.92489,1.32978,0,4.66015,0,5.65235,0,3.07673,0,1.57621,2.21683,0,5.73362,0,9.88666,0,0,0,0,1.0052,0,0,2.49971,1.60229,0,0.77945,0.10722,2.35361,0,0.03623,0,0,1.00065,0.19974,0
"Bacteroides_xylanisolvens",0.20608,0.07971,0.16659,0,0.18994,0.03723,0,0,0.09055,0.11796,0.47669,0.07078,0,1.94532,0.13531,0.00954,0.04988,0,0.21459,0.02613,0.19367,0.074,0.3604,0.01494,0.30336,0.02756,0.02576,0.08411,0.23899,0,0.12065,0.07998,0.6448,0.46067,0.10996,0.01834,0.08336,0,0.09617,0.02287,0.13645,0.25659,0,0.00894,0,0.2463,0.0067,0.05149,0.22744,0.14092,0.09553,0,0.19194,0.39869,0.21488,0.67487,0.06309,0.07351,0.0062,0.06506,0,0.59939,0.48817,0.21972,0.18637,0.18377,0,1.28727,1.92899,0.06473,0,0.14079,0,0,0.64373,0,0,0,1.63525,0.2138,0.10864,0.05666,0.08302,0.51063,0.17235,0.50679,0.02522,0.00443,0,0.08968,1.33331,0.03853,0.12229,0.18729,0.16629,0.08123,0.16174,2.33212,1.80708,0.33582,1.34353,0.39151,0.39499,0.22294,0,0,0,0,0.12053,0.04768,0.18072
"Ruminococcus_bicirculans",0.00861,0.04198,0.02324,0,0,0.31359,0.00167,5.15104,0.26201,2.79754,0.82767,0.48254,0.32483,0.06306,0.08678,1.53741,0.01599,1.8844,0,0.65684,1.52659,0.67296,0.83543,0,0,7.47018,0.00409,0,0,1.37544,0.29757,0,1.772,0.0174,0.08251,0,0.09779,0.00303,0.92695,0.05358,0.88296,0,0,0.17756,1.3926,0.87328,0.26976,0.04915,0.083,0,0.02951,0.8771,0.27652,0.32383,0,0.49278,0.30355,0,0.50007,4.55568,1.9679,1.04732,2.39977,0.17821,0.12708,3.45462,0.13438,0.9985,0.00764,0.69393,0,0,0.37268,0,0,1.04016,1.52261,0.64714,0,2.23499,0,1.37961,0.60322,0.0292,0.5483,0.2655,1.79135,0.3177,0.36043,0.06694,1.9687,1.84549,0.04042,0.511,0,0,0.15993,0.82913,0.04581,0,0.01518,0.11937,0,0.02458,0,3.24734,0.25269,0.07085,0.00189,0.02696,0.79246
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0.01664,0,0,0.01085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25888,0.00692,0,0,0,0,0,0,0,0,0,0,0.48699,0.43744,0,0,0,0,0.14041,0,0,0,0,0,0,0,0,0,0,0.01437,0,0,0,0,0,0,0,0.01402,0,0,0,0,0,0,0,0,0,0,0,0,0.19106,0,0,0,0.0151,0,0,0.05791,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0,0,0,0.12257,0,0,0,0.00279,0,0,0,0,0,0,0,0,0.17048,0,0.08742,0,0,0.00496,0,0,0,0,0,0,0,0,0,0,0.05707,0.04771,0,0,0,0,0,0,0,0,0,0,0,1.09694,0,0,0,0,0.0105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0279,0,0,0,0,0,0,0,0,0,0.00901,0,0,0,0,0,0.01763,0
"Alistipes_shahii",0.06668,0.06174,0.22829,0,0,0.13754,1.09103,1.8071,0.07733,0.43013,0.52056,0.34723,1.59804,0,0.03364,0.55713,0.4131,0,0.5075,0.05143,0.72195,0.31621,0.34374,0.04339,0.16955,1.28154,0.81149,0.31558,0.15845,0.16959,0.14417,0.2206,0.31202,3.76675,0,0.13497,0.13695,0.10751,0.36238,0,0.13907,1.23045,0.11534,1.85445,0,0.29301,0,0.29862,1.59251,0.36212,0.47594,0,0.24031,0.73726,0.36676,0.30843,0.85462,0.40858,0.05602,0.01707,0,0.40203,0.31146,0.04464,0.2903,0.31891,1.39775,0.49213,0,0.18519,0.01409,0,0.10244,0.03179,0.24546,0.39483,0.59186,0.65412,0.2992,0.44285,0.38033,0.12908,0.05997,1.8226,0.35302,0.46874,0.08093,0.14474,0.1478,0.04715,0.30464,0.05425,1.47529,0,0.77002,0.02904,0,0.42362,0,0,0,0,0.22216,0.48847,0,0.07242,0.11706,0.30673,0.5117,0.04404,0
"Bifidobacterium_bifidum",0,0,0,0,0,0,0.34381,1.47994,0,0.24428,0,0,0,0,0,0,0,0,0,0,0,0.30529,0,0,0,0,0,0,0,0,0,0,0.1471,0,0,0,0,0.03356,0.13122,0,0,0,0,0.00847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20916,0,0,0,0,0,0,0.4086,0,0,0,0,0.73298,0,1.35762,0.14273,0,0,0,0.00663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04495,0,0,0.16589,0,0,0,0,0,0.50116,0,0,0,0.10136,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0689,0,0,0,0,0,0,0,0.01247,0,0,0,0.15051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00411,0,0.20308,0,0,0,0.32568,0,0,0,0,0,0,0,0,0,0,0,0.01686,0,0,0,0,0,0,0.00687,0.00736,0
"Asaccharobacter_celatus",0,0.00337,0.06991,0.01209,0.05467,0.02417,0.04823,0,0,0,0.01459,0.00433,0.02509,0.29659,0.00278,0.0444,0.04539,0.05157,0.01813,0.02803,0.01222,0,0.03645,0,0,0,0.02679,0,0.03801,0.00601,0.02079,0.05558,0.01771,0,0.05768,0.14032,0.00717,0.00777,0,0,0,0.19732,0.01193,0,0,0.00862,0,0,0.03463,0.00492,0,0.03548,0.03738,0.12091,0.04963,0.05087,0.03364,0.0159,0.01207,0,0.33623,0.118,0.01491,0.02083,0.0199,0.02455,0.00838,0.04448,0,0,0.00052,0.02234,0.02936,0,0.02414,0,0.01239,0.00437,0,0.03896,0.01775,0.03003,0,0.08549,0.12394,0.00354,0,0.02198,0,0,0.10731,0,0.03348,0.0189,0.08455,0.01371,0.00138,0,0.05115,0,0.00663,0.00989,0,0.01964,0.01166,0.13353,0.00233,0,0,0,0.03286
"Eisenbergiella_tayi",0.00481,0,0,0.0201,0,0,0.10994,0.00718,0,0,0,0.29122,0.02159,0,0,0.0495,0.03049,0,0,0,0,0,0.01773,0,0,0,0,0,0,0,0,0.01346,0,0,0,0,0,0,0,0,0.14142,0,0,0.06027,0.42599,0,0,0,0,0,0,0,0,2.52008,0,0,0,0.00231,0,0.03466,0.04515,0,0,0.00641,0.0063,0.00183,0.32715,0,0,0,0,0,0.02817,0,0.03691,0.00915,0,0.06447,0.00436,0,0.03163,0,0,0.00288,0,0.00748,0.00178,0,0,0,0,0,0,0,0,0.00461,0.00877,0,0.0188,0,0,0,0,0.12032,0.04169,0,0,0.02609,0,0,0
"Adlercreutzia_equolifaciens",0,0,0.05967,0.00042,0.05795,0.0166,0.01315,0,0,0,0.00309,0,0.00779,0.11842,0,0.02747,0.02314,0.02292,0.01119,0.0423,0,0,0.00916,0,0,0,0.00871,0,0.01636,0.00154,0.01108,0.02214,0.00951,0,0.0546,0.0504,0.00371,0.00523,0,0,0,0.07005,0,0,0,0,0,0,0.01905,0,0,0.08467,0.01909,0.11051,0.01234,0.00736,0.01341,0.01315,0.00628,0,0.19609,0.0682,0.01077,0.05932,0.00405,0.01502,0.01223,0.02305,0,0,0,0.04546,0.04041,0,0.0148,0,0.00488,0.00668,0,0.01717,0.00954,0.00836,0,0.03422,0.06102,0,0,0.00884,0,0,0.12988,0,0.02403,0.02074,0.03338,0.02002,0,0,0.02051,0,0.01321,0.00145,0,0.01344,0.0174,0.10475,0,0,0,0,0.03627
"Alistipes_onderdonkii",0,0.00955,0,0,0,0,0,0,0,0,0,0,0,0,0.19402,0.05082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00672,0.03497,0,0,0,0,0,0,0,0,0,0,0,0,0.02344,0,0,0.00956,0,0.00961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0,0,0.12734,0,0,0,0,0.06192,0.10542,0,0.00887,0,0.01028,0,0,0.27686,0,0,0,0,0.03963,0,0.00955,0,0,0.00223,0,0,0,0.01477,0,0.00558,0,0,0,0,0.03981,0,0,0,0,0.01885,0,0,0.00508,0,0.01051,0,0,0,0,0,0,0,0,0.03681,0.16238,0,0.05266,0.07492,0.17235,0,0,0,0,0.18141,0,0,0,0,0.0432,0,0,0,0,0.00086,0,0,0,0.01528,0,0,0,0,0,0.00503,0,0,0,0,0,0,0,0,0,0,0.0136,0,0,0.01369,0,0,0,0.05945,0,0.00241,0
"Hungatella_hathewayi",0,0,0,0.0049,0.04581,0,0,0,0,0,0,0.00375,0,0.00039,0,0.02248,0,0,0,0,0,0,0.01664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3782,0.01067,0,0.01361,0.00911,0,0,0,0,0,0,0,0,0,0.00127,0,0.0022,0,0.0366,0,0.01437,0,0,0.00794,0,0,0,0.0123,0.0113,0,0,0,0,0,0.23831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,0,0,0,0.00212,0,0,0,0,0.00337,0,0,0,0,0,0
"Bilophila_wadsworthia",0.40457,0,0.22567,0.01186,0,0.25129,0.12609,0.0303,0,0.00989,0,0.02683,0.03127,0,0.02215,0.03204,0.00938,0.03965,0.16185,0.01822,0.08501,0.0366,0.08931,0.01004,0.17988,0,0.20202,0.01479,0.10384,0,0.03852,0.02764,0.08381,0.32604,0,0.08813,0.00466,0,0,0,0.00508,0.0036,0.0107,0.06195,0,0,0,0,0.01323,0,0,0,0,0.00775,0.02336,0.01873,0.09258,0.01993,0,0.08287,0,0.13366,0.00666,0,0.06605,0.11003,0,0.0033,0,0.01749,0.15835,0,0.66031,0,0.06707,0.04828,0,0.03082,0.00298,0.05011,0.00226,0.01981,0.01078,0.02153,0,0,0,0.01825,0.00714,0.09584,0.03503,0,0.00075,0.419,0.04264,0,0.25669,0.07718,0,0,0,0.06276,0.04011,0.03525,0,0.0261,0,0,0,0,0
"Holdemania_filiformis",0.01461,0,0,0,0,0.00803,0.00179,0,0,0.00217,0,0.02834,0.077,0,0.03421,0.00292,0,0,0,0.0328,0,0,0.01224,0,0.00597,0.01502,0.03179,0.01385,0.03326,0.05723,0,0.06403,0,0,0,0,0,0,0,0,0,0.06368,0,0,0,0.00834,0,0,0,0.00097,0,0,0,0.01736,0,0.01548,0,0.01534,0.00407,0.00717,0.34846,0.05085,0.03214,0,0.03118,0,0,0,0,0.00156,0,0,0,0.00731,0.01185,0.02012,0,0.02272,0.00083,0,0,0.02604,0.02207,0.01441,0.00258,0.02214,0.0119,0,0.00307,0.02665,0.01295,0,0,0.00968,0.02818,0,0,0.01886,0,0,0,0.00869,0.03315,0,0.03902,0.03209,0.00743,0.0186,0,0.01534,0.00636
"Intestinimonas_butyriciproducens",0.01152,0,0,0.07915,0,9e-04,0.00156,1.0364,0,0,0,0,0.11661,0,0,0,0.10232,0.00722,0.0043,0,0.14017,0,0,0,0.00067,0,0,0,0,0.00395,0.00591,0.06092,0.00617,0,0,0,0.00112,0,0,0,0.10272,0.01024,0.03465,0.10997,0.02142,0.00904,0,0,0.01981,0.00538,0,0,0,0,0.01364,0.01173,0.01063,0.37266,0.02306,0.06731,0.0018,0,0.00733,0.0349,0.17578,0.01875,0,0.08798,0.005,0.00713,0,0.00102,0.20396,0,0.05501,0,0,0.00924,0,0,0,0,0,0.00253,0,0.00438,0,0.0019,0,0.02981,0,0.00036,0,0,0,0.01673,0.14724,0,0.01868,0,0,0,0.00825,0.00275,0.01343,0.01264,0,0,0.00671,0,0
"Gordonibacter_pamelaeae",0,0,0.03618,0,0.05787,0.003,0,0,0,0,0,0.0047,0.06985,0.01616,0,0.01187,0.00062,0.01485,0.01043,0.00225,0,0,0.02205,0.00298,0,0,0,0,0,0,0,0.02385,0.0434,0,0.00419,0,0,0.00072,0,0,0,0.03104,0,0.01215,0.02027,0,0,0,0,0,0,0.0327,0,0.00561,0,0.01179,0,0,0,0.00294,0.16968,0,0,0,0,0,0,0.00991,0.00381,0,0,0,0,0,0,0.04673,0,0,0,0,0,0,0,0.04951,0.07045,0,0,0.00275,0.02235,0,0.01895,0,0.02995,0,0,0,0,0,0,0,0,0,0,0.00519,0.13935,0.06254,0,0.02813,0,0,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0,0,0,0,0,0,0.02268,0.01385,0,0.00111,0,0.01282,0.00069,0,0.00535,0,0,0,0.00089,0.01445,0.00436,0.0012,0.00823,0.00886,0.02298,0.01878,0.00213,0.01788,0,0,0,0,0.00601,0,0,0,0.00062,0,0,0,0,0.01469,0,0,0,0,0.00765,0,0.01101,0.00193,0.01059,0.00688,0.00916,0.06507,0.03232,0,0.00544,0.00198,0.00054,0.02608,0,0.00711,0.00775,0.01533,0.00318,0.00868,0.02535,0,0,0.00713,0.01032,0,0.02089,0,0.01096,0.01739,0.02724,0.02534,0.00082,0.00302,0,0.00353,0,0,0,0.01032,0.02144,0.0094,0,0.01979,0.00259,0.0023,9e-04,0.0162,0.01337,0.01128,0,0.00837,0,0,0,0.01112,0.00423,0,0,0.01951,0,0,0.00645,0.00176,0
"Eubacterium_sp_CAG_274",0,0,0.11008,0,0,0.12736,0.0654,0,0,0,0,0,0.01276,0,0.20481,0,0,0,0,0.09296,0,0.0845,0,0,0,0,0.53241,0,0,0.15803,0,0,0,1.4954,0,0.02546,0.14299,0,0.16382,0,0.21522,0,0,0,0,0,0,0,0,0,0,0,0,0.00848,0,0.10097,0,0,0,0,0.26462,0.05061,0,0,0,0,0,0,0,0.38131,0.1894,0,0,0,0.04165,0,0,0,0,0.02242,0,0,0,0,0.45724,0,0,0.21297,0.79186,0,0,0,0,0,0.09995,0,0.14197,0,0.02997,0,0,0,0,0.08784,0,0.40845,0,0.04384,0,0,0
"Anaeromassilibacillus_sp_An250",0,0,0,0,0.01133,0,0.0344,0,0,0.00067,0,0.01659,0.05544,0.01074,0,0.00685,0,0,0.13485,0.02426,0.00948,0.00277,0.2286,0,0,0,0,0.05856,0,0.00112,0,0,0.22027,0,0,0,0,0,0.01445,0,0.00847,0.01159,0,0.00135,0,0,0,0.04037,0.0038,0.0018,0,0.02162,0.00421,0.02488,0.00467,0.0063,0,0.00649,0.02222,0.04097,0.34111,0.01234,0.06011,0.02767,0.03794,0.35137,0.05873,0,0.02025,0.01199,0.30109,0.00472,0.07242,0.00334,0.01988,0.00644,0,0.61353,0,0.02534,0.5086,0.03227,0,0.04785,0,0.01523,0.08054,0.00593,0.01486,0,0.01979,0.02745,0,0.00083,0,0.0331,0.13848,0,0.20389,0,0.00232,0.04391,0,0,0.02113,0,0.03989,0.02744,0.03712,0.29361,0.00549
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00561,0,0.00556,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0.02542,0,0,0,0,0.00579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0.00115,0,0,0,0.05846,0,0.07693,0.02486,0,0,0,0.49204,0,0,0.08116,0,0,0,0.0102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00579,0,0.02854,0,0,0,0,0,0.06632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0088,0,0,0,0,0,0,0.00072,0,0,0,0,0,0,0,0,0.00082,0,0,0,0,0,0.05963,0,0,0.03078,0.00446,0,0,0,0.01957,0,0,0,0,0.00195,0,0,0,0,0,0,0.00358,0
"Collinsella_massiliensis",0,0.00192,0,0,0.00113,0,0.0067,0,0,0.00605,0,0.00169,0.018,0,0.00641,0,0,0,0.00364,0.00511,0.008,0.00128,0.00586,0.00209,0.00294,0.00321,0,0.01752,0,0,0,0,0.00831,0,0.00054,0,0.00281,0,0.00439,0,0,0.0049,0.06439,0,0,0,0,0,0,0.00115,0.00144,0.00431,0.00357,0.03713,0.00157,0,0.00132,0,0,0.00354,0,0,0,0.00709,0.00137,0,0.01665,0,0,0,0.0834,0,0.00457,0,0.00652,0,0,0.00319,0,0,0,0,0.00168,0,0.01066,0,0.0063,0,0,0.00246,0,0,0,0.00159,0.00387,0,0,0,0,0,0,0,0,0,0,0.00305,0,0,0,0.00935,0.00313
"Anaerotruncus_colihominis",0,0,0,0,0.09287,0,0,0.18367,0,0,0,0,0,0,0,0.00638,0,0,0,0,0,0,0,0,0,0.0258,0,0,0,0.01254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09975,0,0,0,0,0,0,0,0,0.00826,0,0,0.0087,0.00492,0,0.00346,0.00247,0,0,0,0,0,0.06011,0,0,0.0082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00917,0.00203,0,0,0,0,0
"Roseburia_sp_CAG_471",0,0,0,0,0,0.05342,0,0,0,0,0,0.01174,0,0.07227,0,0,0,0,0,0.06794,0,0,0,0,0,0.00308,0,0.00143,0,0,0,0,0,0.00378,0,0.13107,0,0,0,0,0,0,0,0,0,0.08059,0,0,0.00121,0,0.04446,0.21482,0.0678,0,0,0,0,0,0,0.00271,0,0.16688,0.00055,0,0,0,0,0.17692,0,0,0,0,0.00099,0,0.01787,0,0,0,0,0,0,0.05331,0.23851,0,0,0,0.01551,0.00111,0.07588,0,0,0,0.08565,0,0.08781,0.01153,0,0,0,0.04282,0,0,0,0,0,0,0,0,0.15158,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0,0,0,0,0,0,0,0,0,0.00181,0,0.00119,0,0,0,0,0,0,0,0.00242,0.0143,0,0.00102,0.00097,0,0.00174,0,0.00287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00138,0,0.01096,0.26007,0,0,0,0,0.00355,0,0.00134,0.00346,0,0,0,0,0,0,0,0,0,0,0,0,0.00468,0,0,0,0,0,0,0,0,0,0,0.00161,0,0,0,0,0,0,0.00228,0.00545,0,0,0.00198,0,0,0.05088,0.00311,0,0,0,0.20416,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00387,0,0,0,0.00176,0,0,0.00505,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02252,0,0,0,0,0,0,0,0,0,0,0,0.00511,0,0,0,0,0.00924,0,0,0,0,0,0.01439,0,0,0,0,0,0.02302,0,0,0,0,0,0,0,0,0.05242,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0.04821,0.02163,0,0,0.02561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0,0,0.11435,0,0.06317,0,0,0,0,0,0,0,0.0145,0,0.10205,0.02075,0,0,0,0,0,0,0,0,0.00104,0,0,0.00883,0,0,0,0.08178,0,0,0,0,0,0,0.04591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107,0,0,0,0,0,0,0,0,0,0,0,0,0.00369,0,0.01315,0,0,0,0,0,0.03053,0.04565,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0.0041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253,0,0.08109,0.06447,0,0,0,0,0,0,0,0,0.00366,0,0,0,0,0,0,0.01027,0.0026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0,0.09818,0,0,0,0.13303,0.55807,0,0,0.3284,0,0,0,0.00995,0.00686,0,0.35149,0,0,0.11787,0,0.08782,0,0,0.05025,0,0,0,0,0,0.04834,0.04898,0,0.89583,0.01492,0.04087,0,0.10766,0,0,0.02947,0,0.03619,0.92886,0.14375,0.2473,0,0.0652,0.32532,0,0.45494,0,0,0,0,0,0,0.00288,0.34397,0.65649,0,0,0,0,0.81582,0.01721,0.3018,0,0,0.08329,0.0535,0.36166,0,0.1114,0,0,0.02014,1.44936,0.06108,0,0.07015,0,0,0,0.0542,0,0.05625,0,0,0,30.07571,0,0.0306,0,0.00371,0.05274,0.07123,0.21187,0.07251,0,0,0.03028,0.00894,0.34997,0,0.00593
