	Object.ID	cluster	hub	Pathway	Common.Name	Ontology.pathway_type	Parental.Ontology.pathway_type	General_Pathway_Type
117	PWY-5667	#D9D9D9	1	CDP-diacylglycerol_biosynthesis_I	CDP-diacylglycerol_biosynthesis_I	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
118	PWY-5675	black	31	nitrate_reduction_V_(assimilatory)	nitrate_reduction_V_(assimilatory)	Inorganic_Nutrient_Metabolism	Degradation_Utilization_Assimilation	Specialized_and_Miscellaneous_Routes
119	PWY-5686	#EEF071	13	UMP_biosynthesis_I	UMP_biosynthesis_I	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
120	PWY-5690	#D9D9D9	0	TCA_cycle_II_(plants_and_fungi)	TCA_cycle_II_(plants_and_fungi)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
121	PWY-5692	#DF65B0	8	allantoin_degradation_to_glyoxylate_II	allantoin_degradation_to_glyoxylate_II	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
122	PWY-5695	#EEF071	0	inosine_5'-phosphate_degradation	inosine_5'-phosphate_degradation	Nucleoside_and_Nucleotide_Degradation	Degradation_Utilization_Assimilation	Nucleotide_and_Nucleic_Acid_Metabolism
123	PWY-5705	#DF65B0	13	allantoin_degradation_to_glyoxylate_III	allantoin_degradation_to_glyoxylate_III	Amide,_Amidine,_Amine,_and_Polyamine_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
124	PWY-5723	black	38	Rubisco_shunt	Rubisco_shunt	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
125	PWY-5741	#A6CEE3	0	ethylmalonyl-CoA_pathway	ethylmalonyl-CoA_pathway	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
126	PWY-5747	#DF65B0	19	2-methylcitrate_cycle_II	2-methylcitrate_cycle_II	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
127	PWY-5754	#D9D9D9	0	4-hydroxybenzoate_biosynthesis_I_(eukaryotes)	4-hydroxybenzoate_biosynthesis_I_(eukaryotes)	Aromatic_Compound_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
128	PWY-5791	#006837	2	1,4-Dihydroxy-2-Naphthoate_Biosynthesis	1,4-Dihydroxy-2-Naphthoate_Biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
129	PWY-5837	#006837	1	2-carboxy-1,4-naphthoquinol_biosynthesis	2-carboxy-1,4-naphthoquinol_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
130	PWY-5838	#006837	10	superpathway_of_menaquinol-8_biosynthesis_I	superpathway_of_menaquinol-8_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
131	PWY-5840	#006837	7	superpathway_of_menaquinol-7_biosynthesis	superpathway_of_menaquinol-7_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
132	PWY-5845	#006837	4	superpathway_of_menaquinol-9_biosynthesis	superpathway_of_menaquinol-9_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
133	PWY-5850	#D9D9D9	4	superpathway_of_menaquinol-6_biosynthesis	superpathway_of_menaquinol-6_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
134	PWY-5855	#DF65B0	14	ubiquinol-7_biosynthesis_(early_decarboxylation)	ubiquinol-7_biosynthesis_(early_decarboxylation)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
135	PWY-5856	#DF65B0	13	ubiquinol-9_biosynthesis_(early_decarboxylation)	ubiquinol-9_biosynthesis_(early_decarboxylation)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
136	PWY-5857	#DF65B0	12	ubiquinol-10_biosynthesis_(early_decarboxylation)	ubiquinol-10_biosynthesis_(early_decarboxylation)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
137	PWY-5860	#D9D9D9	2	superpathway_of_demethylmenaquinol-6_biosynthesis_I	superpathway_of_demethylmenaquinol-6_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
138	PWY-5861	#006837	4	superpathway_of_demethylmenaquinol-8_biosynthesis_I	superpathway_of_demethylmenaquinol-8_biosynthesis_I	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
139	PWY-5862	#006837	2	superpathway_of_demethylmenaquinol-9_biosynthesis	superpathway_of_demethylmenaquinol-9_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
140	PWY-5863	#006837	0	superpathway_of_phylloquinol_biosynthesis	superpathway_of_phylloquinol_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
141	PWY-5896	#D9D9D9	3	superpathway_of_menaquinol-10_biosynthesis	superpathway_of_menaquinol-10_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
142	PWY-5897	#006837	8	superpathway_of_menaquinol-11_biosynthesis	superpathway_of_menaquinol-11_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
143	PWY-5898	#006837	7	superpathway_of_menaquinol-12_biosynthesis	superpathway_of_menaquinol-12_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
144	PWY-5899	#006837	6	superpathway_of_menaquinol-13_biosynthesis	superpathway_of_menaquinol-13_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
145	PWY-5910	#D9D9D9	1	superpathway_of_geranylgeranyldiphosphate_biosynthesis_I_(via_mevalonate)	superpathway_of_geranylgeranyldiphosphate_biosynthesis_I_(via_mevalonate)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
146	PWY-5913	#CAB2D6	3	partial_TCA_cycle_(obligate_autotrophs)	partial_TCA_cycle_(obligate_autotrophs)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
147	PWY-5918	#DF65B0	10	superpathway_of_heme_<i>b</i>_biosynthesis_from_glutamate	superpathway_of_heme_b_biosynthesis_from_glutamate	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
148	PWY-5920	#DF65B0	17	superpathway_of_heme_<i>b</i>_biosynthesis_from_glycine	superpathway_of_heme_b_biosynthesis_from_glycine	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
149	PWY-5971	#DF65B0	3	palmitate_biosynthesis_II_(type_II_fatty_acid_synthase)	palmitate_biosynthesis_II_(type_II_fatty_acid_synthase)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
150	PWY-5973	#1F78B4	2	<i>cis</i>-vaccenate_biosynthesis	cis-vaccenate_biosynthesis	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
151	PWY-5989	#33A02C	3	stearate_biosynthesis_II_(bacteria_and_plants)	stearate_biosynthesis_II_(bacteria_and_plants)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
152	PWY-6071	#D9D9D9	1	superpathway_of_phenylethylamine_degradation	superpathway_of_phenylethylamine_degradation	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
153	PWY-6113	#DF65B0	5	superpathway_of_mycolate_biosynthesis	superpathway_of_mycolate_biosynthesis	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
154	PWY-6121	#1F78B4	1	5-aminoimidazole_ribonucleotide_biosynthesis_I	5-aminoimidazole_ribonucleotide_biosynthesis_I	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
155	PWY-6122	#EEF071	3	5-aminoimidazole_ribonucleotide_biosynthesis_II	5-aminoimidazole_ribonucleotide_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
156	PWY-6123	#1F78B4	2	inosine-5'-phosphate_biosynthesis_I	inosine-5'-phosphate_biosynthesis_I	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
157	PWY-6124	#1F78B4	1	inosine-5'-phosphate_biosynthesis_II	inosine-5'-phosphate_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
158	PWY-6125	#D9D9D9	0	superpathway_of_guanosine_nucleotides_<i>de_novo</i>_biosynthesis_II	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
159	PWY-6126	#D9D9D9	0	superpathway_of_adenosine_nucleotides_<i>de_novo</i>_biosynthesis_II_(from_IMP_and_L-aspartate)	superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_II_(from_IMP_and_L-aspartate)	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
160	PWY-6147	#D9D9D9	0	6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	6-hydroxymethyl-dihydropterin_diphosphate_biosynthesis_I	Other_Biosynthesis	Biosynthesis	Specialized_and_Miscellaneous_Routes
161	PWY-6163	#6A3D9A	3	chorismate_biosynthesis_from_3-dehydroquinate	chorismate_biosynthesis_from_3-dehydroquinate	Carboxylic_Acid_Biosynthesis	Biosynthesis	Metabolism_of_Carboxylic_Acids
162	PWY-6167	#D9D9D9	2	flavin_biosynthesis_II_(archaea)	flavin_biosynthesis_II_(archaea)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
163	PWY-6174	#D9D9D9	1	mevalonate_pathway_II_(haloarchaea)	mevalonate_pathway_II_(haloarchaea)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
164	PWY-6185	#D9D9D9	2	4-methylcatechol_degradation_(<i>ortho</i>_cleavage)	4-methylcatechol_degradation_(ortho_cleavage)	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
165	PWY-622	#D9D9D9	0	starch_biosynthesis	starch_biosynthesis	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
166	PWY-6270	#D9D9D9	1	isoprene_biosynthesis_I	isoprene_biosynthesis_I	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
167	PWY-6277	#EEF071	2	superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis_(from_PRPP)	superpathway_of_5-aminoimidazole_ribonucleotide_biosynthesis_(from_PRPP)	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
168	PWY-6282	#33A02C	6	palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	palmitoleate_biosynthesis_I_(from_(5Z)-dodec-5-enoate)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
169	PWY-6284	#DF65B0	1	superpathway_of_unsaturated_fatty_acids_biosynthesis_(<i>E._coli</i>)	superpathway_of_unsaturated_fatty_acids_biosynthesis_(E._coli)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
170	PWY-6285	black	44	superpathway_of_fatty_acids_biosynthesis_(<i>E._coli</i>)	superpathway_of_fatty_acids_biosynthesis_(E._coli)	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
171	PWY-6307	#D9D9D9	0	L-tryptophan_degradation_X_(mammalian,_via_tryptamine)	L-tryptophan_degradation_X_(mammalian,_via_tryptamine)	Amino_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_amino_acids_and_derivatives
172	PWY-6313	#D9D9D9	2	serotonin_degradation	serotonin_degradation	Hormone,_Neurotransmitter,_and_Signaling_Molecule_Degradation	Degradation_Utilization_Assimilation	Signaling_and_Regulation_Metabolism
173	PWY-6317	#6A3D9A	1	D-galactose_degradation_I_(Leloir_pathway)	D-galactose_degradation_I_(Leloir_pathway)	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
174	PWY-6349	#D9D9D9	1	C<sub>20,20</sub>_CDP-archaeol_biosynthesis	C20,20_CDP-archaeol_biosynthesis	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
175	PWY-6353	#D9D9D9	2	purine_nucleotides_degradation_II_(aerobic)	purine_nucleotides_degradation_II_(aerobic)	Nucleoside_and_Nucleotide_Degradation	Degradation_Utilization_Assimilation	Nucleotide_and_Nucleic_Acid_Metabolism
176	PWY-6383	#D9D9D9	3	<i>trans</i>,octa-<i>cis</i>_decaprenyl_phosphate_biosynthesis	trans,octa-cis_decaprenyl_phosphate_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
177	PWY-6385	#EEF071	5	peptidoglycan_biosynthesis_III_(mycobacteria)	peptidoglycan_biosynthesis_III_(mycobacteria)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
178	PWY-6386	#EEF071	6	UDP-<i>N</i>-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_II_(lysine-containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
179	PWY-6387	#EEF071	7	UDP-<i>N</i>-acetylmuramoyl-pentapeptide_biosynthesis_I_(<i>meso</i>-diaminopimelate_containing)	UDP-N-acetylmuramoyl-pentapeptide_biosynthesis_I_(meso-diaminopimelate_containing)	Cell_Structure_Biosynthesis	Biosynthesis	Cellular_Structure_and_Modification_of_Macromolecules
180	PWY-6507	#D9D9D9	0	4-deoxy-L-<i>threo</i>-hex-4-enopyranuronate_degradation	4-deoxy-L-threo-hex-4-enopyranuronate_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
181	PWY-6519	#33A02C	1	8-amino-7-oxononanoate_biosynthesis_I	8-amino-7-oxononanoate_biosynthesis_I	Other_Biosynthesis	Biosynthesis	Specialized_and_Miscellaneous_Routes
182	PWY-6527	#6A3D9A	0	stachyose_degradation	stachyose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
183	PWY-6549	#CAB2D6	1	nitrogen_remobilization_from_senescing_leaves	nitrogen_remobilization_from_senescing_leaves	Transport	Transport	Specialized_and_Miscellaneous_Routes
184	PWY-6590	#D9D9D9	1	superpathway_of_<i>Clostridium_acetobutylicum</i>_acidogenic_fermentation	superpathway_of_Clostridium_acetobutylicum_acidogenic_fermentation	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
185	PWY-6598	#D9D9D9	1	sciadonate_biosynthesis	sciadonate_biosynthesis	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
186	PWY-6606	#D9D9D9	0	guanosine_nucleotides_degradation_II	guanosine_nucleotides_degradation_II	Nucleoside_and_Nucleotide_Degradation	Degradation_Utilization_Assimilation	Nucleotide_and_Nucleic_Acid_Metabolism
187	PWY-6609	#EEF071	0	adenine_and_adenosine_salvage_III	adenine_and_adenosine_salvage_III	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
188	PWY-6612	#D9D9D9	0	superpathway_of_tetrahydrofolate_biosynthesis	superpathway_of_tetrahydrofolate_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
189	PWY-6628	#DF65B0	15	superpathway_of_L-phenylalanine_biosynthesis	superpathway_of_L-phenylalanine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
190	PWY-6629	#DF65B0	20	superpathway_of_L-tryptophan_biosynthesis	superpathway_of_L-tryptophan_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
191	PWY-6630	#DF65B0	0	superpathway_of_L-tyrosine_biosynthesis	superpathway_of_L-tyrosine_biosynthesis	Amino_Acid_Biosynthesis	Biosynthesis	Metabolism_of_amino_acids_and_derivatives
192	PWY-6690	#DF65B0	4	cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	cinnamate_and_3-hydroxycinnamate_degradation_to_2-hydroxypentadienoate	Aromatic_Compound_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
193	PWY-6700	#EEF071	2	queuosine_biosynthesis_I_(<i>de_novo</i>)	queuosine_biosynthesis_I_(de_novo)	Nucleic_Acid_Processing	Macromolecule_Modification	Nucleotide_and_Nucleic_Acid_Metabolism
194	PWY-6708	#DF65B0	11	ubiquinol-8_biosynthesis_(early_decarboxylation)	ubiquinol-8_biosynthesis_(early_decarboxylation)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
195	PWY-6731	#D9D9D9	1	starch_degradation_III	starch_degradation_III	Polymeric_Compound_Degradation	Degradation_Utilization_Assimilation	Specialized_and_Miscellaneous_Routes
196	PWY-6785	#D9D9D9	2	hydrogen_production_VIII	hydrogen_production_VIII	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
197	PWY-6803	black	27	phosphatidylcholine_acyl_editing	phosphatidylcholine_acyl_editing	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
198	PWY-6823	#DF65B0	0	molybdopterin_biosynthesis	molybdopterin_biosynthesis	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
199	PWY-6837	#DF65B0	6	fatty_acid_&beta;-oxidation_V_(unsaturated,_odd_number,_di-isomerase-dependent)	fatty_acid_beta-oxidation_V_(unsaturated,_odd_number,_di-isomerase-dependent)	Fatty_Acid_and_Lipid_Degradation	Degradation_Utilization_Assimilation	Lipid_metabolism
200	PWY-6859	#D9D9D9	0	<i>all-trans</i>-farnesol_biosynthesis	all-trans-farnesol_biosynthesis	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
201	PWY-6891	#D9D9D9	0	thiazole_component_of_thiamine_diphosphate_biosynthesis_II	thiazole_component_of_thiamine_diphosphate_biosynthesis_II	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
202	PWY-6895	#D9D9D9	1	superpathway_of_thiamine_diphosphate_biosynthesis_II	superpathway_of_thiamine_diphosphate_biosynthesis_II	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
203	PWY-6901	#D9D9D9	1	superpathway_of_glucose_and_xylose_degradation	superpathway_of_glucose_and_xylose_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
204	PWY-6906	#D9D9D9	1	chitin_derivatives_degradation	chitin_derivatives_degradation	Carbohydrate_Degradation	Degradation_Utilization_Assimilation	Carbohydrate_metabolism
205	PWY-6948	#D9D9D9	5	sitosterol_degradation_to_androstenedione	sitosterol_degradation_to_androstenedione	Fatty_Acid_and_Lipid_Degradation	Degradation_Utilization_Assimilation	Lipid_metabolism
206	PWY-6969	#D9D9D9	1	TCA_cycle_V_(2-oxoglutarate_synthase)	TCA_cycle_V_(2-oxoglutarate_synthase)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
207	PWY-7094	#DF65B0	7	fatty_acid_salvage	fatty_acid_salvage	Fatty_Acid_and_Lipid_Biosynthesis	Biosynthesis	Lipid_metabolism
208	PWY-7111	#EEF071	2	pyruvate_fermentation_to_isobutanol_(engineered)	pyruvate_fermentation_to_isobutanol_(engineered)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
209	PWY-7115	#CAB2D6	0	C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	C4_photosynthetic_carbon_assimilation_cycle,_NAD-ME_type	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
210	PWY-7117	#CAB2D6	8	C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	C4_photosynthetic_carbon_assimilation_cycle,_PEPCK_type	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
211	PWY-7159	#A6CEE3	5	3,8-divinyl-chlorophyllide_<i>a</i>_biosynthesis_(from_uroporphyrinogen-III)_III_(aerobic,_light_independent)	3,8-divinyl-chlorophyllide_a_biosynthesis_(from_uroporphyrinogen-III)_III_(aerobic,_light_independent)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
212	PWY-7184	#E31A1C	1	pyrimidine_deoxyribonucleotides_<i>de_novo</i>_biosynthesis_I	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_I	Metabolic_Clusters	Biosynthesis	Specialized_and_Miscellaneous_Routes
213	PWY-7187	#E31A1C	1	pyrimidine_deoxyribonucleotides_<i>de_novo</i>_biosynthesis_II	pyrimidine_deoxyribonucleotides_de_novo_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
214	PWY-7197	#E31A1C	0	pyrimidine_deoxyribonucleotide_phosphorylation	pyrimidine_deoxyribonucleotide_phosphorylation	Metabolic_Clusters	Biosynthesis	Specialized_and_Miscellaneous_Routes
215	PWY-7204	#DF65B0	11	pyridoxal_5'-phosphate_salvage_II_(plants)	pyridoxal_5'-phosphate_salvage_II_(plants)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
216	PWY-7208	#E31A1C	2	superpathway_of_pyrimidine_nucleobases_salvage	superpathway_of_pyrimidine_nucleobases_salvage	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
217	PWY-7218	#D9D9D9	1	photosynthetic_3-hydroxybutanoate_biosynthesis_(engineered)	photosynthetic_3-hydroxybutanoate_biosynthesis_(engineered)	Storage_Compound_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
218	PWY-7219	#EEF071	10	adenosine_ribonucleotides_<i>de_novo</i>_biosynthesis	adenosine_ribonucleotides_de_novo_biosynthesis	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
219	PWY-7220	#D9D9D9	1	adenosine_deoxyribonucleotides_<i>de_novo</i>_biosynthesis_II	adenosine_deoxyribonucleotides_de_novo_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
220	PWY-7221	#EEF071	11	guanosine_ribonucleotides_<i>de_novo</i>_biosynthesis	guanosine_ribonucleotides_de_novo_biosynthesis	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
221	PWY-7222	#D9D9D9	0	guanosine_deoxyribonucleotides_<i>de_novo</i>_biosynthesis_II	guanosine_deoxyribonucleotides_de_novo_biosynthesis_II	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
222	PWY-7228	#D9D9D9	1	superpathway_of_guanosine_nucleotides_<i>de_novo</i>_biosynthesis_I	superpathway_of_guanosine_nucleotides_de_novo_biosynthesis_I	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
223	PWY-7229	#D9D9D9	1	superpathway_of_adenosine_nucleotides_<i>de_novo</i>_biosynthesis_I_(from_IMP_and_L-aspartate)	superpathway_of_adenosine_nucleotides_de_novo_biosynthesis_I_(from_IMP_and_L-aspartate)	Nucleoside_and_Nucleotide_Biosynthesis	Biosynthesis	Nucleotide_and_Nucleic_Acid_Metabolism
224	PWY-7238	#A6CEE3	3	sucrose_biosynthesis_II	sucrose_biosynthesis_II	Carbohydrate_Biosynthesis	Biosynthesis	Carbohydrate_metabolism
225	PWY-7242	#D9D9D9	1	D-fructuronate_degradation	D-fructuronate_degradation	Carboxylic_Acid_Degradation	Degradation_Utilization_Assimilation	Metabolism_of_Carboxylic_Acids
226	PWY-7245	#D9D9D9	1	superpathway_of_NAD/NADP_-_NADH/NADPH_interconversion_(yeast)	superpathway_of_NAD/NADP_-_NADH/NADPH_interconversion_(yeast)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
227	PWY-7254	black	38	TCA_cycle_VII_(acetate-producers)	TCA_cycle_VII_(acetate-producers)	Generation_of_Precursor_Metabolites_and_Energy	Generation_of_Precursor_Metabolites_and_Energy	Central_metabolism_and_energy
228	PWY-7255	#D9D9D9	1	ergothioneine_biosynthesis_I_(bacteria)	ergothioneine_biosynthesis_I_(bacteria)	Secondary_Metabolite_Biosynthesis	Biosynthesis	Metabolism_of_Aromatic_Compounds_and_Xenobiotics
229	PWY-7268	#D9D9D9	0	cytosolic_NADPH_production_(yeast)	cytosolic_NADPH_production_(yeast)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
230	PWY-7269	#DF65B0	1	mitochondrial_NADPH_production_(yeast)	mitochondrial_NADPH_production_(yeast)	Cofactor,_Carrier,_and_Vitamin_Biosynthesis	Biosynthesis	Biosynthesis_of_Cofactors_and_Vitamins
