"","train_1913","train_1914","train_1919","train_1920","train_1926","train_1929","train_1931","train_1932","train_1933","train_1934","train_1939","train_1942","train_1944","train_1945","train_1948","train_1949","train_1950","train_1951","train_1954","train_1955","train_1957","train_1958","train_1960","train_1961","train_1963","train_1966","train_1968","train_1972","train_1973","train_1975","train_1978","train_1982","train_1984","train_1986","train_1989","train_1990","train_1991","train_1993","train_1997","train_1998","train_2000","train_2001","train_2003","train_2004","train_2005","train_2006"
"Parabacteroides_merdae",0.02022,1.64127,1.6106,0.01714,0,1.67459,0.01224,0.03355,0.59853,8.48831,2.13392,0.44706,0.00949,1.09111,1.01777,0.02931,0.00734,0.23843,0.13539,0.00877,0.78271,0.05921,0.01107,3.13802,0.00148,0.0103,0.20617,0.00367,0.00115,0,0.44,0.00677,4.52205,0.03544,0.02184,0.00337,0.01367,1.11857,4.28527,0.00242,2.18433,7.78418,0.00993,0.02468,0.03773,0.08791
"Ruminococcus_lactaris",1.22959,0.00747,0.00128,0.78836,0.38639,0,0,0,0,0.20529,0,0,0.40976,0,0,0.00212,0,0.00061,0,0.83101,0,0.42904,0,0,1.85953,0,0.01646,0.00838,0.23586,2.2182,0,0,0,0.28742,0,0.00725,0.40164,0.00098,0,0.00348,0,0,0,0.36607,0,0.00071
"Gemmiger_formicilis",0.19021,0.1914,0,0.00672,0.04063,0.02145,0.03752,0.00648,0.01732,0.00459,0.16233,0,0.88434,0,0,0,0.00024,0,0.03989,0.00722,0.02946,0,0.05506,0,0,0.0017,0.15267,0.00148,0,0.05094,0.13511,0.00122,0,0.00295,0,0.00219,0,0.0424,0.00421,0,0.13726,0.06672,0.00158,0.00156,0,0.00332
"Bifidobacterium_dentium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179,0,0,0,0,0,0.00092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00446,0,0,0
"Blautia_obeum",0.00152,0.21627,0.07083,0.3484,0.05838,0.0479,0.15683,0.03723,0.06198,0.10879,0.3233,0,0,0,0,0,0,0,0,0,0.34245,0,0,0,0.06147,0,0.00695,0,0,0.53117,0.00992,1e-04,0,1.15299,0,0.51494,0,0.01486,0.13108,0,0.02131,0.13486,0,0,0.00577,0.0398
"Firmicutes_bacterium_CAG_83",0,0.07742,0,0.11583,0.1965,0.01491,0.00297,0,1.4182,0.03292,0.29938,3.18231,0.00114,0.47137,0.00055,0.00497,0.00264,0.00274,0.0267,0.03163,1.7988,0,0.44818,0.07408,0,1.55024,17.3704,0,0,0.38322,0.90184,0.00321,0,0.00345,0,0,0.11328,0.25083,0,0,0.007,0,0.00966,0.00892,0.01664,0.31854
"Desulfovibrio_piger",0,0,0,0,0,0,0,0,0.10683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_rectale",4.93193,5.30594,0.07009,0.08147,0.40064,0.67581,0,0.54218,3.10047,0.25425,0.07442,0.01224,9.43973,9.64759,0.01966,0.91033,0.21645,0.01537,1.47384,0.06625,8.13905,1.33834,3.48018,0,0.61337,0.03465,0.07491,4.06649,0.07703,0.04903,0.10105,1.0522,0.12257,0.05585,0.04891,1.40561,1.38921,3.48904,0.85417,0.14091,0.33437,0.09482,0.00207,1.8743,2.57914,0.01711
"Agathobaculum_butyriciproducens",0.18594,0.71902,0,0.13055,0.69145,0.34718,0.24795,0.01975,0.15884,0.1105,0,0.00067,0.04498,0.05835,0,0,0,0.62833,0.15835,0.06309,0.03315,0,0.57668,0,0.46054,0.04418,0.17015,0,0.0411,1.00597,0.03257,0,0,0.27311,0.2382,0.37051,0.1911,0.02241,0.03177,0.05497,0.07185,0.2528,0.0039,0,0.04665,0
"Bacteroides_massiliensis",0.01151,0.01319,0.01217,5.32199,0,0,3.16259,0,0,0.00122,0.58802,0.30249,0,0.02151,0.00656,0.02851,0,0.11295,0,0.00955,0,1.63657,0.01474,2.25453,0.00292,0.01531,0,0.90292,0.00191,0,0.00735,0.01096,0.00292,0.03109,0.00623,0.00725,0,0,0,0.41536,0.02626,0,0,0.00184,0,0
"Parabacteroides_johnsonii",0,0.00038,0,0,0,0.00626,0.59453,0,0,0,0,0.00553,0,1.81173,0.00915,0.01687,0,0.0087,0.01072,5.72491,0,0,8.17809,0,0,0.02638,0,2.69933,0,0,0,0.01157,0,0,0,0,0,0.00596,0,0,0.05527,0,0,4.89172,0,0.00177
"Veillonella_dispar",0.1269,0.00082,0,0,0.0071,0,0,0,0.0016,0,0,0,0.13318,0,0,0,0,0,0.0859,0,0,0,0.00482,0,0,0.01413,0,0,0,0,0,0.1209,0,0,0.0017,0,0,0,0,0,0,0.17755,0,0,0,0
"Veillonella_infantium",0.02258,0.00037,0,0,0,0,0,0,0,0,0,0,0.00555,0,0,0,0.00049,0.00035,0.01337,0,0,0,0.00034,0,0,0.00095,0,0,0,0,0,0.04577,0,0,0,0,0,0,0,0,0,0.05578,0,0,0,0
"Veillonella_atypica",0.00917,0.00156,0,0,0,0,0,0,0,0,0,0,0.48868,0,0,0,0.01192,0.07384,0.10797,0,0,0,0.00496,0,0,0.0019,0,0,0,0.00078,0,0.02164,0,0,0,0,0,0,0,0,0,0.15599,0,0,0,0
"Bacteroides_finegoldii",0,0.12502,0,0,0,0,0,3.52538,0,0.18154,0.00492,0.01141,0,0,0,0,0,0,0,0.28198,0,0,0,0.23713,0,0,0,0.00103,0,0,0.03255,0,0,0,0,0,3.53966,0.00533,0.0018,0,0,0,0,0.00357,0.53028,0
"Bifidobacterium_animalis",0,0,0,0,0,0.00326,0,0.21619,0,0,0.00105,0,0,0,0,0.00199,0,0.00056,0,0.08853,0,0,0.00283,0,0,0,0.09401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0.00154,0.17023,0,0.03628,0,4.44515,0.16565,6e-04,0.00427,0.00057,0.09054,0.0061,0.00321,0.01312,0.00166,0.00498,0.00093,0.00256,1.00591,0.36099,0.00198,0.00867,0.00507,0,0,0.00028,0.0219,0.19039,0,0,5.36845,0,0,0.06254,0.00325,0,0,0,0.007,0,0,0.21562,0.00533,0,0.00527,0
"Bacteroides_intestinalis",0.00925,0.01391,0.00719,3.82567,0,0.01672,5.2963,0,0.00842,0,0.0062,2.63497,0.00426,0.00346,0,0.00854,0.00726,0.00198,0,0.19974,0.01172,0.49114,0.01005,0,0.00512,0.0104,0,4.46741,0.01089,0,0,0.00896,0,0.0037,0.39191,0.00738,0,0,0.00329,0.00339,0.01834,0,0,0,5.65399,0
"Anaerostipes_hadrus",1.34491,0.18554,0.23698,0.13195,3.07471,0.03718,0.13782,0.72912,0.0196,0.35409,0.00514,0.66551,0.46186,0.03501,0.14587,0.01486,0.11972,1.08587,0,0.25021,0.13692,3.6203,0.3645,0.23532,0.50946,2.13669,0.01348,0.00621,0.6429,0.75268,0.00985,0.00521,0.23024,0.5098,0,0.10233,1.1028,0.10423,0.22071,0.41853,0.67863,0.74794,0,0.27501,0.01343,0.77584
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04737,0,0.0096,0,0,0,0,0,0,0.00353,0,0,0,0,0,0,0,0.00065,0,0,0,0.00083,0,0,0,0,0,0
"Streptococcus_parasanguinis",0.0129,0.00761,0,0.00636,0.00653,0.00682,0,0,0.03795,0.00342,0.00712,0.03503,0.16838,0.07512,0.01185,0.01269,0.06838,3.66901,0.03731,0.01812,0,0.83665,0.0097,0,0.00027,0.00656,0.00444,0,0,0.00134,0,0.19994,0,6e-04,0,0,0.00636,0,0,0,0.09614,0.43957,0,0.01506,0,0
"Butyricimonas_virosa",0,0,0,0.03462,0,0.02351,0,0,0.39878,0,0,0,0.13739,0.11573,0,0,0,0,0.11531,0.01565,0.02115,1.20472,0,0.31297,0,0,0,0.00088,0,0,0.0335,0,0,1.18291,0.00084,0,0.11673,0,0,0,0.53433,0,0,0.25218,0.15095,0
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0,0,0,0,0.00142,0.07744,0.04364,0,0,0,0,0,0,0,0,0.12077,0,0,0,0,0,0,0,0,0,0,0.65307,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ventriosum",0,0.00404,0,0.0815,0.77011,0.01298,0.12113,0,0,0,0,0,0.48454,0.01872,0,0.003,0,0.39771,0,0.03164,0.04193,0,0.04845,0,0,0,0,0,0.07925,0,0,0,0,0,0,0,0.10669,0,0,0,0.12691,0,0,0,0,0.01011
"Firmicutes_bacterium_CAG_238",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",0.00564,0.07077,0.01034,0.43582,4.37585,2.81802,0.02593,0.27135,0.53393,0.00459,0.02062,0.05105,0.01856,0.01324,0.07534,0.02595,4.71277,0.01643,0.04204,0.82249,0.10874,0.45569,0.20655,0.03978,0.00133,0.00975,5.67327,0.41294,0.00514,0,0.88679,0.00615,3.4143,0.01361,0.00592,0.00654,3.49413,1.5681,0.81516,0.00117,2.33653,6.1059,6.45653,5.23316,1.01657,38.11633
"Coprococcus_catus",0.01486,0.04737,0,0,0.06593,0.01051,0.02976,0,0,0,0,0,0.00429,0,0,0,0,0,0.06832,0,0.35977,0,0,0,0,0,0,0,0,0,0,0,0,0.258,0,0,0.02261,0.01122,0.00071,0,0.02203,0.02319,0,0,0,0
"Eubacterium_hallii",0.00014,0.35946,0.08218,0.09401,0.33725,0.04958,0.01695,0.0137,0.13314,0.35916,0.00014,0,0.0538,0.15997,0.04873,0.00287,0.01063,1.65224,0,0.08822,0.03979,0,0,0.11712,0.15272,0.01647,0.00581,0.02445,0.0251,0.99762,0,0,0.02068,0.57731,0,0,0.08972,0.15634,0.01749,0.0855,0.51914,0.01936,0.02928,0.01219,0.03379,0.01217
"Alistipes_putredinis",0.07885,7.13447,0.06665,10.74263,0.00826,24.85404,0.04975,0.20742,3.57574,2.90899,4.49012,6.19418,0.02258,7.08886,7.0538,0.20183,1.21902,6.73605,0.06223,5.3853,3.07153,0.13175,0.08254,0,0.04435,27.84367,25.15537,8.1263,0.04209,0.00152,24.99971,0.09292,3.87856,0.1797,0.1098,0.05199,8.1396,7.79265,9.58302,0.03096,0.26349,0.1518,7.15419,0.06093,3.46968,8.14684
"Bacteroides_fragilis",0.00605,0.2394,0.27129,0.00511,2.84969,0.01426,0,0,0,2.18616,0.09273,0.04012,1.22434,0.01829,0.79063,18.26821,0.00057,0.01907,1.66873,0.52408,0.00888,0,0.96987,0.09525,0,53.48783,0.06755,4.42789,0.01139,0,0.02375,0.14349,0,4.24712,0.00384,0.00285,0.04724,0.96303,4.97792,0.00453,0.13751,3.02732,7.12659,0,2.2481,0
"Bacteroides_cellulosilyticus",0.00146,0.00156,0,0,0,0.04516,0,0.00217,0.51649,0,0.02262,0.02704,0,10.25523,4.00779,0.08584,0,0.12707,0,8.35279,0.08076,0.70563,0.53631,0.7467,17.62318,0,0.00172,0.07114,0.05221,0,0.01828,0,0,0.0086,0.36675,0.06568,0.07083,0,0.03412,0.03704,1.14685,11.9822,0.00417,0.28929,0.0531,0
"Veillonella_sp_T11011_6",0.00909,0,0,0,0,0,0,0,0,0,0,0,0.01297,0,0,0,0.00094,0,0.00345,0,0,0,0,0,0,0.00127,0,0,0,0,0,0.00257,0,0,0,0,0,0,0,0,0,0.00452,0,0,0,0
"Eubacterium_ramulus",0.0076,0.03549,0,0.10768,0.03783,0,0.04477,0.04909,0,0.00381,0,0,0.0651,0.03698,0,0.64469,0,0.39573,0.03177,0.0217,0.01628,0,0.00226,0.02048,0.03083,0,0,0,0.02693,0,0.00124,0,0,0,0,0.01051,0,0,0,0.00928,0.34958,0.0141,0,0,0,0
"Holdemanella_biformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15747,0,0.34624,0,0,0,0,0,0,0.03448,0,0,0.06295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lawsonibacter_asaccharolyticus",0.15712,0.02327,0.21961,0.5146,0,0.66869,0.01977,0.22973,0.06329,0.11293,0.10376,0.09915,0.23336,0.38594,0.50672,0.00315,0.02178,0.03553,0.01185,0.24597,0.0196,0.12795,0.11929,0.01722,0,0.07468,0.35801,0.38973,0.01367,0.12505,0.06916,0.00085,0,0.02873,0,0.05122,0.09716,0.01611,0.32246,0.13628,0.01779,0,0,0.00674,0.02687,0.04443
"Akkermansia_muciniphila",0.39109,0.00937,0.46954,2.88354,0.71858,6.45455,0.00717,5.78304,0,0,0.15082,31.93828,0,0.54157,0.14243,0.68607,0.00016,0.0924,0.00334,0.24473,0.00283,0.82197,1.56024,0.22875,0,3.45906,7.2236,0,0,0,6.75466,0.01463,0.83361,3.58092,0.02566,0.04603,0.15997,0.89105,0.04627,0.00086,0.10274,0.10156,10.32797,0.00431,0.03327,0.00244
"Eubacterium_sp_CAG_180",0,0,0,0,0,0,0.00243,0,0,7.47871,0,0,0,0,0,0,0,0.00052,0,0,0.15046,0,0.00657,0,0,0.0052,0,0,0,0,0.45567,0.00574,0,0,0,0,0,0,0,0,0.00818,0,0,0,0,3.84753
"Bacteroides_xylanisolvens",0,0.01596,0,0.45551,0.43236,0.39622,2.89651,2.36825,0.0806,0.41093,4.9201,0.27411,0.01422,0.25595,1.79297,0.01051,0.00833,0.01417,0.01407,0.08682,0.05838,0.03433,0.24097,0.04829,0.00906,0,0,0.03588,2.36074,6.70758,0,0,0.46166,0.07571,0.0269,0.00502,0.6122,0,0.48171,0.52,1.96524,0,0,0,1.99561,0
"Ruminococcus_bicirculans",1.70747,3.09878,0.01166,0.08262,0.06231,0,0.28005,0,0.18993,0,0,8e-04,0.43127,0,0,3.02794,0.00328,0,0,0,0.00201,0,0,0,0.03818,0.19102,0.09211,0.1468,0,5.02028,0.00689,0,0,0.23365,0.00026,2.38606,0,0,0,0.00094,0,1.50636,0.05277,0,0,0
"Monoglobus_pectinilyticus",0.13259,0.16339,0.63617,0,0.20395,0,0,0.67966,0,0,0.02105,0,0.16451,0,0.39927,1.6398,0,0,0,0.00117,0,0,0.10612,0,0.00361,0,0.01304,0,0.00541,5.75935,0.05085,0,0,0.01858,0,0.40304,0.0041,0.79982,0.02478,0,0.22504,0,0.13336,0,0,0.41818
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0.01665,0,0,0,0,0.00016,0,0,0.06951,0,0.0095,0,0,0,0,0,0,0,0,0.0221,0,0,0,0,0,0,0,0,0,0,0,0,0.00456,0,0.08825,0.35504,0,0
"Alistipes_shahii",0.00346,0.23716,0.23959,0.20545,0.10732,0.08596,1.50057,0.78089,0.05299,0.0996,0.01017,0.36406,0,0.19098,0.28385,0.01365,0.14696,0.0056,0.00251,1.25123,0.20033,0.41607,0.00346,0.11723,0.00949,0.00085,1.35754,0.59076,0.01152,0,7.23204,0.00107,0,0.01524,0.00565,0.00934,0.50819,1.0131,0.19329,1.46135,0.04196,0,0.02491,2.31241,0.44279,0.00567
"Bifidobacterium_bifidum",0,0,0,0,0,0.00535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0,0,0,1.30885,0,0,0,0,0,0,0,0.51749,0,0.62218,0,7e-04,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0.00204,0.06409,0.00775,0.11589,0.00615,0.1538,0,0.0469,0,0.02896,0.04118,0.02066,0.15643,0.40872,0.01905,0.00022,0.00109,0.04157,0,0.04595,0,0.08275,0.00592,0,0,0,0.66823,0.00891,0.02277,0,0.49557,0,0.00333,0,0,0.19151,0.1525,0.01225,0.07479,0.02114,0,0,0.00223,0,0,0.0746
"Eisenbergiella_tayi",0,0.00276,0.01236,0,0,0.0019,0,0,0.00322,0,0,0.0375,0,0.00989,0.0139,0,0.00389,0,0,0.00239,0.01003,0.01059,0,0.02725,0.26287,0.16729,0,0.07248,0,0.02067,1.53658,0,0.04688,0,0,0.03584,0,0.00168,0.03773,0.02045,0.00898,0,0.13026,0.08922,0.0028,0
"Adlercreutzia_equolifaciens",0.00122,0.02534,0.01909,0.07719,0.01871,0.0925,0,0.02556,0,0.01803,0.01873,0.02558,0.13779,0.18352,0.01738,0,0.00052,0.02307,0,0.03504,0,0.12748,0.01408,0,0,0,0.50133,0.00856,0.00706,0,1.04475,0,0.00435,0,0,0.14489,0.15366,0.00751,0.0356,0.01246,0,0,0.00332,0,0.00072,0.07097
"Alistipes_onderdonkii",0.0042,0.13655,0,0.91883,0,0.00465,0,1.72428,0.00416,0,0,0,0.00278,0,0,0,0.00311,0,0,0.00121,0.00452,0,0.67784,0,0,0.00446,0.00132,0,0,0,0.006,0,0,0,0,0,0,0.01051,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0.01191,0,0.00983,0,0.03676,0,0,0,0,0,0,0,0.04442,0.18561,0,0,0,0,0.01335,0,0,0,0,0,0,0,0.06282,0,0,0.56155,0,0,0,0,0,0,0.09324,0.0316,0,0,0,0,0,0,0.05446
"Hungatella_hathewayi",0,0,0.00498,0,0,0,0,0,0.01285,0,0.00453,0,0.00498,0.00667,0.0111,0.32891,0.16408,0.20725,0,0.00107,0,0,0.01624,0,0.01939,0.08237,0.01528,0,0.00417,0.01725,0.00618,0,0,0.00245,0,0.00852,0,0,0.07813,0.00343,0,0,0.02024,0.03233,0,0
"Bilophila_wadsworthia",0,0,0.04545,0.31538,0.06882,0.37776,0.06112,0,0,0,0,0.10438,0.10729,0.11402,0,0.79463,0,0,0,0.17231,0.07072,0.01883,0.10053,0,0.31879,0.20238,1.01168,0.06728,0,0,0.36591,0,0.3056,0,0,0,0.12018,0,0.12551,0,0,0,0.21361,0,0.03623,0
"Holdemania_filiformis",0,0.01197,0.02776,0,0,0.0404,0.00882,0,0.02383,0,0,0,0.26192,0.07757,0.00064,0.06539,0.00465,0,0,0,0.0168,0,0.01338,0,0,0.00645,0.01914,0.04979,0,0.03134,0.00889,0,0,0,0,0,0.02628,0.01714,0.01018,0,0,0,0,0,0.06316,0
"Intestinimonas_butyriciproducens",0.11356,0.004,1.37201,0.12172,0.00354,0.13688,0.01675,0.87436,0.00284,0.03738,0.03086,1.37853,0.21802,0.0896,0.22688,1.76167,0,0.0017,0,0.02644,0.2416,0.30691,0.01197,0.0148,0.11384,0.00682,13.39434,0.20567,0.12204,0.3776,0.09966,0,0.00363,0.04733,0,0.02055,0,0.10201,0.09395,0.7843,0.04875,0,0.04729,0,0.02491,0.20295
"Gordonibacter_pamelaeae",0.00871,0.01225,0.00752,0.01502,0,0.00438,0,0,0.00215,0.00105,0.00596,0,0.01237,0.00766,0.01682,0.31442,0.00167,0.01111,0,0.01302,0,0,0.0028,0.01436,0.01904,0.01487,0.09044,0.00172,0,0.07248,0.02294,0,0.00084,0,0,0.03162,0.00243,0.00721,0.00497,0.00676,0.00072,0,0.03536,0.00479,0,0.02676
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01301,0,0.01005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.00426,0.00124,0,0.0022,0,0.00956,0,0,0.00077,0.00062,0,0.01069,0,0.00104,0,0.00849,0.00321,2.24482,0,0.00452,0.0113,0,0.00795,0,0,0,0.00772,3e-04,0,0,0.01925,0,0,0.00383,0.00316,0,0,0.00115,0.01497,0,0.09016,0,0,0.15789,0.01931,0
"Eubacterium_sp_CAG_274",0,0,0,0.21168,0.1049,0,0.88937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaeromassilibacillus_sp_An250",0.08367,0.00588,0,0,0,0.00796,0,0.03602,0.01812,0.01927,0,0,0,0,0,0.02104,0.02984,0.30574,0,0.00412,0,0,0.14755,0,0.00191,0.01612,0.17598,0.14122,0,0.02297,0.04851,0,0,0.05474,0,0.27826,0,0.00833,0.02309,0,0,0,0.1019,0.01879,0,0.07746
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0.01463,0,0.00647,0,0,0,0,0,0.00345,0,0.07225,0,0,0,0,0,0.0209,0,0,0.03566,0,0,0.19972,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0.27988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0.00013,0.00128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01176,0,0,0.00202,0,0,0,0,0,0.00083,0,0,0,0.00928,0,0,0,0,0,0,0,0.00658,0,0.00162,0,0,0.00043,0,0
"Anaerotruncus_colihominis",0.00168,0.01195,0.50177,0.00443,0,0.03731,0.00434,0.10099,0.00593,0.01491,0.01147,0.00798,0.02074,0.00387,0.11915,0.26266,0.32495,0.06228,0.01892,0,0,0,0.0026,0.00449,0.04744,0.08953,0.82679,0,0.07912,0.0374,0.01036,0,0.00492,0,0.01973,0.25078,0,0,0.00196,0.03498,0.07988,0,0.32281,0.08381,0,0.47069
"Roseburia_sp_CAG_471",0.00069,0.00048,0,0,0,0,0.06283,0,0,0.01454,0,0,0,0,0,0,0,0.00388,0,0,0,0,0.00016,0,0,0,0,0,0,0,0,0,0,0.07275,0,0,0,0.00015,0,0,0,0.00785,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",2e-04,0.00068,0,0.00135,0,0,0,0,0,0.01494,0,0.24273,0,0,0,0.00268,0,0.569,0,0.00086,0,0,0.00389,0,0,0,0.00263,0,0,0,0.00624,0,0,0.00056,0.2245,0,0,0.00094,0.66849,0,0,0,0,0.01282,0.01191,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0.00044,0.0017,0,0,0,0.03036,0,0.00153,0,0.00184,0,0.00514,0.00329,0.00127,0.03316,0,0,0,0,0.00627,0,0.00526,0,0,0,0,0,0.0181,0,0,0.01071,0,0,0.00169,0,0.0348,0,0.0074,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0.00171,0.00029,0,0,0.00766,0.0159,0.09553,0.02106,0.00886,0.00467,0.0042,0.02802,0.00916,0.35341,0.20717,0.03212,0.24172,0,0,0.00268,0,0,0.00851,0.0461,0.03846,0.1947,0,0.03164,0.27818,0.08262,0,0.00651,0,0,0.04136,0,0,0.03819,0.00539,0.05937,0,0.13543,0.04442,0.00236,0.05127
"Enterorhabdus_caecimuris",0.0034,0.00077,0,0.00215,0,0.00317,0,0,0,0,0.00024,1e-04,0.00498,0.00853,0,0.00057,0,0.00071,0,0.00111,0,0,0,0,0,0,0.01747,0,0,7e-04,0.02247,0,0,0.0022,0,0.00446,0.00287,0,0.00046,0,0,0,0,0,0,0.00103
"Firmicutes_bacterium_CAG_170",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0,0.01728,0,0,0,0.01051,0,0,0,0.02134,0.2719,0,0,0,0,0,0,0,0,0,0,0,0.36964,0,0,0,0.00926,0,0,0,7.71668,0,0,0,0,0,0,0,0,0,0,0,0.00609,0,0.00239,0
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00253,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0.01097,0,0,0,0,0,0.04367,0,0.00139,0,0.06164,0.12003,0.00655,0,0.00094,8e-04,2.87903,0.02351,0.8437,0,0,0,0,0,0.42624,0,0,0.25036,0,0,0.23594,0,0,0,0.17707,0.15404,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0,0.00097,0,0.06551,0.21983,0.05872,0,0,0,0,0,0.03602,0,0,0,0,0,0,0,0.12878,0,0.96708,0,0,0,0,0,1.50803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0,0.16654,0.00557,0.01689,0,0.36486,0.0013,0,0,0.76115,0.01384,0,0,0,0,0,0.10715,0.08757,0,0,0.03214,0,0.42322,0,0,0,0.00363,0.07883,0,0,0.06801,0.00348,0.29358,1.23989,0.00021,0.06476,0.11971,0.00139,0.33477,0.04955,0.31048,0,0,0,0,0
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00323,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00197,0,0,0,0,0,0,0,0.04205,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0.00342,0,0,0,0,0,0,0,0,0,0,0,0.00294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0.00051,0,0,0,0,0,0,0,0,0,0,0.00025,0,0,0,0,0,0.10655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00392,0,0,0,0,0,0,0,0,0,0.00971,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
