"","train_2667","train_2668","train_2669","train_2670","train_2671","train_2672","train_2673","train_2674","train_2675","train_2676","train_2677","train_2678","train_2679","train_2680","train_2681","train_2682","train_2683","train_2684","train_2685","train_2686","train_2687","train_2688","train_2689","train_2690","train_2691","train_2692","train_2693","train_2694","train_2695","train_2696","train_2697","train_2698","train_2699","train_2700","train_2701","train_2702","train_2703","train_2704","train_2705","train_2706","train_2707","train_2708","train_2709","train_2710","train_2711","train_2712","train_2713","train_2714","train_2715","train_2716","train_2717","train_2718","train_2719","train_2720","train_2721","train_2722","train_2723","train_2724","train_2725","train_2726","train_2727","train_2728","train_2729","train_2730","train_2731","train_2732","train_2733","train_2734","train_2735","train_2736","train_2737","train_2738","train_2739","train_2740","train_2741","train_2742","train_2743","train_2744","train_2745","train_2746","train_2747","train_2748","train_2749","train_2750","train_2751","train_2752","train_2753","train_2754","train_2755","train_2756","train_2757","train_2758","train_2759","train_2760","train_2761","train_2762","train_2763","train_2764","train_2765","train_2766","train_2767","train_2768","train_2769","train_2770","train_2771","train_2772","train_2773","train_2774","train_2775","train_2776","train_2777","train_2778","train_2779","train_2780","train_2781","train_2782","train_2783","train_2784"
"Eubacterium_ramulus",0.00946,0,0.04572,0.02499,0.00702,0.00627,0.06054,0.02458,0.00346,0,0.00542,0,0,0.01737,0.0602399999999999,0.02309,0.0033399999999999,0.01789,0.24728,0.04492,0.01575,0.14487,0,0.01706,0,0,0.24983,0,0.02234,0,0,0,0.0113099999999999,0,0,0,0.02708,0.00639,0.0029,0,0.01598,0,0.02139,0,0,0.00547,0,0.31325,0,0.0347,0,0,0,0.03631,0.00431,0.02916,0,0,0,0.01893,0,0.12961,0,0.04971,0,0,0,0.00712,0.03437,0.0564799999999999,0.74905,0,0,0,0,0,0.04375,0.0423399999999999,0.21996,0,0.0246599999999999,0.03282,0,0,0,0,0.01568,0,0,0,0.0018899999999999,0.04087,0.00326,0.0314399999999999,0,0,0,0,0,0.00705,0,0,0,0,0,0,0,0.0077599999999999,0,0.08528,0.04784,0,0,0.13357,0,0,0,0.20405
"Holdemanella_biformis",0,0.00798,0,0,0,0,0.05914,0,0.00422,0,0.19266,0,0,0,0,0,0,0,0.32509,9e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01022,0,0,0,0,0,0,0,0,0.0535,0,0,0,0.05164,0,0,0,0,0,0,0.0917,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,1.19,0,0,0,0.06844,0,0,0,0,0,0,0.00813,0,0.00551,0,0,0.14243,0,0.6833,0,0,0,0,0,0,0,0.10475,0,0,0,0,0,0,0.00131,0,0,0.20285
"Lawsonibacter_asaccharolyticus",0.00582,0,0.01622,0,0,0,0.00829,0.02281,0,0,0,0,0,0,0,0.01279,0,0.00264,0,0,0.00196,0.02233,0,0.0177,0,0,0,0.0072,0.50758,0,0,0.00138,0,0,0,7e-04,0,0,0,0,0.01061,0,0,0,0,0,0,0.0009699999999999,0,0,0.0174199999999999,0,0,0,0.00701,0,0,0,0,0.0033399999999999,0,0,0,0,0,0,0,0.0064099999999999,0,0.03443,0,0,0,0,0,0,0,0.00455,0.00273,0,0,0,0,0,0,0,0,0,0,0,0.0024,0,0.01122,0,0,0.00264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia_muciniphila",0,0,0.00026,0,0.18883,0,0.05912,0.0055899999999999,0,0,0,0,0,0,6.47828,0,0,0.00179,0.00942,9e-05,0.05046,0.10475,0,2.50911,0,0,0,0,21.17743,0,0,0,0,0,0.02657,0.11152,0.26906,1.52796,0,0,0.01145,2.40254,0,0.00589,0,0,0,0.89033,0,0.09766,0.20003,0,0,0,0,0,0,0,0,0,0,0.0038299999999999,0,0,0,0,0,0.0639899999999999,0,0,0,0,0,0.00011,0,0,0,0.00318,1.66163,2.67036,0.0017399999999999,0,0,0.00305,0,0,0.03028,0,0,0,0,0,0,0.01744,0,0,0,0.00491,0,0,0,0,0,0,0,0,0,0.04635,57.93988,1.72463,0,0.22452,0.04517,0,0,0,0,0
"Eubacterium_sp_CAG_180",0.00029,0,0.00088,0,0,2.7293,0,0,0,0.0004599999999999,0,0,0,0,0,0,0,2.08177,0.24358,0.0015199999999999,0,0.02386,0,0,0,0,0,0,0.00022,0,0.0206699999999999,0,0,0,0,0,0,0,0.22139,0,0,0,0,0,0,0,0.00089,2.1143,0.00381,0,0,0,0.00056,0,0.00445,0.0469,0,0,0,0.0019,0,0,0,0,0.02671,0,0,0,2.80944,0,0,0,0,0,0,0,0,0.16998,0.79465,2.9084,0.00261,0,0,0.02907,0.00362,0,0.00297,0.00228,0,0,0.1217,0,0,2.40205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00178,0,1.41388,0.04723,0,0,0,0,0,0.01268
"Bacteroides_xylanisolvens",0.0114799999999999,0.05971,0.04896,3.2178,0.31757,0.10984,0.0476,0.26229,0.0158,0.01296,0.09383,0.87131,0.48321,0.00362,0.27873,0.23791,5.41539,0.19676,0.15207,2.39638,0.07835,0.01481,0.32317,0.84929,1.59859,1.41947,0.00166,0.21382,0.14341,0.00502,0.43257,3.29603,1.22247,2.34166,0.20585,0.51148,0.60583,0.18908,0.14231,0.0009199999999999,0.0163099999999999,2.21443,0.07725,1.78786,0,0.28807,0.31208,0.74669,0.001,0.0605,0.24572,0,0.00056,0.3341,0.04059,0.07557,0.00521,0.0068,0.14479,0.87513,4.36853,0,0.01586,0.023,0.15563,0.55256,0.0200599999999999,1.26411,0.57607,0.00094,0.0183699999999999,0.40105,2.02275,0.35045,0.00832,0.46415,0.78232,0.3931,0.03341,0.2789,0.09457,0.60612,0.19689,0.00462,0.0076799999999999,0.40129,5.75378,0,0.59813,0.03007,0.17662,0.02992,0.22536,0.02958,0.02647,0.60714,0,2.62275,0.06066,0.24296,25.01483,0.0902299999999999,0.77413,0.08765,0,0,0.00688,0.2893,0.0338,3.08914,0.51949,0.15312,1.37504,0.1478,0.0040799999999999,0.00119,0.02495,0.20518
"Ruminococcus_bicirculans",1.10072,0,1.04306,0,0.38349,0.52345,0,0.0266199999999999,0.09562,0,0,0,0.0019399999999999,0,0.70804,0.00065,0,1.90594,0,0.18133,0.11969,0.48445,0,0,0,0.91095,1.62681,1.55789,0.07114,0,0,0.51215,0,0,0.20823,0.31636,0,0,0.04561,0.00083,0.01651,0.15294,0,0,0,0,0,0.06509,0,0.77297,1.93518,0,0,0,0.17823,0.12335,0,0,0.09449,0.51549,0,0,0.00114,0.0033799999999999,0,0,0,0.82652,1.31659,0.49271,0.0043799999999999,0,0,1.75439,0,0,0,1.17328,0.00018,0.00391,0,0.00415,0,0,0,0.00182,0,0,0,0.07879,0.0621899999999999,0,0,0.40355,0,0,0,0.10358,0,0,0,0,0,0,0,0.07728,0,0.01814,0.01344,0,0,0,0,0.01959,0,0,0,0
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00819,0,0,0,0,0,0,0,0,0,0,0,0.00516,0,0,0,0,0,0,0,0,0,0,0,0.0016699999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00365,0,0.00635,0,0,0,0,0,0,0,0,0,0,0.20366,0.17433,0,0,0.01443,0.0023,0,0,0,0,0,0.0136,0,0,0,0,0,0,0,0.00754,0,0,0,0,0,0,0,0,0,0,0.45719,0,0,0,0,0,0,0,0.01049,0,0.00119,0,0.00123,0,0,0.00735,0.0323899999999999,0,0,0.01963,0,0,0,0,0,0,0,0.01748,0.00325,0,0.03508,0,0.00114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_shahii",0,0.0839,0.32052,0.98732,0.43625,2.44863,0.11096,0.0633799999999999,0.51228,0,0.03145,0,0.02265,0.17753,0.00082,0.00118,0.30516,0,0.0056,0.0011,0.23653,1.01176,0.13673,0.22083,0.19663,0.08525,0,0.10672,0.70803,0,0.01563,0.00078,0,0.92963,0,0.08315,0.50559,0.23764,0.09244,0.00045,0.2697,0,0,0.00022,0,0.00159,0.00232,0.03195,0,0.69541,0.23438,0,0,0.15254,0.39003,0.02391,0,0,0.05732,0.29186,0,0,0,0.01144,0,0,0,0.0752299999999999,0.0596299999999999,0,0.00472,0,0.25054,0.00035,0,0,0.41346,0.00689,0.01375,1.39837,0.12757,0.60968,0.01077,0.00501,0.0013,0,0,0,0.00031,0,0.24269,0,0.00225,0.48593,0,0.00061,0.00498,0.46658,0,0.03746,0,0,0,0,0,0,0,0.10276,0.00303,0.12882,0.08127,0,2.62125,0,0,0,0.0768,0.00404
"Bifidobacterium_bifidum",0,0,0,0,0,0,0.06402,0,0,0,0,0,0,0,0,0,0,0.18231,0,0,0,0,0,0,0,0,0,0.02456,0,0,0,0,0,0,0.11644,0,0,0,0,0,0,0,0,0,0,0,0,0.85726,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00258,0,0,0,0,0,0,0,0,0,0,0,0,0.11663,0,0,0.72635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2149,0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0,0,0,0,0,0.00864,0,0,0,0,0,0,0,0,0,0,0,0.00193,0.00698,0,0,0.00394,0,0.0035,0,0,0,0,0.05998,0,0,0.00044,0,0,0,0,0.00082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0138599999999999,0,0,0,0,0,0,0,0,0.00824,0,0,0,0,0,0,0,0,0.00108,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0,0.00489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00146,0,0.00144,0,0,0,0,0,0,0,0.0009199999999999
"Eisenbergiella_tayi",0,0,0,0,0,0,0,0.00507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00279,0,0.03701,0,0,0.35563,0.0958799999999999,0.55801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01095,0,0,0,0.00086,0,0,0,0,0,0,0,0,0,0,0,0,0.03811,0,0,0,0,0.0130199999999999,0,0,0.2202,0,0,0,0,0,0,0.00205,0,0,0,0.01099,0,0,0,0,0,0.02223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00964,0
"Adlercreutzia_equolifaciens",0,0,0,0,0,0.03026,0.00168,0,0,0,0,0,0,0,0,0,0,0.00703,0.021,0,0,0.01177,0,0.01035,0,0,0,0,0.23322,0,0,0.0023,0,0,0,0.00264,0.00171,0,6e-04,0,0.0015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05926,0,0,0,0,0,0,0,0,0.0219,0,0,0,0,0,0,0,0,0.0059,0,0,0,0.00031,0,0,0,0,0,0,0,0.0073,0.00281,0.00079,0,0.01486,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01683,0,0.01014,0,0,0,0,0,0,0,0.0049299999999999
"Alistipes_onderdonkii",0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0.1611,0,0,0,0,0,0,0,0,0,0,0,0.00455,0,0,0,0.0034,0,0,0,0.00718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.40726,0,0,0,0,0.09585,0,0,0,0,0,0.0307199999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00694,0,0,0,0,0,0,0,0,0,0,0,0,0.00265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00098,0
"Hungatella_hathewayi",0.00395,0.0376,0.00905,0.0029,0.00558,0.10466,0,0.01785,0,0.0253,0,0,0,0.07911,0.06342,0.32512,0.00893,0.00059,0,0.00406,0.00375,0.01166,0.0093099999999999,0.00427,0.25289,0.01478,0.04967,0.00829,0.0918,1.47345,3e-04,0.00175,0.34685,0.21138,0.0300399999999999,0,0.06525,0,0.00862,0,0.02033,0.01006,0,0.10701,0.00073,0,0.0726,0.00025,0.0197,0.00853,0,0.24982,0,0.01384,0.01197,0,0.02688,0,0.00788,0.06332,0.01966,0.01403,0.19463,0,0,0.21621,0,0.03961,0.00527,0.04873,0,0.04426,0.01909,0.0422,0.00022,0.01252,0.54434,0.0036799999999999,0.02194,0.02505,0,0.06242,0.0175199999999999,0.06959,0.16788,0.07006,0.0269699999999999,0.00031,0.00702,0.10368,0.13933,0.06136,0.54245,0.00074,0,0.02788,32.4781,0,0,0,0.83307,0.04316,0,0,1.65513,0.0054399999999999,0,0,0.06096,0,0.00716,0.0301399999999999,0.0137,0,0.02355,0.23825,0.05209,0
"Bilophila_wadsworthia",0.09856,0.12479,0.07238,0.08541,0.03488,0.02926,0.06825,0.20608,0.11024,0,0.00183,0.00903,0,0,0,0.03042,0.06953,0.11466,0.00424,0.0085799999999999,0.0022199999999999,0.0153199999999999,0.02174,0.04691,0.80711,0,0,0,0.22331,0,0.07629,0.00558,0,0.21284,0.00134,0.07735,0.06091,0.00814,0.0044,0,0.01931,0,0,0.04643,0,0,0,0.01713,0,0.00467,0.02123,0,0,0.01766,0.01433,0.0047799999999999,0,0,0,0.00941,0,0,0,0.02257,0.03469,0,0,0.05482,0.06282,0.01032,0.00091,0,0.0088,0.01317,0.34116,0.00609,0.19664,0.01268,0,0.11227,0.00652,0.02897,0.00497,0,0.37223,0.02275,0.03075,0,0,0,0.10121,0.05076,0.0275699999999999,0.0631299999999999,0,0.03375,0,0,0,0.0054399999999999,0,0,0,0,0,0,0,0.00862,0,0,0.02595,0,0.18859,0.0101,0,0,0.1667,0
"Holdemania_filiformis",0,0.02507,0.01622,0,0,0,0.00618,0.00407,0.01909,0.00228,0,0.01935,0,0,0,0,0,0.0033399999999999,0.00542,0,0,0.0145,0.0096099999999999,0.01498,0,0.00946,0,0.00343,0.23594,0.00484,0,0.0045899999999999,0.01265,0.03522,0.02302,0.0045899999999999,0.01311,0.0027,0.00125,0,0,0,0,0,0,0,0,0,0,0,0.10619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03108,0.01153,0.04949,0,0,0,0.01007,0,0,0.05845,0.00326,0,0.01782,0.01098,0.01229,0,0,0.26533,0,0,0,0,0,0,0,0,0.00545,0,0,0,0,0,0,0,0.01134,0,0,0,0,0,0,0,0.00937,0,0,0,0,0,0,0,0
"Intestinimonas_butyriciproducens",0.20036,0,0.0095,0,0.23536,0.0238,0,0.07073,0.12885,0,0,0,0,0,0.02375,0,0,0.00818,0,0,0,0.00957,0,0.03063,0,0,0,0.00212,0,0,0,0.00229,0.0623299999999999,0.08198,0,0.0221199999999999,0,0,0,0,0.00247,0,0,0,0,0,0,0,0,0,0.11587,0,0,0,0.04217,0,0,0,0,0,0,0,0,0,0,0,0,0.03695,0,0,0,0,0,0.0619,0,0,0.31183,0.00375,0.06725,0,0.0017,0.00134,0,0,0,0,0,0,0,0,0,0.80553,0,0.06565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64451,0.00947,0,0.12441,0,0,0,0.03486,0
"Gordonibacter_pamelaeae",0.0079099999999999,0.00588,0.00343,0.00596,0,0,0,0.00932,0,0,0,0,0,0,0.06195,0.04321,0.03166,0.01123,0.00072,0.00371,0,0.00264,0,0.01795,0.01054,0,0,0.0166699999999999,0.22075,0.0120299999999999,0.00455,0,0.00784,0.00403,0,0.00466,0.0042,0.00299,0,0,0,0.00198,0.00424,0.00959,0,0,0.00137,0,0,0.0003399999999999,0.0117,0.00088,0,0.00472,0.00456,0,0.00109,0,0,0.0205699999999999,0,0.00028,0.00292,0,0,0.00119,0,0.00667,0.00132,0.0066799999999999,0,0,0,0.0007099999999999,0,0,0.00647,0,0.0012,0.00234,0,0.00549,0,0.0027,0,0.0011,0,0,0.00317,0.00485,0.00294,0.00163,0.00937,0.00442,0,0.00898,0,0,0,0,0,0,0,0,0,0,0,0,0.04473,0,0.00933,0,0,0,0,0,0.00836,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00186,0,0,0,0,0,0,0,0,0,0,0,0,0.00013,0,0.00554,0,0,0.57732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05575,0,0,0,0,0
"Collinsella_stercoris",0,0.00027,0.00149,0,0,0,0.00367,0.02786,0.00245,0,0,0,0,0,0,0,0,0.00115,0.00299,0,0,0.00236,0,0,0,0,0.0017399999999999,0.03353,0.00026,0,0.00479,0,0,0,0,0,0,0.001,0,0.00056,0,0.00027,0.00084,0.0013,0,0,0,0.0012,0,0,0.00242,0,0,0,0.00108,0.00083,0,0,0,0.00049,0,0,0,0.0033399999999999,0,0,0,0.00122,0.00274,0.00121,0.02727,0,0,0,0.00248,3e-04,0,0.0075099999999999,0,0,0,0.00067,0,0,0,0,0,0,0,0,0,0,0,0.00527,0,0,0,0,0.01153,0.0021899999999999,0,0,0,0,0,0,0,0,0,0,0.00115,0,0,0,0.00154,0,0,0
"Eubacterium_sp_CAG_274",0,0,0.03406,0,0.04104,0,0,0.23257,0,0,0,0.61464,0,0,0,0,0,0,0.07914,0,0.04214,0.25353,0,0,0,0,0,0,0,0,0,0,0,0.08582,0,0.43278,0,0,0,0,0,0,0,0,0,0,0.05483,0,1.22835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0821799999999999,0,0.12796,0,0.01778,0.0541,0,0,0,0,0.03406,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19878,0,0,0.11491,0,0,0.01904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07964,0,0,0,0,0,0,0,0.06493
"Anaeromassilibacillus_sp_An250",0,0,0.00137,0,0,0,0.00165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01404,0,0,0,0,0,0,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3e-04,0,0,0,0,0,0,0.00993,0,0,0,0,0,0,0.0012699999999999,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0,0.00606,0.01259,0,0,0,0,0,0,0,0,0,0,0,0.06562,0.02846,0.00455,0.00036,0,0,0,0.0033799999999999,0,0.00112,0,0,0,0.0008699999999999,0.0773799999999999,0.01189,0,0,0.02854,0,0,0.0007099999999999,0,0,0,0,0,0,0,0,0,0,0,0.00126,0,0,0,0,0,0,0,0,0,0,0,0.00361,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215,0,0,0.04208,0,0,0,0,0,0,0,0,0.00449,0,0,0,0,0,0,0.01082,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00952,0,0,0,0,0
"Roseburia_sp_CAG_471",0.02624,0,1e-04,0,0,0,0.00032,0,0,0,0,0,0,0,0.00597,0,0,0,0,0,0,0.01703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09343,0,0.02369,0,0,0,0,0.00722,0,0,0,0,0.54776,0,0,0,0,0,0,0,0,0,0,0.00047,0,0.00214,0,0,0,0.23258,0.07977,4e-05,0.00122,0,0,0,0,0,0,0.1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13262,0,0,0,0,0.01964,0,0,0,0,0,0,0,0.00742,0,0,0,0,0.04009,0.0343199999999999,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0.0112,0.0025399999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00079,0,0.0011099999999999,0,0,0,0,0,0,0.00135,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00355,0,0,0,0,0,0,0,0,0,0.00516,0,0,0.0111,0,0,0.0535299999999999,0,0,0.00079,0,0,0,0,0,0,0,0,0.00587,0,0,0,0,0,0,0,0,0,0.00137,0,0,0.00099,0,0.013,0,0,0,0,0,0,0,0,0,0,0,0,0.00166,0
"Collinsella_intestinalis",0.00733,0.01718,0.00144,0,0,0.03528,0.01078,0.19286,0.00078,0,0,0,0,0,0,0,0,0,0.00081,0,0,0.0019399999999999,0,0,0,0,0.00357,0.01844,0.00029,0,0.0235699999999999,0,0.00233,0,0,0,0,0.00045,0,0.0007599999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00831,0,0,0,0.00086,0,0,0,0.00072,0.00067,0,0,0.00121,0.00114,0.00025,0.00604,0,0,0,0.00073,0,0,0.0102099999999999,0,0,0,0.00115,0,0,0,0.03007,0,0,0,0,0,0,0,0.01584,0,0,0,0,0.00713,0,0,0,0,0,0,0,0,0,0.0032,0,0.00069,0,0,0,0.06284,0,0.00103,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0.00416,0,0,0.01038,0,0.0038799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00268,0,0,0.00502,0,0.0144599999999999,0,0.04208,0,0.01163,0,0,0,0,0,0,0,0,0,0,0,0.06009,0,0,0,0,0,0,0.0026,0,0,0,0.00121,0,0.0136699999999999,0,0,0.0123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191,0,0,0,0.01755,0,0.01615,0.01329,0,0.01829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0066799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00618,0,0,0,0,0.00581,0.00139,0,0,0,0,0,0.00889,0.0037,0,0,0,0,0.00117,0,0,0,0.00031,0,0,0,0.01141,0,0,0,0,0,0,0,0.01845,0,0,0,0,0,0,0,0,0,0.00255,0,0.00025,0.00266,0,0,0.02659,0,0,0,0,0.0151,0,0,0,0,0,0.00341,0.0008699999999999,0,0,0,0,0,0,0,0,0,0.01284,0,0,0.00147,0,0,0,0,0.00225,0,0.00262,0,0,0,0.2879,0,0,0,0,0
"Clostridium_symbiosum",0,0.0532799999999999,0,0.15847,0.0309899999999999,0.14398,0,0.04323,0.00479,0,0,0,0,0.14462,0.21066,0,0.0688899999999999,0.00153,0.01515,0.02342,0.00583,0.03381,0.00183,0.01265,0.37406,0.00601,0.0505,0.10356,0.46069,0.45626,0.10861,0.0221199999999999,0.08974,0.0350899999999999,0.04631,0,0.0166699999999999,0.00732,0,0,0,0.00907,0.00224,0.27394,0.02217,0,0.02184,0.0107599999999999,0,0,0.09451,0,0,0.10457,0.00133,0,0,0,0.00282,0.03419,0.30796,0,0,0,0,0.04928,0,0.07411,0.00969,0.05078,0,0.00469,0.0259399999999999,0.13203,0.00713,0.01347,0.16025,0,0.03889,0.44195,0.00296,0.09848,0.00473,0.00121,0.66728,0.0183,0.01459,0,0.41857,0.45943,0.06857,0.19282,0,0.00065,0,0.0367899999999999,0,0,0,0,0.0760899999999999,0,0.17655,0,0.04726,0,0,0,0.0751,0.02422,0.0155,0,0.00799,0,0.25618,0.23312,0.70066,0.00093
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00082,0,0,0,0.00022,0,0,0,0,0.00031,0,0,0,0,0.01224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004599999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
