"","train_1190","train_1196","train_1207","train_1213","train_1214","train_1215","train_1216","train_1217","train_1219","train_1221","train_1222","train_1225","train_1231","train_1232","train_1233","train_1235","train_1236","train_1238","train_1239","train_1240","train_1242","train_1244","train_1250","train_1254","train_1255","train_1256","train_1259","train_1262","train_1264","train_1265","train_1268","train_1269","train_1270","train_1272","train_1273","train_1275","train_1283","train_1288","train_1290","train_1293","train_1295","train_1299","train_1301","train_1302","train_1304","train_1307","train_1309","train_1313","train_1314","train_1316","train_1327","train_1330","train_1459","train_1464","train_1465","train_1467","train_1469","train_1471","train_1476","train_1509","train_1526","train_1541","train_1552","train_1557","train_1574","train_1585","train_1593","train_1601","train_1618","train_1624","train_1625","train_1631","train_1633","train_1634","train_1636","train_1642","train_1660","train_1670","train_1678","train_1690","train_1695","train_1704","train_1706","train_1735","train_1737","train_1757","train_1758","train_1762","train_1781","train_1785","train_1788","train_1806","train_1811","train_1817","train_1818","train_1819","train_1820","train_1841","train_1849","train_1852","train_1865","train_1866","train_1867","train_1879","train_1886","train_1887"
"Collinsella_intestinalis",0,0,0,0,0,0.22486,0,0,0,0.00335,0.00244,0,0,0,0,0,0,0,0,0.09198,0,1.51586,0,0.028,0,0,0.00124,0,0,0.00362,0,0,0,0,0,0.03151,0,0.24228,0.05,0,0,0,0,0,0,0,0.07206,0.00076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00113,0,0.00639,0,0,0,0,0.0061,0.00299,0,0,0,0,0,0.0067,0.00146,0,0,0,0,0,0,0,0,0,0.00294,0,0,0.00217,0,0,0,0.00169,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01393,0,0,0,0.04115,0,0,0,0,0,0,0.00075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00764,0,0,0,0,0,0,0,0,0,0,0,0,0.00091,0,0,0,0.0523,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0.01142,0.07633,0,0,0,0,0,0,0,0,0,0.0186,0,0,0,0.07131,0,0,0,0,0,0,0,0,0,0.04061,0.04054,0,0,0.59336,0.00694,0,0,0.00262,0,0,0,0,0.14106,0,0,0,0,0,0.02373,0,0,0,0,0,0,0,0.15796,0,0,0,0.00306,0,0,0,0,0,0.00378,0.01581,0,0,0.00302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0,0,0,0,0,0,0,0,0,0.0016,0,0,0,0,0,0.00088,0,0,0.00031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04655,0,0,0,0,0,0,0,0.00273,0,0,0,0,0.0413,0,0,0,0,0,0.00556,0,0,0,0,0,0,0,0,0,0,0,0.00538,0,0,0,0,0.00291,0,0.00281,0,0,0.00163,0,0,0,0,0,0.00455,0,0,0,0,0,0,0.00277,0,0,0,0,0,0,0,0.00269,0,0,0,0.0018,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0,0,2.50481,0,0,0.50319,0,0,0,0.59183,0,0,0,0,0,0.04477,0,0,0,0,0.00608,0,0,0,0,0,0,0,0,0.02421,0,0,0,0.07361,0,0,0,0,0,0,0.01145,0,0,0,0,0,0,0,0.19486,0.06443,0,0.24919,0.4715,0,0.00154,0.09091,0,0,0,0,0.07683,0,0,0,0,0,0.10574,0,0,0,0,0,0,0,0.00719,0.0132,0,0.10339,0,0,0.23643,0,0,0.00402,0.01972,0.07177,0,0,0,0.31743,0.12266,0.01521,0.16671,0,0,0.88247,0.01274,0.75126,0.04682,1.40158,0,0,0.14821,0.02954
"Bifidobacterium_adolescentis",0.0735,0,0,0.03489,0.45949,0,0.10444,0.23282,0,2.25958,0.0373,4.81287,2.66223,2.92544,0.89207,1.11094,0.53355,1.54596,0,2.75517,0.47598,0,0.3212,0,0.32707,0.51988,0.15913,0.45336,0,0.15693,0,0.08386,0.33424,0.13296,0,0.51144,0,0.02424,0,0.14436,0.12544,0.16929,0,0.33368,0.3263,0.40717,0,2.65435,0.72363,0.72907,0.66824,0.05559,0.5436,0,0.15616,0,0.433,1.16264,0.22007,0,0,0,0,0.66297,0.04728,0,1.16628,0.34718,0.51255,0.0355,0.09566,0.04122,0,0,2.40483,0.19482,0.58854,0.16568,0.18028,0.05764,3.82895,0,0.22665,0.21704,0.17376,0.36427,0.0586,1.06973,2.22968,0.16898,0.11768,10.85077,0.06606,0.12193,5.13976,0,0.25909,0.37732,0.57138,0.01989,1.71242,0.50012,0,0,0,0.26394
"Lactobacillus_salivarius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1227,0,0,0,0,0,0.12723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0,0,0,0,0.16956,0,0,0,0,0,0,0.08646,0,0,0.05328,0,0,0,0,0,0,0.05099,0.00104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22946,0,0,0,0.08787,0,0,0.04498,0,0.20476,0.16155,0,0.34067,0,0,0.03927,0.03095,0,0.38961,0,0,0.00107,0,0,0,0,0,0,0,0.0304,0,0,0,0,0.08621,0.06424,0.00326,0,0,0,0.04757,0.01721,0.22254,0,0.05554,0,0.70306,0,0,0,0,0,0,0.09214,0,0,0.06732,0,0,0.16212,0.06157,0,0,0.89091,0.01529
"Coprobacter_fastidiosus",0.20477,0,0.42124,0,0,0,0,0.06472,0,0,0.18842,0,0.35748,0,0.05424,0.02933,0,0.0092,0.01967,0.00565,0.18058,0,0,0.08934,0.14625,0.13702,0,0.01689,0.0155,0,0,0,0,1.00897,0.92785,0,0.23375,0,0,0,0,0.26218,0,0,0,0,0,0,0,0.0027,0.03924,0.02133,0,0,0.00898,0,0,0,0,1.30762,0,0,0.10127,0.01864,0,0,0.37027,0.23767,0.68826,0,0.03452,0.18012,0,0.32661,0,0,0,0,0.00142,0,0.85048,0.01019,0.0375,0.04534,0.00672,0,0,0.81178,0,0.01344,0.5038,0.07613,0.04037,0,0,0,0.05338,0.07707,0.02916,0.39053,0,1.21815,0,0,0.01079,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01314,0,0.00653,0,0,0,0.03504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02587,0,0,0,0,0,0.00239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",2.12158,0.12963,0.34301,0.04566,0.23518,0.00556,0.05891,0,1.58192,0.40463,0.02376,0.56095,2.22244,1.01013,0.58982,0.23466,0.74915,0.16117,2.34188,0.91678,0.05732,0.22237,0.2179,0.00808,0.21439,0.23952,7.64491,0.47904,0.01928,0.13635,0,0.06361,0.13386,0.04323,0.01897,0.05612,2.5273,0.44375,2.07349,0.07086,0.4534,0,0,0.14898,0.16144,0.17557,0,0.84511,0.16699,0.06764,0.01525,0,1.54018,0,0.23229,0.02851,0.3255,0.20207,0.29022,0,0.20761,0,0.08026,0.00069,0.07135,0.19908,0.11293,0,0.54769,0,0.04219,0,0.24558,0,0.40706,0.86809,0,0.29745,0,0.04281,1.01155,0.06697,0.0664,0.32866,0.15373,0.25556,0,2.12466,1.07585,0.04016,0.22111,0.50493,0.07129,0.25945,0.62536,0,0.21875,0.28493,0.23526,0.01626,0.00519,0.36117,0.04762,0.01642,0,0.04046
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01511,0,0,0,0,0,0.00447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00511,0,0,0,0.00202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0.00115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071,0,0,0.0343,0.0029,0,0,0,0,0,0,0,0,0.00213,0.03079,0,0,0,0,0.01989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02928
"Enterococcus_faecium",0,0,0,0,0,0,0,0,0.00931,0,0,0,0,0,0,0,0,0.00158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05545,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0.04565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03976,0,0,0,0,0,0,0.01328,0,0,0.04611,0,0.07763,0.13206,0,0,0,0,0.03517,0,0,0,0.00917,0,0,0,0,0.08107,0,0,0,0,0,0,0,0,0,0,0,0,0.03286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00424,0,0,0,0.09244,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57244,0,0,0,6.83071,0,0
"Bacteroides_salyersiae",0,0,0,0,0,0,0,0,0,0,0,0,0.21694,0.52419,0.02337,0,0,0,0,0,0,0,0,0.76185,0.03279,0,0.06239,0,0,0,0,0,0,0,0,0,0,0,0,1.75708,0,0,0.02805,0,0,0,0,0,0,0,0,0.02307,0,0.10209,0,1.47345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54226,2.78497,0.82262,0,0,0.11071,0,0,0,0,0,0,0,0,0,0,0,0.01312,0,0,0,1.38903,0.38557,0,0
"Barnesiella_intestinihominis",10.02974,0,2.10027,0.181,1.72204,0,0,0.86274,0,0,1.13434,0,0.45435,0.30187,0,3.2401,4.59364,0.15812,1.97137,3.41968,0.57685,0.698,0.12199,1.85447,6.34736,0.6153,3.06264,1.84181,0.5127,3.2476,2.34877,0.86901,0.05076,1.70193,0,1.1395,3.40897,2.3597,3.32047,0.33678,3.18122,0.92205,0.00696,0.28461,0,0.20565,0,2.13805,0.03895,0.46747,1.09121,0.65159,0,0.12603,1.61608,0,0.04666,0.13617,0.71663,0.58131,0,0,0.82657,0.02479,2.09585,2.28119,2.12197,1.16547,0.70881,2.39596,0,7.16521,0,1.87364,1.30471,1.20435,5.37936,0.04547,0.00215,0,1.06325,0.17565,1.48061,1.88451,1.42465,0.87229,0,0,0,0.70793,2.26537,1.52935,0,0.52841,0.4219,0,2.39342,4.28859,3.90409,0.49182,0.00988,6.44487,0.08177,0.57539,0.35465,0.45697
"Bacteroides_eggerthii",0,0,0,0.10743,0,0,0,0,0,0,0,0.3783,1.43845,0,0,0,0,0,9.72856,0,0,0,0,0,0.16022,0,0,0,0,0.09615,0,10.78192,0,0,0,0,0,0,0,0,0,3.19766,0.01106,0.00147,0,0.00683,0,0,0.17563,0,0.04485,0.37567,2.30047,3.40517,0,0,0.01822,0.00679,0,0,0,0,2.05759,0.00687,0,0,0,1.40097,0,0,0,0,0,0,0,0,0,0.27849,0.23702,0,0,0,3.21337,1.19965,0,0,0,0,0,0,0,0.00079,30.83127,3.27216,0,0,7.53709,6.10644,0,0,0.05468,0,0,15.22365,0.57872,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0.45672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1157,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0.03563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58005,0,0,0,0,0,0,0,0.00266,0,0,0,0,0,0,0,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942,0,0,0.02345,0,0,0,0.00087,0,0,0.14454,0,0,0,0,0,0,0,0,0,0,0,0,0.00943,0.03106,0,0,0,0,0,0,0,0,0.07284,0,0,0,0,0.00066,0,0.00275,0.08346,0,0,0,0.085,0,0.02124,0,0,0,0,0,0,0,0,0,0,0.1237,0.01661,0.11629,0,0.00545,0,0.00685,0.02532,0,0.07069,0.1217,0,0,0,0,0,0.00069,0.00431,0,0,0,0,0.0025,0,0.13569,0,0,0,0,0.02507,0
"Parasutterella_excrementihominis",0.2435,0,0.09405,0,0.09367,0.00493,0,0.04365,0.24965,0.12768,1.96055,0,0.03529,0,0.08225,1.45469,0.40355,0.40656,0.01019,0.45121,0,0.43153,0,1.85389,0.01951,0.10123,0.93038,0.01318,0.39674,0.00247,0.1361,0.33387,0.00182,0,0.10546,0.01802,2.27791,0,0,0.04962,1.34521,0.41053,0.10441,0.03314,0.13563,0.03184,0,2.529,0.1357,0.14695,0.02494,0.00987,0.2522,0.01622,0.02707,1.88006,0,0,0.47968,0,0,1.91019,0.19182,0,0.07756,1.28478,0.62818,0.24017,0.01502,0,0.08267,0.00128,0.1301,0.03464,1.04488,1.16245,0.98046,0.04039,0,0.01698,0.02712,0.0229,0.16088,0.24281,0.06177,0.02011,0,0,3.43461,0,0.02604,0.01271,0.01806,0.04285,0.0757,0,0.01616,0.16381,0.03286,0.01287,0.01197,0.28638,0,0.09477,0.02885,0.07736
"Roseburia_sp_CAG_182",0.08729,0,0,0,0,0,0,0.01339,0,0,0,0,0,0,0,0,0.16672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08281,0,0,0,0,0,0,0,0.18693,0.14211,0,0.00209,0,0,0,0,0.09252,0.02099,0,0.00097,0.0615,0.00264,2.03189,0,0,0.01181,0,0,0.00942,0,0,0,0,0.00368,0,0,0,0,0,0,0,0,0,0.0569,0,0.20171,0,0,0.00138,0,0,0.10281,0,0,0.64661,0,0.10127,0,0.05671,0,0.05074,0.1861,0.02746,0.07134,0,0,0.08027,0,0,0,0,0,0,0,0.00683
"Firmicutes_bacterium_CAG_95",0.00185,0,0,0.24485,0,0,0,0.223,0,0,0,0,0,0,0,0,0,0.09442,0,0,0,0,0,0,0,0,0,0,0.00247,0,0,0.31718,0,0,0,0,0,0,0,0,0,0,0.42172,0,0,0,0,0,0.00311,0,0.30527,0.19344,0,0,0.14579,0.0553,0.3024,0.02074,0.039,0.0351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13767,0.01927,0,0,0.106,0.02088,0,0.00293,0.11002,0.12306,0.0553,0,0,0,0,0.18698,0,0.0653,0,0,1.21467,0.07605,0.00901,0.21488,0,0,0,0.03167,0.00709
"Alistipes_indistinctus",0,0,0.05475,0.05662,0.87236,0,0.05656,0.02999,0,2.41652,0,0,0.00367,0.01354,0.2062,0.0078,0,0.05145,0,0,0.22708,0.01443,0.01778,0,0.02429,0,0,0.01329,0.00682,0,0,0,0,0,0,0.41558,0,0,0,0.03687,0,0.13558,0,0,0,0,0,0,0.77107,0.24088,0,0,0,0.00468,0.03764,0,0.0074,0.00258,0.00597,0.12319,0,0.04677,0.06271,0.17261,0,0.16968,0.01426,0,0.03621,0,0,0,0,0.0376,0.63727,0,0.16698,0.15644,0.00142,0.12278,0.05519,0.02426,0.00707,0,0.02239,0.02049,0,0.05338,0,0.0102,0,0.04222,0.25474,0,0,0,0.00091,0.04782,0.32316,0,0,0.63244,0,0,0.10722,0.00084
"Butyricimonas_synergistica",0.10023,0,0,0.02022,0.23978,0,0,0.02396,0,0.11227,0,0,0.04689,0.44319,0,0.29474,0,0.03378,0.14384,1.02739,0,0,0,0,0.06373,0.01245,0,0.64756,0.00389,0.26107,0.02387,0.02095,0,0,0.05234,0.04051,0.02134,0,0.61451,0,0.13828,0.20381,0.16127,0.00221,0,0.07602,0,0,0.04093,0.01725,0,0.01648,0.04797,0.32608,0.28218,0.2295,0.04023,0.00807,0.02002,0.1322,0,0,0,0,0.00715,0,0,0.12163,0.21098,0,0,0.55566,0,0.9688,0,0,0.12876,0.1307,0.05221,0,0,0.00053,0,0.02863,0,0.06352,0,0,0,0,0,0.03359,0,0,0,0.65935,0,0.09214,0.00066,0.00303,0.0435,0,0,0.02339,0.01075,0
"Clostridium_sp_CAG_167",0.00659,0,0,0,0,0,0,0.01795,0,0,0,0,0,0,0,0,0.02397,0.0266,0,0,0,0,0,0,0.02961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01513,0,0.44739,0,0,0,0,0,0,0,0.15233,0.00399,0,0.11555,0,0.23609,0.14132,0,0,0,0,0,0,0,0,0,0,0,0,0.43999,0,0,0,0,0,0,0,0.05272,0,0.01497,0,0,0.18224,0.86348,0.27432,0.19092,0,0.12021,0,0.02064,0,0.02306,0.1639,0.23831,0,0,0,0,0.44035,0.45753,0.08016,0,0.11973,0,0.08254,0
"Streptococcus_vestibularis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00499,0,0,0,0,0,0,0,0,0.02861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03746,0,0,0,0,0
"Coprobacter_secundus",0,0,0.22309,0,0,0,0,0,0,0.02183,0,1.41414,0.07065,0.11165,0.11934,0.01804,0,0.03524,0,0.05538,0.03367,0,0,0.07159,0.21099,0.1228,0.32865,0.01233,0,0.01312,0.15144,0.1626,0,0,0.32646,0,0,0,0,0.13766,0.00449,0.08849,0,0,0,0.01472,0,0,0.02356,0.042,0,0.01581,0.33645,0.01686,0.06341,0,0.00072,0,0.01553,0.00194,0,0.05572,0,0,0.07291,0,0,0,0.15233,0,0,0,0,0.22037,0,0,0,0,0.00402,0,0,0,0.10249,0.02489,0,0,0,0,0,0,0,0,0.03396,0.06173,0.17994,0,0,0.01415,0.02699,0.29855,0.01646,0.03359,0,0.08497,0.05415,0
"Gemella_sanguinis",0,0,0.00649,0,0,0,0,0,0,0,0,0,0.0085,0,0,0,0,0,0,0.00307,0,0,0,0.01758,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05421,0,0,0.00293,0,0,0.00487,0,0.00368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02687,0,0,0,0,0,0,0,0,0,0,0.0095,0,0,0,0,0,0,0.01883,0,0,0,0,0,0,0,0,0.01897,0,0,0,0,0.00491,0,0,0.0099,0,0,0,0,0,0,0,0,0,0
"Clostridium_leptum",0.01879,0.01293,0,0,0,0,0.00659,0.02204,0,0,0.00419,0,0,0.01423,0,0.01036,0,0,0,0.01345,0,0.0121,0,0,0,0,0.02925,0,0,0,0.00291,0,0,0.66612,0,0.00343,0.00135,0,0.18106,0,0.1217,0.00218,0,0,0,0.00521,0,0,0.00674,0.01535,0.00125,0.00548,0,0,0.04914,0.01236,0.00133,0.03248,0,0.01344,0,0.04603,0.44798,0,0.00444,0.0091,0.00456,0,0,0,0.10723,0.01573,0,0,0.01543,0.00483,0,0.00827,0,0.01013,0.293,0.05377,0,0.03223,0,0,0.06179,0.00532,0,0.003,0.20789,0.02116,0,0,0,0,0.0161,0,0.00839,0,0,0,0,0.01471,0.01236,0
"Oscillibacter_sp_PC13",0.01699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00787,0,0,0,0,0,0.00183,0,0.00249,0,0,0,0,0,0,0,0,0.00111,0,0,0.00565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00646,0,0,0,0.00233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",2.51262,0,0.00523,0,0.00129,0,0,0,2.77238,0.00532,0.13633,0,0,0,0,0.10983,0.02794,0.81855,0.0041,0.0457,0,4.57629,0,1.0728,0.28582,1.13951,0.07028,0,3.98131,0.06395,0.45591,3.27662,0,0,0.00405,0,0.18169,0.01621,0,0,0.27097,0.0209,0.03142,0,0.0036,0,0,0.2397,1.71025,0.00635,0,0,0.81664,0,0,0.17863,0,0,0.17143,0,0,0.13601,2.08397,0,0.84667,0.36881,0.04665,0.02616,0,0,0.80706,0,1.3072,0.05321,0.50388,0.3662,0.58468,0,0,0,0,0,0.05674,0.02523,0.00163,0,0,0,0.25084,0,0,0.00865,0,0,0.0108,0,0,0.3431,0,0,0,0.01952,0,0.03549,0,0.01112
