"","train_3006","train_3008","train_3013","train_3015","train_3039","train_3040","train_3045","train_3056"
"Corynebacterium_amycolatum",0,0,0,0,0,0,0,0
"Staphylococcus_hominis",0,0,0,0,0,0,0,0
"Staphylococcus_epidermidis",0,0,0,0,0,0,0,0
"Megasphaera_sp_MJR8396C",0,0,0,0,0,0,0,0
"Corynebacterium_tuberculostearicum",0,0,0,0,0,0,0,0
"Enterococcus_gallinarum",0,0,0,0,0.14186,0,0,0
"Corynebacterium_kefirresidentii",0,0,0,0,0,0,0,0
"Malassezia_globosa",0,0,0,0,0,0,0,0
"Corynebacterium_pseudogenitalium",0,0,0,0,0,0,0,0
"Clostridium_neonatale",0,0,0,0,0,0,0,0
"Anaerococcus_octavius",0,0,0,0,0,0,0,0
"Acidaminococcus_sp_CAG_542",0,0,0,0,0,0,0,0
"Dialister_pneumosintes",0,0,0.0071,0,0,0,0,0
"Kocuria_indica",0,0,0,0,0,0,0,0
"Anaerococcus_nagyae",0,0,0,0,0,0,0,0
"Campylobacter_ureolyticus",0,0,0,0,0,0,0,0
"Kocuria_rhizophila",0,0,0,0,0,0,0,0
"Lactobacillus_iners",0,0,0,0,0,0,0,0
"Dermacoccus_sp_PE3",0,0,0,0,0,0,0,0
"Micrococcus_luteus",0,0,0,0,0,0,0,0
"Corynebacterium_lipophiloflavum",0,0,0,0,0,0,0,0
"Porphyromonas_uenonis",0,0,0,0,0,0.35394,0,0
"Plesiomonas_shigelloides",0,0,0,0,0,0,0,0
"Bifidobacterium_ruminantium",0,0,0,0,0,0,0,0
"Actinomyces_radingae",0,0,0,0,0,0,0,0
"Kytococcus_sedentarius",0,0,0,0,0,0,0,0
"Lactobacillus_saerimneri",0,0,0,0,0,0,0,0
"Rothia_aeria",0,0,0,0,0,0,0,0
"Corynebacterium_matruchotii",0,0,0,0,0,0,0,0
"Streptococcus_sp_F0442",0,0,0,0,0,0,0,0
"Haemophilus_parahaemolyticus",0,0,0,0,0,0,0,0
"Staphylococcus_aureus",0,0,0,0,0,0,0,0
"Anoxybacillus_flavithermus",0,0,0,0,0,0,0,0
"Dermabacter_hominis",0,0,0,0,0,0,0,0
"Corynebacterium_aurimucosum",0,0,0,0,0,0,0,0
"Gemella_haemolysans",0,0,0,0,0,0,0,0
"Campylobacter_hominis",0,0,0,0,0,0,0,0
"Peptoniphilus_lacrimalis",0,0,0,0,0,0.20763,0,0
"Peptoniphilus_sp_BV3C26",0,0,0,0,0,0,0,0
"Peptostreptococcus_anaerobius",0,0,0,0,0,0,0,0
"Cutibacterium_acnes",0,0,0,0,0.01304,0,0,0
"Fusobacterium_sp_oral_taxon_370",0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_897",0,0,0,0,0,0,0,0
"Anaeroglobus_geminatus",0,0,0,0,0,0,0,0
"Gemella_asaccharolytica",0,0,0,0,0,0.01001,0,0
"Corynebacterium_kroppenstedtii",0,0,0,0,0,0,0,0
"Anaerobiospirillum_thomasii",0,0,0,0,0,0,0,0
"Peptoniphilus_sp_DNF00840",0,0,0,0,0,0,0,0
"Brachyspira_pilosicoli",0,0,0,0,0,0,0,0
"Helicobacter_sp_11_8110",0,0,0,0,0,0,0,0
"Megamonas_funiformis_CAG_377",0,0,0,0,0,0,0,0
"Neisseria_sicca",0,0,0,0,0,0,0,0
"Neisseria_mucosa",0,0,0,0,0,0,0,0
"Escherichia_albertii",0,0,0,0,0,0,0,0
"Haemophilus_haemolyticus",0,0,0,0,0,0,0,0
"Aggregatibacter_segnis",0,0,0,0,0,0,0,0
"Granulicatella_adiacens",0,0,0,0,0,0,0,0
"Arcobacter_butzleri",0,0,0,0,0,0,0,0
"Citrobacter_freundii",0,0,0,0,0,0,0.15559,0
"Comamonas_aquatica",0,0,0,0,0,0,0,0
"Aeromonas_caviae",0,0,0,0,0,0,0,0
"Citrobacter_youngae",0,0,0,0,0.33025,0,0.05609,0
"Acinetobacter_johnsonii",0,0,0,0,0,0,0,0
"Microvirgula_aerodenitrificans",0,0,0,0,0,0,0,0
"Comamonas_thiooxydans",0,0,0,0,0,0,0,0
"Citrobacter_werkmanii",0,0,0,0,0,0,0,0
"Shewanella_algae",0,0,0,0,0,0,0,0
"Acinetobacter_ursingii",0,0,0,0,0,0,0,0
"Comamonas_testosteroni",0,0,0,0,0,0,0,0
"Citrobacter_portucalensis",0,0,0,0,0,0,0,0
"Acinetobacter_bereziniae",0,0,0,0,0,0,0,0
"Enterococcus_cecorum",0,0,0,0,0,0,0,0
"Acinetobacter_schindleri",0,0,0,0,0,0,0,0
"Acinetobacter_towneri",0,0,0,0,0,0,0,0
"Helicobacter_pylori",0,0,0,0,0,0,0,0
"Comamonas_kerstersii",0,0,0,0,0,0,0,0.14486
"Treponema_succinifaciens",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_632",0,0,0,0,0,0,0,0
"Clostridium_ventriculi",0,0,0,0,0,0,0,0
"Helicobacter_winghamensis",0,0,0,0,0,0,0,0
"Bacillus_cereus_group",0,0,0,0,0,0,0,0
"Streptococcus_macedonicus",0,0,0,0,0,0,0,0
"Cronobacter_sakazakii",0,0,0,0,0,0,0,0
"Klebsiella_aerogenes",0,0,0,0,0,0,0,0
"Enterobacter_mori",0,0,0,0,0,0,0,0
"Treponema_berlinense",0,0,0,0,0,0,0,0
"Haemophilus_pittmaniae",0,0,0,0,0,0,0,0
"Dialister_micraerophilus",0,0,0,0,0,0,0,0
"Eubacterium_coprostanoligenes",0,0,0,0,0,0,0,0
"Corynebacterium_resistens",0,0,0,0,0,0,0,0
"Corynebacterium_pyruviciproducens",0,0,0,0,0,0,0,0
"Veillonella_rogosae",0,0,0,0,0,0,0,0.00465
"Leptotrichia_wadei",0,0,0,0,0,0,0,0
"Morococcus_cerebrosus",0,0,0,0,0,0,0,0
"Veillonella_rodentium",0,0,0,0,0,0,0,0
"Veillonella_tobetsuensis",0,0,0,0,0,0,0,0
"Prevotella_colorans",0,0,0,0,0,0,0,0
"Prevotella_sp_S7_1_8",0,0,0,0,0,0,0,0
"Granulicatella_elegans",0,0,0,0,0,0,0,0
"Parvimonas_sp_KA00067",0,0,0,0,0,0,0,0
"Sneathia_amnii",0,0,0,0,0,0,0,0
"Leuconostoc_garlicum",0,0,0,0,0,0,0,0
"Cetobacterium_somerae",0,0,0,0,0,0,0,0
"Hungatella_effluvii",0,0,0,0,0,0,0,0
"Veillonella_sp_CAG_933",0,0,0,0,0,0,0,0
"Blautia_coccoides",0,0,0,0,0,0,0,0
"Clostridioides_difficile",0,0,0,0,0,0,0,0
"Corynebacterium_sp_HMSC08A12",0,0,0,0,0,0,0,0
"Corynebacterium_accolens",0,0,0,0,0,0,0,0
"Corynebacterium_jeikeium",0,0,0,0,0,0,0,0
"Campylobacter_coli",0,0,0,0,0,0,0,0
"Campylobacter_upsaliensis",0,0,0,0,0,0,0,0
"Lactobacillus_curvatus",0,0,0,0,0,0,0,0
"Leuconostoc_mesenteroides",0,0,0,0,0,0,0,0
"Rothia_dentocariosa",0,0,0,0,0,0,0,0
"Streptococcus_cristatus",0,0,0,0,0,0,0,0
"Actinobaculum_sp_oral_taxon_183",0,0,0,0,0,0,0,0
"Actinomyces_johnsonii",0,0,0,0,0,0,0,0
"Eubacterium_brachy",0,0,0,0,0,0,0,0
"Cardiobacterium_valvarum",0,0,0,0,0,0,0,0
"Lactobacillus_plantarum",0,0,0,0,0,0,0,0
"Leuconostoc_pseudomesenteroides",0,0,0,0,0,0,0,0
"Lactobacillus_otakiensis",0,0,0,0,0,0,0,0
"Lactococcus_petauri",0,0,0,0,0,0,0,0
"Aeriscardovia_aeriphila",0,0,0,0,0,0,0,0
"Enterococcus_pseudoavium",0,0,0,0,0,0,0,0
"Catabacter_hongkongensis",0,0,0,0,0,0.18349,0,0
"Bacteroides_sp_D2",0,0,0,0,0,0,0,0
"Clostridium_scindens",0,0,0,0.00175,0,0.00958,0,0
"Haemophilus_sputorum",0,0,0,0,0,0,0,0
"Bacteroides_faecichinchillae",0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An14",0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An138",0,0,0,0,0,0,0,0
"Actinomyces_naeslundii",0,0,0,0,0,0,0,0
"Enterococcus_italicus",0,0,0,0,0,0,0,0
"Denitrobacterium_detoxificans",0,0,0,0,0,0,0,0
"Olsenella_profusa",0,0,0,0,0,0,0,0
"Solobacterium_moorei",0,0,0.03076,0,0,1.26059,0,0
"Anaeromassilibacillus_sp_An172",0,0,0,0,0,0,0,0
"Saccharomyces_cerevisiae",0,0,0,0,0,0,0,0
"Terrisporobacter_othiniensis",0,0,0,0,0,0,0,0
"Lactobacillus_pontis",0,0,0,0,0,0,0,0
"Abiotrophia_sp_HMSC24B09",0,0,0,0,0.00437,0,0,0.00192
"Streptococcus_sp_M334",0,0,0,0,0,0,0,0
"Clostridium_aldenense",0.00259,0,0,0,0,0,0,0
"Clostridium_sp_7_2_43FAA",0,0,0,0,0,0,0,0
"Lactococcus_garvieae",0,0,0,0,0,0,0,0
"Propionibacterium_acidifaciens",0,0,0,0,0,0,0,0
"Blautia_producta",0,0,0,0,0,0,0,0
"Streptococcus_sp_NLAE_zl_C503",0,0,0,0,0,0,0,0
"Actinomyces_massiliensis",0,0,0,0,0,0,0,0
"Pseudopropionibacterium_propionicum",0,0,0,0,0,0,0,0
"Lactonifactor_longoviformis",0,0,0,0,0,0,0,0
"Rikenella_microfusus",0,0,0,0,0,0,0,0
"Clostridium_sp_D5",0,0,0,0,0,0,0,0
"Faecalicatena_orotica",0,0,0,0,0,0,0,0
"Anaerofustis_stercorihominis",0,0,0,0,0,0,0,0
"Clostridium_methylpentosum",0,0,0,0,0.00623,0,0,0
"Eubacteriaceae_bacterium_CHKCI005",0,0,0.02005,0.00245,0,0,0,0
"Fusobacterium_varium",0,0,0,0,0,0,0,0
"Pediococcus_acidilactici",0,0,0,0,0,0,0,0
"Olsenella_uli",0,0,0,0,0,0,0,0
"Citrobacter_braakii",0,0,0,0,3.94527,0,0,0
"Actinomyces_sp_oral_taxon_180",0,0,0,0,0,0.13121,0,0
"Streptococcus_sp_HPH0090",0,0,0,0,0,0,0,0
"Scardovia_wiggsiae",0.01916,0,0,0,0.0079,0,0,0.02219
"Mogibacterium_timidum",0,0,0,0,0,0,0,0
"Atopobium_deltae",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_411",0,0,0,0,0,0,0,0
"Sharpea_azabuensis",0,0,0,0,0,0,0,0
"Fusobacterium_equinum",0,0,0,0,0,0,0,0
"Fusobacterium_gonidiaformans",0,0,0.00445,0,0,0,0,0
"Bacteroides_sp_CAG_443",0,0,0,0,0,0,0,0
"Actinomyces_cardiffensis",0,0,0,0,0,0,0,0
"Peptostreptococcus_stomatis",0,0,0,0,0,0,0,0
"Eubacterium_limosum",0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_624",0,0,0,0,0,0,0,0
"Eubacterium_callanderi",0,0,0,0,0,0,0,0
"Butyribacterium_methylotrophicum",0,0,0,0,0,0,0,0
"Tetragenococcus_halophilus",0,0,0,0,0,0,0,0
"Weissella_viridescens",0,0,0,0,0,0,0,0
"Eubacterium_sp_An11",0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_424",0,0,0,0,0,0,0,0
"Corynebacterium_durum",0,0,0,0,0.00277,0,0,0
"Streptococcus_agalactiae",0,0,0,0,0,0,0,0
"Lactobacillus_antri",0,0,0,0,0,0,0,0
"Actinomyces_hongkongensis",0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_414",0,0,0,0,0,0,0,0
"Gemella_bergeri",0,0,0,0,0,0.06589,0,0
"Streptococcus_pseudopneumoniae",0,0,0,0,0,0,0,0
"Eubacterium_infirmum",0,0,0,0,0,0,0,0
"Staphylococcus_equorum",0,0,0,0,0,0,0,0
"Corynebacterium_casei",0,0,0,0,0,0,0,0
"Clostridiales_bacterium_1_7_47FAA",0,0,0,0,0,0.00802,0,0
"Desulfovibrio_sp_An276",0,0,0,0,0,0,0,0
"Streptococcus_downei",0,0,0,0,0,0,0,0
"Alcaligenes_aquatilis",0,0,0,0,0,0,0,0
"Stenotrophomonas_maltophilia",0,0,0,0,0,0,0,0
"Proteus_vulgaris",0,0,0,0,0,0,0,0
"Leuconostoc_suionicum",0,0,0,0,0,0,0,0
"Neisseria_subflava",0,0,0,0,0,0,0,0
"Odoribacter_laneus",0,0,0,0,0,0,0,0
"Lactobacillus_animalis",0,0,0,0,0,0,0,0
"Bifidobacterium_pseudolongum",0,0,0,0,0,0,0,0
"Faecalicoccus_pleomorphus",0,0,0,0,0,0,0,0
"Citrobacter_sp_MGH106",0,0,0,0,0,0,0,0
"Megasphaera_hexanoica",0,0,0,0,0,0,0,0
"Lachnoanaerobaculum_saburreum",0,0,0,0,0,0,0,0
"Bacillus_aerius",0,0,0,0,0,0,0,0
"Blautia_hansenii",0,0,0,0,0,0,0,0
"Lactobacillus_helveticus",0,0,0,0,0,0,0,0
"Raoultella_planticola",0,0,0,0,0,0,0,0
"Actinomyces_georgiae",0,0,0,0,0,0,0,0
"Oribacterium_parvum",0,0,0,0,0,0,0,0.00204
"Fusobacterium_periodonticum",0,0,0,0,0,0,0,0
"Peptostreptococcus_sp_MV1",0,0,0,0,0,0,0,0
"Parvimonas_sp_oral_taxon_393",0,0,0,0,0,0,0,0
"Abiotrophia_defectiva",0,0,0,0,0.00516,0,0,0.00221
"Prevotella_intermedia",0,0,0,0,0,0,0,0
"Stomatobaculum_longum",0,0,0,0,0,0,0,0
"Bifidobacterium_pullorum",0,0,0,0,0,0,0,0
"Bifidobacterium_saeculare",0,0,0,0,0,0,0,0
"Bifidobacterium_gallinarum",0,0,0,0,0,0,0,0
"Muribaculum_intestinale",0,0,0,0,0,0,0,0
"Streptococcus_parauberis",0,0,0,0,0,0,0,0
"Enterococcus_casseliflavus",0,0,0,0,0.32064,0,0,0
"Actinomyces_viscosus",0,0,0,0,0,0,0,0
"Enterococcus_devriesei",0,0,0,0,0,0,0,0
"Lactobacillus_sanfranciscensis",0,0,0,0,0,0,0,0
"Leuconostoc_lactis",0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC071D03",0,0,0,0,0,0,0,0
"Bulleidia_extructa",0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_oral_taxon_096",0,0,0,0,0,0,0,0
"Alcaligenes_faecalis",0,0,0,0,0,0,0,0
"Rhodococcus_qingshengii",0,0,0,0,0,0,0,0
"Anaerostipes_caccae",0,0,0,0,0,0,0,0
"Corynebacterium_argentoratense",0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_891",0,0,0,0,0,0,0,0
"Weissella_cibaria",0,0,0,0,0,0,0,0
"Leuconostoc_carnosum",0,0,0,0,0,0,0,0
"Staphylococcus_succinus",0,0,0,0,0,0,0,0
"Alistipes_sp_An31A",0,0,0,0,0,0,0,0
"Staphylococcus_sp_NAM3COL9",0,0,0,0,0,0,0,0
"Streptococcus_viridans",0,0,0,0,0,0,0,0
"Lachnoanaerobaculum_umeaense",0,0,0,0,0,0,0,0
"Cardiobacterium_hominis",0,0,0,0,0,0,0,0
"Mogibacterium_pumilum",0,0,0,0,0,0,0,0
"Campylobacter_gracilis",0,0,0,0,0,0,0,0
"Eubacterium_minutum",0,0,0,0,0,0,0,0
"Staphylococcus_carnosus",0,0,0,0,0,0,0,0
"Pediococcus_pentosaceus",0,0,0,0,0,0,0,0
"Blautia_sp_An249",0,0,0,0,0,0,0,0
"Erysipelothrix_larvae",0,0,0,0,0,0,0,0
"Scardovia_inopinata",0,0,0,0,0,0,0,0
"Eubacterium_saphenum",0,0,0,0,0,0,0,0
"Rhodococcus_erythropolis",0,0,0,0,0,0,0,0
"Lactobacillus_ultunensis",0,0,0,0,0,0,0,0
"Blautia_sp_N6H1_15",0,0,0,0,0,0,0,0
"Streptococcus_peroris",0,0,0,0,0,0,0,0
"Lachnospiraceae_bacterium_2_1_46FAA",0,0,0,0,0,0,0,0
"Enterococcus_dispar",0,0,0,0,0,0,0,0
"Lactobacillus_mindensis",0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An131",0,0,0,0,0,0,0,0
"Staphylococcus_saprophyticus",0,0,0,0,0,0,0,0
"Lactobacillus_brevis",0,0,0,0,0,0,0,0
"Lactobacillus_senmaizukei",0,0,0,0,0,0,0,0
"Fusobacterium_necrophorum",0,0,0,0,0,0,0,0
"Lactobacillus_reuteri",0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_579",0,0,0,0,0,0,0,0
"Lactobacillus_parabuchneri",0,0,0,0,0,0,0,0
"Candida_albicans",0,0,0,0,0,0,0,0
"Lactococcus_raffinolactis",0,0,0,0,0,0,0,0
"Actinomyces_sp_oral_taxon_170",0,0,0,0,0,0,0,0
"Porphyromonas_gingivalis",0,0,0,0,0,0,0,0
"Leptotrichia_sp_oral_taxon_215",0,0,0,0,0,0,0,0
"Eikenella_corrodens",0,0.00477,0,0,0,0,0,0
"Streptococcus_pneumoniae",0,0,0,0,0,0,0,0
"Gardnerella_vaginalis",0,0,0,0,0,0,0,0
"Subdoligranulum_variabile",0,0,0,0,0,0,0,0
"Prevotella_denticola",0,0,0,0,0,0,0,0
"Clostridium_sp_chh4_2",0,0,0,0,0,0,0,0
"Prevotella_nigrescens",0,0,0,0,0,0,0,0
"Slackia_exigua",0,0,0,0,0,0,0,0
"Selenomonas_sputigena",0,0,0,0,0,0,0,0
"Prevotella_oris",0,0,0,0,0,0,0,0
"Leptotrichia_sp_oral_taxon_212",0,0,0,0,0,0,0,0
"Murimonas_intestini",0,0,0,0,0,0,0,0
"Streptococcus_massiliensis",0,0,0,0,0,0,0,0
"Streptococcus_sp_HMSC070B10",0,0,0,0,0,0,0,0
"Leptotrichia_hofstadii",0,0,0,0,0,0,0,0
"Lactobacillus_kalixensis",0,0,0,0,0,0,0,0
"Lactobacillus_kefiri",0,0,0,0,0,0,0,0
"Carnobacterium_divergens",0,0,0,0,0,0,0,0
"Eubacterium_nodatum",0,0,0,0,0,0,0,0
"Pediococcus_sp",0,0,0,0,0,0,0,0
"Pediococcus_parvulus",0,0,0,0,0,0,0,0
"Lactobacillus_buchneri",0,0,0,0,0,0,0,0
"Actinomyces_radicidentis",0,0,0,0,0,0,0,0
"Raoultella_ornithinolytica",0,0,0,0,0,0,0.14003,0
"Chlamydia_ibidis",0,0,0,0,0,0,0,0
"Treponema_porcinum",0,0,0,0,0,0,0,0
"Prevotella_sp_P3_122",0,0,0,0,0,0,0,0
"Lactobacillus_versmoldensis",0,0,0,0,0,0,0,0
"Staphylococcus_warneri",0,0,0,0,0,0,0,0
"Actinomyces_meyeri",0,0,0,0,0,0,0,0
"Marvinbryantia_formatexigens",0,0,0,0,0,0,0,0
"Kluyvera_intestini",0,0,0,0,0,0,0,0
"Corynebacterium_variabile",0,0,0,0,0,0,0,0
"Kosakonia_sp_S29",0,0,0,0,0,0,0,0
"Veillonella_denticariosi",0,0,0,0,0,0,0,0
"Desulfovibrio_vulgaris",0,0,0,0,0,0,0,0
"Selenomonas_noxia",0,0,0,0,0,0,0,0
"Eggerthia_catenaformis",0,0,0,0,0,0,0,0
"Kingella_oralis",0,0,0,0,0,0,0,0
"Citrobacter_pasteurii",0,0,0,0,0.0105,0,0,0
"Fusobacterium_ulcerans",0,0,0,0,0,0,0,0
"Staphylococcus_xylosus",0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An169",0,0,0,0,0,0,0,0
"Campylobacter_concisus",0,0,0,0,0,0,0,0
"Brevibacterium_aurantiacum",0,0,0,0,0,0,0,0
"Brevibacterium_linens",0,0,0,0,0,0,0,0
"Lactobacillus_apis",0,0,0,0,0,0,0,0
"Anaerostipes_sp_494a",0,0,0,0,0,0,0,0
"Lactobacillus_kullabergensis",0,0,0,0,0,0,0,0
"Lactobacillus_kimbladii",0,0,0,0,0,0,0,0
"Parabacteroides_gordonii",0,0,0,0,0,0,0,0
"Escherichia_fergusonii",0,0,0,0,0,0,0,0
"Lactobacillus_panis",0,0,0,0,0,0,0,0
"Citrobacter_amalonaticus",0,0,0,0,0,0,0,0
"Aeromonas_media",0,0,0,0,0,0,0,0
"Proteus_mirabilis",0,0,0,0,0,1.66805,0,0
"Kluyvera_georgiana",0,0,0,0,0,0,0,0
"Enterobacter_bugandensis",0,0,0,0,0,0,0.0334,0
"Bacteroides_caecimuris",0,0,0,0,0,0,0,0
"Leclercia_adecarboxylata",0,0,0,0,0,0,0,0
"Kosakonia_pseudosacchari",0,0,0,0,0,0,0,0
"Lactobacillus_agilis",0,0,0,0,0,0,0,0
"Citrobacter_farmeri",0,0,0,0,0,0,0,0
"Providencia_rettgeri",0,0,0,0,0,0,0,0
"Porphyromonas_endodontalis",0,0,0,0,0,0,0,0
"Desulfovibrio_legallii",0,0,0,0,0,0,0,0
"Pluralibacter_gergoviae",0,0,0,0,0,0,0,0
"Prevotella_sp_oral_taxon_473",0,0,0,0,0,0,0,0
"Streptococcus_salivarius_CAG_79",0,0,0,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium_HUM_9",0,0,0,0,0,0,0,0
"Lactobacillus_acidipiscis",0,0,0,0,0,0,0,0
"Eubacterium_sp_CAG_786",0,0,0,0,0,0,0,0
"Pantoea_dispersa",0,0,0,0,0,0,0,0
"Prevotella_sp_F0091",0,0,0,0,0,0,0,0
"Prevotella_sp_oral_taxon_376",0,0,0,0,0,0,0,0
"Pseudoramibacter_alactolyticus",0,0,0,0,0,0,0,0
"Lactobacillus_helsingborgensis",0,0,0,0,0,0,0,0
"Leuconostoc_gelidum",0,0,0,0,0,0,0,0
"Lactococcus_piscium",0,0,0,0,0,0,0,0
"Candidatus_Stoquefichus_sp_KLE1796",0,0,0,0,0,0,0,0
"Clostridium_hiranonis",0,0,0,0,0,0,0,0
"Leuconostoc_citreum",0,0,0,0,0,0,0,0
"Gemmiger_sp_An50",0,0,0,0,0,0,0,0
"Gemmiger_sp_An87",0,0,0,0,0,0,0,0
"Salmonella_enterica",0,0,0,0,0,0,0,0
"Paeniclostridium_sordellii",0,0,0,0,0,0,0,0
"Kosakonia_cowanii",0,0,0,0,0,0,0,0
"Trueperella_bernardiae",0,0,0,0,0,0,0,0
"Anaerococcus_lactolyticus",0,0,0,0,0,0,0,0
"Campylobacter_showae",0,0,0,0,0,0,0,0
"Actinotignum_timonense",0,0,0,0,0,0,0,0
"Peptoniphilus_coxii",0,0,0,0,0,0.11762,0,0
"Sporanaerobacter_sp_PP17_6a",0,0,0,0,0,0,0,0
"Lactobacillus_fuchuensis",0,0,0,0,0,0,0,0
"Actinotignum_schaalii",0,0,0,0,0,0,0,0
"Veillonellaceae_bacterium_DNF00626",0,0,0,0,0,0,0,0
"Mageeibacillus_indolicus",0,0,0,0,0,0,0,0
"Weissella_koreensis",0,0,0,0,0,0,0,0
"Lactobacillus_paraplantarum",0,0,0,0,0,0,0,0
"Pantoea_agglomerans",0,0,0,0,0,0,0,0
"Pantoea_vagans",0,0,0,0,0,0,0,0
"Dysgonomonas_mossii",0,0,0,0,0,0,0,0
"Clostridium_cadaveris",0,0,0,0,0,0,0,0
"Anaerosporobacter_mobilis",0,0,0,0,0,0,0,0
"Robinsoniella_sp_RHS",0,0,0,0,0,0,0,0
"Atopobium_vaginae",0,0,0,0,0,0,0,0
"Cellulosilyticum_lentocellum",0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_678",0,0,0,0,0,0,0,0
"Lactobacillus_algidus",0,0,0,0,0,0,0,0
"Bacteroides_oleiciplenus",0,0,0,0,0,0,0,0
"Roseburia_sp_831b",0,0,0,0,0,0,0,0
"Escherichia_sp_ESNIH1",0,0,0,0,0,0,0,0
"Serratia_marcescens",0,0,0,0,0,0,0,0
"Pseudomonas_helleri",0,0,0,0,0,0,0,0
"Prevotella_sp_oral_taxon_299",0,0,0,0,0,0,0,0
"Neisseria_bacilliformis",0,0,0,0,0,0,0,0
"Serratia_fonticola",0,0,0,0,0,0,0,0
"Kluyvera_ascorbata",0,0,0,0,0,0,0,0
"Serratia_liquefaciens",0,0,0,0,0,0,0,0
"Enterobacter_soli",0,0,0,0,0,0,0,0
"Paenibacillus_macerans",0,0,0,0,0,0,0,0
"Ralstonia_pickettii",0,0,0,0,0,0,0,0
"Streptococcus_sp_SK643",0,0,0,0,0,0,0,0
"Coprobacter_sp",0,0,0,0,0,0,0,0
"Pseudomonas_fragi",0,0,0,0,0,0,0,0
"Atlantibacter_hermannii",0,0,0,0,0,0,0,0
"Enterococcus_sp_3H8_DIV0648",0,0,0,0,0,0,0,0
"Enterococcus_gilvus",0,0,0,0,0,0,0,0
"Prevotella_veroralis",0,0,0,0,0,0,0,0
"Shuttleworthia_satelles",0,0,0,0,0,0,0,0
"Prevotella_sp_oral_taxon_306",0,0,0,0,0,0,0,0
"Proteus_hauseri",0,0,0,0,0,0.0245,0,0
"Alloprevotella_rava",0,0,0,0,0,0,0,0
"Serratia_ureilytica",0,0,0,0,0,0,0,0
"Aggregatibacter_aphrophilus",0,0,0,0,0,0,0,0
"Oribacterium_asaccharolyticum",0,0,0,0,0,0,0,0
"Clostridium_baratii",0,0,0,0,0,0,0,0
"Neisseria_sp_oral_taxon_014",0,0,0,0,0,0,0,0
"Selenomonas_sp_oral_taxon_138",0,0,0,0,0,0,0,0
"Paenibacillus_lactis",0,0,0,0,0,0,0,0
"Lautropia_mirabilis",0,0,0,0,0,0,0,0
"Tannerella_sp_oral_taxon_HOT_286",0,0,0,0,0,0,0,0
"Providencia_alcalifaciens",0,0,0,0,0,0,0,0
"Haemophilus_paraphrohaemolyticus",0,0,0,0,0,0,0,0
"Parvimonas_sp_oral_taxon_110",0,0,0,0,0,0,0,0
"Barnesiella_sp_An22",0,0,0,0,0,0,0,0
"Bacteroides_sp_OM08_11",0,0,0,0,0,0,0,0
"Dorea_sp_D27",0,0,0,0,0,0,0,0
"Lachnoclostridium_sp_An181",0,0,0,0,0,0,0,0
"Pseudoflavonifractor_sp_An85",0,0,0,0,0,0,0,0
"Acinetobacter_lwoffii",0,0,0,0,0,0,0,0
"Micrococcus_lylae",0,0,0,0,0,0,0,0
"Pararheinheimera_mesophila",0,0,0,0,0,0,0,0
"Porphyromonas_somerae",0,0,0,0,0,0,0,0
"Bacteroides_stercorirosoris",0,0,0,0,0,0,0,0
"Moraxella_osloensis",0,0,0,0,0,0,0,0
"Enhydrobacter_aerosaccus",0,0,0,0,0,0,0,0
"Micrococcus_aloeverae",0,0,0,0,0,0,0,0
"Veillonella_seminalis",0,0,0,0,0,0,0,0
"Arthrospira_platensis",0,0,0,0,0,0,0,0
"Candidatus_Methanomassiliicoccus_intestinalis",0,0,0,0,0,0,0,0
"Prevotella_dentalis",0,0,0,0,0,0,0,0
"Aeromonas_hydrophila",0,0,0,0,0,0,0,0
"Aeromonas_dhakensis",0,0,0,0,0,0,0,0
"Actinomyces_urogenitalis",0,0,0,0,0,0,0,0
"Enterococcus_thailandicus",0,0,0,0,0,0,0,0
"Lactobacillus_vaccinostercus",0,0,0,0,0,0,0,0
"Klebsiella_variicola_CAG_634",0,0,0,0,0,0,0,0
"Prevotella_amnii",0,0,0,0,0,0,0,0
"Cronobacter_malonaticus",0,0,0,0,0,0,0,0
"Pseudomonas_guguanensis",0,0,0,0,0,0,0,0
"Lactobacillus_jensenii",0,0,0,0,0,0,0,0
"Aggregatibacter_sp_oral_taxon_458",0,0,0,0,0,0,0,0
"Anaerocolumna_aminovalerica",0,0,0,0,0,0,0,0
"Clostridium_sporogenes",0,0,0,0,0,0,0,0
"Clostridium_botulinum",0,0,0,0,0,0,0,0
"Bacteroidales_bacterium_KA00251",0,0,0,0,0,0,0,0
