"","train_4288","train_4289","train_4290","train_4291","train_4297","train_4298","train_4299","train_4300","train_4301","train_4302","train_4303","train_4304","train_4305","train_4341","train_4342","train_4343","train_4344","train_4345","train_4346","train_4347","train_4348","train_4349","train_4351","train_4354","train_4355","train_4356","train_4357","train_4358","train_4359","train_4360","train_4365","train_4366","train_4376","train_4391","train_4393","train_4394","train_4395","train_4396","train_4397"
"Parabacteroides_johnsonii",0,0,0,0.00387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03176
"Veillonella_dispar",0,0,0,0,0,0,0,0.0049,0,0,0,0,0.00537,0,0,0,0,0,0,0.00547,0,0,0,0,0.20775,0,0,0,0,0.00211,0,0,0.00311,0.06619,0.0016,0,0.00157,0,0.00313
"Veillonella_infantium",0,0,0,0,0,0.00066,0,0.00661,0,0,0,0,0.00147,0,0,0,0,0,0,0,0,0,0,0,0.10035,0,0,0,0.00199,0,0.01048,0,0,0.11342,0.00182,0,0,0,0
"Veillonella_atypica",0,0,0.02261,0,0.00538,0.16567,0,0.15162,0.00019,0.00495,0.0656,0,0,0,0,0,0.15139,0,0,0,0,0,0,0.01152,0.25376,0.00576,0.00283,0,0,0.00961,0.00627,0,0,0.18596,0,0,0,0,0.01313
"Bacteroides_finegoldii",0.29806,0,0.00021,0.04326,0.00945,5.9209,0.00975,0.00868,0.00989,0.00924,0.01535,0.00931,0.01311,0,0.01791,0.00371,0,0.03897,0,0.07175,0.96465,0.51713,1.3943,0.00078,0.09295,0,0.00326,0,0,0,0.19263,0.07323,0,4.27499,0.07842,0,0,0,0.37451
"Bifidobacterium_animalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0.6815,0.04622,0.32331,0.08788,0.04484,0,0.02208,0.00984,0,0.00016,0.01488,0,0,0,0.03588,0.00061,0.10153,0,0.01288,0.01391,2.08996,0.03439,0.04911,0.14427,0.07874,0.01109,19.11636,0.00825,0.00545,0.01024,0,0,0,0,0.00044,0.17555,0,0,0
"Bacteroides_intestinalis",0.01731,0,0.00283,0.10286,0.00221,0.00089,0.00144,1.48076,9e-04,0.00165,0.15037,0.26913,0.00369,0,0,0,0,0,0,0,0,0.00636,0.16254,2.92895,0.13011,0.81447,0.01581,0.00544,0.00563,0.00618,0,0,0,0,0.00893,0,0.01224,0,0
"Anaerostipes_hadrus",0.16525,0.32925,0.19051,0.117,0.05959,0.783,0.0984,0.07416,0.35803,0.00435,0.62179,0.05106,0.42611,0.02445,0.3709,0.36155,0.23278,0.75495,0.15936,0,0.02571,0.02135,0.06004,0.38607,0.27423,0.19371,0.42119,0.00541,0.15568,3.02336,0.00224,0.22848,1.07695,0.50879,0.00096,0.06997,0.13177,0.2617,0.03236
"Clostridium_perfringens",0,0,0.0047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Catenibacterium_mitsuokai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01582,0,0,0,0.00351,0,0.06688,0.00507,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_parasanguinis",0,0,0.08314,0,0.00281,0,0,0.05838,0.00064,0.00193,0.04267,0,0,0,0.00044,0.00958,0.00215,0.01641,0.00308,0.00265,0,0,0,0,0.02181,0,0,0,0,0.02994,0,0.00297,0,0.04324,0,0,0.00345,0,0.00112
"Butyricimonas_virosa",0.06045,0,0.05056,0.05231,0,0.01075,0.01976,0.01465,0,0,0.00813,0,0.00024,0,0.00328,0,0.19773,0,0.15066,0,0.3951,0.02965,0,0,0.09926,0,0.00431,0,0,0,0.13564,0,0,0,0.07818,0,0,0,0.00047
"Clostridium_sp_CAG_253",0,0,0,0,0,0,0,0.00357,0,0,0.39026,0,0,0,0,0,0,0,0,0,0,0,0.00227,0,0.08266,0,0,0,0,0,0,0,0,0,0.12221,0,0,0,0.03047
"Eubacterium_ventriosum",0.0218,0.14152,0.01834,0.00294,0.02054,0.52181,0.28949,0.00349,0,0,0.22923,0,0.00263,0.00019,0.11893,0.00074,0.00351,0.49299,0,0,0.0149,0.01177,0,0.29266,0.219,0,0.01033,0.00027,0.0037,0.24192,0,0.00915,0.02629,0,0.00065,0,0.01853,0.39311,0.06838
"Firmicutes_bacterium_CAG_238",0.00099,0,0.00692,0.09001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_finegoldii",4.25691,4.80948,0.03759,1.17473,0.33698,0.40069,0.24854,3.40448,0.00808,0.00784,1.66987,0.00606,0.00639,0.45859,1.16481,0.11154,0.08202,0.02391,0.13848,0.14111,0.32664,4.14755,0.08804,0.00307,0.33205,0,0.00076,0.01232,0,0.01473,0,0.03925,0,0,0.02429,4.67316,1.8493,0,0.30898
"Coprococcus_catus",0.04422,0.07916,0.01201,0.18747,0.18077,0,0.04031,0.12513,0.06319,0,0.07116,0.05525,0,0,0.25307,0.06658,0.10292,0,0.1548,0.00486,0.0656,0.03097,0.1604,0.19065,0.02607,0,0.19477,0,0.02421,0.02296,0.01046,0.04361,0,0.06753,0.00301,0.00889,0.004,0.03015,0.347
"Eubacterium_hallii",0.1489,0.13594,0.23049,0.16855,0.13065,0.0602,0.36492,0.70815,0.01705,0.0103,0.67198,0.04792,0.00406,0.02526,3.7153,0.29267,0.29745,3.63745,0.22962,0.00562,0.08069,0.0913,0.4821,0.09394,0.19747,0.1884,0.37088,0.00316,0.06278,0.2462,0.04767,0.13376,0.05896,0.61365,0,0.09695,0.00644,0.01314,0.04734
"Alistipes_putredinis",11.72518,0.73034,10.66457,5.92271,7.00897,0.05277,4.8467,9.31224,0.05509,0.07664,0.09722,1.58655,0.09499,0.03296,7.3535,0.21566,2.07211,0.0599,1.6388,1.08159,12.47001,23.83153,4.31883,3.43449,1.64248,0.02632,0.03123,0.08448,0.01587,0.01843,20.18901,3.57525,0.01392,0.03017,0.73547,12.72162,3.65698,0.03296,0.0317
"Bacteroides_fragilis",0.00118,0,0.08185,0.00798,1.32464,0,0.00745,0.00281,0.03142,0.14238,0.11898,0.4252,0,0.01816,0.00923,0.03108,0.00596,0.49457,0.01104,0.01017,0.07168,0,0,0.00057,0.00274,0,1.27036,0,0.00032,0.56475,0.10213,1.03785,0.02261,4.88008,0,0,0,0.30557,0
"Bacteroides_cellulosilyticus",0,0.07698,0.23586,0.01742,0.07636,0.06244,0.32551,0.00272,0.00371,0.00529,0.00055,0,0,0.06361,0,0,0.0045,0,0.00369,0.0064,0.01385,0.05691,0,0,0.17325,0,0,0,0,0,0.00378,0,0,0,0.00543,0.00388,0.00422,0,0.02301
"Veillonella_sp_T11011_6",0,0,0,0,0,0,0,0.0036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09698,0,0,0,0,0.00061,0,0,0,0.10201,0,0,0,0,0
"Eubacterium_ramulus",0.05979,0.00183,0.00943,0.03519,0.01068,0,0.01696,0.0256,0.02177,0,0.03686,0.01637,0,0,0.24155,0.06347,0.0413,0,0.03126,0,0.01094,0,0.00641,1.41833,0.06223,0.01227,0.04077,0,0.00748,0.04745,0.00857,0.00597,0.03945,0.23106,0.00135,0.00331,0.00673,0.06046,0.02861
"Holdemanella_biformis",0,0.15363,0.02317,0.30227,0,0,0,0,0,0,0,0,0,0,0,0,0.40581,0,0,0.02438,0.11518,0.36806,1.60378,0,0.02109,0,0.36639,0,0,0,0,0,0,0,0,0,0,0,0.00538
"Lawsonibacter_asaccharolyticus",0,0.02357,0,0,0,0,0,0,0,0,0.00742,0,0,0,0,0,0,0,0,0,0.00581,0.03404,0,0,0,0,0,0,0,0,0,0.00184,0,0,0,0.03534,0,0,0
"Akkermansia_muciniphila",0,0.25999,0.0772,0.79006,0.27612,0,0,0.01106,0,0,0.00861,0,0.35254,0.07136,1.14526,0.27994,0.05778,23.90276,0.10185,0,0,0.02075,0,22.02457,0.80316,0.04381,0.06206,0.02524,0.02381,0.02638,0.0033,0.01925,0,0,0.00628,4.30967,0.00898,0,0.00447
"Eubacterium_sp_CAG_180",0.00289,0.00363,8.58535,0.03823,0.85367,0.00999,0.01094,0.01005,0.00857,0.057,0.09666,0.01205,0.01511,0.01822,3.08467,0.07363,0.10512,0.0236,0.92062,0.014,0,0.00661,3.6745,0.01016,6.51789,0.0082,0.09695,0.01748,0.00602,0.02159,0,5.01168,0,0,0.00218,0.00616,0.04502,0,0
"Bacteroides_xylanisolvens",0,0.00639,0.01467,0.00813,0.00958,0.00875,0.23794,0.31838,0.001,0.0105,0.4547,1.03192,0.02273,0,0.00751,0.00995,0.07893,0.00334,0.01365,0.09045,0.18441,0.94907,1.20473,0.04823,0.1243,0.01062,0.13449,0.00095,0.0021,0.21238,0.03701,0.19718,3.27768,0.03919,0.06405,0.08553,0.12304,2.10974,0.22562
"Ruminococcus_bicirculans",2.78821,0.17321,0.00451,0.00556,0.00183,0,1.63344,0.01425,8e-04,0.00183,1.69555,0.09534,0.29406,0,0.35816,0.00092,0.06446,0.00417,0.00409,0.00029,0.16571,0,0.44749,0.31965,0.14938,0.05275,0,0,0,0,0,0,0.623,0,0.03707,0.75644,0,0,0
"Monoglobus_pectinilyticus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281,0.04238,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacillus_cateniformis",0.10287,0,0,0,0,0,0,0,0,0.01063,0,0,0,0,0,0,0,0.00039,0,0,0,0,0.03991,0,0,0,0,0,0,0,0,0,0,0,0,0.05763,0,0,0
"Alistipes_shahii",0.8386,0,0.86902,1.1428,0.87,0.03611,0.91946,0.06331,0.00274,0.00356,0.78081,0.04181,0.00567,0.00472,0.03616,0.05146,0.02257,0.00203,0.07107,0.19939,0.08263,1.06292,0.20557,0.02199,0.14177,0,0.27989,0,0,0.00319,0.7348,0,0,0.00018,0.13066,0.00075,0.00463,0.00187,0.00236
"Bifidobacterium_bifidum",0,0,1.13149,1.25686,1.03941,0.00275,0.18753,0.6137,0.00313,1.34856,0.00036,0,0.00021,0.12475,3.31586,0.08709,0.07586,0.02005,1.43982,0.00023,0.55915,0.18787,0,0.00119,0.07452,6e-04,0,0.00053,0.2758,1.08682,0.61892,0.62951,0,0.00044,0,0,0,0,0
"Candidatus_Gastranaerophilales_bacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Asaccharobacter_celatus",0.07686,0.00309,0.0046,0.04592,0.00247,0,0.00026,0.07139,0,0,0.02236,0.00663,0,0,0.18473,0,0.07635,0,0.01047,0.0015,0.0235,0.00968,0.00109,0.00401,0,0.00549,0,0,0,0,0.01311,0,0,0,0,0,0.00223,0,0
"Eisenbergiella_tayi",0.00156,0,0,0,0,0,0,0,0,0,0.00847,0,0,0,0.0028,0,0,0.61128,0,0,0,0.00183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645,0,0,0
"Adlercreutzia_equolifaciens",0.23772,0.02007,0.01797,0.14442,0.01497,0,0.00278,0.2532,0,0,0.08179,0.02233,0,0,0.67499,0,0.23767,0.00011,0.0518,0.01309,0.08282,0.03125,0.01185,0.01373,0.00094,0.02154,0,0,0.00123,0,0.04883,0,0,0,0,0,0.01194,0,0
"Alistipes_onderdonkii",0,0.01497,0,0.0367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcaceae_bacterium_D5",0,0,0.00479,0.00256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00148,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hungatella_hathewayi",0.01679,0,0.00187,0,0,0.00354,0,0,0,0,0.00552,0.00015,0.06021,0.10237,0,0,0,0.09093,0,0,0,0.00895,0.01671,0.0194,0,0.11751,0,0,0,0,0,0.00011,0,0,0,0.02118,0,0,0
"Bilophila_wadsworthia",0.19253,0,0.19967,0.02205,0.04387,0.05825,0.06537,0.00442,0,0.00317,0.09836,0,0,0,0.02559,0.0017,0,9e-04,0.11951,0,0.04275,0.05066,0,0.02385,0.0317,0,0.03638,0,0,0.00093,0.49699,0.02082,0.02164,0,0,0.25693,0.3349,0.8543,0.0176
"Holdemania_filiformis",0.0291,0.00529,0,0.01312,0.0027,0,0,0.0055,0,0,0.01166,0,0.0824,0,0,0,0,0,0,0,0.00201,0,0.00543,0,0,0,0,0,0,0,0.00564,0,0,0,0.00272,0,0,0,0
"Intestinimonas_butyriciproducens",0.00922,0,0.08863,0.00223,0,0,0.00014,0.00163,0,0,0.01287,0,0,0.00426,0,0,0,0,0,0.00192,0,0.01638,0,0,0.00206,0,0,0,0,0,0.08458,0.01664,0,0,0,0.05856,0,0,0.00423
"Gordonibacter_pamelaeae",0.02605,0.00057,0.0128,0.01281,0.00791,0,0.00256,0.01646,0,0.00199,0.02263,0,0.00356,0.00841,0.11193,0,0.00874,0.00672,0,0.00189,0,0.01613,0.00794,0,0,0.00046,0,0,0,0,0.0034,0.00174,0.00567,0.00089,0,0.03247,0,0.0665,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0,0,0.00387,0.00259,0.00045,0,0,0.00191,0,0.00609,0,0,0,0,0.00656,0,0.00126,0.00043,0.00722,0,0.00142,0,0.00199,0,0,0,0.00118,0,0,0,0,0.00105,0,0,0,0,0.00083,0,0
"Eubacterium_sp_CAG_274",0.01743,0.02405,0,0.00087,0,0.06769,0.07624,0,0.02834,0,0.8868,0,0,0.10807,0.32461,0.00894,0.01943,1.21128,0.00228,0,0,0,0,0.00589,0.13278,0.39385,0.00833,0.00307,0.00348,2.28076,0,0.01121,0.1325,0.87588,0,0.00643,0,0.06088,0.0527
"Anaeromassilibacillus_sp_An250",0.00048,0.01102,0,0.02413,0,0,0,0,0,0,0.02649,0,0,0,0.00434,0,0,0,0,0,0,0.0014,0.0015,0,0,0,0,0,0,0,0,0.0201,0,0,0,0,0,0,0
"Flavonifractor_sp_An100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0.00019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerotruncus_colihominis",0.01649,0.0023,0,0,0.00097,0.01233,0.00089,0.00086,0,0,0.0447,0,0.18993,0,0.0044,0,0.00472,0,0.12278,0.00107,0,1.50794,0.00098,0.02553,0.00176,0,0,0,0,0,0.00859,0.007,0.001,0,0,0.22731,0.03491,0,0
"Roseburia_sp_CAG_471",0.04701,0.00116,0.00689,0.0022,0.01324,0,0,0,0,0,0.00014,0,0,0,0,0,0.00469,0,0,0,0,0,0,0,0.00037,0,0.00867,0,0.00071,0,0,0,0,0,0,0,0,0,0.00898
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00036,0,0,0,0,0
"Collinsella_intestinalis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0029,0,0,0,0,0.06858,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131,0,0,0
"Harryflintia_acetispora",0,0,0,0.00317,0,0,0,0,0,0,0.00025,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium_rimae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0,0,0,0,0,0,0,0,0,0,0.00964,0,0.05268,0.01176,0.00094,0,0,0,0,0,0,0,0,0.00852,0,0.04291,0,0,0,0,0,0,0.00577,0,0,0.00679,0,0.012,0
"Enterorhabdus_caecimuris",0.00107,0,0,0,0,0,0,0.00012,0,0,0,0,0,0,0.00154,0,0.00026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0,0.05426,1.39222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00522,0,0.0381,0.05739,0.04162,0,0.12897,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_adolescentis",0.03851,0.02647,2.17099,2.04972,27.78111,2.74145,1.84098,2.14865,0.04754,0.06653,0.00844,0.00889,0.00825,0.03152,0.06724,0.17091,3.06076,0.03033,1.70318,0.18411,0.10703,0,0,0.32805,0.87083,16.68396,12.76828,0.20477,0.36996,0.03329,0,0.00032,0,0.46768,0,0.00069,0.31081,0,0
"Lactobacillus_salivarius",0,0,0,0.03995,0.0189,0.01277,0.01638,10.03562,0.01247,0.11787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97743,0,0,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0,0,0.45844,0.28714,0,0,0,0,0,0,0,0.00131,0,0,0,0,0,0.01434,0,0,0,0,0.32283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coprobacter_fastidiosus",0,0.2474,0.01409,0.05049,0.00223,0.0019,0.45471,0.95996,0.00077,0.00119,0,0,0,0,0.00641,0,0.09153,0,0.01891,0,0.13311,0.12483,0,0.00168,0.123,0,1.73643,0.00031,0,0,0,0,0,0,0.01636,0,0,0,0
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0.03562,0,0,0,0.00393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297,0.2285,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",0.81983,1.34767,1.68803,0.37063,1.59203,0.77274,0.08087,1.14881,0.31525,1.25904,2.94659,0.38307,1.1983,0.18485,1.88993,1.4999,0.42778,12.23255,1.7735,0.03731,0.19066,0.59195,1.55311,1.44748,0.96429,0.01218,0.01697,0.0745,0.26665,3.50583,0.4345,0.51481,0.36459,0.29853,0.0033,0.55654,0.69706,2.61017,0.03886
"Lactobacillus_paragasseri",0,0,0,0,0,0,0,0.38155,0,0.03063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0093,0,0,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0,0,0,0,0.04096,0,0.00836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0.00351,0,0,0,0,0,0,0,0,0,0,0,0,0.00035,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0.00465,0,0,0,0.00028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157,0,0,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0.00075,0,0.00261,0.07427,0.00042,1.57172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00602,0,0,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0.31936,0,0.01129,0,0.33719,0,0,0,0,0,0.01152,0.01387,0.0621,0.00914,0.01067,0,0.07526,0,0,0,0,0,0,0,0.00218,0,0,0,0.03487,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0.00546,0.01333,0.0038,0.08339,0.00523,0.00162,0.0034,0.00141,0.00693,0.01191,0.01813,0.00383,0,0,0.01321,0.00195,0,0,0,0,0,0,0,0,0.00231,0,0.00444,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0.00292,0,0,0,0.25441,0,0.01922,0.00078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0,0,0,0,0,0.33005,0.00287,0,0.13494,0,0,0,0,0.00485,0.01914,0,0,0,0,0,0,0,0.00576,0,0,0,0,0,0.00724,0,0,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacteroides_salyersiae",0.05543,0,0,0,0.00305,0.16018,0.00098,0.00167,0.0013,0.00129,0.19593,0.00553,0.00809,0,0,0.00042,2e-04,0,0,0,0.18182,0,0,0,0,0,0,0,0,0,0.07705,0,0,0.0058,0.22426,0,0.03915,0,0.0297
"Barnesiella_intestinihominis",1.823,0,0.19276,0.15461,1.21972,0.00823,2.20783,1.27407,0.00627,0.01797,0.84748,0.00619,0.00931,0,1.19524,0.02487,0.40443,0.00274,0.74754,0.025,0.55172,2.76554,2.78158,0.10118,0.42595,0,0.01621,0.01077,0,0,3.58543,0,0,0,0.63993,0.00144,0.04253,0.01102,0.00102
"Bacteroides_eggerthii",0.05992,0,0.00451,0.43069,5.69943,0.02861,16.99798,0.03741,0.03048,0.03256,1.1619,0.00478,0.00558,0,0.00336,0,0.03768,0,0.01719,0.00878,0.35136,0,0,0,0,0,1.4019,0,0,0,0,0,0.00137,0.02323,0,0,0,0,0
"Clostridium_sp_CAG_590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03205,0,0,0,0,0,0,0,0,0,0.06346,0,0,0,0,0,0,0,0,0,0.25491,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Parasutterella_excrementihominis",0.46575,0,0.0387,0.01158,0.30744,0.14654,0.22257,0.12426,0.11005,0.06734,0.05905,0.07707,0.00354,0.03477,0.02427,0.04605,0.56887,0.00779,0.03036,0.00263,0.10865,0.03613,0.82208,0.51582,0.03834,0.02846,0.05291,0.03725,0.1086,0.5564,0.04731,0.40111,0,1.92707,0.04525,0.18083,3.42987,0.0037,0.1448
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023,0,0,0,0,0,0.0407,0,0,0,0,0,0,0,0,0,0,0,0.00016,0,0,0,0
"Firmicutes_bacterium_CAG_95",0,0.00505,0.04106,0,0.01152,0,0,0.54687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02226,0.33912,0,0.03556,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes_indistinctus",0.37458,0.00337,0,0.01556,0.07164,0,0.00271,0.89892,0.00026,0,0,0,0,0,0.2099,0.01335,0,0,0.19735,0.41061,0.04136,0.24231,0.50999,0,0,0,0,0,0,0,1.04831,0,0,0,0.00107,0.04491,0.00087,0,0
"Butyricimonas_synergistica",0.18707,0,0.06658,0.02318,0,0.16222,0.16369,0.1345,0,0,0.0687,0,0,0,0.01158,0,0,0,0.0638,0,0,0,0,0,0.00218,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_sp_CAG_167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_vestibularis",0,0,0,0,0.00807,0,0,0,0,0,0.01207,0,0,0,0.00528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00616,0.14596,0,0.00847,0,0,0,0,0,0
"Coprobacter_secundus",0,0,0,0,0,0,0.09348,0,0,0,0,0,0,0.00738,0.00142,0,0,0,0,0,0.07163,0,0,0,0.00057,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gemella_sanguinis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00107,0,0,0.01097,0,0,0,0,0,0,0,0,0,0,0,0,0.01316,0,0,0,0,0,0.00228,0,0
"Clostridium_leptum",0.00537,0,0.00076,0.00395,0.02328,0,0.0011,0.98193,0,0.00056,0.24246,0,0.0465,0,0,0,0,0,0,0,0.00217,0,0,0,0.00152,0,0.00798,0,0,0,0,0.00042,0,0,0,0.00734,0,0,0
"Oscillibacter_sp_PC13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Proteobacteria_bacterium_CAG_139",3.86288,0.00108,0.00501,0.00452,1.24978,1.36464,0.53733,0.10265,0.01639,0.01159,1.28121,1.91372,0.01076,0.63308,0.01196,0.37119,0.28986,0.04816,0.00306,0.00337,0.00192,5e-04,0.12557,0.27356,0.00602,0.00942,0.01088,0.00806,0.63145,2.02494,0.00369,1.74784,0,0.05939,0.00279,1.49574,0.16308,0,0.03442
"Clostridium_citroniae",0.00443,0.0115,0.01733,0,0,0.00174,0,0.00143,0,0,0.00877,0,0.01737,0.00768,0.00627,0,0,0,0,0,0,0,0.00364,0.01197,0.0068,0.03186,0,0,0,0,0.00277,0.00323,0.0065,0,0,0,0.00394,0,0
"Pseudoflavonifractor_capillosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Olsenella_scatoligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2962,0,0,0,0,0,0,0.00181,0,0.01618,0,0,0,0,0,0,0,0,0,0
"Bacteroides_faecis",0.00269,0,0.70505,0.00371,0.00193,0.00213,0,0.12336,0,0,0,0,0.00199,0.00204,0,0.01288,0,0.07951,0,0,0,0,0,0,0,0,0,0,0,0,2.22919,0,0,0,0,0,0,0,0
