"","train_1189","train_1248","train_1296","train_1363","train_1379","train_1380","train_1383","train_1384","train_1390","train_1395","train_1399","train_1404","train_1407","train_1414","train_1418","train_1419","train_1422","train_1429","train_1438","train_1440","train_1442","train_1445","train_1447","train_1460","train_1689","train_1702","train_1709","train_1713","train_1716","train_1750","train_1763","train_1791","train_1802","train_1826","train_1831","train_1835","train_1848","train_1850","train_1856","train_1900","train_1903","train_1912"
"Agathobaculum_butyriciproducens",0,0.88174,0.66832,0.30949,0.04884,0.4791,0.22564,0.31571,0.16505,0.19825,0.31852,0.67547,0.00724,0.19624,0.06579,0.015,0,0.3718,0.04824,0,0.00584,0.08597,0.69469,0,0.50151,0.20615,0.12324,0.18274,0.19733,0.24539,0.13477,0.06733,0,0.31197,0.04006,0.06126,0.05405,0.05457,0.04312,0.04993,0.30903,0.04672
"Bacteroides_massiliensis",0,1.15662,0,0.0316,0.81631,3.86166,0,5.76545,0,0,0.83035,6.21982,0,0,0,0.00566,0,0.89909,0,0,0,0.01749,1.27412,0,0,0,0,0,0.01491,0.40254,1.74792,0,0.75455,0,0.02443,0.08082,0,0,0.07136,0,0,0.69348
"Parabacteroides_johnsonii",0.27817,0.92197,0,0,0,0,0,0.00203,0,0,0,1.18637,0,0,0,0.75179,0,0,0.00467,0,0,0,0,0,0,0.56788,0,0,0,0,0.67423,0,0,0.00106,0,0,0,0,0.02133,0.58953,0,0
"Veillonella_dispar",0,0,0.70023,0,0.00896,0.01141,0,0,0,0,0.0637,0,0,0,0.04804,0,0,0.05238,0.08626,0.00493,0,0.01904,0.01326,0,0,0,0,0.00942,0.14006,0,0.01343,0,0,0,0,0,0,0.02111,0,0,0,0
"Veillonella_infantium",0,0,0.22379,0,0,0.00513,0,0,0,0,0.01828,0,0,0,0.02955,0,0.00488,0.03888,0.02772,0,0,0,0,0.00647,0,0,0,0,0.04447,0,0.00095,0,0,0,0,0,0,0,0,0,0,0
"Veillonella_atypica",0,0,0.94343,0,0,0.00287,0.0237,0,0,0,0.08113,0.04529,0,0,0.10917,0,0.01373,0.02962,0.13836,0.0061,0,0.10355,0.10008,0.09418,0,0,0,1.01616,0.09958,0,0.01491,0.17895,0,0,0,0.00182,0,0,0,0,0,0
"Bacteroides_finegoldii",0,0.09867,0,0,0.10199,0,0,0,0.01502,0,0,0,0,0,0,0.05489,0,0.0422,0.13017,0,0,0,0,0,0.34367,0.58677,0,0,0,0.03499,0.01332,0,0.53408,0,0,0,0,0,0,0.32683,0,0
"Bifidobacterium_animalis",0,0,0,0,0,0.01478,0,0,0,0,0,0,0,0,0,0,0,0.13821,0,0,0,0,0,0,0,0,0.11238,0.11347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Oscillibacter_sp_CAG_241",0,1.23528,0,0.24933,0,0.00297,0,1.25518,1.29294,0.00098,1.55622,0,0.02846,0,0,0.1833,0.10514,0.13447,0,0,0,0.38454,1.58322,0,0.42325,0,0.10273,0.00473,0.00076,0.17555,0.20125,0.39541,0,0.00276,0,0.53685,0.09892,0.04531,0.07296,0.21172,1.43009,0
"Bacteroides_intestinalis",0,0,0,0.4583,0,0,0,0,0,0,4.38512,0,0,0,0,0.05212,0,0,2.01713,0,0,0,0,0,0,0,0,0,0,0,0.03883,0,0,0,0,0,0,0,0,0,0,0
"Anaerostipes_hadrus",0,0.06128,0.53392,0.0206,0.06199,0.01028,0.20882,0.59435,6e-04,0,0.1031,1.13451,0.11489,0.0649,0.08603,0.08358,0,0.18888,0,0,0.03382,0.09001,0.27279,0.11565,0.2427,0.0993,0.18122,0.23455,0.4545,0.18634,0,0.27555,0.03699,0.31859,0.1724,0.62434,0.02312,0.66985,0.05329,0.20869,0.10891,0.50462
"Clostridium_perfringens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00835,0,0,0,0,0,0,0,0,0,0.27351,0.00483,0,0,0,0,0,0,0,0.19869,0,0
"Catenibacterium_mitsuokai",0,0.46925,0,0,0,0,0,0,0.48661,0,0.68625,0,0,0,0.56062,0,0.15853,0.28748,0,0,0.02799,0.08698,0,0,0,0,0,0,0,1.07019,0.02619,0,0,0,0,0.01628,0,0,0,0,2.01132,0
"Streptococcus_parasanguinis",0.01684,0,0.95597,0.00955,0.0201,0.03068,0.01203,0.0169,0,0.12637,0.04751,0.0984,0.00902,0.02194,0.21371,0.02502,0.01477,0.16886,2.80293,0.10694,0,3.13536,0.40745,0.16695,0.01876,0,0,0.00187,0.02396,0,0.10824,0.11218,0,0,0,0.19736,0,0.01199,0,0,0.03248,0
"Butyricimonas_virosa",0,0.15329,0,0.15167,0.16433,0.0546,0.02298,0.06238,0.01739,0.04704,0.03077,0.13987,0.0205,0.02665,0.08156,0.14421,0,0.76758,0,0,0,0.47572,0.03929,0,0.03515,0,0.02408,0.01796,0,0.07012,0.06372,0.12377,0.15167,0.05238,0,0.00541,0.25102,0.4623,0.08585,0.0373,0.34301,0.11448
"Clostridium_sp_CAG_253",0,0,0,0.03248,0,0.00199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01406,0,0.26208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00344,0.05544,0,0
"Eubacterium_ventriosum",0,0.00265,0,0.15071,0.138,0.02109,0.20133,0,0,0,0.11681,0.69175,0,0.01476,0,0.23043,0.00691,0,0,0,0,0,0.09302,0,0,0,0,0.06108,0.17734,0.01873,0.17507,0.11615,0.00237,0,0,0,0,0.00183,0,0,0.101,0.07268
"Firmicutes_bacterium_CAG_238",0,0.36188,0,0,0,0,0,0,0.00236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03402,0.97305,0,0,0,0,0.10194,0.10338,0,0,1.00993,1.27462,0
"Alistipes_finegoldii",0,0.20514,0.21744,1.27897,0.04327,0.09006,2.16615,0,0,0.03124,0.34477,0.01683,2.38612,1.61546,0.85087,4.70095,0,0.06177,0,19.56628,0,0.15142,0.69382,0,0.29899,0.2811,0.04456,2.37551,3.69115,0.08868,0.05642,0.70055,0.22553,0.00328,0,0.3673,0.38031,0.13065,0.05695,0.66151,0,0.17234
"Coprococcus_catus",0,0.10771,0,0.17266,0.01142,0,0.12115,0,0.10374,0,0.14741,0.15442,0.34687,0.0745,0.08615,0.06227,0.0283,0.04838,0,0,0.01501,0.40727,0.15005,0,0.12553,0.13166,0.12658,0.07435,0.18476,0.13084,0.13315,0.22602,0.07234,0.09715,0.02401,0.0414,0.02929,0.05214,0.05412,0.1329,0.1492,0.02151
"Eubacterium_hallii",0,0.08977,0.33217,0.01963,0.02694,0.28022,0.12442,0.36108,0.15434,0.00715,0.15347,0.45281,0.34588,0.03417,0.06173,0.10716,0.03846,0.07539,0,0.76874,0,0.15242,0.22549,0.01423,0.21198,0.2182,0.07325,0.36181,0.35717,0.44644,0.0674,0.0791,0.05441,0.18005,0.0208,0.27139,0.05202,0.16077,0.09495,0.02923,0.08048,0.24111
"Alistipes_putredinis",0,0.07265,0.11054,6.99007,2.98337,6.77546,5.89045,8.87623,0.12187,11.84321,12.96364,9.31241,0.42084,4.36341,10.36931,13.97203,0,3.8116,5.07601,11.42319,0,0.44448,7.885,0,2.83569,14.96971,6.47611,11.68696,0.04382,5.24098,0.02243,6.93377,0.94732,0,0.01473,3.9241,4.61853,2.94689,3.74932,4.3391,1.91682,4.27954
"Bacteroides_fragilis",3.47801,0,0,1.26871,0.06612,0.31734,0.22001,0.22846,0,0,1.06801,0.25312,0.02015,0.11675,1.74763,0.46906,0,0,0,0.05232,0,0.06567,0,0,0.08251,0.30014,0,0.61782,0.7129,0,0.01107,0.61197,0,0,0,0,0.09053,0,0.06654,6.4737,0,0
"Bacteroides_cellulosilyticus",0,0.73305,0,0,0.005,0.65878,0.74157,0.36553,0.00088,0.03573,0.03623,0.76168,0,0,0.35727,0.3741,0,0.08649,0,3.61326,0,0.08027,0,0,0.4765,0,1.9316,2.77015,0,0,0.1193,0.12138,0,0,0,1.62916,0.1263,0,0.15036,8.42993,0,0
"Veillonella_sp_T11011_6",0,0,0.04421,0,0,0,0,0,0,0,0,0,0,0,0.13126,0,0.02343,0,0.02535,0,0,0.00523,0,0.00222,0,0,0,0,0.00345,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eubacterium_ramulus",0,0.16851,0.00311,0,0,0,0.02504,0.12404,0.05224,0,0.14223,0.26104,0.00093,0.01643,0.02964,0.03127,0.00153,0.0824,0.17057,0,0.01561,0.19435,0.0697,0,0.0858,0.04407,0,0.06518,0,0.10156,0,0.0046,0.20911,0.12243,0,0,0,0,0.01111,0.00655,0.13696,0.02876
"Holdemanella_biformis",0,0.47235,0,1.49573,0,0,0.10745,0,0.17984,0,0.03364,0.15534,0.48754,0,0.17748,1.39626,0.13821,0.54438,0.03836,0,0.45307,0.21785,0,0,0,0,0.11059,0,0.55336,0.52279,0.31249,0.68601,0,0,0,0,0.20271,0.01994,0.26462,0.07267,0.59009,0
"Lawsonibacter_asaccharolyticus",0.08493,0.00814,0.21448,0.37725,0.12903,0.11201,0.00251,0.02842,0.0703,0.24362,0.01806,0.05275,0.01339,0.41031,0.07178,0.00147,0,0.01822,0,0.16211,0,0.26899,0.10692,0.04615,0.12843,0.02707,0.17225,0.05796,0.23562,0.09052,0.05122,0.04261,0.18514,0.07901,0.01503,0.06477,0.0313,0.02272,0.03211,1.04703,0.05933,0.03074
"Akkermansia_muciniphila",0,0.12347,0,0.90755,0,0.06689,0,0,0,0,0,0,0,0.00824,0,0.03203,0,0,4.46922,0,0,0.09822,0,0,1.91842,10.17668,2.8333,1.47265,0.0042,16.36297,3.94636,0.03279,7.26861,0.1154,0.00515,5.32228,0.21894,0,0.36616,0.95148,3.28395,1.74948
"Eubacterium_sp_CAG_180",0,0.81973,0,0,0.84519,0,1.69426,8.01621,11.06616,0,0,0.05453,3.59749,1.46583,0.09031,7.21354,0.05877,0,0,0,1.18856,0,4.87236,0,2.09865,0,0,0,10.06327,2.74822,0.00583,0,0,4.01993,0,0,1.66031,1.06583,4.47341,3.29955,0,0
"Bacteroides_xylanisolvens",0,0.00238,0.66417,0.00683,0.33142,0.14041,3.15313,0.11971,0.16735,0.95692,0.00797,1.41549,0,0,2.95734,0.02821,0,0.60359,0,0,0.06126,0.47839,0,0,0.04488,0.77815,0,0,1.89411,0.15573,0.01031,1.32295,0.04702,0,0.02972,0.05132,0.06897,0.08776,0.15191,0.18972,0.02719,0.18462
"Ruminococcus_bicirculans",0,0,0,1.633,0.31062,2.40152,4.60229,0.42854,0,0.17251,1.38377,0,0.76892,1.55337,0.33435,0,0.44776,0.18364,0,0,0.0106,0,0.2983,0,9.38032,0,0,0,0.29488,0.33576,0.02039,0.09563,0,5.58753,0,0.93048,2.12916,2.67268,0,0.01683,0.00683,0
"Monoglobus_pectinilyticus",0,0,0,0.08342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461,0,0,0,0,0,0,0,0,0,0,0,0.02492,0,0.0292
"Coprobacillus_cateniformis",0,0,0,0.14131,0,0,0,0,0,0,0.16765,0,0,0,0,0.13148,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15091,0,0,0,0,0,0,0.02966,0,0,0,0,0
"Alistipes_shahii",0,0.18478,0,1.24831,0.04881,0.66029,0.01055,0.14861,0.01358,0.0534,1.76762,0.36721,1.05356,0.16182,0.35005,0.00193,0,1.88479,0.03759,0,0.00142,0.56569,0.30065,0,0.04589,0.58663,0.11654,0.03325,0.14576,0.31129,0.06855,0,0.08842,1.223,0.0199,0.57105,0.00832,0.05309,0.02399,0.60368,0.01697,0.16003
"Bifidobacterium_bifidum",2.89586,0,0,0.159,0,0,0,1.35074,0,0,0,0,4.97131,0.21167,0.64218,2.84276,0,0,0,0,0,0,0.45891,0,0,0,0.98777,0,0,0.08429,0,0,0,0,0.09191,0.05383,0,0,0,0.1239,0,0.52467
"Candidatus_Gastranaerophilales_bacterium",0,0.10256,0,0.01135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03477,0.00768,0,0,0.0219,0,0,0,0,0,0,0.10315,0,0
"Asaccharobacter_celatus",0,0.05915,0,0.07868,0.00029,0.07826,0.05022,0.08723,0,0,0.13669,0.22923,0.0162,0.00327,0.03082,0,0,0,0,0,0,0,0,0,0.06437,0,0.0122,0.0403,0.17284,0,0,0.01705,0.01512,0.24393,0.00175,0.0063,0,0,0.00215,0.03517,0,0.02697
"Eisenbergiella_tayi",0.01977,0.073,0,0.58644,0,0.01543,0,0.02616,0,0,0.20881,0,1.45768,0,0,0.09796,0,0.00207,0.02393,0,0,0,0.00131,0.04499,0.01193,0,0.00402,0,0.00126,0,0.00755,0.00203,0,0.02516,0,0,0,0,0,0,0,0.04219
"Adlercreutzia_equolifaciens",0,0.01804,0,0.03047,0,0.01417,0.01086,0.05852,0,0,0.04172,0.14795,0.00602,0.00176,0.01205,0,0,0,0,0,0,0,0,0,0.01689,0,0.00419,0.01987,0.0714,0,0,0.00398,0.00051,0.09989,0,0,0,0,0,0.01949,0,0.03039
"Alistipes_onderdonkii",0,0.02556,0.00349,0.00525,0,0,0,0,0,0.07417,0,0,0,0,0,0.00537,0,0,0,0,0,0,0,0,0,0.1854,0,0,0.06914,0,0,0,0.17185,0,0,0.10197,0,0,0,0,0,0.06755
"Ruminococcaceae_bacterium_D5",0,0.09067,0,0.01446,0,0.00629,0,0,0,0,0.00746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01044,0.00651,0,0,0,0,0.01109,0.01799,0,0,0.02965,0,0
"Hungatella_hathewayi",0.34213,0.07846,0,0.02724,0.00079,0,0,0,0,0,0.22886,0,0.06102,0,0,0.58744,0,0,0,0.28349,0,0.00321,0,0,0,0,0.02228,0,0,0,0,0,0,0,0,0,0.00422,0,0,0,0,0
"Bilophila_wadsworthia",0.15218,0.20294,0.19108,0.08725,0,0.0554,0.00316,0.1612,0,0.17596,0.05223,0.06013,0,0.02471,0.02419,0.04529,0,0.00574,0.04752,0,0,0.23336,0.04974,0.08638,0.05679,0.06582,0.21836,0,0.02133,0,0.38846,0,0.17724,0,0.00465,0.17109,0,0,0,0.26414,0,0.05156
"Holdemania_filiformis",0,0.01584,0.09598,0.08796,0,0.0659,0,0.06205,0.02113,0,0,0,0.02774,0,0.01015,0.02455,0,0,0,0,0,0,0.00773,0.02694,0.01391,0.01761,0,0.00193,0.01045,0.01131,0.00593,0.00897,0,0,0.00379,0.00728,0.01681,0,0.00596,0.0036,0,0.0234
"Intestinimonas_butyriciproducens",0,0,0.01934,0,0.01359,0.07135,0,0,0,0.00998,0,0.01353,0.06033,0.00457,0,0,0,0,0,0.25963,0,0.01914,0,0.94568,0,0.31309,0,0,0,0,0.00686,0.02052,0,0.04808,0,0.002,0,0,0,0.00196,0,0.03187
"Gordonibacter_pamelaeae",0.11718,0,0.02746,0,0,0,0,0.03701,0,0,0.00346,0.08062,0,0,0.00368,0,0,0,0.01884,0.40197,0,0,0,0.04483,0.00047,0.01247,0,0,0.00376,0,0,0,0.0081,0.0077,0,0,0,0,0,0.01568,0,0
"Parvimonas_micra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_stercoris",0.0038,0,0.01578,0,0,0,0.00318,0,0.01327,0.00173,0.00807,0,0.04343,0.001,0.01149,0.00078,0.00198,0.00466,0,0,0,0.03646,0,0,0.00274,0,0.03444,0,0.01407,0.01912,0.00599,0.0155,0.00489,0.01059,0.00042,0.00424,0,0.00459,0.00918,0,0.0535,0.00238
"Eubacterium_sp_CAG_274",0,0.06042,0,0,0,0,0.08667,0,0,0,0,0,0,0.01802,0.00982,0,0,0,0,0,0,0,0,0,0,0,0.00764,1.34641,0.23703,0,0,0.32855,0,0,0,0,0.02785,0,0,0,0.03919,0.0982
"Anaeromassilibacillus_sp_An250",0,0,0,0.01366,0.007,0.01846,0.00391,0.00243,0.01712,0.01455,0.017,0,0.17425,0,0.00944,0.00574,0,0,0,0.32689,0,0,0,0.02253,0.00122,0,0.01321,0.00953,0.00266,0.01087,0,0.00308,0,0,0,0,0.01377,0.00329,0.03449,0,0.04636,0.0421
"Flavonifractor_sp_An100",0,0,0,0.03874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00947,0,0,0,0,0,0,0,0,0.0056,0,0,0,0,0,0,0,0
"Ruminococcus_obeum_CAG_39",0,0,0,0,0,0,0,0,0,0,0,0.00046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_massiliensis",0.00667,0,0.00388,0,0,0,0.00352,0.0146,0.0059,0,0.00307,0,0.02125,0,0,0,0,0,0.01551,0.08018,0,0.00525,0,0,0.01348,0,0.00629,0,0.00699,0.00692,0.00321,0.01254,0,0.01009,0,0.00088,0,0,0.00642,0,0.04112,0.01484
"Anaerotruncus_colihominis",0,0,0,0.00463,0.00158,0.01942,0,0.04524,0,0,0.00024,0.00578,0.16333,0,0,0.00123,0,0,0.00365,0,0,0.00308,0.00274,0,0,0,0.07628,0,0,0,0.00183,0,0,0.0151,0,0,0,0,0,0,0,0.00382
"Roseburia_sp_CAG_471",0,0,0.00054,0,0,0,0.00643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13149,0.0183,0,0.18721,0,0.11693,0,0.00031,0.00131,0,0,0,0.01699,0,0,0,0,0,0,0,0
"Gemella_morbillorum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Collinsella_intestinalis",0.00088,0,0.06641,0,0,0,0,0.00148,0.00125,0,0.00079,0,0.00689,0,0.00227,0,0,0,0,0,0,0,0,0,0,0,0.01232,0,0.00212,0.00134,0,0,0,0.00271,0,0,0,0,0,0,0,0
"Streptococcus_milleri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harryflintia_acetispora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00399,0,0,0,0,0,0,0,0,0,0,0,0,0.00168,0,0
"Atopobium_rimae",0,0,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Clostridium_symbiosum",0.25795,0,0.00415,0,0,0,0,0,0,0,0.00636,0,0.06802,0,0,0,0,0,0,0.07637,0,0.00212,0,0.06375,0,0,0.00364,0,0.00342,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterorhabdus_caecimuris",0.00025,0,0,0,0,0,0,0.00119,0,0,0.00233,0.00922,0,0,0,0,0,0,0,0.00405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201,0,0,0,0,0,0,0,0
"Firmicutes_bacterium_CAG_170",0,0.08185,0,0,0,0,0.27373,0,0.21889,0,0.26716,0,0,0,0,0,0.04802,0.02756,0,0,0.21061,0,0,0,0,0,0,0,0,0.05542,0.04507,0,0,0,0,0,0.3508,0,0,0,0.07722,0
"Bifidobacterium_adolescentis",0,0,0.15239,0.02738,0.79784,0,0.63973,0,0.05694,1.54729,0.15936,0,5.1777,0.33372,1.91345,0.32408,0.108,0,0,0,0.04066,0.00637,0.6058,0.60657,0.73066,0.33148,2.134,0.34277,1.66873,0.39678,0,0.54146,0,1.68114,0.19865,0.27311,0.25259,0.11457,0.38022,0.78646,1.58643,0.53569
"Lactobacillus_salivarius",0,0,0,0,0.00821,0,0,0,0,1.7173,0,0,0,0,0,0,0,0.17736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00531,0.49642,0,0,0,0,0,0
"Methanobrevibacter_smithii",0,0.28153,0,0.1326,0,0,0,0,0.04321,0,0.06831,0,0,0,0,0,0,0,0,0,0,0,0.0373,0,0.14806,0,0,0,0,0,0.02678,0,0,0,0,0.02281,0,0,0.0656,0.16925,1.36802,0
"Coprobacter_fastidiosus",0,0.47124,0,0.39748,0.03903,0.44528,0,0.20953,0,0,0,0.09907,0.00033,0,0.00232,0,0,0.02613,0,0,0,0,0.05693,0,0.06168,0.51251,0.137,0.22581,0.41928,0.12479,0,0.69443,0.62965,0,0,0,0.05931,0.38301,0.0357,0.04155,0.30387,0.02103
"Bifidobacterium_scardovii",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_anginosus_group",0,0,0,0,0,0,0,0,0,0,0,0.01173,0,0,0,0.01194,0,0.02797,0,0,0.00333,0.03576,0.12585,0,0,0,0,0,0,0,0,0.00119,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium_longum",3.62571,0.03458,0.41664,0,0.07154,0.01359,0.55123,0.2999,0,0.34299,0.31726,0,1.88865,0.17036,0.96962,0.2537,0,0.05507,0,0,0.00745,0.14837,0.25725,0,0,0,0.30564,0.00331,0.36428,0.15026,0,0.33641,0,0,0.09595,0.19214,0.27153,0.11315,0.05352,0.2456,0.34909,0.65277
"Lactobacillus_paragasseri",0,0,0,0,0.00892,0,0.00269,0,0,0,0,0,0,0,0,0,0,0,0,0.1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01712,0.20195,0,0,0,0,0,0
"Lactobacillus_gasseri",0,0,0,0.00705,0.03304,0,0.00172,0,0,0,0,0,0,0,0,0,0,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03539,0,0,0,0,0,0,0
"Parascardovia_denticolens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces_oris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_gastricus",0,0,0,0,0,0,0,0,0,0.03968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Streptococcus_mutans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03755,0,0,0,0,0,0,0,0,0,0,0,0,0.53582,0,0,0,0,0,0
"Lactobacillus_crispatus",0,0,0,0,0.02923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01666,0,0,0,0,0,0
"Lactobacillus_mucosae",0,0,0,0,0,0,0.00974,0,0,0,0,0,0,0,0,0,0.01927,0,0.01473,0,0,0,0.01582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_delbrueckii",0.36635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus_faecium",0,0,0.0145,0.07684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lactobacillus_oris",0,0,0,0,0,0,0,0,0,0.00902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01248,0,0,0,0,0,0
"Lactobacillus_fermentum",0,0,0.00085,0.15737,0,0,0,0,0,0.02885,0,0,0.02643,0,0,0,0,0,0,0.00259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04663,0,0,0,0,0,0
"Sanguibacteroides_justesenii",0,0,0,0.03214,0,0,0,0,0.0201,0,0.1393,0,0,0,0,0,0,0.10931,0,0,0,0,0,0,0,0,0,0,0,0.0074,0,0,0,0,0,0,0,0,0,0,0.03382,0
"Prevotella_sp_CAG_755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47672,0,0,0
"Bacteroides_salyersiae",0,0,0,0,0.1674,0,0.04452,0,0,0,0.01745,1.69994,0,0,0,1.85247,0,1.48767,0,0,0,0.04113,0,0,0,2.90422,1.52585,0,0,0.42803,0,0,0,0,0,0,0,0,0.09697,0.65351,0,0
"Barnesiella_intestinihominis",0,0,0,3.2538,1.33987,0.65978,0.45903,1.87087,0,0,3.52474,1.59512,0,1.56043,1.93783,0.00739,0,0.82705,1.28745,0,0,0,0.79703,0,0.09139,0,0,0,0.95981,0.11819,0.01473,0,2.24695,0,0.08294,1.47586,0.09058,0.10653,0.2432,0.01096,1.26088,1.12363
"Bacteroides_eggerthii",0,9.97481,0,9.93336,0.03504,11.75758,0,1.16667,0.03322,0.03644,0,0,3.43674,0,0,0,0,0.02197,0,0,0,0.34125,1.64778,0,5.49896,0,0,0,0,0.44775,0.1556,18.14304,0,0,0,0.4084,0.12852,0.01281,0.23662,0,0.35794,5.62808
"Clostridium_sp_CAG_590",0,0.50927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03984,0,0,0,1.14295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ruminococcus_sp_CAG_403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16557,0,0,0,0,0,0,0,0,0.39991,0,0,0,0,0
"Roseburia_sp_CAG_309",0,0,0,0.14768,0,0,0,0,0,0,0.01901,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44138,0,0,0.04,0,0,0.01343,0,0,0,0,0,0,0,0.02817,0.03763,0,0
"Parasutterella_excrementihominis",0,0.80164,0,0.03769,0.00123,0,0,0,0,0,0.10143,0.02637,0,0,0.01852,0,0,0,0,0,0,0,0.01926,0,0.39423,0,0,0.02971,0.02039,0.01384,0.08725,1.08989,0.4831,2.06385,0.04221,0.2351,0.15622,0,0,0,0.04858,0
"Roseburia_sp_CAG_182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00879,0,0,0,0,0,0.02904,0,0,0,0.10187,0
"Firmicutes_bacterium_CAG_95",0,0.03227,0,0,0,0.01063,0,0,0,0,0.00516,0,0,0,0,0,0.04847,0.02874,0,0,0,0.03498,0,0,1.14222,0,0,0.02435,0,0.26676,0.64257,0,0,0.01169,0,0.06497,0.06396,0.01502,0.08736,0.00912,0.58414,0
"Alistipes_indistinctus",0,0,0,0.02479,0.10388,0.00184,0,0.05479,0,0.0395,0.09436,0.08726,0,0.0041,0.04088,0.56467,0,0.41506,0,0.43247,0,2.60521,0.11752,0,0.08874,1.28339,0.02211,0.02992,0.04869,0.03815,0.01188,0,0.02149,1.29268,0,0.00969,0,0.14633,0.02742,0.06212,0.00556,0
"Butyricimonas_synergistica",0,0.03501,0,0.08547,0.00241,0.13453,0.00525,0.38778,0.02979,0.21132,0.16063,0.02854,0.02433,0.02009,0.04105,0.04368,0,0.06732,0,0,0,0.17567,0.01028,0,0.02794,0,0.00498,0.04209,0,0.08781,0.07225,0,0.08672,0.06179,0,0.10774,0.00509,0.00326,0.17592,0.00464,0,0
"Clostridium_sp_CAG_167",0,0,0,0,0,0.2759,0,0,0,0,0.0197,0,0,0,0.05256,0,0,0,0,0,0,0,0,0,0.83842,0,0,0,0,0.178,0.01046,1.27583,0,0,0,0.27377,0,0,0,0.71279,0.16222,0.17941
